,"OutDegree, Distance, PRINCE, ModPRINCE, CheiRank, Cycles, SCC","PRINCE, ModPRINCE, CheiRank","ModPRINCE, CheiRank",CheiRank
"392, 395",71.0,77.0,77.0,82.0
"344, 395",54.0,54.0,63.0,69.0
"332, 395",59.0,78.0,78.0,79.0
"320, 395",69.0,69.0,87.0,95.0
"314, 395",57.0,77.0,80.0,82.0
"302, 395",33.0,33.0,59.0,66.0
"299, 395",37.0,41.0,61.0,69.0
"296, 395",34.0,77.0,77.0,82.0
"290, 395",54.0,88.0,88.0,89.0
"281, 395",70.0,87.0,90.0,90.0
"275, 395",59.0,92.0,94.0,95.0
"263, 395",57.0,75.0,75.0,76.0
"257, 395",59.0,86.0,86.0,86.0
"254, 395",76.0,81.0,81.0,83.0
"251, 395",94.0,99.0,99.0,99.0
"248, 395",66.0,66.0,85.0,95.0
"242, 395",64.0,89.0,89.0,89.0
"239, 395",93.0,97.0,97.0,97.0
"230, 395",66.0,95.0,95.0,95.0
"227, 395",91.0,93.0,96.0,96.0
"212, 395",55.0,56.0,73.0,73.0
"209, 395",52.0,52.0,64.0,69.0
"200, 395",62.0,69.0,75.0,79.0
"197, 395",53.0,80.0,80.0,82.0
"161, 395",22.0,22.0,58.0,62.0
"158, 395",67.0,83.0,90.0,91.0
"344, 392",12.0,12.0,12.0,15.0
"332, 392",29.0,29.0,29.0,29.0
"320, 392",37.0,37.0,44.0,62.0
"314, 392",29.0,29.0,29.0,29.0
"302, 392",6.0,6.0,6.0,9.0
"299, 392",9.0,9.0,9.0,15.0
"296, 392",13.0,25.0,25.0,29.0
"290, 392",18.0,43.0,43.0,43.0
"281, 392",50.0,50.0,50.0,50.0
"275, 392",41.0,62.0,62.0,62.0
"263, 392",21.0,21.0,21.0,21.0
"257, 392",36.0,39.0,39.0,39.0
"254, 392",31.0,31.0,31.0,31.0
"251, 392",86.0,90.0,91.0,93.0
"248, 392",38.0,38.0,40.0,66.0
"242, 392",44.0,47.0,47.0,47.0
"239, 392",79.0,79.0,79.0,79.0
"230, 392",47.0,62.0,62.0,62.0
"227, 392",66.0,69.0,69.0,69.0
"212, 392",17.0,17.0,17.0,18.0
"209, 392",12.0,12.0,12.0,12.0
"200, 392",20.0,24.0,24.0,24.0
"197, 392",19.0,29.0,29.0,29.0
"161, 392",5.0,5.0,5.0,6.0
"158, 392",52.0,52.0,52.0,52.0
"320, 344",15.0,15.0,23.0,47.0
"314, 344",13.0,13.0,13.0,15.0
"302, 344",1.0,1.0,1.0,1.0
"299, 344",2.0,2.0,2.0,3.0
"296, 344",8.0,10.0,10.0,12.0
"290, 344",6.0,24.0,24.0,24.0
"281, 344",6.0,29.0,32.0,33.0
"275, 344",15.0,40.0,46.0,47.0
"263, 344",8.0,8.0,8.0,9.0
"257, 344",19.0,19.0,19.0,21.0
"254, 344",15.0,15.0,15.0,15.0
"251, 344",69.0,69.0,84.0,86.0
"248, 344",15.0,15.0,18.0,47.0
"242, 344",14.0,29.0,29.0,29.0
