"X","PopRatio","Diff_KC","Fibroblast","M1","M2","Neutrophil","Prol_KC","Th0","Th1","Th17","Th2","Th22","Treg","iDC","pDC","preDiff_KC","ILC3"
0,1,0.000334,0,0,0,0,0,0,0,0,0,0,0.164547,0,0,0,0
1,0.999999,0.001498,0,0,0,0,0,0,0,0,0,0,0.120192,0.000126,0.000126,0,0
2,1.000002999996,0.002848,0,0.000157,0,6.7e-05,0,0,0,0,0,0,0.116442,0.000934,0.00095,0,0
3,1.000008000011,0.003286,0,0.00017,0,0.000155,0,0,0,0,0,0,0.132455,0.003885,0.003897,0,0
4,1.000012000043,0.004841,0,0.000476,0,0.000388,0,0,0,0,0,0,0.149648,0.010862,0.010924,0,0
5,1.000021000151,0.006216,0,0.000955,0,0.001017,0,0,0,0,0,0,0.162793,0.023864,0.023952,0,0
6,1.00003000034,0.007479,0,0.001757,0,0.002256,0,0,0,0,0,0,0.173844,0.0413259999999999,0.041292,0,0
7,1.00004700085001,0.008886,0,0.003769,0,0.003646,0,0,0,0,0,0,0.1931,0.064321,0.064365,0,0
8,1.00007200202503,0.010771,0,0.00602900000000001,0,0.006705,0,0,0,0,0,0,0.20347,0.0953139999999999,0.0953439999999998,0,0
9,1.00012400576914,0.011148,0,0.009508,0,0.008743,0,0,0,0,0,0,0.220489,0.131575,0.131622,0,0
10,1.0001690113494,0.012196,0,0.014408,0,0.01151,0,0,0,0,0,0,0.242809,0.177004,0.177046,0,0
11,1.00022302047601,0.013217,0,0.019921,0,0.016045,0,0,0,0,0,0,0.259044,0.216905000000002,0.216861000000002,0,0
12,1.00029903742557,0.01348,0,0.02737,0,0.022858,0,2.2e-05,0,0,0,0,0.267745999999999,0.259619,0.259739,0,0
13,1.00039306553509,0.013563,0,0.035341,0,0.029033,0,0.000134,0,0,0,0,0.280480999999999,0.302335999999998,0.302230999999998,0,0
14,1.00051811466829,0.015996,0,0.045469,0,0.0387920000000001,0,2e-04,0,0,0,0,0.289531999999999,0.351923999999999,0.351813999999999,0,0
15,1.00068019860288,0.014155,0,0.0575449999999998,0,0.052179,0,0.000511,0,0,0,0,0.303100999999999,0.396193999999996,0.395720999999996,0,0
16,1.00083730539406,0.01693,0,0.0676319999999999,0,0.0636619999999999,0,0.000762,0,0,0,0,0.319693999999999,0.435112999999995,0.434589999999995,0,0
17,1.00105748960126,0.017353,0,0.0839799999999996,0,0.0745869999999997,0,0.001394,0,0,0,0,0.337230999999998,0.482453999999992,0.481830999999993,0,0
18,1.00133478252588,0.020687,0,0.0946879999999994,0,0.0840319999999996,2.7e-05,0.00198,0,0,0,0,0.356081999999995,0.517163999999994,0.516515999999994,0,0
19,1.00169526304762,0.020998,0,0.108527999999999,0,0.0960389999999995,0,0.002356,0,0,0,0,0.363009999999997,0.558391999999992,0.557087999999992,0,0
20,1.00205386995181,0.02172,0,0.120022999999999,0,0.107991999999999,6.7e-05,0.003304,0,0,0,0,0.372149999999994,0.595349000000007,0.593292000000007,0,0
21,1.00247373052335,0.022498,0,0.134956,0,0.121285999999999,6.7e-05,0.004416,0,0,0,0,0.382836999999995,0.636168000000011,0.633944000000011,0,0
22,1.00294589565046,0.022303,0,0.151235,0,0.140425,6.7e-05,0.006361,0,0,0,0,0.383203999999992,0.66459800000001,0.660947000000011,0,0
23,1.00348146875877,0.023076,0,0.166781000000001,0,0.156691000000002,6.7e-05,0.008987,0,0,0,0,0.392250999999993,0.69236300000002,0.68829000000002,0,0
24,1.00405746712187,0.022058,0,0.186693000000003,0,0.169408000000002,0.000134,0.010278,0,0,0,0,0.395183999999991,0.721368000000018,0.716811000000018,0,0
25,1.00465186914244,0.020503,0,0.201889000000004,0,0.184127000000003,2e-04,0.013471,0,0,0,0,0.397956999999991,0.749146000000031,0.74410900000003,0,0
26,1.00541640921489,0.020887,0,0.218480000000004,0,0.201295000000004,0.000266,0.01673,0,0,0,0,0.403102999999991,0.763710000000026,0.756820000000024,0,0
27,1.00623180192281,0.02395,0,0.233835000000006,0,0.214763000000005,0.000399,0.022449,0,0,0,0,0.412725999999985,0.785309000000036,0.778036000000036,0,0
28,1.00702571881457,0.02365,0,0.252585000000006,0,0.239215000000006,0.000297,0.02749,0,0,0,0,0.41766199999999,0.806486000000036,0.799042000000036,0,5.7e-05
29,1.0079129084729,0.02381,0,0.273010000000004,0,0.262978000000005,4e-04,0.033562,0,0,0,0,0.42212199999999,0.832693000000046,0.822024000000046,0,2e-04
30,1.0088825206909,0.025508,0,0.292415999999999,0,0.281121000000001,0.000267,0.041408,0,0,0,0,0.431556999999991,0.850476000000041,0.838983000000041,0,6.7e-05
31,1.0098742522088,0.0264140000000001,0,0.312550999999997,0,0.296517999999999,0.000539,0.0466399999999999,0,0,0,0,0.435063999999985,0.865129000000043,0.852283000000043,0,0.000152
