"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000418 0 0 0 0 0 0 0 0 0 0 0.164884 0 0 0 0
"2" 1 1 0.001346 0 0 0 0 0 0 0 0 0 0 0.122992 0 0 0 0
"3" 2 1.000003 0.001851 0 0 0 0 0 0 0 0 0 0 0.122579 0.000956 0.000973 0 0
"4" 3 0.999999999990999 0.002936 0 0.000124 0 0 0 0 0 0 0 0 0.134458 0.005178 0.005138 0 0
"5" 4 1.000003999991 0.003622 0 0.000512 0 0.000225 0 0 0 0 0 0 0.148298 0.011982 0.011973 0 0
"6" 5 1.000005999999 0.00488 0 0.001405 0 0.001084 0 0 0 0 0 0 0.163607 0.027053 0.027075 0 0
"7" 6 1.000016000059 0.006115 0 0.002861 0 0.001919 0 0 0 0 0 0 0.176686 0.0477669999999999 0.0477969999999999 0 0
"8" 7 1.000040000443 0.0071 0 0.00457 0 0.003591 0 0 0 0 0 0 0.196293 0.0790989999999998 0.0790619999999998 0 0
"9" 8 1.00007300176302 0.009537 0 0.00734100000000001 0 0.006049 0 0 0 0 0 0 0.208858 0.10888 0.10881 0 0
"10" 9 1.0001140047561 0.010073 0 0.011053 0 0.011062 0 0 0 0 0 0 0.228623 0.143856000000001 0.143803000000001 0 0
"11" 10 1.00015500943029 0.009897 0 0.015095 0 0.014619 0 2e-06 0 0 0 0 0.243914000000001 0.189759000000001 0.189662000000001 0 0
"12" 11 1.00021501873086 0.01209 0 0.020937 0 0.019091 0 6.7e-05 0 0 0 0 0.255633 0.232979000000001 0.233002000000001 0 0
"13" 12 1.0002700305569 0.013073 0 0.0295170000000001 0 0.0253150000000001 0 2.3e-05 0 0 0 0 0.275563999999999 0.277384999999999 0.277495999999999 0 0
"14" 13 1.00037205810002 0.015625 0 0.03728 0 0.0316290000000001 0 0.000201 0 0 0 0 0.288526 0.324695999999999 0.324578999999999 0 0
"15" 14 1.00050710832787 0.01585 0 0.0486209999999999 0 0.03961 0 0.000334 0 0 0 0 0.302618999999998 0.374458999999996 0.374026999999996 0 0
"16" 15 1.00065718439413 0.018296 0 0.06042 0 0.050857 0 0.000383 0 0 0 0 0.312141999999998 0.423512999999993 0.422879999999992 0 0
"17" 16 1.00089233883247 0.019545 0 0.0699479999999998 0 0.0607549999999998 0 0.000546 0 0 0 0 0.319793999999997 0.465481999999996 0.464314999999995 0 0
"18" 17 1.00111253514702 0.020339 0 0.0862889999999995 0 0.0712249999999997 0 0.001372 0 0 0 0 0.328415999999997 0.508958999999996 0.508091999999996 0 0
"19" 18 1.00141086668252 0.022087 0 0.102667999999999 0 0.0820829999999997 0 0.001791 0 0 0 0 0.341910999999998 0.551082000000004 0.550181000000004 0 0
"20" 19 1.00174433650114 0.022949 0 0.116426999999999 0 0.0896099999999996 0 0.002532 0 0 0 0 0.349734999999997 0.592401000000007 0.591296000000007 0 0
"21" 20 1.0021350167924 0.021993 0 0.131863 0 0.103312999999999 0 0.003998 0 0 0 0 0.364674999999994 0.628352000000018 0.626214000000018 0 0
"22" 21 1.00253987933921 0.0231570000000001 0 0.149199000000001 0 0.120904999999999 0 0.005967 0 0 0 0 0.381558999999994 0.66156900000002 0.659065000000019 0 0
"23" 22 1.00297498164688 0.025048 0 0.164743000000002 0 0.136446 0 0.008092 0 0 0 0 0.38764499999999 0.693583000000017 0.690189000000015 0 0
"24" 23 1.00354266548654 0.025333 0 0.183347000000003 0 0.153449000000001 0.000178 0.009617 0 0 0 0 0.400759999999991 0.724624000000027 0.720313000000026 0 0
"25" 24 1.00419195759116 0.026523 0 0.198960000000004 0 0.174809000000002 2e-04 0.013668 0 0 0 0 0.410162999999992 0.748135000000029 0.741204000000028 0 0
"26" 25 1.00491196322479 0.027792 0 0.219852000000005 0 0.188959000000003 0.000134 0.015897 0 0 0 0 0.42137599999999 0.777654000000025 0.771064000000025 0 0
"27" 26 1.00574604015431 0.0273990000000001 0 0.235606000000006 0 0.204625000000004 0.000266 0.019844 0 0 0 0 0.432114999999991 0.805531000000035 0.798620000000035 0 0
"28" 27 1.00663713114593 0.0287590000000001 0 0.252474000000005 0 0.223596000000006 0.000554 0.024289 0 0 0 0 0.443865999999989 0.821704000000039 0.813991000000038 0 0
"29" 28 1.00754713111253 0.030615 0 0.270468000000003 0 0.239522000000007 0.000511 0.027246 0 0 0 0 0.449668999999988 0.834249000000032 0.825882000000033 0 8.3e-05
