"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000249 0 0 0 0 0 0 0 0 0 0 0.163916 0 0 0 0
"2" 1 0.999999 0.001087 0 0 0 0 0 0 0 0 0 0 0.121975 6.7e-05 6.7e-05 0 0
"3" 2 1.000004999994 0.00263 0 3.2e-05 0 0 0 0 0 0 0 0 0.120398 0.000664 0.000666 0 0
"4" 3 1.000012000029 0.004163 0 0.000282 0 0.000134 0 0 0 0 0 0 0.129449 0.002999 0.002992 0 0
"5" 4 1.000015000065 0.00546 0 0.000472 0 0.000283 0 0 0 0 0 0 0.141028 0.009572 0.009551 0 0
"6" 5 1.00001200002 0.006257 0 0.001122 0 0.00089 0 0 0 0 0 0 0.159387 0.021654 0.021628 0 0
"7" 6 1.00001700008 0.007099 0 0.003275 0 0.001605 0 0 0 0 0 0 0.180267 0.038858 0.038755 0 0
"8" 7 1.000040000471 0.008863 0 0.005258 0 0.003379 0 0 0 0 0 0 0.195092 0.0642509999999999 0.0642949999999999 0 0
"9" 8 1.00006900163102 0.009992 0 0.00722200000000001 0 0.005073 0 0 0 0 0 0 0.213602 0.090435 0.090412 0 0
"10" 9 1.00009900370107 0.011511 0 0.011224 0 0.008162 0 0 0 0 0 0 0.229886 0.122075 0.122042 0 0
"11" 10 1.00013200696819 0.01121 0 0.015687 0 0.013604 0 0 0 0 0 0 0.241142 0.158661000000001 0.158568000000001 0 0
"12" 11 1.00018301370055 0.011804 0 0.020305 0 0.01851 0 0 0 0 0 0 0.258500999999999 0.194041000000001 0.194134000000001 0 0
"13" 12 1.00024802559645 0.012419 0 0.027239 0 0.024322 0 6.7e-05 0 0 0 0 0.27043 0.238260000000001 0.238176000000001 0 0
"14" 13 1.00033504717469 0.014116 0 0.034738 0 0.0334960000000001 0 0.000134 0 0 0 0 0.284069999999999 0.282303999999999 0.281844999999999 0 0
"15" 14 1.00046008905559 0.014581 0 0.044319 0 0.044151 0 2e-06 0 0 0 0 0.296981 0.338342999999998 0.337366999999998 0 0
"16" 15 1.00060215438825 0.015147 0 0.054407 0 0.053589 0 0.000147 0 0 0 0 0.310124999999999 0.380242999999996 0.378616999999996 0 0
"17" 16 1.00078226277605 0.016077 0 0.0625409999999999 0 0.0651849999999999 0 0.000322 0 0 0 0 0.323832999999998 0.421001999999994 0.418842999999994 0 0
"18" 17 1.00099242705124 0.018482 0 0.0760849999999997 0 0.0771689999999997 0 0.000737 0 0 0 0 0.337467999999998 0.458046999999993 0.455543999999993 0 0
"19" 18 1.00119662950637 0.020819 0 0.0893819999999995 0 0.0896119999999996 0 0.001499 0 0 0 0 0.350257999999996 0.49524499999999 0.49214899999999 0 0
"20" 19 1.00152301960761 0.021764 0 0.10231 0 0.105462999999999 0.000134 0.002618 0 0 0 0 0.358153999999996 0.533052999999998 0.529315999999997 0 0
"21" 20 1.00187956180261 0.023091 0 0.119827999999999 0 0.115256999999999 0.000134 0.003785 0 0 0 0 0.372698999999996 0.570750000000004 0.566963000000003 0 0
"22" 21 1.00234543579889 0.023918 0 0.129784 0 0.129502 0.000134 0.00612 0 0 0 0 0.389237999999996 0.605337000000002 0.600604000000001 0 0
"23" 22 1.00282054753548 0.024531 0 0.147400000000001 0 0.142333 0.000268 0.00748 0 0 0 0 0.399768999999993 0.632612000000008 0.626509000000008 0 6.7e-05
"24" 23 1.00334401986133 0.024112 0 0.168695000000001 0 0.158790000000002 0.000272 0.009895 0 0 0 0 0.413547999999993 0.668052000000014 0.661788000000013 0 0
