"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000598 0 0 0 0 0 0 0 0 0 0 0.163603 0 0 0 0
"2" 1 0.999999 0.002151 0 0 0 0 0 0 0 0 0 0 0.121083 0 0 0 0
"3" 2 1.000005999993 0.002491 0 0 0 0 0 0 0 0 0 0 0.114427 0.000582 0.000584 0 0
"4" 3 1.000004999987 0.002146 0 0.000134 0 6.7e-05 0 0 0 0 0 0 0.119848 0.003631 0.003632 0 0
"5" 4 1.000000999967 0.003267 0 0.000159 0 0.000211 0 0 0 0 0 0 0.136194 0.010037 0.010032 0 0
"6" 5 1.000005999972 0.004081 0 0.000837 0 0.000784 0 0 0 0 0 0 0.153835 0.021438 0.021428 0 0
"7" 6 1.000012000008 0.004968 0 0.002091 0 0.001471 0 0 0 0 0 0 0.167118 0.039739 0.039686 0 0
"8" 7 1.00003300026 0.005856 0 0.004253 0 0.002326 0 0 0 0 0 0 0.185441 0.0655259999999999 0.0655559999999999 0 0
"9" 8 1.00004300059001 0.006646 0 0.005951 0 0.005519 0 0 0 0 0 0 0.205469 0.0968749999999999 0.0969169999999999 0 0
"10" 9 1.00007000175102 0.00848 0 0.009209 0 0.007903 0 0 0 0 0 0 0.216048 0.129207 0.129272 0 0
"11" 10 1.00010700434109 0.008932 0 0.0143 0 0.011347 0 0 0 0 0 0 0.233311 0.168057 0.168012 0 0
"12" 11 1.0001540093703 0.00897 0 0.020026 0 0.017858 0 0 0 0 0 0 0.246412 0.206139000000001 0.206137000000001 0 0
"13" 12 1.00023202138303 0.00927 0 0.026186 0 0.023237 0 6.7e-05 0 0 0 0 0.257718 0.241341000000002 0.241425000000002 0 0
"14" 13 1.00030503832061 0.00997 0 0.0327070000000001 0 0.0302960000000001 0 2e-04 0 0 0 0 0.275912 0.289378999999999 0.289219999999999 0 0
"15" 14 1.0004430804159 0.013311 0 0.043501 0 0.039768 0 0.000141 0 0 0 0 0.286523999999999 0.326570999999999 0.326417999999999 0 0
"16" 15 1.00057513890253 0.014839 0 0.0504409999999999 0 0.0517899999999999 0 0.000267 0 0 0 0 0.304652999999998 0.369054999999996 0.368910999999996 0 0
"17" 16 1.00073723207504 0.016105 0 0.0597199999999998 0 0.0603449999999999 0 0.000401 0 0 0 0 0.312445999999997 0.406289999999992 0.406073999999993 0 0
"18" 17 1.00089634929495 0.017301 0 0.0736079999999997 0 0.0730879999999998 0 0.001013 0 0 0 0 0.319403999999998 0.451970999999994 0.451611999999994 0 0
"19" 18 1.00113956710784 0.018249 0 0.0851149999999996 0 0.0873799999999997 0 0.002253 0 0 0 0 0.324358999999997 0.491422999999989 0.490670999999989 0 0
"20" 19 1.00142589302407 0.018011 0 0.0969739999999994 0 0.100996999999999 0 0.002409 0 0 0 0 0.333841999999996 0.534736999999998 0.533770999999997 0 0
"21" 20 1.00176237212416 0.020424 0 0.113374999999999 0 0.118256999999999 0 0.003897 0 0 0 0 0.340369999999997 0.571390000000009 0.570205000000009 0 0
"22" 21 1.00218010703337 0.02246 0 0.130264 0 0.134252 0 0.00633 0 0 0 0 0.352194999999995 0.613733000000011 0.61161200000001 0 0
"23" 22 1.00262206846061 0.024301 0 0.146425000000001 0 0.146527000000001 4.4e-05 0.008327 0 0 0 0 0.360369999999999 0.644524000000009 0.641559000000009 0 0
"24" 23 1.00314844504659 0.0268940000000001 0 0.166482000000001 0 0.160225000000002 0.000331 0.011327 0 0 0 0 0.378239999999992 0.676572000000018 0.673056000000018 0 0
"25" 24 1.00374933096522 0.0290770000000001 0 0.182879000000003 0 0.179786000000003 0.000134 0.015154 0 0 0 0 0.383379999999994 0.697798000000023 0.694190000000023 0 0
"26" 25 1.00437968554511 0.030943 0 0.200331000000003 0 0.191667000000004 9.2e-05 0.017595 0 0 0 0 0.394896999999997 0.721186000000015 0.717669000000015 0 0
"27" 26 1.00511991337339 0.0335970000000001 0 0.218237000000005 0 0.208843000000005 0.000283 0.022275 0 0 0 0 0.408208999999992 0.750012000000026 0.745134000000025 0 0
"28" 27 1.0058838045076 0.0329280000000001 0 0.237327000000007 0 0.226618000000005 0.000401 0.0263020000000001 0 0 0 0 0.41449799999999 0.769563000000023 0.765015000000023 0 0
"29" 28 1.00671567041396 0.034494 0 0.248133000000006 0 0.247932000000007 0.000418 0.0310820000000001 0 0 0 0 0.422536999999989 0.79022500000004 0.783599000000039 0 0.000183
"30" 29 1.00763278838976 0.034161 0 0.268172000000003 0 0.267757000000004 0.000717 0.036089 0 0 0 0 0.43429099999999 0.809989000000041 0.802216000000041 0 0.000201
