"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000469 0 0 0 0 0 0 0 0 0 0 0.167611 0 0 0 0
"2" 1 0.999998 0.001241 0 0 0 0 0 0 0 0 0 0 0.12408 0 0 0 0
"3" 2 1.000001999992 0.002288 0 0 0 0 0 0 0 0 0 0 0.121693 0.000436 0.000431 0 0
"4" 3 0.999997999984001 0.002755 0 0.00011 0 0.000135 0 0 0 0 0 0 0.131175 0.002694 0.002685 0 0
"5" 4 0.999998999982 0.002746 0 0.000419 0 0.000247 0 0 0 0 0 0 0.14972 0.009844 0.009797 0 0
"6" 5 1.000012999968 0.003383 0 0.001573 0 0.000842 0 0 0 0 0 0 0.16544 0.02184 0.021858 0 0
"7" 6 1.000016000007 0.006067 0 0.001991 0 0.001507 0 0 0 0 0 0 0.184005 0.043178 0.0432309999999999 0 0
"8" 7 1.000028000199 0.007762 0 0.003633 0 0.00316 0 0 0 0 0 0 0.199865 0.0673079999999999 0.0673259999999999 0 0
"9" 8 1.00005500095501 0.007587 0 0.006539 0 0.004861 0 0 0 0 0 0 0.218923 0.0996959999999999 0.0997749999999999 0 0
"10" 9 1.00008900282504 0.007615 0 0.01029 0 0.009124 0 0 0 0 0 0 0.235346000000001 0.129952 0.129861 0 0
"11" 10 1.00015400861023 0.008901 0 0.014116 0 0.012317 0 0 0 0 0 0 0.240463000000001 0.164943000000001 0.164936 0 0
"12" 11 1.00019901554063 0.00934 0 0.01904 0 0.017676 0 0 0 0 0 0 0.258962 0.203619 0.20355 0 0
"13" 12 1.00029903544219 0.009461 0 0.0260000000000001 0 0.026004 0 0 0 0 0 0 0.273771999999999 0.251557000000001 0.251183000000001 0 0
"14" 13 1.00040906833609 0.008806 0 0.031436 0 0.0333750000000001 0 6.7e-05 0 0 0 0 0.291983 0.299911999999999 0.299579999999999 0 0
"15" 14 1.00053912151498 0.010035 0 0.042071 0 0.04274 0 0.000134 0 0 0 0 0.302425999999999 0.343992999999997 0.343556999999997 0 0
"16" 15 1.00065218243572 0.011956 0 0.0550519999999999 0 0.05303 0 0.000181 0 0 0 0 0.312838999999999 0.403222999999994 0.402382999999994 0 0
"17" 16 1.00082529526329 0.013479 0 0.0656829999999997 0 0.0634449999999998 0 0.000839 0 0 0 0 0.323111999999998 0.444012999999993 0.443125999999993 0 0
"18" 17 1.00105548508122 0.014065 0 0.0778729999999996 0 0.0734509999999997 0 0.001101 0 0 0 0 0.333773999999997 0.483423999999995 0.482521999999995 0 0
"19" 18 1.00129373628668 0.015772 0 0.0908619999999995 0 0.0836149999999994 0 0.001158 0 0 0 0 0.345896999999997 0.524829999999995 0.524162999999995 0 0
"20" 19 1.00161314898858 0.018536 0 0.103675999999999 0 0.0994759999999994 0 0.002413 0 0 0 0 0.357824999999995 0.559010000000007 0.557672000000006 0 0
"21" 20 1.00193867326202 0.020209 0 0.120070999999999 0 0.120677999999999 0 0.003021 0 0 0 0 0.357897999999998 0.599304000000012 0.597033000000012 0 0
"22" 21 1.00237852433961 0.020711 0 0.133288 0 0.139042 0 0.003684 0 0 0 0 0.370485999999995 0.637229000000009 0.634265000000009 0 0
"23" 22 1.00285365176019 0.021195 0 0.147512000000001 0 0.155482000000001 6.7e-05 0.004948 0 0 0 0 0.382912999999996 0.674230000000014 0.670082000000013 0 0
