"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000504 0 0 0 0 0 0 0 0 0 0 0.161983 0 0 0 0
"2" 1 1.000002 0.001773 0 0 0 0 0 0 0 0 0 0 0.120741 0 0 0 0
"3" 2 1.000006000008 0.002728 0 0 0 0 0 0 0 0 0 0 0.119971 0.000636 0.000633 0 0
"4" 3 1.000010000032 0.003871 0 0.000118 0 2.5e-05 0 0 0 0 0 0 0.133825 0.004601 0.004569 0 0
"5" 4 1.000011000042 0.004734 0 0.000271 0 0.000242 0 0 0 0 0 0 0.144211 0.012243 0.012165 0 0
"6" 5 1.000017000108 0.004641 0 0.001258 0 0.000881 0 0 0 0 0 0 0.159717 0.027005 0.026982 0 0
"7" 6 1.000019000142 0.00559 0 0.002021 0 0.00185 0 0 0 0 0 0 0.172636 0.046167 0.046214 0 0
"8" 7 1.000032000389 0.005926 0 0.003185 0 0.003658 0 0 0 0 0 0 0.18588 0.073903 0.07383 0 0
"9" 8 1.00004200070901 0.006654 0 0.00622700000000001 0 0.007398 0 0 0 0 0 0 0.199821 0.110776 0.110687 0 0
"10" 9 1.00007700217904 0.00692 0 0.009227 0 0.011288 0 0 0 0 0 0 0.215179 0.146558 0.146659 0 0
"11" 10 1.00011800533613 0.008043 0 0.013 0 0.01786 0 0 0 0 0 0 0.232036 0.189139000000001 0.189128000000001 0 0
"12" 11 1.00016001029235 0.009357 0 0.01969 0 0.023506 0 0 0 0 0 0 0.247005000000001 0.237328000000001 0.237332000000001 0 0
"13" 12 1.00024502389324 0.01133 0 0.025474 0 0.0287490000000001 0 6.6e-05 0 0 0 0 0.264354999999999 0.279967 0.279915 0 0
"14" 13 1.00033204521032 0.012203 0 0.0344 0 0.0367570000000001 0 0.000128 0 0 0 0 0.27357 0.327094999999999 0.326925999999999 0 0
"15" 14 1.00046709003643 0.013653 0 0.041967 0 0.0458579999999999 0 3e-04 0 0 0 0 0.291305999999999 0.369849999999997 0.369744999999997 0 0
"16" 15 1.00064517317847 0.015673 0 0.0531949999999999 0 0.0541539999999998 0 0.00036 0 0 0 0 0.302756999999999 0.415000999999997 0.414666999999998 0 0
"17" 16 1.00084930479381 0.017564 0 0.0660459999999998 0 0.0651739999999999 6e-06 0.000611 0 0 0 0 0.313787999999998 0.460754999999994 0.460378999999994 0 0
"18" 17 1.00107950013392 0.017672 0 0.0777599999999997 0 0.0763959999999997 0 0.00088 0 0 0 0 0.323653999999998 0.502092999999993 0.501298999999993 0 0
"19" 18 1.00139684233548 0.018856 0 0.0893739999999995 0 0.0929179999999994 0 0.00111 0 0 0 0 0.336366999999998 0.539110000000001 0.537900000000001 0 0
"20" 19 1.00170727535662 0.020643 0 0.104340999999999 0 0.109571999999999 0 0.00266 0 0 0 0 0.354800999999996 0.578362000000006 0.576936000000006 0 0
"21" 20 1.00208592070674 0.022323 0 0.119558999999999 0 0.121368999999999 0 0.003948 0 0 0 0 0.363885999999991 0.617945000000016 0.616002000000016 0 0
"22" 21 1.00250078427796 0.0238 0 0.1363 0 0.132913 2e-05 0.006391 0 0 0 0 0.375692999999993 0.65251900000001 0.64946700000001 0 0
"23" 22 1.00298599465758 0.0247890000000001 0 0.149088000000001 0 0.148036000000001 0 0.008832 0 0 0 0 0.391014999999994 0.67981500000002 0.676930000000019 0 0
"24" 23 1.00355067577261 0.024906 0 0.163043000000001 0 0.162085000000002 0 0.010133 0 0 0 0 0.397725999999994 0.702913000000023 0.699348000000023 0 0
"25" 24 1.0041578239315 0.0254550000000001 0 0.175733000000003 0 0.180394000000003 0.000139 0.012845 0 0 0 0 0.401695999999997 0.730698000000017 0.726315000000017 0 0
"26" 25 1.00485671777699 0.0279960000000001 0 0.187286000000003 0 0.195901000000004 0.00015 0.018561 0 0 0 0 0.410318999999993 0.752290000000034 0.747291000000033 0 0
"27" 26 1.00557920975712 0.0289500000000001 0 0.206904000000003 0 0.216753000000005 0.000128 0.022339 0 0 0 0 0.414754999999989 0.773913000000035 0.768197000000034 0 0
"28" 27 1.0064279186102 0.0288880000000001 0 0.223076000000004 0 0.237897000000006 0.000124 0.026153 0 0 0 0 0.426231999999991 0.795118000000032 0.789589000000032 0 0
"29" 28 1.007296465904 0.0309200000000001 0 0.239835000000006 0 0.248280000000007 0.000339 0.0307560000000001 0 0 0 0 0.43363399999999 0.817105000000044 0.810093000000041 6.7e-05 7.5e-05
"30" 29 1.00815065330714 0.0339730000000001 0 0.251529000000007 0 0.269797000000005 0.000222 0.038525 0 0 0 0 0.440655999999989 0.83044100000004 0.822761000000039 6.7e-05 0.000146
"31" 30 1.00912251053698 0.0326450000000001 0 0.270662000000003 0 0.293169000000001 0.000481 0.0462619999999999 0 0 0 0 0.440781999999987 0.852320000000043 0.842644000000044 6.7e-05 1e-04
"32" 31 1.01009631375971 0.0315190000000001 0 0.289192000000001 0 0.309124999999999 0.000584 0.0525529999999999 0 0 0 0 0.446727999999986 0.873715000000054 0.863778000000053 0 0.000201
"33" 32 1.01114883411871 0.0345010000000001 0 0.309333999999997 0 0.326398999999996 0.00173 0.0596639999999998 0 0 0 0 0.448863999999985 0.889576000000053 0.879453000000052 0 0.000365
"34" 33 1.01223076337127 0.032385 0 0.333447999999995 0 0.340001999999994 0.002807 0.0687339999999998 0 0 0 0 0.461328999999986 0.900457000000047 0.890540000000047 0 0.000596
"35" 34 1.01341203667218 0.0326690000000001 0 0.345756999999995 0 0.351678999999993 0.003404 0.0806339999999995 0 0 0 0 0.463172999999984 0.905021000000049 0.895330000000049 0 0.001197
"36" 35 1.01457036663016 0.0341850000000001 0 0.36998699999999 0 0.372859999999992 0.003684 0.0922479999999995 0 6.7e-05 0 0 0.472707999999984 0.914000000000054 0.903160000000056 0 0.001719
"37" 36 1.01581118618861 0.035281 0 0.38584699999999 0 0.391902999999989 0.003874 0.106012999999999 0 0.000174 0 0.000126 0.475404999999984 0.926279000000057 0.915743000000057 0 0.00265
"38" 37 1.01703625447921 0.035156 0 0.406907999999987 0 0.412878999999985 0.00565 0.120516999999999 6.6e-05 0.000347 0 0 0.485945999999982 0.93395100000006 0.922285000000058 0 0.004701
"39" 38 1.01820686320819 0.037431 0 0.421330999999989 0 0.425757999999985 0.00544 0.133866 0.000334 0.000937 0 0 0.498985999999982 0.940666000000057 0.927730000000057 0 0.00756800000000001
"40" 39 1.01943278427155 0.035669 0 0.438846999999984 0 0.442139999999982 0.00766200000000001 0.143521 0.000401 6e-04 0 0.000184 0.503904999999981 0.950334000000056 0.936733000000057 0 0.011181
"41" 40 1.02070299752082 0.037718 0 0.452235999999982 0 0.456272999999981 0.00869 0.155684000000001 0.000535 0.000557 0 0.000264 0.506296999999982 0.955726000000064 0.942726000000063 0 0.015118
"42" 41 1.02186761964106 0.037196 0 0.467023999999979 0 0.471696999999976 0.010562 0.169331000000002 0.000398 0.000692 0 0.000376 0.504778999999981 0.961912000000066 0.948424000000064 0 0.020408
"43" 42 1.02303561433037 0.0371580000000001 0 0.486664999999978 0 0.480096999999977 0.011447 0.179106000000003 0.000494 0.000922 0 0.000518 0.51204999999998 0.966765000000066 0.953819000000066 0 0.0265770000000001
"44" 43 1.02416402261305 0.0385130000000001 0 0.500688999999976 0 0.501923999999976 0.012136 0.199222000000003 0.001309 0.001586 0 0.000466 0.520327999999983 0.97219500000006 0.959414000000059 0 0.0345980000000001
"45" 44 1.02533054543487 0.040956 0 0.513845999999982 0 0.518171999999982 0.013805 0.213998000000004 0.001449 0.00218 0 0.000746 0.520597999999985 0.977422000000055 0.963900000000053 0 0.04168
"46" 45 1.02640201585491 0.043632 0 0.538608999999989 0 0.531343999999985 0.016939 0.231018000000006 0.0018 0.00307 0 0.001599 0.523265999999985 0.98124600000006 0.96755300000006 0 0.0550589999999999
"47" 46 1.02756082373087 0.0436399999999999 0 0.551612999999989 0 0.537653999999984 0.017675 0.243417000000005 0.002297 0.003625 0 0.002226 0.524592999999985 0.984473000000063 0.970988000000064 2.4e-05 0.0669069999999998
"48" 47 1.02874662892153 0.046066 3.8e-05 0.567625999999993 0 0.554178999999987 0.021693 0.260989000000004 0.002077 0.003707 0 0.002923 0.530485999999986 0.986711000000065 0.973665000000062 6.7e-05 0.0757359999999996
"49" 48 1.02990705511902 0.0491129999999998 6.7e-05 0.575610999999994 0 0.574365999999992 0.0255010000000001 0.276155000000002 0.002568 0.005038 0 0.003779 0.529202999999984 0.989231000000062 0.975369000000063 0 0.0917549999999995
"50" 49 1.03100699585395 0.0514879999999999 2e-04 0.590929000000002 2.9e-05 0.580693999999996 0.0291950000000001 0.293884999999998 0.002729 0.00540600000000001 0 0.004173 0.531818999999988 0.991375000000063 0.977486000000065 0 0.108659999999999
"51" 50 1.03210089427661 0.0508999999999999 6.6e-05 0.598763000000005 0 0.593519 0.0307050000000001 0.304585999999999 0.002873 0.006246 0 0.005543 0.531154999999986 0.992129000000064 0.978191000000065 0 0.122994999999999
"52" 51 1.03318563231657 0.0521999999999999 0.000238 0.615802 0 0.610224 0.035526 0.322605999999993 0.003687 0.00742700000000001 0 0.00739200000000001 0.535436999999986 0.992411000000068 0.979503000000067 2.8e-05 0.143885000000001
"53" 52 1.03402044630755 0.0547489999999999 0.000186 0.620766000000009 0 0.622942000000008 0.038107 0.335841999999994 0.004679 0.00916 0 0.00863200000000001 0.542691999999993 0.99270800000006 0.98083700000006 6.7e-05 0.161960000000001
"54" 53 1.03504205850856 0.0538479999999999 0.000186 0.630168000000007 0 0.639017000000007 0.040638 0.355728999999992 0.005617 0.011443 0 0.009334 0.547129999999993 0.994341000000062 0.984055000000064 0 0.179817000000003
"55" 54 1.03597877157158 0.055491 0.000402 0.640655000000007 0 0.659070000000008 0.046138 0.365961999999993 0.006742 0.013648 0 0.012594 0.556690999999995 0.994931000000063 0.984432000000062 6.8e-05 0.194376000000003
"56" 55 1.0369349799778 0.0563999999999999 0.000327 0.649104000000006 0.000242 0.670168000000012 0.0494979999999999 0.381085999999991 0.007858 0.016348 0 0.013784 0.561172999999989 0.996671000000056 0.986659000000057 0.000134 0.213788000000004
"57" 56 1.03787651693968 0.0568809999999999 0.000601 0.659953000000011 0.000401 0.679752000000012 0.0539059999999999 0.399901999999988 0.008691 0.01866 0 0.016735 0.563546999999994 0.997655000000059 0.988826000000059 0.000562 0.223327000000005
"58" 57 1.03892477222185 0.0564849999999999 0.000796 0.66723600000001 0.000327 0.688567000000016 0.0580739999999999 0.414477999999987 0.010814 0.020444 0 0.018746 0.570062999999993 0.998127000000057 0.990205000000058 0.000333 0.242222000000005
"59" 58 1.03994084064915 0.0577579999999999 9e-04 0.674341000000018 0.000337 0.698435000000017 0.0632729999999997 0.429422999999985 0.012479 0.023956 0 0.020753 0.574539999999995 0.998798000000053 0.991043000000055 0.000467 0.263895000000003
"60" 59 1.04121892794236 0.0594749999999999 0.001462 0.686196000000018 0.000442 0.712974000000021 0.0733739999999996 0.444216999999986 0.014471 0.0267030000000001 0 0.023562 0.581740999999996 0.999094000000059 0.991769000000061 4e-04 0.283547
"61" 60 1.04229450709498 0.0581599999999999 0.001408 0.687829000000017 0.000733 0.724258000000023 0.0773339999999999 0.462265999999982 0.016256 0.0309790000000001 0 0.026942 0.595203 0.998845000000049 0.991554000000053 4e-04 0.308229999999998
"62" 61 1.04346917300453 0.0557749999999999 0.001229 0.689456000000016 0.000862 0.728974000000025 0.0866859999999996 0.473822999999981 0.016092 0.0331690000000001 0 0.032596 0.592829000000005 0.999008000000058 0.991507000000061 0.000334 0.330541999999996
"63" 62 1.04446777300316 0.0585229999999999 0.001644 0.700852000000019 0.001266 0.733823000000022 0.0881689999999996 0.485066999999981 0.020105 0.0366710000000001 0 0.0362390000000001 0.592955999999998 0.999249000000055 0.991767000000056 0.000292 0.349050999999992
"64" 63 1.04587989343232 0.0593409999999999 0.001613 0.701097000000017 0.001275 0.745693000000028 0.0962149999999995 0.49718599999998 0.022855 0.042393 0 0.041072 0.590704000000002 0.999202000000057 0.991425000000058 0.000667 0.368207999999991
"65" 64 1.0462585019538 0.0595159999999999 0.001866 0.703188000000014 0.001557 0.753293000000023 0.103445999999999 0.506258999999985 0.0252870000000001 0.047103 0 0.048747 0.589709999999998 0.999178000000052 0.991683000000056 0.000677 0.37915799999999
"66" 65 1.04733196317686 0.0603839999999999 0.001927 0.707719000000019 0.001857 0.764818000000022 0.119143 0.527686999999985 0.029096 0.054324 0 0.052822 0.588473999999999 0.998828000000051 0.990225000000052 0.001192 0.397205999999989
"67" 66 1.04831226589444 0.0643689999999999 0.002766 0.711573000000017 0.002145 0.767188000000023 0.124580999999999 0.542435999999993 0.0340340000000001 0.0610779999999999 0 0.0608639999999999 0.592867999999999 0.999565000000053 0.990738000000057 0.001244 0.414288999999986
"68" 67 1.04941299377369 0.0648909999999999 0.002912 0.716812000000018 0.00259 0.768991000000026 0.129856 0.551263999999993 0.036599 0.0681659999999998 0 0.0680499999999998 0.602995000000004 1.00019600000006 0.991278000000059 0.000716 0.438035999999987
"69" 68 1.05039104668394 0.0672419999999997 0.003859 0.724123000000015 0.003295 0.775279000000026 0.132517 0.560255999999996 0.040548 0.0774469999999996 0 0.0757359999999997 0.604824 0.999968000000052 0.991354000000055 0.001118 0.445746999999984
"70" 69 1.05111686689725 0.0699959999999998 0.003939 0.734897000000019 0.003413 0.781468000000027 0.138785000000001 0.568326999999995 0.045982 0.0812939999999997 0 0.0761719999999998 0.61355 1.00018300000005 0.992086000000054 0.001312 0.461159999999982
"71" 70 1.05181480849693 0.0696799999999998 0.005936 0.742238000000021 0.003626 0.788861000000026 0.151103000000001 0.582461999999997 0.052388 0.0872539999999995 0 0.0826029999999997 0.61205 1.00037500000005 0.991890000000051 0.002296 0.475084999999983
"72" 71 1.05283822430565 0.0693619999999997 0.00729000000000001 0.74275700000002 0.004006 0.79172000000003 0.163558000000002 0.589469 0.0549479999999998 0.0932539999999996 0 0.0887519999999995 0.612166000000005 1.00049000000005 0.992000000000051 0.002605 0.483581999999981
"73" 72 1.05358889795963 0.0735479999999997 0.00908000000000001 0.748562000000023 0.005114 0.800656000000035 0.170549000000003 0.604420000000001 0.0561439999999998 0.0977279999999995 0 0.0885229999999996 0.611128000000003 1.00030800000005 0.992030000000056 0.003336 0.49619399999998
"74" 73 1.05437487527756 0.0754979999999998 0.010182 0.742952000000022 0.006583 0.798770000000028 0.174662000000002 0.618999000000007 0.0632049999999998 0.102070999999999 0 0.0966879999999993 0.613506000000005 1.00025600000005 0.992494000000053 0.003056 0.515603999999983
"75" 74 1.05513086206319 0.0779789999999996 0.013036 0.74682500000002 0.006242 0.805538000000028 0.177541000000002 0.631821000000003 0.0694379999999999 0.112185999999999 0 0.105777999999999 0.610741000000003 1.00002800000004 0.992150000000049 0.00336 0.524136999999986
"76" 75 1.05586101261978 0.0770789999999997 0.015259 0.751246000000027 0.00669600000000001 0.814210000000035 0.187772000000003 0.64566300000001 0.0752409999999997 0.118263999999999 0 0.113507999999999 0.610678000000005 1.00010400000005 0.992679000000051 0.003398 0.532286999999985
"77" 76 1.05650297611551 0.0769529999999997 0.019197 0.75158600000002 0.00698000000000001 0.81925900000003 0.189447000000003 0.657490000000003 0.0829459999999997 0.125240999999999 0 0.123185999999999 0.610544000000001 1.00018300000004 0.992107000000049 0.003551 0.542925999999992
"78" 77 1.05727105377919 0.0783239999999997 0.02102 0.760198000000019 0.00784 0.827420000000026 0.196063000000003 0.67387000000001 0.0880319999999995 0.137647 0 0.131865 0.607585000000004 1.00034000000004 0.992099000000047 0.003624 0.563015999999997
"79" 78 1.05855563810957 0.0764459999999999 0.025598 0.762589000000028 0.008563 0.836783000000039 0.202621000000003 0.687932000000019 0.0943099999999996 0.148325 0 0.139577 0.609212000000005 1.00043100000005 0.993095000000053 0.004297 0.579459999999995
"80" 79 1.05952104085158 0.0802279999999998 0.0293230000000001 0.76623700000003 0.00844600000000001 0.83929600000004 0.206315000000004 0.691942000000021 0.0963569999999994 0.156375000000001 0 0.148467 0.609943000000006 1.00035000000005 0.993557000000052 0.004895 0.585882999999997
"81" 80 1.06052970488253 0.0794699999999998 0.0297560000000001 0.774263000000025 0.008763 0.845956000000034 0.214910000000003 0.701694000000017 0.103219 0.160512000000001 0 0.161499000000001 0.611141000000005 1.00032200000004 0.993060000000046 0.005512 0.594419000000002
