"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000118 0 0 0 0 0 0 0 0 0 0 0.170721 0 0 0 0
"2" 1 0.999997 0.001625 0 0 0 0 0 0 0 0 0 0 0.120573 0 0 0 0
"3" 2 1.000001999985 0.003225 0 0 0 0 0 0 0 0 0 0 0.120436 0.000543 0.000543 0 0
"4" 3 1.000002999987 0.005025 0 4.9e-05 0 2.7e-05 0 0 0 0 0 0 0.125231 0.003628 0.003622 0 0
"5" 4 1.000001999984 0.007159 0 3e-04 0 0.000183 0 0 0 0 0 0 0.13726 0.012098 0.01206 0 0
"6" 5 1.000001999984 0.009077 0 0.000852 0 0.001008 0 0 0 0 0 0 0.150642 0.027827 0.027877 0 0
"7" 6 0.999993999968001 0.008977 0 0.002039 0 0.001989 0 0 0 0 0 0 0.167134 0.044906 0.044965 0 0
"8" 7 1.000007999884 0.01072 0 0.003669 0 0.004104 0 0 0 0 0 0 0.183149 0.0674509999999999 0.0673079999999999 0 0
"9" 8 1.000034000092 0.013778 0 0.006801 0 0.00667 0 0 0 0 0 0 0.199859 0.0987489999999997 0.0988099999999996 0 0
"10" 9 1.00005600084 0.014886 0 0.009643 0 0.0105 0 0 0 0 0 0 0.215579 0.135667 0.135603 0 0
"11" 10 1.00009200285603 0.015253 0 0.012134 0 0.014918 0 6.7e-05 0 0 0 0 0.230893000000001 0.173369000000001 0.173486000000001 0 0
"12" 11 1.00016600966425 0.015938 0 0.017853 0 0.022048 0 3.7e-05 0 0 0 0 0.245255 0.218601000000001 0.218649000000001 0 0
"13" 12 1.00024202228099 0.015016 0 0.0264050000000001 0 0.0276240000000001 0 4.4e-05 0 0 0 0 0.251767 0.263298999999999 0.263164999999999 0 0
"14" 13 1.00032804309491 0.016794 0 0.038095 0 0.0348880000000001 0 0.000133 0 0 0 0 0.259892 0.318461999999997 0.318385999999997 0 0
"15" 14 1.00043807917966 0.017309 0 0.0484729999999999 0 0.042735 0 0.000402 0 0 0 0 0.269264 0.367209999999996 0.367014999999996 0 0
"16" 15 1.00056913656804 0.020842 0 0.0596239999999999 0 0.049652 0 0.000749 0 0 0 0 0.280033999999998 0.417241999999996 0.417120999999996 0 0
"17" 16 1.00076224641141 0.021321 0 0.0672389999999997 0 0.0600169999999999 0 0.000951 0 0 0 0 0.290972999999999 0.455126999999993 0.454960999999994 0 0
"18" 17 1.00101143621078 0.02311 0 0.0801799999999997 0 0.0751549999999997 0 0.001328 0 0 0 0 0.300894999999998 0.495155999999992 0.494314999999993 0 0
"19" 18 1.00129171941294 0.022434 0 0.0968059999999995 0 0.0856889999999996 0 0.001463 0 0 0 0 0.304815999999998 0.540055000000001 0.538796000000001 0 0
"20" 19 1.00163616376445 0.023308 0 0.104971 0 0.0963979999999995 0 0.00219 0 0 0 0 0.317018999999997 0.574441000000005 0.572724000000005 0 0
"21" 20 1.0019947495111 0.023644 0 0.116976999999999 0 0.108980999999999 0 0.003303 0 0 0 0 0.327570999999997 0.602498000000005 0.600305000000004 0 0
"22" 21 1.00240857334268 0.024253 0 0.132356 0 0.123839999999999 0 0.004383 0 0 0 0 0.338999999999998 0.646755000000011 0.643985000000012 0 0
"23" 22 1.00290276076936 0.025006 0 0.150683000000001 0 0.133478 3.4e-05 0.00574800000000001 0 0 0 0 0.354268999999994 0.673554000000016 0.670209000000015 0 0
"24" 23 1.00343530213537 0.025139 0 0.164035000000002 0 0.147545000000001 0.000102 0.009307 0 0 0 0 0.368068999999992 0.697137000000016 0.692707000000016 0 0
"25" 24 1.00407750072878 0.0247250000000001 0 0.182534000000003 0 0.162250000000003 0.000201 0.011668 0 0 0 0 0.376848999999993 0.724150000000026 0.719605000000026 0 0
"26" 25 1.00471910625179 0.0254280000000001 0 0.202818000000004 0 0.176701000000002 0.000267 0.013145 0 0 0 0 0.380499999999992 0.754568000000028 0.749565000000027 0 0
"27" 26 1.00543547097459 0.023257 0 0.222964000000005 0 0.187390000000003 0.000255 0.015404 0 0 0 0 0.392376999999992 0.783801000000033 0.778197000000034 0 0
"28" 27 1.00625289001253 0.022863 0 0.241899000000006 0 0.205168000000005 2e-04 0.017517 0 0 0 0 0.406764999999991 0.798657000000039 0.792169000000038 0 6.6e-05
"29" 28 1.00707600487661 0.020858 0 0.259657000000005 0 0.219981000000005 6.9e-05 0.021738 0 0 0 0 0.408434999999991 0.821275000000032 0.813045000000033 0 0.000212
"30" 29 1.00798841573708 0.0225330000000001 0 0.277784000000001 0 0.238817000000007 0.000144 0.0279280000000001 0 0 0 0 0.41983799999999 0.839926000000039 0.83127700000004 0 0.000562
"31" 30 1.00896918846564 0.022662 0 0.296049 0 0.253431000000008 0.000454 0.0362940000000001 0 0 0 0 0.432361999999986 0.855163000000051 0.84729300000005 0 0.000601
"32" 31 1.01001448054495 0.02277 0 0.312558999999998 0 0.269929000000004 2e-04 0.043686 0 0 0 0 0.435938999999986 0.869940000000047 0.861908000000046 0 0.000958
"33" 32 1.01108105583646 0.024765 0 0.330805999999998 0 0.286819000000002 0.000247 0.0509319999999999 0 0 0 0 0.441393999999984 0.885438000000052 0.877206000000052 0 0.001508
"34" 33 1.01207191527124 0.023403 0 0.349033999999993 0 0.305942 0.000583 0.0577389999999999 0 0 0 0 0.448177999999987 0.898959000000062 0.890484000000062 0 0.002979
"35" 34 1.01317608573087 0.0262290000000001 0 0.364800999999993 0 0.325476999999999 7e-04 0.0634329999999996 0 0 0 0 0.456601999999983 0.910666000000052 0.902967000000052 0 0.003716
"36" 35 1.01442229231638 0.026273 0 0.372367999999992 0 0.350157999999994 0.000704 0.0749869999999998 0 0 0 0 0.469357999999983 0.923022000000054 0.914956000000055 0 0.005915
"37" 36 1.01561119524304 0.025536 0 0.38486799999999 0 0.361183999999993 0.001445 0.0849189999999995 0 0 0 0 0.475224999999984 0.931619000000058 0.923962000000059 0 0.00685
"38" 37 1.01679539789676 0.02513 0 0.405460999999989 0 0.37705199999999 0.001802 0.0967929999999993 0 0 0 0 0.482545999999985 0.941932000000058 0.934209000000057 0 0.009642
"39" 38 1.01795454465043 0.024386 0 0.425465999999988 0 0.391855999999988 0.002522 0.109679999999999 6.7e-05 0 0 0 0.487198999999983 0.950579000000052 0.942449000000056 6.7e-05 0.013152
"40" 39 1.0191129769223 0.022736 0 0.442277999999982 0 0.408285999999986 0.003596 0.123363999999999 0 4e-06 0 0.000134 0.485715999999979 0.958073000000058 0.949571000000058 0 0.015936
