"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000341 0 0 0 0 0 0 0 0 0 0 0.163407 0 0 0 0
"2" 1 0.999999 0.001249 0 0 0 0 0 0 0 0 0 0 0.119858 0 0 0 0
"3" 2 0.999996000003 0.002444 0 0 0 0 0 0 0 0 0 0 0.117092 0.000723 0.000717 0 0
"4" 3 0.999992000019 0.002938 0 9.7e-05 0 9.2e-05 0 0 0 0 0 0 0.127323 0.003874 0.003829 0 0
"5" 4 0.999995999987 0.004306 0 0.000353 0 0.000322 0 0 0 0 0 0 0.14239 0.010257 0.010232 0 0
"6" 5 1.000006999943 0.006565 0 0.000767 0 0.001148 0 0 0 0 0 0 0.15315 0.023282 0.02326 0 0
"7" 6 1.000006999943 0.008162 0 0.001937 0 0.002399 0 0 0 0 0 0 0.168607 0.040492 0.040506 0 0
"8" 7 1.000016000006 0.009203 0 0.002975 0 0.004711 0 0 0 0 0 0 0.183718 0.0643069999999999 0.0642919999999998 0 0
"9" 8 1.000042000422 0.011412 0 0.005858 0 0.008022 0 0 0 0 0 0 0.199385 0.0955829999999999 0.0956149999999999 0 0
"10" 9 1.00006600143001 0.010646 0 0.009493 0 0.01136 0 0 0 0 0 0 0.21877 0.133206 0.133322 0 0
"11" 10 1.00011100440008 0.011394 0 0.013649 0 0.017155 0 0 0 0 0 0 0.230751000000001 0.167595000000001 0.167577000000001 0 0
"12" 11 1.00018401250341 0.012659 0 0.018429 0 0.02413 0 0 0 0 0 0 0.244145000000001 0.211022000000002 0.210838000000002 0 0
"13" 12 1.00027302888053 0.013633 0 0.024087 0 0.03195 0 0 0 0 0 0 0.248333000000001 0.259679000000001 0.259756000000001 0 0
"14" 13 1.00037805754857 0.013456 0 0.0311660000000001 0 0.042967 0 0 0 0 0 0 0.258901 0.303497999999997 0.303301999999997 0 0
"15" 14 1.00048709875685 0.012091 0 0.0401709999999999 0 0.0507919999999999 3.9e-05 8.7e-05 0 0 0 0 0.276055999999999 0.348078999999998 0.348069999999997 0 0
"16" 15 1.00065418010235 0.01294 0 0.0514409999999999 0 0.0609049999999999 0 8.9e-05 0 0 0 0 0.289876999999999 0.391822999999997 0.391497999999997 0 0
"17" 16 1.00081928804208 0.014219 0 0.0603799999999999 0 0.0709029999999999 0 0.00025 0 0 0 0 0.303558 0.429231999999994 0.428348999999994 0 0
"18" 17 1.00103346336973 0.014543 0 0.0781489999999997 0 0.0839679999999999 0 0.000607 0 0 0 0 0.316965999999997 0.47386099999999 0.472404999999991 0 0
"19" 18 1.00129373207022 0.016414 0 0.0916489999999994 0 0.0965659999999997 0 0.000806 0 0 0 0 0.328987999999997 0.517715999999995 0.515602999999996 0 0
"20" 19 1.00158610984 0.017807 0 0.106586999999999 0 0.107879999999999 0 0.001527 0 0 0 0 0.340466 0.559729000000001 0.557141 0 0
"21" 20 1.00196571097566 0.019088 0 0.123740999999999 0 0.121296999999999 6.8e-05 0.00253 0 0 0 0 0.349701999999994 0.591601000000002 0.588971000000002 0 0
"22" 21 1.00231138914598 0.022626 0 0.142992000000001 0 0.135819 0.000134 0.00359 0 0 0 0 0.357809999999995 0.630478000000014 0.627729000000014 0 0
"23" 22 1.0027834778103 0.0228270000000001 0 0.155439000000001 0 0.154168000000001 3e-04 0.004744 0 0 0 0 0.371786999999996 0.665263000000012 0.661111000000012 0 0
"24" 23 1.00330592800228 0.0236370000000001 0 0.163467000000002 0 0.169743000000003 0.000268 0.007333 0 0 0 0 0.380214999999992 0.689490000000024 0.684698000000024 0 0
"25" 24 1.00387279585165 0.022607 0 0.179145000000002 0 0.194448000000003 0.000104 0.010434 0 0 0 0 0.391458999999993 0.71638800000002 0.71061200000002 0 0
"26" 25 1.00452631704178 0.022953 0 0.191362000000003 0 0.214505000000005 1.5e-05 0.01252 0 0 0 0 0.394469999999997 0.739986000000033 0.733256000000032 0 0
"27" 26 1.00527268009539 0.0234570000000001 0 0.201186000000003 0 0.236265000000006 6.7e-05 0.016356 0 0 0 0 0.399248999999992 0.763581000000034 0.755875000000033 0 0
"28" 27 1.00604573478643 0.023372 0 0.218425000000005 0 0.255583000000007 9.2e-05 0.021988 0 0 0 0 0.407901999999987 0.794708000000039 0.786216000000038 0 0
"29" 28 1.00686264392313 0.025397 0 0.236507000000005 0 0.267456000000004 0.000428 0.024672 0 0 0 0 0.419085999999989 0.817091000000039 0.806546000000038 0 0
"30" 29 1.00785440362745 0.02508 0 0.254272000000007 0 0.288897000000001 0.000578 0.030016 0 0 0 0 0.41891099999999 0.835957000000038 0.824071000000037 0 0.000227
