"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000253 0 0 0 0 0 0 0 0 0 0 0.163913 0 0 0 0
"2" 1 1 0.001306 0 0 0 0 0 0 0 0 0 0 0.122898 0 0 0 0
"3" 2 0.999994 0.002337 0 0 0 0 0 0 0 0 0 0 0.117746 0.000428 0.000438 0 0
"4" 3 0.999991000018 0.003696 0 0 0 8.9e-05 0 0 0 0 0 0 0.129199 0.003756 0.003779 0 0
"5" 4 0.999989000036 0.004753 0 0.000137 0 0.000347 0 0 0 0 0 0 0.141356 0.011206 0.011223 0 0
"6" 5 0.999988000047 0.00644 0 0.000548 0 0.000864 0 0 0 0 0 0 0.155926 0.024655 0.024685 0 0
"7" 6 0.999991999999001 0.008438 0 0.001612 0 0.001862 0 0 0 0 0 0 0.172141 0.042431 0.042531 0 0
"8" 7 1.000007999871 0.010313 0 0.003972 0 0.003408 0 0 0 0 0 0 0.187142 0.0643819999999999 0.0643149999999998 0 0
"9" 8 1.000030000047 0.010081 0 0.006302 0 0.006027 0 0 0 0 0 0 0.200524 0.0954039999999998 0.0954479999999998 0 0
"10" 9 1.00006800118701 0.009832 0 0.009933 0 0.008944 0 0 0 0 0 0 0.216149 0.126324 0.126311 0 0
"11" 10 1.00012700519908 0.012574 0 0.014992 0 0.012177 0 8e-06 0 0 0 0 0.23114 0.164822000000001 0.164852000000001 0 0
"12" 11 1.0001890130734 0.014447 0 0.021399 0 0.018463 0 0 0 0 0 0 0.246039 0.213191000000001 0.213116000000001 0 0
"13" 12 1.00025502554827 0.015044 0 0.02765 0 0.023036 0 6.8e-05 0 0 0 0 0.258211999999999 0.257192000000002 0.257027000000002 0 0
"14" 13 1.00036205283601 0.014903 0 0.035524 0 0.028684 0 1.4e-05 0 0 0 0 0.267169999999999 0.298857999999998 0.298744999999998 0 0
