"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000248 0 0 0 0 0 0 0 0 0 0 0.165797 0 0 0 0
"2" 1 0.999997 0.001687 0 0 0 0 0 0 0 0 0 0 0.123128 9.5e-05 0.000101 0 0
"3" 2 0.999998999994 0.002729 0 6.7e-05 0 3.2e-05 0 0 0 0 0 0 0.119607 0.001082 0.001055 0 0
"4" 3 0.999998999994 0.003574 0 0.000221 0 6.7e-05 0 0 0 0 0 0 0.132022 0.003831 0.003829 0 0
"5" 4 1.000001999991 0.004671 0 0.000398 0 0.000267 0 0 0 0 0 0 0.147375 0.010756 0.010733 0 0
"6" 5 1.000011000009 0.005607 0 0.000958 0 0.001141 0 0 0 0 0 0 0.16354 0.024879 0.024933 0 0
"7" 6 1.000013000031 0.0065 0 0.001958 0 0.002212 0 0 0 0 0 0 0.172871 0.045592 0.045527 0 0
"8" 7 1.000028000226 0.007182 0 0.003752 0 0.003882 0 0 0 0 0 0 0.189031 0.0705659999999999 0.0705999999999999 0 0
"9" 8 1.00005200089801 0.009286 0 0.005713 0 0.005359 0 0 0 0 0 0 0.205994 0.095525 0.09555 0 0
"10" 9 1.00008100240603 0.01039 0 0.00928599999999999 0 0.009402 0 0 0 0 0 0 0.22368 0.133253 0.133249 0 0
"11" 10 1.00012100564613 0.011751 0 0.013456 0 0.013566 0 0 0 0 0 0 0.240294000000001 0.171147000000001 0.171155000000001 0 0
"12" 11 1.00018001278547 0.012687 0 0.021086 0 0.019471 0 1.7e-05 0 0 0 0 0.255097 0.216636000000001 0.216579000000001 0 0
"13" 12 1.00026202754652 0.013891 0 0.02776 0 0.023335 0 0 0 0 0 0 0.269718999999999 0.262565999999999 0.262461999999999 0 0
"14" 13 1.00036705505942 0.0149 0 0.037747 0 0.0289840000000001 0 4e-06 0 0 0 0 0.286786999999999 0.309974999999997 0.309722999999997 0 0
"15" 14 1.0004901002072 0.01622 0 0.0468209999999999 0 0.0365070000000001 0 7.6e-05 0 0 0 0 0.305269999999998 0.355214999999997 0.354846999999997 0 0
"16" 15 1.00060915852914 0.018387 0 0.0590489999999999 0 0.047263 0 0.000267 0 0 0 0 0.324215 0.396435999999998 0.395916999999998 0 0
"17" 16 1.00078426513189 0.021248 0 0.0692749999999997 0 0.057898 0 0.000479 0 0 0 0 0.334812999999998 0.439058999999994 0.438172999999995 0 0
"18" 17 1.00099242825905 0.021338 0 0.0868249999999994 0 0.0727899999999998 0 0.000586 0 0 0 0 0.344988999999997 0.481621999999992 0.479995999999993 0 0
"19" 18 1.001237671404 0.021158 0 0.102955999999999 0 0.0852439999999998 0 0.001257 0 0 0 0 0.358400999999996 0.525118999999999 0.523702999999999 0 0
"20" 19 1.00155606498353 0.02275 0 0.116687999999999 0 0.100969999999999 0 0.002066 0 0 0 0 0.367775999999995 0.565130000000003 0.563458000000003 0 0
"21" 20 1.0019096142745 0.022128 0 0.129594 0 0.115013999999999 0 0.003443 0 0 0 0 0.379015999999996 0.600628000000012 0.598803000000012 0 6.7e-05
"22" 21 1.00226328836837 0.021433 0 0.147218 0 0.132089 1.7e-05 0.003889 0 0 0 0 0.397455999999993 0.634188000000008 0.631710000000008 0 0.000134
"23" 22 1.00275038832655 0.024608 0 0.163632000000001 0 0.148038000000001 6.6e-05 0.005807 0 0 0 0 0.415353999999995 0.663383000000016 0.660683000000017 0 0.000134
"24" 23 1.00327181852852 0.024316 0 0.176250000000002 0 0.160590000000002 0.000101 0.006827 0 0 0 0 0.421409999999995 0.695110000000019 0.691371000000019 0 0.000134
"25" 24 1.00387980125059 0.023149 0 0.194784000000004 0 0.177591000000002 0.000134 0.008067 0 0 0 0 0.426770999999994 0.72513000000002 0.721426000000019 0 4e-04
"26" 25 1.00456745891448 0.023405 0 0.208961000000003 0 0.187891000000003 0.00034 0.011324 0 0 0 0 0.43751499999999 0.755774000000033 0.751051000000032 0 2e-04
"27" 26 1.00523650084216 0.022535 0 0.232190000000006 0 0.201789000000004 0.000675 0.014419 0 0 0 0 0.445413999999992 0.777425000000023 0.771333000000024 0 0.000334
"28" 27 1.00602259578587 0.023313 0 0.252410000000006 0 0.219313000000006 0.000508 0.018311 0 0 0 0 0.462012999999988 0.801095000000031 0.793563000000032 0 4e-04
"29" 28 1.00687771499232 0.024295 0 0.265779000000003 0 0.237169000000007 0.000421 0.026372 0 0 0 0 0.469898999999987 0.816448000000035 0.808300000000035 0 0.000467
"30" 29 1.0078060562456 0.0262850000000001 0 0.288135000000001 0 0.261373000000004 4e-04 0.0340090000000001 0 0 0 0 0.469723999999984 0.83231000000004 0.823791000000039 0 0.000134
"31" 30 1.00872215195077 0.0247230000000001 0 0.308928 0 0.281154000000003 0.000435 0.0422540000000001 0 0 0 0 0.469401999999985 0.84540600000005 0.836047000000049 0 0.000595
"32" 31 1.00974499621291 0.024986 0 0.321214999999999 0 0.301959 0.000832 0.0500309999999999 0 0 0 0 0.480169999999983 0.860815000000051 0.85183600000005 3.8e-05 0.000606
"33" 32 1.01074565350422 0.02656 0 0.336377999999994 0 0.319999999999997 0.000945 0.0580139999999999 0 0 0 0 0.483849999999984 0.875921000000053 0.865803000000053 0 0.000907
"34" 33 1.01182007613395 0.0290830000000001 0 0.347375999999994 0 0.337488999999996 0.00099 0.0653699999999997 0 6.7e-05 0 0 0.490631999999981 0.89039400000005 0.87901800000005 0 0.001966
"35" 34 1.01291992455677 0.0296350000000001 0 0.362366999999992 0 0.358401999999993 0.001478 0.0764169999999995 0 0.000133 0 0 0.501844999999982 0.903413000000051 0.890230000000052 6.7e-05 0.003057
"36" 35 1.01411213130804 0.0317270000000001 0 0.37070499999999 0 0.372065999999991 0.00173 0.0881129999999995 9e-06 6.6e-05 0 0 0.503692999999982 0.911540000000059 0.897976000000056 0 0.004532
"37" 36 1.01530979773519 0.0298200000000001 0 0.391117999999988 0 0.388785999999989 0.003048 0.101158999999999 0 0.000201 0 2.5e-05 0.509331999999982 0.923011000000057 0.909251000000057 0 0.005468
"38" 37 1.01644694470872 0.028574 0 0.407425999999989 0 0.403103999999987 0.004883 0.107647999999999 1e-05 0.000133 0 0 0.512287999999986 0.933503000000052 0.919853000000055 0 0.009474
"39" 38 1.01759654620324 0.0290950000000001 0 0.422291999999986 0 0.418140999999987 0.00527300000000001 0.125502999999999 0 0 0 2.3e-05 0.512168999999987 0.939562000000059 0.926643000000056 0 0.013472
"40" 39 1.01874337751088 0.026951 0 0.438576999999985 0 0.432493999999984 0.00537100000000001 0.137455 0 0 0 5.1e-05 0.520784999999986 0.950458000000054 0.938572000000053 0 0.018391
"41" 40 1.01983445166825 0.027109 0 0.45948499999998 0 0.45745499999998 0.00701700000000001 0.146729000000001 6.7e-05 0.000125 0 0.000179 0.528547999999989 0.957321000000059 0.944278000000057 0 0.02407
"42" 41 1.02099094393651 0.027422 0 0.48255199999998 0 0.473188999999977 0.00814800000000001 0.160498000000001 0 0.000148 0 0.000268 0.537496999999987 0.962823000000061 0.950663000000062 0 0.0288070000000001
"43" 42 1.02207013136432 0.0266420000000001 0 0.493278999999977 0 0.480126999999976 0.010677 0.175449000000003 0.000134 0.000213 0 0.000315 0.544962999999989 0.966117000000063 0.955778000000062 0 0.036932
"44" 43 1.02324653408558 0.0277120000000001 5e-06 0.514724999999981 0 0.494467999999976 0.012338 0.191093000000004 0.000467 0.000834 0 0.000712 0.555027999999992 0.973592000000054 0.964135000000056 0 0.0478009999999999
"45" 44 1.02432503593257 0.0279020000000001 0 0.535049999999991 0 0.507894999999979 0.016232 0.206013000000003 0.000681 0.001484 0 0.000914 0.557171999999993 0.97900100000006 0.970133000000063 6.7e-05 0.0558989999999998
"46" 45 1.02544257454683 0.0281410000000001 0 0.55052399999999 6.7e-05 0.529857999999983 0.019098 0.217414000000004 0.000943 0.002337 0 0.001348 0.562110999999994 0.983092000000057 0.974740000000059 6.7e-05 0.0664029999999997
"47" 46 1.02659107023038 0.0287050000000001 0 0.574472999999992 0 0.543785999999984 0.021152 0.238410000000006 0.0013 0.003681 0 0.003112 0.56652899999999 0.985470000000061 0.977609000000063 0.000193 0.0740909999999996
"48" 47 1.02768028335596 0.0294550000000001 0 0.583835 0 0.554144999999994 0.025066 0.246543000000005 0.001047 0.004193 0 0.004314 0.565924999999995 0.987879000000056 0.979692000000056 0 0.0876589999999996
"49" 48 1.02888266928754 0.0327510000000001 0 0.592773999999996 3.9e-05 0.562294999999991 0.0268430000000001 0.263852000000003 0.001776 0.004599 0 0.00576800000000001 0.567781999999991 0.988834000000065 0.981410000000068 5.7e-05 0.0988409999999993
"50" 49 1.03008954865869 0.0335170000000001 0 0.601245000000001 0.000122 0.572399999999993 0.0301440000000001 0.281115 0.001971 0.005302 0 0.00731300000000001 0.573932999999997 0.989800000000061 0.982416000000064 2e-04 0.110254999999999
"51" 50 1.03121131617724 0.0317360000000001 0 0.612810000000004 6.7e-05 0.584058999999999 0.031415 0.292309999999998 0.002646 0.005541 0 0.008092 0.58123 0.99075000000006 0.983677000000062 0.000294 0.126413999999999
"52" 51 1.03229202563666 0.033617 3e-05 0.630996000000002 0.000145 0.596766999999996 0.034738 0.313044999999996 0.003692 0.00662200000000001 0 0.01027 0.581644999999993 0.99288800000006 0.984866000000062 0.000201 0.139219
"53" 52 1.03356587399635 0.036736 6.7e-05 0.636937000000006 0.000102 0.609788999999999 0.0390390000000001 0.319214999999995 0.004283 0.007889 0 0.01035 0.584074999999996 0.994211000000056 0.986341000000059 0.00036 0.156433000000001
"54" 53 1.03449608328301 0.0356540000000001 9.4e-05 0.642490000000008 6.7e-05 0.620408000000001 0.0419539999999999 0.333895999999993 0.005206 0.00926500000000001 0 0.011625 0.587178999999998 0.994878000000055 0.987301000000059 0.000198 0.173387000000002
