"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.00031 0 0 0 0 0 0 0 0 0 0 0.16209 0 0 0 0
"2" 1 0.999998 0.001321 0 0 0 0 0 0 0 0 0 0 0.119251 6.7e-05 6.7e-05 0 0
"3" 2 0.999998999998 0.002436 0 0 0 1.2e-05 0 0 0 0 0 0 0.117287 0.000585 0.000603 0 0
"4" 3 1.000001999995 0.002955 0 6.7e-05 0 1e-06 0 0 0 0 0 0 0.126647 0.004404 0.004426 0 0
"5" 4 1.000006000003 0.00418 0 0.000132 0 0.000103 0 0 0 0 0 0 0.136487 0.010961 0.011029 0 0
"6" 5 1.000010000027 0.00542 0 0.000846 0 0.00056 0 0 0 0 0 0 0.154016 0.02397 0.023974 0 0
"7" 6 1.000020000127 0.006864 0 0.001934 0 0.001349 0 0 0 0 0 0 0.172845 0.0428500000000001 0.042876 0 0
"8" 7 1.000043000587 0.007785 0 0.003572 0 0.003312 0 0 0 0 0 0 0.1873 0.069527 0.0694689999999999 0 0
"9" 8 1.00005500110301 0.008198 0 0.006611 0 0.005317 0 0 0 0 0 0 0.202168 0.100781 0.100734 0 0
"10" 9 1.00008600280805 0.009153 0 0.010086 0 0.008718 0 0 0 0 0 0 0.220114 0.135247 0.135303 0 0
"11" 10 1.00014900822623 0.009179 0 0.015848 0 0.012526 0 0 0 0 0 0 0.234485 0.174082 0.174115 0 0
"12" 11 1.00021701835879 0.010944 0 0.021271 0 0.018344 0 0 0 0 0 0 0.254583 0.209191 0.209042 0 0
"13" 12 1.00028503311605 0.011608 0 0.027445 0 0.02305 0 1.3e-05 0 0 0 0 0.2662 0.246697000000001 0.246585000000001 0 0
"14" 13 1.00040406703499 0.012324 0 0.035705 0 0.0288 0 6.7e-05 0 0 0 0 0.284380999999998 0.289838999999998 0.289720999999998 0 0
"15" 14 1.00054312320032 0.014247 0 0.0428309999999999 0 0.035289 0 6.7e-05 0 0 0 0 0.301440999999999 0.334354999999997 0.334233999999997 0 0
"16" 15 1.0006841997807 0.015125 0 0.0523099999999999 0 0.047543 0 0.000359 0 0 0 0 0.31758 0.368368999999994 0.368081999999994 0 0
"17" 16 1.00084631062108 0.016517 0 0.0627149999999998 0 0.0560529999999998 0 0.000565 0 0 0 0 0.328009999999997 0.406874999999997 0.406506999999997 0 0
"18" 17 1.00103346888117 0.017863 0 0.0751809999999998 0 0.0645209999999998 0 0.001175 0 0 0 0 0.344705999999997 0.445527999999995 0.445211999999996 0 0
"19" 18 1.001248691077 0.016546 0 0.0866319999999996 0 0.0792159999999997 0 0.002197 0 0 0 0 0.364162999999996 0.486342999999992 0.485573999999993 0 0
"20" 19 1.00150601199063 0.01713 0 0.101366999999999 0 0.0921219999999997 0 0.002537 0 0 0 0 0.377585999999996 0.525242000000001 0.524162000000001 0 0
"21" 20 1.00183650897461 0.017946 0 0.116562999999999 0 0.104880999999999 0 0.003624 0 0 0 0 0.385635999999995 0.569508000000007 0.568148000000007 0 0
"22" 21 1.00222622337664 0.016629 0 0.130518 0 0.120429999999999 0 0.00546 0 0 0 0 0.392126999999999 0.61209200000001 0.61058400000001 0 0
"23" 22 1.00263012054469 0.016792 0 0.148605000000001 0 0.133928 6.7e-05 0.00625000000000001 0 0 0 0 0.399828999999993 0.64050600000001 0.63821400000001 0 0
"24" 23 1.00318256974114 0.016461 0 0.166243000000001 0 0.148689000000001 0 0.008566 0 0 0 0 0.409074999999995 0.672304000000016 0.669500000000016 0 0
"25" 24 1.00373131060684 0.017405 0 0.188733000000003 0 0.165210000000002 6.7e-05 0.010578 0 0 0 0 0.415966999999991 0.701623000000022 0.697930000000021 0 0
"26" 25 1.00436566879517 0.019797 0 0.199687000000003 0 0.182737000000002 0.000134 0.0126 0 0 0 0 0.427449999999993 0.730407000000019 0.725796000000018 0 8.4e-05
"27" 26 1.00505767674102 0.021548 0 0.213059000000004 0 0.202543000000003 0.000325 0.015502 0 0 0 0 0.441256999999989 0.752905000000029 0.74768900000003 0 0.000134
"28" 27 1.00581247505629 0.0254660000000001 0 0.235396000000004 0 0.220211000000004 0.000515 0.019528 0 0 0 0 0.449051999999992 0.774804000000023 0.769153000000023 0 0.000134
"29" 28 1.00664327616072 0.026079 0 0.250304000000007 0 0.241048000000006 0.000545 0.023136 0 0 0 0 0.463194999999989 0.791537000000026 0.786644000000026 0 0.000176
"30" 29 1.00741939812668 0.026173 0 0.268175000000002 0 0.259371000000006 0.001108 0.030967 0 0 0 0 0.462754999999988 0.813963000000041 0.80705800000004 0 0.000275
