"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000185 0 0 0 0 0 0 0 0 0 0 0.167819 0 0 0 0
"2" 1 1 0.000993 0 0 0 0 0 0 0 0 0 0 0.120192 5.2e-05 5.3e-05 0 0
"3" 2 0.999997 0.001651 0 0 0 2.9e-05 0 0 0 0 0 0 0.118991 0.000717 0.000727 0 0
"4" 3 0.999995000006 0.003148 0 3.1e-05 0 1.9e-05 0 0 0 0 0 0 0.128276 0.003646 0.003607 0 0
"5" 4 0.999994000011 0.003763 0 0.000384 0 0.00037 0 0 0 0 0 0 0.149087 0.012153 0.012148 0 0
"6" 5 0.999993000017001 0.004791 0 0.001039 0 0.001197 0 0 0 0 0 0 0.161264 0.026435 0.026431 0 0
"7" 6 1.000008999905 0.00673 0 0.001973 0 0.002087 0 0 0 0 0 0 0.17262 0.047909 0.047853 0 0
"8" 7 1.000025000049 0.007984 0 0.003753 0 0.003214 0 0 0 0 0 0 0.188616 0.0691579999999998 0.0690709999999998 0 0
"9" 8 1.000056000824 0.009161 0 0.006723 0 0.005734 0 0 0 0 0 0 0.203601 0.101794 0.101691 0 0
"10" 9 1.00009400295204 0.011398 0 0.010422 0 0.009902 0 0 0 0 0 0 0.22254 0.140074 0.140169 0 0
"11" 10 1.00015600878022 0.013628 0 0.015009 0 0.014326 0 0 0 0 0 0 0.234922 0.177970000000001 0.178055 0 0
"12" 11 1.00023802157294 0.013709 0 0.021077 0 0.018217 0 0 0 0 0 0 0.243643 0.221295000000001 0.221532000000001 0 0
"13" 12 1.00032704275687 0.015869 0 0.028571 0 0.0259630000000001 0 0 0 0 0 0 0.262306999999999 0.268060999999999 0.268011999999999 0 0
"14" 13 1.00041207055551 0.018107 0 0.036691 0 0.0323650000000001 0 1.4e-05 0 0 0 0 0.277879999999999 0.313598999999998 0.313470999999998 0 0
