"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000452 0 0 0 0 0 0 0 0 0 0 0.169129 0 0 0 0
"2" 1 1.000003 0.001679 0 0 0 0 0 0 0 0 0 0 0.125439 6.7e-05 6.7e-05 0 0
"3" 2 1.000004000003 0.003567 0 0 0 0 0 0 0 0 0 0 0.122097 0.000513 0.000494 0 0
"4" 3 1.000009000023 0.004655 0 1.3e-05 0 6.7e-05 0 0 0 0 0 0 0.132783 0.00375 0.003747 0 0
"5" 4 1.000008000014 0.006098 0 0.000245 0 0.000217 0 0 0 0 0 0 0.142764 0.010452 0.010436 0 0
"6" 5 1.000012000046 0.006945 0 0.000665 0 0.000911 0 0 0 0 0 0 0.163245 0.022602 0.022641 0 0
"7" 6 1.00003400031 0.00802 0 0.001608 0 0.00171 0 0 0 0 0 0 0.176523 0.0418770000000001 0.0418310000000001 0 0
"8" 7 1.000037000412 0.010297 0 0.002734 0 0.003642 0 0 0 0 0 0 0.190183 0.0650799999999999 0.065136 0 0
"9" 8 1.00007100167002 0.011202 0 0.005374 0 0.00676300000000001 0 0 0 0 0 0 0.204007000000001 0.0980369999999997 0.0979339999999997 0 0
"10" 9 1.00010900436809 0.011534 0 0.00780600000000001 0 0.010314 0 0 0 0 0 0 0.219034 0.131888 0.13175 0 0
"11" 10 1.00013800752922 0.012151 0 0.012381 0 0.016221 0 0 0 0 0 0 0.238193 0.172998000000001 0.172853000000001 0 0
"12" 11 1.00021301787979 0.013076 0 0.019245 0 0.021505 0 0 0 0 0 0 0.252434 0.216750000000001 0.216872000000001 0 0
"13" 12 1.00028203257802 0.013866 0 0.024262 0 0.02752 0 6.6e-05 0 0 0 0 0.270574999999999 0.25909 0.259183 0 0
"14" 13 1.00038906275551 0.014744 0 0.0325220000000001 0 0.038386 0 8.3e-05 0 0 0 0 0.289272 0.298705999999998 0.298528999999998 0 0
"15" 14 1.00047109465867 0.014698 0 0.042954 0 0.0465170000000001 0 0.000382 0 0 0 0 0.294980999999999 0.347156999999997 0.346920999999998 0 0
"16" 15 1.00060615825646 0.014776 0 0.0531669999999999 0 0.0567359999999998 0 0.000486 0 0 0 0 0.305309999999998 0.395139999999995 0.394642999999995 0 0
"17" 16 1.00076225281716 0.01587 0 0.062398 0 0.0682239999999998 0 0.000841 0 0 0 0 0.319318999999998 0.432762999999996 0.431879999999995 0 0
"18" 17 1.00096240526773 0.018364 0 0.0727599999999996 0 0.0787539999999997 0 0.00091 0 0 0 0 0.332329 0.472480999999993 0.471255999999993 0 0
"19" 18 1.00121164490665 0.019723 0 0.0855079999999994 0 0.0904879999999996 0 0.001204 0 0 0 0 0.342462999999997 0.507219999999992 0.505946999999992 0 0
"20" 19 1.00150399870699 0.020077 0 0.0930089999999995 0 0.106641999999999 0 0.00111 0 0 0 0 0.344530999999997 0.550232000000002 0.548523000000002 0 0
"21" 20 1.00188256721853 0.021395 0 0.105355999999999 0 0.126497999999999 0 0.001521 0 0 0 0 0.355111999999998 0.587205000000004 0.584595000000004 0 0
"22" 21 1.00227530518491 0.021752 0 0.118595999999999 0 0.138062 0 0.002646 0 0 0 0 0.369597999999995 0.622923000000013 0.620812000000013 0 0
"23" 22 1.00277443828692 0.024094 0 0.133599999999999 0 0.156058000000001 0 0.00355 0 0 0 0 0.374902999999992 0.65023200000001 0.647074000000008 0 0
"24" 23 1.00326178666397 0.0260030000000001 0 0.147199 0 0.177199000000003 3.3e-05 0.005245 0 0 0 0 0.382318999999992 0.67559000000002 0.671579000000019 0 0
"25" 24 1.003849698071 0.0259 0 0.162607000000002 0 0.197030000000004 0 0.00733600000000001 0 0 0 0 0.391255999999995 0.709268000000021 0.704004000000021 0 0
"26" 25 1.00451926581964 0.025554 0 0.180682000000003 0 0.212270000000004 0.000149 0.009525 0 0 0 0 0.401440999999993 0.737024000000025 0.730338000000026 0 0
"27" 26 1.00522946094061 0.02499 0 0.194060000000003 0 0.231483000000006 0.000214 0.011904 0 0 0 0 0.412328999999988 0.766557000000038 0.759514000000037 0 0
"28" 27 1.00605978047541 0.028294 0 0.221083000000006 0 0.245244000000007 0.000237 0.016918 0 0 0 0 0.417454999999991 0.797355000000046 0.790391000000044 0 7.1e-05
"29" 28 1.00685557376182 0.027047 0 0.239167000000006 0 0.258713000000005 0.000418 0.020971 0 0 0 0 0.425630999999987 0.815101000000034 0.808638000000032 0 6.7e-05
"30" 29 1.00778389460087 0.026388 0 0.259355000000005 0 0.271308000000005 0.000535 0.026055 0 0 0 0 0.428366999999991 0.834579000000035 0.827776000000033 0 2.6e-05
"31" 30 1.00876043719479 0.0291350000000001 0 0.274389000000003 0 0.288354000000003 0.000923 0.0324730000000001 0 0 0 0 0.436167999999983 0.85720800000005 0.84847900000005 2.4e-05 0.000119
"32" 31 1.00977121515293 0.0288640000000001 0 0.292744000000001 0 0.304791999999999 0.001333 0.041188 0 0 0 0 0.444960999999987 0.873039000000045 0.862716000000047 0 0.000162
"33" 32 1.01080522087729 0.0288960000000001 0 0.315848999999997 0 0.319421999999997 0.001745 0.0500189999999999 0 0 0 0 0.460394999999985 0.887675000000053 0.877355000000052 0 0.000836
"34" 33 1.01199493862232 0.0298740000000001 0 0.335555999999994 0 0.341957999999995 0.00216 0.0589009999999998 0 0 0 0 0.472972999999982 0.897725000000055 0.888253000000055 0 0.001595
"35" 34 1.01308688116116 0.0284800000000001 0 0.350989999999994 0 0.357105999999995 0.003028 0.0651149999999997 0 0 0 0 0.480653999999981 0.909844000000058 0.898282000000057 0 0.001936
"36" 35 1.01421444685996 0.028286 0 0.363893999999993 0 0.364799999999992 0.002475 0.0741709999999997 0 0 0 0 0.490803999999982 0.919201000000058 0.908076000000056 0 0.002605
"37" 36 1.01522967552133 0.0291330000000001 0 0.38196199999999 0 0.389504999999987 0.002877 0.0841469999999995 0 0 0 0 0.495962999999981 0.931847000000064 0.919166000000064 0 0.004309
"38" 37 1.01636774798766 0.029765 0 0.396875999999989 0 0.410498999999988 0.003534 0.0912709999999995 0 0 0 0 0.497885999999983 0.941330000000049 0.928242000000048 0 0.00703700000000001
"39" 38 1.01757925834331 0.0294060000000001 0 0.410603999999989 0 0.428215999999985 0.004363 0.104595999999999 0 0 0 0 0.504092999999981 0.949814000000062 0.936606000000061 0 0.010502
"40" 39 1.01875252722825 0.0303930000000001 0 0.426306999999986 0 0.434345999999983 0.005236 0.115019999999999 7.6e-05 6.1e-05 0 3.2e-05 0.504327999999984 0.956043000000056 0.943834000000056 0 0.016288
"41" 40 1.01996789899329 0.0299620000000001 0 0.440547999999985 0 0.445829999999982 0.00630200000000001 0.129925999999999 0 0.000157 0 0.000304 0.512693999999987 0.960411000000058 0.94927100000006 0 0.023904
"42" 41 1.02115106175618 0.0294460000000001 0 0.451837999999985 0 0.458340999999983 0.00790000000000001 0.143001 0.000121 0.000333 0 0.000265 0.518239999999985 0.96420500000006 0.954485000000061 0 0.0323920000000001
"43" 42 1.02230700475816 0.031344 0 0.472175999999982 0 0.488484999999976 0.009765 0.155058000000001 0.000348 6e-04 0 0.000213 0.524736999999988 0.96797900000006 0.95868100000006 0 0.040048
"44" 43 1.02346118936659 0.0322030000000001 0 0.487536999999981 0 0.500219999999975 0.01042 0.168140000000002 0.000544 0.000869 0 0.000201 0.52569199999999 0.973323000000063 0.964625000000064 0 0.052427
"45" 44 1.02464021665681 0.0353000000000001 0 0.504956999999979 0 0.514785999999979 0.012529 0.184738000000003 0.000668 0.001441 0 0.000617 0.524732999999985 0.978746000000062 0.969446000000063 0 0.0590179999999997
"46" 45 1.02573350776805 0.035344 0 0.518793999999985 0 0.533579999999984 0.015571 0.202096000000004 0.00126 0.002523 0 0.001145 0.529019999999987 0.981003000000056 0.972868000000058 7.1e-05 0.0687879999999998
"47" 46 1.02690694690099 0.0356400000000001 0 0.53470099999998 3.7e-05 0.548094999999983 0.019062 0.209010000000003 0.001418 0.002509 0 0.001762 0.529166999999981 0.983495000000064 0.974988000000065 6.7e-05 0.0830019999999997
"48" 47 1.02807351319274 0.0363580000000001 0 0.544012999999992 0 0.560972999999991 0.02047 0.221683000000005 0.001621 0.003074 0 0.002618 0.532751999999988 0.984337000000065 0.976871000000066 0.00017 0.0947589999999995
"49" 48 1.02924654507136 0.0408390000000001 0 0.552493999999987 0 0.579570999999996 0.024121 0.236549000000004 0.001925 0.003379 0 0.003171 0.530418999999985 0.985976000000065 0.978934000000066 0.000134 0.108776999999999
"50" 49 1.03039621346227 0.04168 0 0.571508999999994 0 0.588548999999998 0.0267620000000001 0.249975000000006 0.00252 0.00364 0 0.004356 0.542513999999988 0.987402000000067 0.981043000000068 6.6e-05 0.130405999999999
"51" 50 1.03157498673054 0.042654 0 0.581168999999997 0 0.600907999999997 0.0289190000000001 0.267180000000004 0.004531 0.00449 0 0.00600500000000001 0.545613999999989 0.989046000000066 0.983306000000068 0 0.147866
"52" 51 1.03269011929127 0.043292 0 0.597519000000001 2.5e-05 0.615276 0.032917 0.291355999999999 0.004243 0.005591 0 0.00767200000000001 0.542528999999991 0.990776000000054 0.984882000000054 0.000109 0.168042000000002
"53" 52 1.03364432496155 0.045081 0 0.613146000000004 8e-06 0.631371000000004 0.036145 0.309988999999997 0.005198 0.006876 0 0.00725600000000001 0.543489999999993 0.993026000000058 0.987084000000059 0.000231 0.187385000000003
"54" 53 1.0345591001892 0.0474409999999999 0 0.626243000000002 0 0.641421000000009 0.0401969999999999 0.327352999999996 0.006547 0.007661 0 0.009237 0.551246999999989 0.99343900000007 0.987653000000071 0.000268 0.204068000000003
"55" 54 1.03572815197248 0.050434 9.2e-05 0.633018000000011 6.7e-05 0.657396000000013 0.043462 0.337871999999992 0.007684 0.009379 0 0.011388 0.555693999999992 0.993873000000058 0.98798500000006 0.000564 0.220580000000004
"56" 55 1.03683430963885 0.0516079999999999 0.000222 0.643150000000007 0.000134 0.665219000000013 0.0508439999999999 0.359396999999992 0.009812 0.012124 0 0.014907 0.558605999999992 0.993692000000064 0.988116000000066 0.001069 0.234747000000006
"57" 56 1.03781411806153 0.0512909999999999 0.000486 0.655150000000006 6.6e-05 0.672697000000008 0.0522199999999999 0.37352999999999 0.011404 0.014205 0 0.020083 0.565318999999994 0.995098000000059 0.989278000000061 0.001193 0.247508000000006
"58" 57 1.03896712954675 0.053401 0.000467 0.665924000000011 6.7e-05 0.682026000000012 0.0553989999999999 0.384571999999991 0.012355 0.017983 0 0.022909 0.567837999999994 0.996326000000056 0.990648000000059 0.00147 0.269238000000002
"59" 58 1.03984817367267 0.0528909999999999 0.000601 0.677459000000006 6.7e-05 0.697563000000016 0.0644949999999998 0.397795999999986 0.01237 0.02354 0 0.025078 0.570569999999994 0.997295000000055 0.991872000000058 0.002121 0.287423
"60" 59 1.04081315277789 0.0553609999999999 0.000693 0.690566000000016 2.8e-05 0.712480000000018 0.0689699999999997 0.408698999999986 0.014492 0.0250670000000001 0 0.025942 0.576832999999998 0.997955000000053 0.993035000000056 0.002002 0.302520999999997
"61" 60 1.04167078281584 0.055554 0.000711 0.701009000000019 9.4e-05 0.716739000000019 0.0739969999999997 0.426638999999985 0.01812 0.0262560000000001 0 0.0287680000000001 0.574928000000001 0.998618000000053 0.993640000000055 0.002339 0.320365999999996
"62" 61 1.04263641163156 0.0582699999999999 0.000973 0.707031000000017 8.5e-05 0.726719000000018 0.0814229999999997 0.445413999999984 0.021112 0.0332000000000001 0 0.0334510000000001 0.579158999999996 0.998665000000054 0.993875000000057 0.002069 0.345190999999995
"63" 62 1.04354976112821 0.0594439999999999 0.001293 0.716932000000016 0.000134 0.734072000000015 0.0827329999999998 0.457976999999984 0.024188 0.037424 0 0.037707 0.584603999999993 0.998884000000047 0.99404000000005 0.001889 0.36854399999999
"64" 63 1.04475193045308 0.0644649999999998 0.001557 0.722914000000015 0.000129 0.747280000000022 0.0893479999999996 0.472786999999983 0.026772 0.04217 0 0.042517 0.590678999999997 0.999078000000054 0.993351000000057 0.001869 0.386569999999992
"65" 64 1.04568907293475 0.0650699999999998 0.00159 0.722846000000023 0.000284 0.758354000000028 0.0959589999999995 0.481964999999981 0.0302190000000001 0.048111 0 0.0488899999999999 0.600113000000005 0.998955000000055 0.993712000000057 0.002599 0.414731999999989
"66" 65 1.04656222331071 0.0697569999999999 0.001434 0.726122000000018 0.000291 0.762996000000022 0.0989079999999996 0.50156699999998 0.0347730000000001 0.0540960000000001 0 0.052022 0.609028 0.999165000000053 0.993971000000055 0.003828 0.439455999999986
"67" 66 1.04756273679625 0.0689909999999999 0.001809 0.730232000000021 0.000739 0.774481000000029 0.102798 0.517542999999984 0.037683 0.0624509999999999 0 0.0592299999999999 0.614132000000004 0.999696000000054 0.994746000000056 0.004321 0.453723999999984
"68" 67 1.04839135892111 0.0679639999999997 0.001711 0.73877700000002 0.001123 0.780984000000023 0.107821 0.529947999999985 0.038802 0.0656749999999998 0 0.0666449999999999 0.615297000000002 0.999267000000053 0.994459000000056 0.00516 0.465842999999981
"69" 68 1.04919232991938 0.0645889999999998 0.002215 0.742787000000021 0.001551 0.788317000000029 0.111126999999999 0.539838999999988 0.04191 0.0719329999999998 0 0.0721789999999998 0.615008000000006 0.999963000000052 0.995145000000055 0.005464 0.48288099999998
"70" 69 1.05015234090131 0.0678909999999998 0.002946 0.744726000000023 0.002137 0.795672000000029 0.115374999999999 0.557776999999994 0.046418 0.0786679999999998 0 0.0792339999999997 0.618480000000003 0.999755000000047 0.994967000000049 0.005737 0.50099199999998
"71" 70 1.05101031536388 0.0674549999999999 0.00328 0.747739000000014 0.003116 0.798823000000022 0.121210999999999 0.570686999999993 0.0545559999999999 0.0815879999999997 0 0.0871279999999995 0.614102 0.999111000000044 0.993885000000049 0.005604 0.511959999999982
"72" 71 1.05163987054283 0.0686799999999998 0.003907 0.754470000000017 0.003546 0.809812000000024 0.123896 0.587887999999998 0.0601899999999998 0.0859299999999996 0 0.0938769999999997 0.611673000000002 0.998752000000048 0.993206000000052 0.005221 0.526231999999986
"73" 72 1.05252114475439 0.0729929999999999 0.00576 0.758959000000021 0.004019 0.817085000000031 0.13116 0.601395000000001 0.0643949999999999 0.0957829999999996 0 0.0979679999999994 0.609003999999999 0.998730000000054 0.993405000000057 0.005739 0.54780799999999
"74" 73 1.05325159442891 0.0694199999999998 0.00601 0.761209000000017 0.004101 0.822284000000026 0.135273 0.614038000000006 0.0681959999999998 0.102553999999999 0 0.105820999999999 0.607428000000005 0.998993000000046 0.993346000000048 0.005159 0.554376999999992
"75" 74 1.054188988348 0.0713979999999999 0.007345 0.768313000000018 0.005206 0.824461000000023 0.143006000000001 0.627528000000007 0.0776019999999997 0.111954999999999 0 0.112759999999999 0.606608000000003 0.999468000000042 0.994098000000047 0.004935 0.561738999999995
"76" 75 1.05505026075152 0.0704359999999998 0.008174 0.774851000000026 0.004463 0.828027000000033 0.144035000000001 0.643930000000011 0.0842019999999996 0.120161999999999 0 0.116135999999999 0.604375000000004 0.999396000000048 0.994667000000051 0.003544 0.576585999999998
"77" 76 1.05577613533097 0.0732339999999999 0.009485 0.771459000000023 0.005094 0.83505100000003 0.148329 0.652893000000009 0.0851349999999996 0.125869999999999 0 0.121872999999999 0.608780000000002 0.999599000000041 0.994575000000044 0.003626 0.587949999999996
"78" 77 1.05618788802379 0.0746029999999998 0.011112 0.775098000000022 0.006065 0.837433000000031 0.154977000000001 0.662272000000012 0.0912559999999995 0.133513 0 0.130251 0.610870000000004 0.999905000000048 0.995004000000051 0.004092 0.597857000000002
"79" 78 1.05736025657955 0.0757509999999997 0.012875 0.778628000000021 0.006732 0.844410000000031 0.159974000000002 0.673494000000015 0.0989769999999994 0.13939 0 0.14073 0.611996000000005 1.00003500000004 0.995119000000044 0.003851 0.612730000000004
"80" 79 1.05834465897847 0.0766259999999999 0.013368 0.775144000000028 0.00774500000000001 0.852191000000036 0.170052000000001 0.686668000000017 0.105265 0.148859 0 0.152361000000001 0.617649000000007 1.00010500000004 0.995689000000047 0.004389 0.628120000000005
"81" 80 1.05905798327867 0.0769629999999998 0.014803 0.779504000000028 0.00706200000000001 0.85441300000004 0.176530000000002 0.698432000000018 0.116285999999999 0.158827000000002 0 0.160362000000001 0.617252000000007 1.00030700000004 0.996242000000048 0.004722 0.634456000000007
"82" 81 1.05971036299641 0.0777099999999997 0.0184 0.782113000000024 0.008119 0.857876000000036 0.186172000000003 0.701752000000014 0.124901999999999 0.167796000000001 0 0.168949000000001 0.610748999999999 1.00035600000005 0.996500000000053 0.004768 0.650983000000009
"83" 82 1.06099049311497 0.0812989999999998 0.019352 0.778408000000022 0.007897 0.863742000000031 0.194480000000003 0.713180000000015 0.134631 0.179051000000002 0 0.173916000000002 0.611709000000006 1.00037000000004 0.996202000000044 0.00561200000000001 0.663262000000012
"84" 83 1.06208755728489 0.0827529999999995 0.022804 0.773845000000025 0.008214 0.863838000000033 0.201100000000004 0.722355000000019 0.142090000000001 0.191078000000002 0 0.183870000000002 0.615015000000007 1.00045900000005 0.996217000000048 0.00642900000000001 0.67670100000001
"85" 84 1.06309016793901 0.0830729999999998 0.0267610000000001 0.772052000000022 0.008938 0.87175400000003 0.210139000000004 0.724965000000015 0.149519000000001 0.199206000000003 0 0.192042000000003 0.612661000000003 1.00053700000004 0.996630000000046 0.00718900000000001 0.683727000000012
"86" 85 1.06352178254724 0.0844509999999998 0.026601 0.774798000000024 0.009869 0.876529000000033 0.216745000000004 0.734556000000019 0.157398000000002 0.208596000000003 0 0.200955000000003 0.613942000000005 1.00053000000004 0.996819000000045 0.008332 0.691358000000013
"87" 86 1.06409076670095 0.0852639999999998 0.027751 0.774304000000018 0.010967 0.87890000000003 0.226639000000004 0.740510000000015 0.162616000000001 0.220021000000003 0 0.211422000000003 0.616109000000001 1.00051100000004 0.99707900000004 0.00901399999999999 0.701521000000016
"88" 87 1.06494735976818 0.0843299999999997 0.0304960000000001 0.774151000000018 0.011511 0.886369000000029 0.232963000000005 0.748559000000019 0.171795000000002 0.228777000000004 0 0.219445000000004 0.620158000000006 1.00048400000004 0.996781000000042 0.010085 0.704220000000015
"89" 88 1.0656704590255 0.0813649999999998 0.0316210000000001 0.773428000000022 0.012227 0.894446000000034 0.240243000000004 0.759431000000017 0.180962000000002 0.235195000000004 0 0.224066000000004 0.616269000000004 1.00055700000005 0.997208000000048 0.010443 0.701300000000021
"90" 89 1.0667798219734 0.0804489999999998 0.0348670000000001 0.775455000000026 0.012046 0.898483000000034 0.250291000000005 0.763029000000025 0.181446000000003 0.241330000000004 0 0.231785000000004 0.617914000000007 1.00060900000004 0.997485000000046 0.010345 0.703152000000019
"91" 90 1.06724600475565 0.0790229999999999 0.037861 0.776310000000019 0.011223 0.898959000000027 0.250573000000005 0.768732000000019 0.188656000000002 0.246190000000004 0 0.231883000000003 0.621175000000007 1.00063200000004 0.997585000000045 0.011681 0.704041000000016
"92" 91 1.06808165837741 0.0813269999999997 0.039551 0.774577000000023 0.011402 0.901631000000034 0.257400000000003 0.774732000000022 0.192860000000002 0.254318000000003 0 0.241426000000004 0.621704000000003 1.00059800000004 0.997262000000047 0.010146 0.715738000000023
"93" 92 1.06879086459862 0.0805179999999997 0.045428 0.770183000000028 0.014323 0.905106000000036 0.264449000000003 0.773174000000027 0.198108000000003 0.256323000000003 0 0.247411000000004 0.627181999999997 1.00052200000004 0.997262000000044 0.010432 0.72999300000002
"94" 93 1.06990561347044 0.0839649999999998 0.048427 0.769963000000024 0.014454 0.906953000000038 0.273906 0.779317000000027 0.206801000000003 0.260033000000002 0 0.254639000000003 0.622687000000008 1.00054600000004 0.997370000000045 0.011008 0.740830000000022
"95" 94 1.07088243729558 0.0793139999999998 0.051527 0.768632000000028 0.016626 0.910051000000035 0.283424 0.788904000000029 0.214689000000003 0.267977000000002 0 0.262527000000002 0.619473000000005 1.00052100000004 0.997264000000046 0.011674 0.745059000000019
"96" 95 1.0716138500003 0.0794799999999998 0.055086 0.768145000000022 0.016083 0.910738000000031 0.285088999999999 0.794384000000027 0.219941000000003 0.276219 0 0.269333000000001 0.622954000000004 1.00056800000004 0.99728400000004 0.012311 0.752338000000024
"97" 96 1.07280334137384 0.0757039999999998 0.0600719999999999 0.771267000000022 0.015233 0.911269000000033 0.294367999999998 0.790444000000029 0.220755000000004 0.282357999999999 0 0.275586 0.625447000000004 1.00054500000005 0.997155000000047 0.012741 0.756209000000018
"98" 97 1.07399308027947 0.0777169999999998 0.0637559999999999 0.769206000000018 0.01514 0.912707000000033 0.291545000000001 0.793877000000027 0.226789000000003 0.286375999999997 0 0.282991999999997 0.623140000000008 1.00055900000004 0.997210000000043 0.013552 0.760407000000022
"99" 98 1.07500800374038 0.0768429999999999 0.0681099999999999 0.758041000000018 0.015368 0.917836000000032 0.300553999999998 0.801849000000021 0.236506000000004 0.295917999999997 0 0.297823999999996 0.624281000000005 1.00050400000004 0.997346000000041 0.013214 0.766276000000023
