"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000359 0 0 0 0 0 0 0 0 0 0 0.164591 0 0 0 0
"2" 1 1.000001 0.001005 0 0 0 0 0 0 0 0 0 0 0.122465 0 0 0 0
"3" 2 1.000005000004 0.002094 0 0 0 0 0 0 0 0 0 0 0.122035 0.00079 0.000792 0 0
"4" 3 1.000007000014 0.003624 0 0 0 0.000227 0 0 0 0 0 0 0.133517 0.003527 0.003516 0 0
"5" 4 1.000011000042 0.004597 0 0.000206 0 0.000802 0 0 0 0 0 0 0.153877 0.010526 0.010545 0 0
"6" 5 1.000014000075 0.00687 0 0.000874 0 0.001514 0 0 0 0 0 0 0.17014 0.025282 0.025262 0 0
"7" 6 1.000040000439 0.007077 0 0.001982 0 0.002763 0 0 0 0 0 0 0.190722 0.0458220000000001 0.0458020000000001 0 0
"8" 7 1.00005300095901 0.007665 0 0.003561 0 0.004478 0 0 0 0 0 0 0.211139 0.071585 0.071524 0 0
"9" 8 1.00008300254904 0.008682 0 0.006197 0 0.007246 0 0 0 0 0 0 0.229200000000001 0.100469 0.100421 0 0
"10" 9 1.00012900636716 0.009538 0 0.009386 0 0.009215 0 0 0 0 0 0 0.245003000000001 0.130504 0.130432 0 0
"11" 10 1.00019401475258 0.009516 0 0.01619 0 0.013997 0 0 0 0 0 0 0.262306 0.168639 0.168777 0 0
"12" 11 1.00024802522938 0.010437 0 0.021091 0 0.019935 0 0 0 0 0 0 0.2764 0.205992000000001 0.205913000000001 0 0
"13" 12 1.00033404655955 0.010243 0 0.025977 0 0.028362 0 0 0 0 0 0 0.293928999999999 0.247413000000001 0.247285000000001 0 0
"14" 13 1.0004230762897 0.0128 0 0.035966 0 0.036842 0 0 0 0 0 0 0.308639999999999 0.296060999999999 0.296076999999999 0 0
"15" 14 1.00055113044347 0.012469 0 0.045684 0 0.0470469999999999 0 0 0 0 0 0 0.323903999999998 0.345064999999996 0.344878999999996 0 0
"16" 15 1.00071922303339 0.01406 0 0.054442 0 0.055799 0 0.000151 0 0 0 0 0.340393999999999 0.385848999999997 0.385460999999997 0 0
"17" 16 1.00091636472034 0.015984 0 0.0648709999999999 0 0.0671689999999998 0 0.000622 0 0 0 0 0.356088999999997 0.431207999999993 0.430283999999993 0 0
"18" 17 1.00111454616057 0.019132 0 0.0783699999999996 0 0.0775229999999995 0 0.000634 0 0 0 0 0.365003999999996 0.476934999999993 0.474994999999993 0 0
"19" 18 1.00142589278444 0.020097 0 0.0918979999999995 0 0.0919329999999996 0 0.001233 0 0 0 0 0.377258999999996 0.526021999999999 0.523497999999999 0 0
"20" 19 1.0017533590514 0.021488 0 0.110206999999999 0 0.105663999999999 0 0.00213 0 0 0 0 0.389534999999994 0.557663000000003 0.555293000000003 0 0
"21" 20 1.00213102006779 0.024074 0 0.122732999999999 0 0.119234999999999 0 0.003433 0 0 0 0 0.391967999999994 0.593891000000007 0.590412000000007 0 0
"22" 21 1.00251383411748 0.0239200000000001 0 0.139188 0 0.136692 0.000105 0.00409 0 0 0 0 0.394919999999995 0.63075600000001 0.62713400000001 0 0
"23" 22 1.00300506589624 0.023754 0 0.154997000000001 0 0.153117000000001 0.000133 0.006058 0 0 0 0 0.398991999999992 0.665602000000012 0.660909000000012 0 0
"24" 23 1.00349052034818 0.022849 0 0.168199000000002 0 0.176148000000002 6.7e-05 0.006723 0 0 0 0 0.413204999999993 0.700732000000017 0.695001000000017 0 0
"25" 24 1.0040665239069 0.025352 0 0.184945000000003 0 0.195447000000003 6.7e-05 0.00942000000000001 0 0 0 0 0.430275999999988 0.729940000000026 0.723135000000026 0 0
"26" 25 1.00471615494791 0.02609 0 0.206231000000004 0 0.213917000000005 8.3e-05 0.012804 0 0 0 0 0.432674999999994 0.754934000000027 0.747294000000025 0 0
"27" 26 1.00552093258806 0.025819 0 0.221241000000005 0 0.228080000000006 0.000117 0.016709 0 0 0 0 0.440240999999994 0.777332000000035 0.768166000000035 0 7.8e-05
"28" 27 1.00632233277138 0.0281790000000001 0 0.243031000000007 0 0.244990000000006 0.000333 0.020573 0 0 0 0 0.448486999999984 0.797265000000031 0.78743500000003 0 6.7e-05
"29" 28 1.00714952972897 0.026326 0 0.261143000000005 0 0.261139000000005 0.000268 0.023696 0 0 0 0 0.454248999999985 0.818474000000041 0.807394000000039 0 0.000201
"30" 29 1.00809927173556 0.0277660000000001 0 0.276418000000002 0 0.277866000000003 0.000844 0.0300680000000001 0 0 0 0 0.465687999999983 0.832985000000052 0.821843000000052 0 0.000267
"31" 30 1.00905192554742 0.030112 0 0.293626999999999 0 0.292242000000001 0.001198 0.038436 0 0 0 0 0.477586999999984 0.845800000000044 0.833812000000043 0 0.000466
"32" 31 1.01003978738258 0.0300500000000001 0 0.308918 0 0.307820000000001 0.001592 0.04481 0 0 0 0 0.485385999999983 0.859853000000045 0.846249000000043 0 0.00042
"33" 32 1.01113871067131 0.029334 0 0.330132999999996 0 0.322085999999997 0.001692 0.0519749999999999 0 0 0 0 0.490315999999982 0.868487000000052 0.853872000000052 0 0.00029
"34" 33 1.01218119468208 0.0299170000000001 0 0.340786999999995 0 0.339694999999994 0.00215 0.0592369999999998 0 0 0 0 0.499687999999982 0.882522000000052 0.867916000000049 0 0.000625
"35" 34 1.01323386312461 0.0297790000000001 0 0.352476999999993 0 0.357284999999992 0.002625 0.0674219999999997 0 0 0 0 0.506645999999985 0.894186000000049 0.880196000000047 0 0.001211
"36" 35 1.01440009530113 0.0312820000000001 0 0.365822999999991 0 0.362731999999993 0.00335 0.0766289999999997 0 0 0 0 0.510014999999981 0.905294000000053 0.891670000000053 0 0.002018
"37" 36 1.01544898499973 0.035559 0 0.377983999999992 0 0.377987999999989 0.00428 0.0821139999999997 0 0.000133 0 0 0.517128999999985 0.912733000000061 0.898584000000061 3.2e-05 0.003112
"38" 37 1.01658324151605 0.034841 0 0.395868999999986 0 0.39127199999999 0.004451 0.0979419999999992 0 0.000133 0 5.2e-05 0.52576499999999 0.925738000000058 0.911788000000057 0 0.004966
"39" 38 1.01771978158013 0.033642 0 0.407242999999988 0 0.412442999999987 0.005842 0.105387999999999 8.5e-05 7.8e-05 0 0.000134 0.533331999999991 0.932490000000047 0.918678000000047 0 0.007228
"40" 39 1.01881891894428 0.035847 0 0.419256999999985 0 0.428328999999985 0.006571 0.116584999999999 6.6e-05 0 0 0.000267 0.542004999999994 0.940876000000061 0.92812100000006 5.9e-05 0.010326
"41" 40 1.01995490203897 0.0355430000000001 0 0.437256999999983 0 0.441635999999983 0.007279 0.129762 6.7e-05 2.5e-05 0 0.000226 0.545493999999987 0.946344000000062 0.93280100000006 6.7e-05 0.015293
"42" 41 1.02111051094305 0.03698 0 0.454963999999983 6.7e-05 0.456360999999979 0.00762500000000001 0.141573 6.7e-05 0.000185 0 0.00027 0.54108899999999 0.954528000000063 0.940757000000064 0 0.019771
"43" 42 1.02226232359946 0.038645 0 0.470123999999983 0.000134 0.48116399999998 0.009647 0.155672000000001 0.00011 0.000273 0 0.000508 0.54023999999999 0.958341000000053 0.944456000000053 4.9e-05 0.0269380000000001
"44" 43 1.0234093019266 0.038953 0 0.487441999999978 2e-04 0.506028999999979 0.011767 0.171511000000002 0.00046 0.000218 0 0.000912 0.54400799999999 0.965594000000068 0.952142000000069 0 0.03565
"45" 44 1.0244869519216 0.039515 0 0.496000999999977 0.000133 0.52007099999998 0.01292 0.186717000000003 0.000668 0.00049 0 0.000553 0.544506999999994 0.969363000000064 0.955145000000064 0 0.046887
"46" 45 1.02577063407242 0.039747 0 0.50988999999998 2e-04 0.537059999999985 0.016146 0.204927000000003 0.000699 0.000828 0 0.000604 0.543804999999991 0.973347000000058 0.960727000000058 0.000117 0.0552669999999999
"47" 46 1.0269061621644 0.0422509999999999 0 0.522908999999986 0.000316 0.550564999999987 0.019449 0.214473000000004 0.001256 0.001169 0 0.000936 0.552266999999994 0.975402000000051 0.963715000000053 6.7e-05 0.0654799999999998
"48" 47 1.02801316700727 0.042447 0 0.533158999999985 2e-04 0.568972999999991 0.021482 0.228716000000005 0.001599 0.002162 0 0.001766 0.55600699999999 0.979534000000061 0.967669000000062 6.7e-05 0.0797309999999997
"49" 48 1.02898977951599 0.040201 0 0.551482999999988 0.000333 0.579918999999993 0.026146 0.242326000000005 0.002739 0.002324 0 0.001471 0.55964199999999 0.98271600000006 0.970644000000063 6.7e-05 0.0894399999999997
"50" 49 1.03019369755809 0.0444639999999999 0 0.560132999999992 0.000601 0.590699999999996 0.0301190000000001 0.253040000000004 0.002977 0.003169 0 0.002171 0.568818999999997 0.984412000000062 0.973096000000062 0.000134 0.105150999999999
"51" 50 1.03150513413514 0.0457029999999999 6.7e-05 0.579086 0.000468 0.603879 0.0347070000000001 0.270138000000001 0.003049 0.00496 0 0.003295 0.570854999999997 0.986244000000055 0.975552000000056 0.000199 0.118124999999999
"52" 51 1.03273778277049 0.048696 0 0.584482999999995 0.000801 0.618548000000002 0.039667 0.286517999999999 0.003551 0.00610100000000001 0 0.004957 0.576609999999998 0.988773000000059 0.977699000000063 0.000467 0.132859
"53" 52 1.03390580920287 0.050681 0.000201 0.602966 0.000999 0.631632000000005 0.044068 0.305422999999998 0.003881 0.006171 0 0.007353 0.576551999999997 0.989902000000062 0.979086000000065 0.000335 0.141748
"54" 53 1.03503173262916 0.0517419999999999 0.000439 0.613099000000002 0.001068 0.642909000000008 0.0488189999999999 0.323700999999995 0.004743 0.007687 0 0.00965800000000001 0.590284 0.992092000000059 0.980376000000061 0.000266 0.158954000000001
"55" 54 1.03618165288417 0.0533809999999999 0.000602 0.618940000000006 0.000951 0.650656000000008 0.0531299999999999 0.333211999999993 0.005051 0.009173 0 0.012202 0.584534999999999 0.994144000000055 0.983518000000056 0.000274 0.175787000000003
"56" 55 1.03720540035728 0.0572749999999999 0.000866 0.627179000000003 6e-04 0.661396000000012 0.0555659999999999 0.344479999999993 0.00565200000000001 0.010463 0 0.01223 0.588897 0.995601000000057 0.984439000000059 0.000248 0.192148000000003
"57" 56 1.03805072275863 0.0535069999999998 0.00082 0.640350000000008 0.000504 0.678733000000013 0.0613519999999999 0.364183999999992 0.008503 0.011942 0 0.0151 0.587707 0.997417000000055 0.987116000000058 0.000512 0.212740000000004
"58" 57 1.03930468803178 0.0560039999999999 0.000918 0.657619000000011 0.000446 0.690718000000014 0.0659329999999999 0.38555799999999 0.009191 0.014157 0 0.018528 0.590805999999997 0.998691000000059 0.988115000000062 0.000859 0.229923000000005
"59" 58 1.04065682343097 0.0569309999999999 0.001068 0.669775000000009 0.000594 0.700189000000016 0.0710569999999998 0.398751999999986 0.011435 0.016912 0 0.021585 0.594120999999999 0.999402000000055 0.989948000000057 0.001133 0.248248000000006
"60" 59 1.04164024412917 0.0570819999999998 0.00187 0.676485000000015 0.000401 0.711482000000018 0.0772579999999996 0.413315999999989 0.014329 0.020516 0 0.025137 0.597670999999999 0.99989600000006 0.991473000000061 0.001765 0.272902000000002
"61" 60 1.042612094477 0.0598049999999999 0.002619 0.683961000000014 0.000483 0.718511000000019 0.0854779999999996 0.426223999999987 0.016601 0.024176 0 0.027507 0.597208000000001 1.00036700000006 0.991353000000059 0.0016 0.291602999999998
"62" 61 1.04335651951252 0.0560419999999999 0.002593 0.696163000000018 0.000233 0.73211100000002 0.0902949999999998 0.437888999999985 0.019342 0.028673 0 0.0317120000000001 0.588146 1.00073800000005 0.991501000000056 0.001199 0.310747999999997
"63" 62 1.04454907601438 0.0576849999999998 0.003991 0.704379000000014 2e-04 0.738798000000023 0.0983389999999996 0.449590999999984 0.02255 0.0307560000000001 0 0.0350170000000001 0.587570999999998 1.00078700000005 0.992916000000058 0.000937 0.332711999999995
"64" 63 1.04542754178736 0.0581629999999999 0.00482 0.709910000000022 0.000387 0.744202000000022 0.107141999999999 0.466360999999983 0.024318 0.0337840000000001 0 0.035898 0.583673999999997 1.00088200000006 0.994002000000057 0.001456 0.353371999999992
"65" 64 1.04666010085919 0.0564899999999999 0.004557 0.715011000000015 0.000571 0.747591000000025 0.107948999999999 0.479357999999982 0.026157 0.036665 0 0.043728 0.584105999999999 1.00085200000006 0.994562000000059 0.001408 0.367536999999991
"66" 65 1.04778630712777 0.0590229999999999 0.004632 0.728266000000022 0.000422 0.759122000000024 0.114551999999999 0.496861999999981 0.0301550000000001 0.042923 0 0.0487789999999999 0.581907999999998 1.00086000000005 0.995414000000054 0.001332 0.377040999999992
"67" 66 1.04902164718393 0.0610099999999999 0.005568 0.735557000000021 0.000611 0.766495000000028 0.119366999999999 0.504997999999983 0.0298020000000001 0.04811 0 0.0554369999999999 0.588459999999998 1.00086000000005 0.995635000000055 0.001078 0.386134999999988
"68" 67 1.05014305132482 0.0613169999999999 0.007326 0.739679000000024 0.000215 0.765818000000028 0.125962999999999 0.513091999999982 0.033844 0.0515689999999999 0 0.0594379999999999 0.591659999999997 1.00080800000006 0.99567600000006 0.000987 0.407510999999988
"69" 68 1.05080464144722 0.0627409999999998 0.006592 0.750629000000022 0.000368 0.770677000000028 0.125288999999999 0.521477999999982 0.036773 0.0559739999999999 0 0.0647509999999998 0.593097999999999 1.00078800000006 0.995672000000061 0.000869 0.425297999999987
"70" 69 1.0517966010288 0.0600319999999999 0.006891 0.753986000000026 0.00048 0.781058000000031 0.130552 0.53955999999999 0.04153 0.0620259999999999 0 0.0714569999999997 0.597662000000001 1.00080000000005 0.995674000000058 0.001187 0.442292999999984
"71" 70 1.05242452359967 0.0661099999999998 0.007349 0.758902000000025 0.00054 0.791021000000033 0.13554 0.550652999999991 0.045762 0.0683349999999999 0 0.0747889999999999 0.607662000000005 1.00080900000006 0.99551600000006 0.001399 0.455241999999984
"72" 71 1.05332539899194 0.0676979999999999 0.008349 0.761646000000023 0.000482 0.797448000000031 0.144910000000001 0.565480999999993 0.049434 0.0765879999999996 0 0.0823329999999995 0.612015000000004 1.00084600000005 0.996065000000057 0.001052 0.465526999999981
"73" 72 1.05419439244616 0.0684189999999998 0.010547 0.769955000000026 0.001148 0.801615000000031 0.147894000000001 0.576043999999992 0.0520719999999999 0.0876839999999996 0 0.0883099999999996 0.616013 1.00074600000005 0.996212000000057 0.000935 0.481883999999982
"74" 73 1.05492811174336 0.0705019999999996 0.014117 0.77549000000003 0.00139 0.800692000000034 0.155602000000001 0.587094999999998 0.0549469999999999 0.0926219999999995 0 0.0944509999999995 0.619234000000006 1.00079400000006 0.99614500000006 0.001372 0.502921999999983
"75" 74 1.05598831449572 0.0703029999999999 0.014009 0.778815000000026 0.001773 0.801805000000033 0.160939000000002 0.601889999999998 0.0601339999999999 0.0982089999999995 0 0.100861999999999 0.618018000000006 1.00080000000005 0.996812000000052 0.001575 0.516358999999985
"76" 75 1.05707175850645 0.0728169999999999 0.016081 0.786305000000029 0.001601 0.807796000000035 0.168609000000002 0.610094000000004 0.0650979999999998 0.106329999999999 0 0.109434999999999 0.618784000000007 1.00069400000006 0.997059000000059 0.002033 0.532298999999989
"77" 76 1.05771340106392 0.0786179999999998 0.018812 0.791327000000024 0.002303 0.814870000000029 0.173225000000002 0.618305000000003 0.0728579999999996 0.115271999999999 0 0.115243999999999 0.621774000000005 1.00070900000005 0.996438000000048 0.00238 0.54413299999999
"78" 77 1.05859447632706 0.0784479999999998 0.019206 0.78943200000002 0.002723 0.820398000000025 0.184244000000003 0.625039000000006 0.0758289999999996 0.121925999999999 0 0.124032999999999 0.628942000000008 1.00072900000004 0.996598000000042 0.002577 0.556843999999996
"79" 78 1.0593100861931 0.0772719999999997 0.022009 0.792853000000023 0.002916 0.825608000000028 0.188029000000003 0.637403000000006 0.0822989999999997 0.129407 0 0.129843 0.634718000000005 1.00064800000005 0.99634900000005 0.002402 0.563845999999995
"80" 79 1.05987152053883 0.0792119999999996 0.024573 0.795828000000028 0.00243 0.835156000000034 0.196942000000003 0.650115000000013 0.0884959999999994 0.136359 0 0.140104 0.638236000000013 1.00066200000005 0.996356000000051 0.003085 0.575251999999995
"81" 80 1.06087627874035 0.0801079999999998 0.027091 0.804073000000027 0.002321 0.844172000000034 0.206379000000003 0.653753000000013 0.0963859999999996 0.141635 0 0.146912000000001 0.64113300000001 1.00065600000005 0.996473000000052 0.003124 0.583923000000002
"82" 81 1.06183955440149 0.0785949999999998 0.029364 0.801727000000029 0.002478 0.852067000000032 0.211544000000004 0.661321000000014 0.0981779999999994 0.144303000000001 0 0.150039000000001 0.639553000000013 1.00067700000004 0.996760000000049 0.003398 0.597063
"83" 82 1.06251913171636 0.0819739999999997 0.0320500000000001 0.80502000000003 0.002954 0.851917000000034 0.213875000000003 0.668809000000014 0.103277999999999 0.150626000000001 0 0.159218000000001 0.636602000000009 1.00072800000005 0.997121000000056 0.004234 0.618018000000002
"84" 83 1.06315876823371 0.0818059999999997 0.034695 0.808312000000027 0.002817 0.852936000000028 0.215237000000004 0.682408000000012 0.111215999999999 0.160932000000002 0 0.166008000000002 0.635185000000009 1.00062700000004 0.997054000000046 0.004601 0.631263000000004
"85" 84 1.06403800053508 0.0822809999999999 0.0369690000000001 0.80696400000002 0.003326 0.858919000000029 0.221476000000004 0.686334000000009 0.115294999999999 0.169661000000002 0 0.169798000000002 0.640255000000008 1.00065100000004 0.997158000000042 0.005038 0.637346000000013
"86" 85 1.06448915264735 0.0831149999999998 0.038649 0.808040000000027 0.003507 0.85889300000003 0.227149000000004 0.697222000000011 0.118440999999999 0.175571000000002 0 0.174195000000002 0.63917900000001 1.00062900000004 0.997300000000042 0.004877 0.644622000000007
"87" 86 1.06561112421428 0.0836489999999997 0.039943 0.804125000000031 0.004322 0.865423000000033 0.234957000000004 0.704603000000018 0.125900999999999 0.185683000000002 0 0.188636000000002 0.639623000000012 1.00057300000005 0.997073000000053 0.00582 0.649772000000014
"88" 87 1.06614073294307 0.0853819999999997 0.043362 0.801415000000025 0.004224 0.86726600000003 0.242208000000005 0.705843000000017 0.132365 0.193699000000003 0 0.199259000000003 0.638802000000006 1.00062600000004 0.997175000000046 0.00670300000000001 0.656151000000009
"89" 88 1.06665141435419 0.0843899999999996 0.0471659999999999 0.801906000000024 0.004876 0.863101000000029 0.244940000000005 0.719256000000012 0.141734 0.202557000000003 0 0.206646000000003 0.640504000000006 1.00062900000004 0.997025000000048 0.006645 0.661043000000013
"90" 89 1.06750260218289 0.0868369999999999 0.0498569999999999 0.80227000000002 0.005706 0.864468000000026 0.253278000000004 0.725133000000015 0.150054000000001 0.207742000000004 0 0.209493000000003 0.640070000000007 1.00056900000004 0.997095000000042 0.007415 0.668982000000013
"91" 90 1.06844307197545 0.0884399999999997 0.0547889999999999 0.805823000000031 0.00667100000000001 0.86874000000004 0.266417000000002 0.735758000000025 0.157106000000001 0.209411000000003 0 0.218761000000004 0.642265000000011 1.00063700000005 0.997343000000053 0.009942 0.679589000000017
"92" 91 1.06940467074029 0.0870019999999998 0.0590089999999999 0.804505000000027 0.005705 0.874330000000033 0.275481999999999 0.74437100000002 0.163896000000001 0.217665000000003 0 0.222258000000003 0.639813000000011 1.00057800000004 0.996967000000047 0.00987899999999999 0.68863200000001
"93" 92 1.07057246064078 0.0905769999999999 0.064092 0.803573000000024 0.005979 0.87743000000003 0.276245000000001 0.750767000000021 0.168850000000002 0.225924000000003 0 0.228749000000003 0.632718000000006 1.00057900000004 0.996864000000043 0.00945199999999999 0.688622000000018
"94" 93 1.07119446324045 0.0935849999999999 0.0711729999999999 0.80449500000002 0.00657100000000001 0.882734000000027 0.283752999999999 0.761026000000015 0.177488000000002 0.231588000000004 0 0.235858000000004 0.632004 1.00058800000004 0.996919000000044 0.010332 0.699148000000013
"95" 94 1.07187467172465 0.0936699999999997 0.0752399999999998 0.801360000000025 0.00758000000000001 0.886740000000031 0.298703999999996 0.767791000000021 0.188940000000003 0.244859000000004 0 0.240057000000004 0.629930000000007 1.00052000000004 0.997109000000042 0.010912 0.703389000000017
