"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000466 0 0 0 0 0 0 0 0 0 0 0.169424 0 0 0 0
"2" 1 1.000002 0.001742 0 0 0 0 0 0 0 0 0 0 0.126738 0 0 0 0
"3" 2 1.000009000014 0.001978 0 0 0 5.4e-05 0 0 0 0 0 0 0.117692 0.001054 0.001056 0 0
"4" 3 1.000014000059 0.003174 0 0.000176 0 0 0 0 0 0 0 0 0.129575 0.004092 0.004045 0 0
"5" 4 1.000019000129 0.003986 0 0.000524 0 0.000165 0 0 0 0 0 0 0.144967 0.012593 0.012579 0 0
"6" 5 1.000024000224 0.004811 0 0.000687 0 0.000772 0 0 0 0 0 0 0.160639 0.023783 0.023745 0 0
"7" 6 1.00004700077601 0.005717 0 0.001828 0 0.001403 0 0 0 0 0 0 0.175091 0.043307 0.043373 0 0
"8" 7 1.00006800176302 0.007637 0 0.004336 0 0.003018 0 0 0 0 0 0 0.192107 0.0699019999999999 0.0698789999999999 0 0
"9" 8 1.00008300278305 0.00874 0 0.006646 0 0.006053 0 0 0 0 0 0 0.212988 0.10242 0.102462 0 0
"10" 9 1.00011000502413 0.009321 0 0.009778 0 0.00918 0 0 0 0 0 0 0.229092 0.141006 0.140926 0 0
"11" 10 1.00014600898431 0.011175 0 0.014497 0 0.013558 0 0 0 0 0 0 0.250357 0.176522000000001 0.176566000000001 0 0
"12" 11 1.0002120186209 0.011407 0 0.018372 0 0.020316 0 5e-05 0 0 0 0 0.268291999999999 0.215509000000001 0.215538000000001 0 0
"13" 12 1.00026102900982 0.012783 0 0.024806 0 0.0260870000000001 0 0 0 0 0 0 0.283812999999999 0.261211 0.261098 0 0
"14" 13 1.00035505354655 0.013155 0 0.032797 0 0.0335960000000001 0 2.9e-05 0 0 0 0 0.302794999999998 0.305247999999997 0.305199999999997 0 0
