"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000228 0 0 0 0 0 0 0 0 0 0 0.165109 0 0 0 0
"2" 1 0.999999 0.001623 0 0 0 0 0 0 0 0 0 0 0.121279 0 0 0 0
"3" 2 0.999998000001 0.003287 0 8.2e-05 0 3.4e-05 0 0 0 0 0 0 0.117845 0.000756 0.00076 0 0
"4" 3 0.999995000007 0.003836 0 0.000191 0 3.4e-05 0 0 0 0 0 0 0.12305 0.003916 0.003925 0 0
"5" 4 0.999999999982 0.004508 0 0.000151 0 0.000179 0 0 0 0 0 0 0.137392 0.010234 0.010202 0 0
"6" 5 0.999997999982 0.004521 0 0.000913 0 0.000897 0 0 0 0 0 0 0.153576 0.024303 0.024323 0 0
"7" 6 1.000007999962 0.005545 0 0.001513 0 0.001718 0 0 0 0 0 0 0.168026 0.045267 0.0452199999999999 0 0
"8" 7 1.000017000034 0.007149 0 0.003329 0 0.002552 0 0 0 0 0 0 0.185102 0.0721969999999999 0.0721689999999999 0 0
"9" 8 1.00003000025501 0.008618 0 0.005503 0 0.004192 0 0 0 0 0 0 0.204542 0.101283 0.101158 0 0
"10" 9 1.00006700136502 0.010961 0 0.009956 0 0.007831 0 6e-06 0 0 0 0 0.222801 0.142028 0.142015 0 0
"11" 10 1.00011300444708 0.010397 0 0.015662 0 0.01168 0 0 0 0 0 0 0.237615000000001 0.181212 0.181088 0 0
"12" 11 1.00015900964529 0.011537 0 0.020115 0 0.017509 0 0 0 0 0 0 0.251851 0.221969 0.222089 0 0
"13" 12 1.00021901918588 0.011673 0 0.026581 0 0.023754 0 0 0 0 0 0 0.265305999999999 0.259516 0.259551 0 0
"14" 13 1.00031604043074 0.012852 0 0.032104 0 0.0316650000000001 0 0.000144 0 0 0 0 0.280231999999999 0.303063999999999 0.302896999999999 0 0
"15" 14 1.00042507487915 0.013542 0 0.040266 0 0.04219 0 0.000173 0 0 0 0 0.296759999999999 0.353711999999996 0.353361999999996 0 0
"16" 15 1.00059014501652 0.013846 0 0.0518349999999999 0 0.0527609999999999 0 0.000561 0 0 0 0 0.313561999999999 0.398288999999995 0.397588999999995 0 0
"17" 16 1.00077225242291 0.015948 0 0.0642429999999997 0 0.0602549999999999 1.3e-05 0.000621 0 0 0 0 0.322513999999999 0.443908999999996 0.443289999999996 0 0
"18" 17 1.0009914215462 0.016394 0 0.0747979999999997 0 0.0683049999999999 0 0.001051 0 0 0 0 0.332190999999996 0.491069999999991 0.490108999999991 0 0
"19" 18 1.00123065849597 0.019953 0 0.0863039999999994 0 0.0813099999999996 0 0.002305 0 0 0 0 0.344462999999995 0.535510999999999 0.534036999999998 0 0
"20" 19 1.00150499569642 0.020052 0 0.100927999999999 0 0.0947469999999994 0 0.00305 0 0 0 0 0.353970999999996 0.574982000000005 0.573328000000005 0 0
"21" 20 1.00183248783004 0.021556 0 0.119494999999999 0 0.109912999999999 0 0.003898 0 0 0 0 0.363039999999995 0.61637900000001 0.61435300000001 0 0
"22" 21 1.00221919517037 0.024108 0 0.13757 0 0.123590999999999 0 0.005513 0 0 0 0 0.369806999999995 0.649906000000009 0.646944000000009 0 0
"23" 22 1.0026782115618 0.026619 0 0.155127000000001 0 0.137747 6.7e-05 0.007138 0 0 0 0 0.381493999999995 0.678232000000019 0.675268000000018 0 0
"24" 23 1.00329886937479 0.026526 0 0.178307000000002 0 0.155004000000001 0 0.007833 0 0 0 0 0.392309999999994 0.704635000000023 0.701257000000024 0 0
"25" 24 1.00393696745575 0.02726 0 0.192136000000002 0 0.171328000000002 2.4e-05 0.009693 0 0 0 0 0.402390999999995 0.732369000000018 0.728030000000017 0 0
"26" 25 1.00466582569416 0.027138 0 0.212795000000004 0 0.185651000000003 0 0.012643 0 0 0 0 0.40371999999999 0.759740000000035 0.755314000000035 0 0
"27" 26 1.00539119442037 0.0297340000000001 0 0.226840000000005 0 0.202682000000004 6.5e-05 0.016923 0 0 0 0 0.41840499999999 0.785857000000028 0.780469000000027 0 4e-06
"28" 27 1.00619450198475 0.0295650000000001 0 0.243732000000006 0 0.217429000000006 0.000132 0.020117 0 0 0 0 0.43265899999999 0.809386000000033 0.802667000000032 0 6.4e-05
"29" 28 1.00703165581045 0.0295280000000001 0 0.259384000000005 0 0.235231000000007 8.3e-05 0.0273680000000001 0 0 0 0 0.436417999999989 0.830426000000039 0.822904000000039 0 0.000218
"30" 29 1.0079772585353 0.029814 0 0.283628000000001 0 0.253689000000007 0.000164 0.032979 0 0 0 0 0.447532999999983 0.851876000000041 0.84384300000004 0 0.000467
"31" 30 1.00904067454311 0.0312080000000001 0 0.300952999999999 0 0.278952000000001 0.000766 0.037093 4.5e-05 0 0 0 0.467226999999984 0.866536000000051 0.857533000000049 0 0.001017
"32" 31 1.01001137167207 0.0319300000000001 0 0.313903999999999 0 0.303645999999999 0.000971 0.0439659999999999 0 0 0 0 0.479178999999984 0.878828000000038 0.868674000000038 0 0.00168
"33" 32 1.01109814390805 0.032311 0 0.334479999999996 0 0.329030999999996 0.001048 0.0544869999999999 0 0 0 0 0.488606999999984 0.897980000000047 0.885719000000047 0 0.002441
"34" 33 1.01221338516083 0.0310070000000001 0 0.349407999999996 0 0.343241999999995 0.001196 0.0627659999999998 0 0 0 0 0.490820999999985 0.910321000000052 0.899090000000051 0 0.003653
"35" 34 1.01332985652472 0.0310630000000001 0 0.371640999999991 0 0.360714999999995 0.001601 0.0699549999999998 0 0 0 5e-06 0.491730999999981 0.921136000000054 0.907876000000053 0 0.005316
"36" 35 1.01444553269682 0.0340390000000001 0 0.390504999999992 0 0.382090999999991 0.002143 0.0825629999999996 0 0 0 0 0.49318899999998 0.930983000000062 0.917635000000061 0 0.00720200000000001
"37" 36 1.01565373732633 0.0356270000000001 0 0.405716999999988 0 0.404108999999988 0.002793 0.0916219999999993 0 9e-06 0 0 0.496760999999983 0.939806000000058 0.926410000000058 0 0.010151
"38" 37 1.01681666085564 0.0364640000000001 0 0.414456999999989 0 0.414562999999986 0.003726 0.103530999999999 6.7e-05 6.7e-05 0 0 0.501345999999977 0.945560000000064 0.931911000000063 4.6e-05 0.012561
"39" 38 1.01790973876613 0.038578 0 0.433690999999985 0 0.425357999999984 0.00381 0.118276999999999 6.7e-05 6.7e-05 0 0 0.506240999999983 0.95409000000005 0.938958000000051 0 0.016377
"40" 39 1.01916176774486 0.039859 0 0.448691999999983 0 0.444252999999982 0.004941 0.133823 0 0.00015 0 0 0.503433999999979 0.960631000000063 0.945705000000065 0 0.022
"41" 40 1.0203980109692 0.0387550000000001 0 0.461158999999981 0 0.464426999999981 0.00598400000000001 0.149635000000001 0 0.000429 0 4.5e-05 0.50335099999998 0.96529800000006 0.951114000000059 0 0.0276880000000001
"42" 41 1.02144595972653 0.036797 0 0.47596799999998 0 0.483628999999976 0.00799000000000001 0.164597000000002 0.000291 0.000428 0 0.000378 0.510814999999984 0.971546000000058 0.956277000000057 0 0.037007
"43" 42 1.02262879414796 0.03503 0 0.491365999999981 0 0.502444999999976 0.00961500000000001 0.183039000000004 0.000302 0.001117 0 0.000677 0.513507999999985 0.974315000000064 0.959146000000062 0 0.046708
"44" 43 1.02386208447377 0.035601 0 0.504745999999978 0 0.516350999999979 0.013124 0.195983000000003 0.000368 0.001489 0 0.001531 0.514780999999982 0.977603000000057 0.963214000000056 0 0.0609119999999997
"45" 44 1.02501700090512 0.038641 0 0.519878999999982 0 0.538333999999982 0.015416 0.210952000000004 0.00059 0.00171 0 0.001832 0.516775999999981 0.981600000000061 0.967057000000062 0 0.0702759999999997
"46" 45 1.02621319574524 0.0410030000000001 0 0.53819799999999 0 0.55431999999999 0.019532 0.225772000000005 0.000931 0.002365 0 0.00236 0.523644999999987 0.984890000000063 0.971584000000064 0 0.0817169999999995
"47" 46 1.02727122155012 0.042627 0 0.551045999999992 0 0.56977899999999 0.023957 0.241516000000005 0.001257 0.003695 0 0.002413 0.526426999999985 0.986473000000056 0.973490000000057 4.5e-05 0.0933329999999995
"48" 47 1.02852243789802 0.040952 6.7e-05 0.56026499999999 0 0.585543999999992 0.025144 0.255428000000004 0.001498 0.004481 0 0.003677 0.531910999999985 0.987207000000068 0.974434000000067 0.000133 0.101118999999999
"49" 48 1.02953347545455 0.041261 3.6e-05 0.570336999999992 3.9e-05 0.601418999999999 0.0278370000000001 0.276808000000002 0.00221 0.004651 0 0.004847 0.531262999999986 0.989407000000064 0.977312000000064 0.000191 0.120619999999999
"50" 49 1.03062272187165 0.041849 6.8e-05 0.589278999999995 6.6e-05 0.612062999999993 0.032325 0.292746999999999 0.003658 0.00654800000000001 0 0.00664500000000001 0.540331999999987 0.991316000000056 0.979477000000055 0.000201 0.138234
"51" 50 1.03174610063855 0.040175 9e-05 0.604011 0.000133 0.620982000000002 0.0344030000000001 0.310039999999997 0.004264 0.00767600000000001 0 0.007636 0.54077599999999 0.99272600000005 0.979813000000053 0.000401 0.148719000000001
"52" 51 1.03298832294377 0.042808 0.000218 0.615022000000004 6.7e-05 0.633992000000004 0.038058 0.328510999999994 0.006035 0.00891500000000001 0 0.00752400000000001 0.544784999999989 0.99427500000006 0.981945000000061 0.00021 0.156299000000001
"53" 52 1.03424340375621 0.042053 0.000189 0.623694000000001 6.7e-05 0.648926000000007 0.042601 0.344808999999991 0.006838 0.00845 0 0.008939 0.556375999999991 0.995107000000063 0.983584000000065 0.000305 0.169668000000002
"54" 53 1.03525385956174 0.041528 0.000333 0.633402000000008 5.9e-05 0.659366000000009 0.0482989999999999 0.362869999999991 0.00949599999999999 0.01006 0 0.010386 0.557427999999996 0.996383000000061 0.986099000000062 0.000266 0.189635000000003
"55" 54 1.03626426732874 0.043791 0.000657 0.644029000000008 0.000147 0.667938000000009 0.054404 0.378551999999991 0.011302 0.011801 0 0.013684 0.566897999999997 0.99716800000006 0.986680000000062 0.000458 0.212634000000004
"56" 55 1.03717514361978 0.042975 0.001049 0.655569000000011 0.000134 0.673597000000013 0.0596149999999999 0.396746999999986 0.012929 0.015953 0 0.01771 0.568356999999996 0.99737400000006 0.986870000000062 0.000533 0.233848000000005
