"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000341 0 0 0 0 0 0 0 0 0 0 0.170644 0 0 0 0
"2" 1 1 0.001733 0 0 0 0 0 0 0 0 0 0 0.124893 1.8e-05 1.4e-05 0 0
"3" 2 0.999995 0.003192 0 0 0 0 0 0 0 0 0 0 0.121873 0.000526 0.000517 0 0
"4" 3 0.999994000004999 0.004886 0 2e-05 0 0 0 0 0 0 0 0 0.12929 0.002944 0.00294 0 0
"5" 4 0.999992000016999 0.005454 0 0.000176 0 0.000263 0 0 0 0 0 0 0.142357 0.010154 0.010132 0 0
"6" 5 0.999994999993 0.006336 0 0.000787 0 0.001086 0 0 0 0 0 0 0.158766 0.022214 0.022241 0 0
"7" 6 0.999997999978001 0.006925 0 0.002217 0 0.002546 0 0 0 0 0 0 0.176108 0.037686 0.037668 0 0
"8" 7 1.000022999928 0.008651 0 0.00335 0 0.003955 0 0 0 0 0 0 0.195746 0.061428 0.061446 0 0
"9" 8 1.000039000296 0.008585 0 0.005334 0 0.006511 0 0 0 0 0 0 0.212843 0.0918839999999998 0.0919459999999999 0 0
"10" 9 1.00007100154401 0.01153 0 0.009144 0 0.009958 0 0 0 0 0 0 0.232973 0.129303 0.129397 0 0
"11" 10 1.0001250053781 0.011732 0 0.013227 0 0.014548 0 3.7e-05 0 0 0 0 0.25238 0.168072 0.167998 0 0
"12" 11 1.00017301137836 0.014716 0 0.018624 0 0.019189 0 6.7e-05 0 0 0 0 0.26682 0.209853000000001 0.209760000000001 0 0
"13" 12 1.00023802262411 0.017255 0 0.0248660000000001 0 0.025928 0 0.000134 0 0 0 0 0.271127999999999 0.252833000000001 0.252710000000001 0 0
"14" 13 1.00031504095186 0.018041 0 0.033913 0 0.033488 0 0.000134 0 0 0 0 0.280840999999999 0.299615999999999 0.299492999999999 0 0
"15" 14 1.00043507875678 0.018872 0 0.041167 0 0.041785 0 0.000401 0 0 0 0 0.290050999999998 0.345399999999997 0.345131999999997 0 0
"16" 15 1.00057914140813 0.019505 0 0.0521229999999999 0 0.0511939999999999 0 0.000156 0 0 0 0 0.308625999999999 0.391457999999997 0.391000999999998 0 0
"17" 16 1.00078225897385 0.021125 0 0.0615279999999999 0 0.0662499999999999 0 0.000442 0 0 0 0 0.319014999999999 0.434141999999996 0.433352999999996 0 0
"18" 17 1.00099142246599 0.022583 0 0.0770389999999996 0 0.0815119999999996 0 0.001748 0 0 0 0 0.329653999999997 0.48010099999999 0.479375999999991 0 0
"19" 18 1.00126469312434 0.022814 0 0.0886369999999996 0 0.0923579999999996 0 0.002557 0 0 0 0 0.339257999999997 0.518692 0.517460999999999 0 0
"20" 19 1.00157208138515 0.022909 0 0.101750999999999 0 0.105830999999999 0 0.002993 0 0 0 0 0.345838999999997 0.562055000000005 0.560094000000005 0 0
"21" 20 1.00191662218117 0.023266 0 0.115831999999999 0 0.119628999999999 0 0.00362 0 0 0 0 0.363440999999995 0.60251100000001 0.60024800000001 0 0
"22" 21 1.00238952682687 0.024546 0 0.134977 0 0.137999 0 0.005751 0 0 0 0 0.368544999999994 0.64303800000001 0.63969500000001 0 0
"23" 22 1.00283158060824 0.028559 0 0.156246000000001 0 0.154624000000001 2.1e-05 0.00700400000000001 0 0 0 0 0.379756999999994 0.686287000000014 0.682125000000013 0 0
"24" 23 1.00336709267232 0.029379 0 0.177109000000003 0 0.171027000000002 0 0.00835700000000001 0 0 0 0 0.389670999999992 0.719246000000029 0.713722000000028 0 0
"25" 24 1.00400222404202 0.0310920000000001 0 0.192299000000002 0 0.186653000000003 8.5e-05 0.01133 0 0 0 0 0.397712999999993 0.746942000000019 0.740016000000019 0 0
"26" 25 1.00469900158554 0.0301000000000001 0 0.212950000000004 0 0.202835000000004 8.5e-05 0.015648 0 0 0 0 0.407361999999991 0.773678000000038 0.765786000000037 0 0
"27" 26 1.00541635667271 0.029287 0 0.234856000000006 0 0.218797000000005 6.6e-05 0.020859 0 0 0 0 0.422179999999987 0.793920000000036 0.786891000000034 0 0
"28" 27 1.00625185766516 0.0300800000000001 0 0.253159000000007 0 0.229019000000006 0.000179 0.024841 0 0 0 0 0.431797999999991 0.812654000000037 0.804096000000037 0 7.7e-05
"29" 28 1.00713434054438 0.0324900000000001 0 0.265323000000004 0 0.253235000000006 0.000586 0.0289410000000001 0 0 0 0 0.438740999999986 0.830877000000051 0.82185900000005 0 0.000268
"30" 29 1.00812737500422 0.035379 0 0.282841000000002 0 0.274286000000002 0.001055 0.033788 0 0 0 0 0.444198999999989 0.849428000000051 0.840655000000049 0 0.000471
"31" 30 1.00913146986978 0.0338050000000001 0 0.29841 0 0.290076000000001 0.001396 0.039905 0 0 0 0 0.457109999999984 0.86600200000005 0.85680600000005 0 0.001239
"32" 31 1.01016078396911 0.034434 0 0.318882999999997 0 0.303748 0.001805 0.0467369999999999 0 0 0 0 0.458087999999984 0.878560000000049 0.868578000000047 0 0.001716
