"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000322 0 0 0 0 0 0 0 0 0 0 0.166514 0 0 0 0
"2" 1 1.000004 0.000917 0 0 0 0 0 0 0 0 0 0 0.124702 4.6e-05 4.4e-05 0 0
"3" 2 1.000007000012 0.001901 0 4.3e-05 0 6.7e-05 0 0 0 0 0 0 0.119377 0.001329 0.001363 0 0
"4" 3 1.000010000033 0.00292 0 0.000292 0 0.000202 0 0 0 0 0 0 0.127258 0.004053 0.004073 0 0
"5" 4 1.000005999993 0.003779 0 0.000654 0 0.000175 0 0 0 0 0 0 0.138719 0.011663 0.011672 0 0
"6" 5 0.999999999957 0.00532 0 0.000991 0 0.000583 0 0 0 0 0 0 0.155254 0.021734 0.021714 0 0
"7" 6 1.000007999957 0.006174 0 0.002006 0 0.001756 0 0 0 0 0 0 0.169964 0.039278 0.039278 0 0
"8" 7 1.000016000021 0.006081 0 0.003378 0 0.002784 0 0 0 0 0 0 0.180846 0.064517 0.064594 0 0
"9" 8 1.000029000229 0.006795 0 0.004682 0 0.005211 0 0 0 0 0 0 0.199705 0.0964739999999997 0.0965109999999997 0 0
"10" 9 1.00005800107001 0.0078 0 0.007949 0 0.009636 0 0 0 0 0 0 0.212544 0.136022 0.136018 0 0
"11" 10 1.00010200362206 0.009075 0 0.012277 0 0.014263 0 0 0 0 0 0 0.222416 0.174828000000001 0.174954000000001 0 0
"12" 11 1.00015200872225 0.009641 0 0.018622 0 0.019904 0 5.2e-05 0 0 0 0 0.240145000000001 0.217378000000001 0.217377000000001 0 0
"13" 12 1.00024702316308 0.010982 0 0.025255 0 0.027349 0 6.6e-05 0 0 0 0 0.252886 0.261203999999999 0.260934999999999 0 0
"14" 13 1.00031503996067 0.012413 0 0.034714 0 0.036574 0 0.000191 0 0 0 0 0.265165999999999 0.301445999999998 0.301154999999999 0 0
"15" 14 1.00042107335491 0.013106 0 0.0480439999999999 0 0.043589 0 0.000234 0 0 0 0 0.277536999999999 0.351028999999997 0.351051999999997 0 0
"16" 15 1.0005571306209 0.01422 0 0.0539519999999999 0 0.0537819999999999 0 0.000176 0 0 0 0 0.292801999999999 0.399511999999995 0.399259999999996 0 0
"17" 16 1.00078425708956 0.015547 0 0.0652559999999998 0 0.0684559999999999 0 0.000391 0 0 0 0 0.301228999999998 0.445257999999993 0.443992999999993 0 0
"18" 17 1.00103945707513 0.015923 0 0.0814979999999995 0 0.0804179999999997 0 0.000507 0 0 0 0 0.309916999999997 0.488821999999992 0.487285999999992 0 0
"19" 18 1.00130072837344 0.015036 0 0.0926519999999994 0 0.0985159999999993 0 0.000833 0 0 0 0 0.319180999999997 0.526815999999999 0.524363999999998 0 0
"20" 19 1.0015881016825 0.015708 0 0.105622999999999 0 0.114958999999999 0 0.002302 0 0 0 0 0.330720999999996 0.568618000000002 0.565455000000001 0 0
"21" 20 1.00197070833738 0.015937 0 0.120413999999999 0 0.127993999999999 0 0.003917 0 0 0 0 0.341072999999996 0.606012000000008 0.601685000000007 0 0
"22" 21 1.0024506523067 0.018112 0 0.136207 0 0.144569 6.3e-05 0.005342 0 0 0 0 0.354635999999995 0.636726000000008 0.631541000000008 0 0
"23" 22 1.00291478695875 0.019581 0 0.151688000000001 0 0.158366000000001 0.000144 0.00770100000000001 0 0 0 0 0.367900999999994 0.669584000000019 0.664341000000019 0 0
"24" 23 1.00350450085352 0.019977 0 0.169612000000001 0 0.179717000000003 0.000198 0.008719 0 0 0 0 0.377798999999997 0.70080000000002 0.695002000000019 0 0
"25" 24 1.00411964911257 0.019654 0 0.181786000000003 0 0.194461000000005 0.000402 0.010255 0 0 0 0 0.385978999999993 0.719891000000031 0.713274000000029 0 4.6e-05
"26" 25 1.00480847519191 0.019115 0 0.201755000000003 0 0.211466000000004 0.00026 0.014612 0 0 0 0 0.400571999999989 0.749964000000035 0.742305000000034 0 6.7e-05
"27" 26 1.00558519214329 0.01867 0 0.217404000000005 0 0.221303000000005 0.000268 0.018209 0 0 0 0 0.412271999999986 0.774729000000035 0.767439000000033 0 0.000134
"28" 27 1.00636653183764 0.019856 0 0.238030000000006 0 0.235957000000006 0.000526 0.022617 0 0 0 0 0.425465999999989 0.791470000000035 0.784866000000034 0 0.000257
"29" 28 1.00722697522241 0.019976 0 0.251294000000006 0 0.260842000000006 0.000803 0.0294620000000001 0 0 0 0 0.437485999999988 0.815937000000034 0.807496000000034 0 0.000267
"30" 29 1.00814758067782 0.02009 0 0.272949000000004 0 0.285752000000002 0.000979 0.034275 0 0 0 0 0.44930899999999 0.835304000000036 0.824992000000036 0 0.000387
"31" 30 1.00908011719 0.020946 0 0.29332 0 0.308802999999998 0.001512 0.0389340000000001 0 0 0 0 0.459191999999984 0.858156000000049 0.847671000000049 0 0.000262
"32" 31 1.01005892490374 0.022359 0 0.316536999999995 0 0.331877999999996 0.001825 0.0472599999999999 0 0 0 0 0.469326999999983 0.876883000000054 0.865475000000053 0 0.000496
"33" 32 1.01117099978012 0.021275 0 0.334326999999996 0 0.352607999999993 0.00184 0.054489 0 0 0 0 0.472175999999984 0.888037000000054 0.875370000000054 0 0.000926
"34" 33 1.01225800860494 0.021723 0 0.343223999999993 0 0.37260299999999 0.002415 0.0655709999999997 0 0 0 0 0.48140399999998 0.900784000000056 0.887098000000055 0 0.001753
"35" 34 1.01341299499282 0.023885 0 0.356152999999991 0 0.391718999999987 0.003463 0.0803779999999995 0 6.7e-05 0 0 0.492650999999981 0.913450000000051 0.89844500000005 0 0.002449
"36" 35 1.01457740652413 0.0233390000000001 0 0.373460999999992 0 0.406332999999987 0.003569 0.0961989999999995 0 0 0 0 0.49979599999998 0.918692000000055 0.904111000000055 0 0.004616
"37" 36 1.01565691688474 0.024321 0 0.393485999999992 0 0.415774999999988 0.003606 0.108085999999999 6.7e-05 0 0 0.000175 0.511722999999983 0.928944000000061 0.91383400000006 0 0.006011
"38" 37 1.01684117284989 0.0237060000000001 0 0.414691999999985 0 0.426842999999985 0.003031 0.120804999999999 6.7e-05 0.000115 0 0.000134 0.514820999999981 0.938379000000061 0.923145000000061 0 0.006954
"39" 38 1.01807765171615 0.023189 0 0.429177999999984 0 0.439527999999982 0.004205 0.130910999999999 1e-06 0.000299 0 0.000201 0.525208999999981 0.94711700000006 0.932631000000058 0 0.010291
"40" 39 1.01924640486038 0.023195 0 0.445451999999984 0 0.45098699999998 0.005161 0.144522 0 0.000394 0 0.000134 0.533819999999987 0.953217000000061 0.93955300000006 0 0.013641
"41" 40 1.02025953578688 0.025049 0 0.461714999999981 0 0.469661999999978 0.006751 0.161350000000001 9.2e-05 0.000634 0 2.7e-05 0.542725999999994 0.96087500000006 0.947148000000059 0 0.020708
"42" 41 1.02147670541314 0.0262680000000001 0 0.474780999999978 0 0.480837999999978 0.00872 0.179860000000002 0.00025 0.000633 0 0.00016 0.550343999999991 0.968230000000062 0.955254000000062 0 0.0286550000000001
"43" 42 1.02275252981827 0.0268 0 0.494726999999979 0 0.492521999999976 0.009599 0.200634000000003 0.000542 0.000574 0 0.000378 0.550738999999989 0.971442000000063 0.95849900000006 0 0.038405
"44" 43 1.02392358146497 0.0285900000000001 0 0.502969999999978 0 0.509321999999981 0.011976 0.214416000000004 0.000779 0.000764 0 0.000617 0.55362399999999 0.974906000000063 0.961654000000063 0 0.0458159999999999
"45" 44 1.02508061511209 0.029054 0 0.511274999999979 0 0.530049999999985 0.014116 0.227930000000004 0.00127 0.001736 0 0.000957 0.553937999999993 0.976955000000063 0.962632000000061 0 0.054277
"46" 45 1.02624613177154 0.0304840000000001 0 0.527293999999986 0 0.546405999999989 0.016648 0.246029000000006 0.002075 0.002699 0 0.001485 0.552996999999991 0.981878000000063 0.969163000000063 0 0.0659589999999999
"47" 46 1.02738629122401 0.032485 0 0.535922999999985 0 0.563810999999989 0.017688 0.260894000000003 0.002185 0.002997 0 0.001939 0.552827999999988 0.984306000000061 0.971604000000062 5.4e-05 0.0794269999999995
"48" 47 1.02847634807906 0.034628 0 0.55578099999999 0 0.567822999999992 0.019479 0.275445 0.002894 0.003541 0 0.003504 0.553407999999993 0.986544000000058 0.974667000000061 0 0.0950789999999993
"49" 48 1.02953773567034 0.0339350000000001 0 0.579566999999997 0 0.576864999999995 0.020082 0.288761999999998 0.003464 0.003667 0 0.004686 0.554904999999992 0.988651000000061 0.978432000000065 0 0.114731999999999
"50" 49 1.03058271647211 0.034417 0 0.598721 0 0.587697999999994 0.025366 0.305919999999996 0.003521 0.004215 0 0.006245 0.55867999999999 0.991062000000059 0.979353000000059 7.2e-05 0.131316
"51" 50 1.03175551960352 0.036921 0 0.614824000000002 6.6e-05 0.599816999999997 0.0273470000000001 0.321750999999994 0.004382 0.005491 0 0.00785100000000001 0.565728999999993 0.992095000000055 0.981612000000058 6.6e-05 0.147706
"52" 51 1.03277695756798 0.0393660000000001 0 0.624186999999999 0.000188 0.613197000000002 0.0299140000000001 0.334907999999994 0.00661500000000001 0.008166 0 0.00939 0.576326999999998 0.99234700000006 0.982530000000061 0.000133 0.166102000000002
"53" 52 1.03382212784911 0.041452 0 0.635625000000008 0.000307 0.627753000000003 0.033209 0.348281999999994 0.00693900000000001 0.01108 0 0.0121 0.576350999999995 0.993612000000059 0.984491000000062 0.000154 0.183908000000002
"54" 53 1.03480012358211 0.042855 8.1e-05 0.64752400000001 0.000316 0.639684000000008 0.038825 0.366279999999989 0.00863200000000001 0.01195 0 0.01367 0.577925999999997 0.994193000000059 0.98495200000006 0.000333 0.199925000000004
"55" 54 1.03578007929921 0.0418069999999999 0.000201 0.661008000000008 0.000484 0.646855000000005 0.041406 0.382857999999989 0.01066 0.013596 0 0.016933 0.580134999999992 0.994682000000054 0.986522000000055 0.000222 0.221567000000004
"56" 55 1.03699297777212 0.041513 0.000592 0.664711000000012 0.000267 0.654982000000009 0.0477480000000001 0.394002999999987 0.012257 0.017264 0 0.020036 0.577434999999995 0.99566200000006 0.987497000000061 0.000321 0.240681000000005
"57" 56 1.03796360319938 0.043457 0.000736 0.67279200000001 0.000396 0.673703000000011 0.050564 0.411560999999989 0.013422 0.019561 0 0.022255 0.578235999999996 0.996192000000053 0.988928000000055 0.000652 0.260591000000004
"58" 57 1.03911574279898 0.0469139999999999 0.000422 0.679472000000017 0.000883 0.683798000000014 0.0513429999999998 0.422503999999988 0.015466 0.02444 0 0.024524 0.586401999999996 0.99682100000006 0.989392000000061 0.000602 0.280875
"59" 58 1.04023902691701 0.0490039999999999 0.000668 0.684501000000015 0.001092 0.701200000000015 0.0561599999999999 0.441870999999985 0.016507 0.0279080000000001 0 0.028136 0.588259 0.99756000000006 0.991316000000063 0.000762 0.303816999999998
"60" 59 1.04118044323643 0.0508039999999999 0.000868 0.696153000000017 0.000758 0.706757000000018 0.0624119999999998 0.454108999999984 0.01734 0.0319870000000001 0 0.028444 0.590022999999999 0.997683000000055 0.990685000000057 0.000797 0.332777999999994
"61" 60 1.04222787076239 0.0534919999999999 0.001373 0.703582000000015 0.001254 0.706729000000014 0.0660459999999999 0.46388799999998 0.020047 0.035534 0 0.0313500000000001 0.596266999999998 0.998212000000054 0.991995000000058 0.000668 0.352709999999992
"62" 61 1.04312731341491 0.0540409999999999 0.001619 0.711541000000017 0.001368 0.71617300000002 0.0668049999999998 0.480592999999982 0.020598 0.040102 0 0.034272 0.601029000000003 0.998064000000052 0.991894000000054 0.000747 0.371518999999992
"63" 62 1.04425389091345 0.0521689999999999 0.00213 0.70891700000002 0.001586 0.725707000000018 0.0706919999999998 0.497715999999979 0.0243480000000001 0.043834 0 0.03966 0.601422000000002 0.998029000000056 0.992183000000059 0.001378 0.38541599999999
"64" 63 1.04534826899119 0.0509899999999999 0.002487 0.722065000000015 0.001401 0.734633000000019 0.0741909999999998 0.515412999999983 0.0306580000000001 0.0496889999999999 0 0.041432 0.600541999999998 0.998326000000051 0.992865000000055 0.001138 0.398537999999987
"65" 64 1.04635807541909 0.0528439999999999 0.002186 0.722973000000014 0.001672 0.737502000000018 0.0814819999999997 0.524983999999986 0.0316900000000001 0.055054 0 0.044662 0.604518999999998 0.998961000000051 0.993517000000055 0.001201 0.422358999999987
"66" 65 1.0474923275729 0.0510149999999999 0.003662 0.72773000000002 0.002376 0.73921500000002 0.0874639999999996 0.530595999999991 0.036337 0.0572579999999999 0 0.049416 0.601064000000003 0.999430000000051 0.994918000000052 0.001305 0.438323999999985
"67" 66 1.04861628684044 0.0506899999999999 0.0046 0.731911000000017 0.003161 0.746889000000023 0.0923609999999996 0.537176999999989 0.041404 0.0658269999999997 0 0.050242 0.606833999999999 1.00029400000005 0.995925000000057 0.000869 0.456307999999984
"68" 67 1.04929579019436 0.052474 0.00532300000000001 0.74213400000002 0.00292 0.750948000000024 0.0941479999999994 0.553873999999994 0.0472089999999999 0.0732999999999997 0 0.0581549999999999 0.606593000000004 1.00020900000005 0.996104000000056 0.001068 0.472097999999983
"69" 68 1.05048359302892 0.0530609999999999 0.00645 0.74498200000003 0.002686 0.762781000000032 0.102475999999999 0.566162999999998 0.0483499999999999 0.0772279999999998 0 0.0631669999999998 0.602905000000002 1.00009700000006 0.995723000000063 0.001672 0.493895999999982
"70" 69 1.05116535688086 0.0563829999999999 0.006161 0.74984000000002 0.003768 0.773432000000025 0.109351 0.577810999999999 0.0511999999999998 0.0855019999999995 0 0.0692489999999997 0.606991000000002 1.00044900000005 0.996275000000051 0.00132 0.510573999999985
"71" 70 1.05229746197027 0.0559229999999999 0.00563400000000001 0.759238000000021 0.00362 0.779132000000022 0.115212999999999 0.588725999999996 0.0579069999999999 0.0955709999999993 0 0.0782459999999996 0.607729000000003 1.00062100000004 0.996770000000047 0.001703 0.521536999999982
