"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000633 0 0 0 0 0 0 0 0 0 0 0.166901 0 0 0 0
"2" 1 0.999999 0.001773 0 0 0 0 0 0 0 0 0 0 0.124206 1.4e-05 1.3e-05 0 0
"3" 2 0.999999 0.002941 0 0 0 0 0 0 0 0 0 0 0.124602 0.000545 0.000549 0 0
"4" 3 1.000000999998 0.004253 0 0.000143 0 0 0 0 0 0 0 0 0.132283 0.003186 0.003187 0 0
"5" 4 1.000001999999 0.005326 0 0.000342 0 0.000164 0 0 0 0 0 0 0.147034 0.011562 0.011591 0 0
"6" 5 1.000010000015 0.006029 0 0.001111 0 0.000813 0 0 0 0 0 0 0.164396 0.026107 0.026157 0 0
"7" 6 1.000016000075 0.006477 0 0.002654 0 0.001778 0 0 0 0 0 0 0.179607 0.044673 0.044655 0 0
"8" 7 1.000035000379 0.008196 0 0.004872 0 0.003432 0 0 0 0 0 0 0.200128 0.071105 0.071137 0 0
"9" 8 1.00005400104401 0.008631 0 0.007672 0 0.00664700000000001 0 0 0 0 0 0 0.219045 0.100903 0.100981 0 0
"10" 9 1.00009600331206 0.009068 0 0.01057 0 0.010102 0 0 0 0 0 0 0.233935 0.136996 0.136894 0 0
"11" 10 1.00015200868825 0.010799 0 0.016416 0 0.015615 0 6.7e-05 0 0 0 0 0.250841 0.170688000000001 0.170572000000001 0 0
"12" 11 1.00021001750476 0.011714 0 0.022431 0 0.020151 0 0.000155 0 0 0 0 0.270902 0.212172000000001 0.212194000000001 0 0
"13" 12 1.00030003640634 0.012486 0 0.0300130000000001 0 0.0284260000000001 0 0.000201 0 0 0 0 0.285735999999998 0.255877000000001 0.255803000000001 0 0
"14" 13 1.00040206701006 0.013283 0 0.036008 0 0.036496 0 0.000268 0 0 0 0 0.298628 0.302670999999999 0.302752999999999 0 0
"15" 14 1.00053812169118 0.014297 0 0.043564 0 0.045029 0 0.000556 0 0 0 0 0.309204999999998 0.348456999999996 0.348234999999996 0 0
"16" 15 1.00069920832878 0.014905 0 0.0553839999999999 0 0.0549089999999999 0 0.001136 0 0 0 0 0.322590999999999 0.394863999999995 0.394382999999996 0 0
"17" 16 1.00090335096729 0.015347 0 0.0670149999999997 0 0.065013 0 0.001203 0 0 0 0 0.333725999999999 0.441942999999996 0.440774999999996 0 0
"18" 17 1.00114556957824 0.016765 0 0.0771209999999998 0 0.0761569999999997 0 0.001289 0 0 0 0 0.341405999999997 0.478988999999994 0.477424999999994 0 0
"19" 18 1.00136381931243 0.018462 0 0.0882359999999993 0 0.0881129999999994 0 0.00179 0 0 0 0 0.352414999999996 0.518435999999997 0.516523999999996 0 0
"20" 19 1.00169026391755 0.018152 0 0.100081 0 0.104048 0 0.002831 0 0 0 0 0.359818999999997 0.554705000000002 0.551950000000001 0 0
"21" 20 1.0020779180497 0.020616 0 0.112774999999999 0 0.117369999999999 0 0.004085 0 0 0 0 0.375325999999998 0.595043000000001 0.591447000000002 0 0
"22" 21 1.00246772635985 0.019849 0 0.127858999999999 0 0.138703 6.6e-05 0.005206 0 0 0 0 0.384243999999993 0.631274000000012 0.626405000000011 0 0
"23" 22 1.00292685657856 0.019698 0 0.143216 0 0.153779000000001 0 0.00667800000000001 0 0 0 0 0.394154999999994 0.662737000000013 0.657046000000012 0 0
"24" 23 1.00344938147087 0.019919 0 0.154842000000001 0 0.173301000000002 0 0.00812200000000001 0 0 0 0 0.402105999999994 0.694670000000025 0.688293000000025 0 0
"25" 24 1.00400027518133 0.020172 0 0.173172000000002 0 0.189748000000003 6.7e-05 0.010673 0 0 0 0 0.408312999999992 0.721634000000022 0.714157000000022 0 0
"26" 25 1.0047472513861 0.021223 0 0.187092000000002 0 0.202506000000004 0.000133 0.013793 0 0 0 0 0.419836999999993 0.748039000000026 0.739439000000025 0 0
"27" 26 1.00550583556093 0.0218 0 0.209793000000005 0 0.214997000000006 0.000237 0.01676 0 0 0 0 0.42730299999999 0.767338000000031 0.75847800000003 0 0
"28" 27 1.00634442742783 0.021544 0 0.226698000000005 0 0.235953000000007 2e-04 0.020934 0 0 0 0 0.431367999999991 0.791316000000033 0.781781000000032 0 0
"29" 28 1.00723302955729 0.022719 0 0.240959000000007 0 0.255711000000005 0.000215 0.025554 0 0 0 0 0.435541999999989 0.811964000000043 0.801331000000042 0 0
"30" 29 1.00820803112995 0.023334 0 0.257910000000005 0 0.278390000000003 0.000646 0.029795 0 0 0 0 0.440056999999987 0.828306000000037 0.817531000000036 0 0
"31" 30 1.00915473847123 0.023939 0 0.274384000000002 0 0.291925000000001 0.000914 0.037138 0 0 0 0 0.447810999999988 0.850376000000047 0.839154000000046 0 0.000132
