"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000431 0 0 0 0 0 0 0 0 0 0 0.164783 0 0 0 0
"2" 1 0.999997 0.001282 0 0 0 0 0 0 0 0 0 0 0.123716 1e-06 4e-06 0 0
"3" 2 0.999996000003 0.002366 0 0 0 0 0 0 0 0 0 0 0.118096 0.000659 0.000651 0 0
"4" 3 0.999998999991 0.004066 0 8e-05 0 6.7e-05 0 0 0 0 0 0 0.126019 0.00361 0.003634 0 0
"5" 4 1.000005999984 0.004844 0 0.000359 0 0.000168 0 0 0 0 0 0 0.139236 0.010846 0.010865 0 0
"6" 5 1.000011000014 0.005016 0 0.00114 0 0.000418 0 0 0 0 0 0 0.151419 0.023265 0.023206 0 0
"7" 6 1.000015000058 0.00645 0 0.002647 0 0.001201 0 0 0 0 0 0 0.166378 0.042964 0.043054 0 0
"8" 7 1.000025000208 0.0078 0 0.003974 0 0.002166 0 0 0 0 0 0 0.183914 0.0681799999999999 0.0681979999999999 0 0
"9" 8 1.000037000508 0.007514 0 0.00609100000000001 0 0.00459 0 0 0 0 0 0 0.200226 0.100109 0.100061 0 0
"10" 9 1.00007600195103 0.00829 0 0.00955199999999999 0 0.008728 0 0 0 0 0 0 0.215904000000001 0.140376 0.14035 0 0
"11" 10 1.00009800362307 0.00904699999999999 0 0.013167 0 0.013882 0 0 0 0 0 0 0.228885 0.17297 0.172876 0 0
"12" 11 1.00014000773923 0.01029 0 0.017492 0 0.019301 0 0 0 0 0 0 0.244114000000001 0.209841000000001 0.209751000000001 0 0
"13" 12 1.00021201781979 0.011325 0 0.02317 0 0.024677 0 0 0 0 0 0 0.254890000000001 0.257320000000001 0.257266000000001 0 0
"14" 13 1.00029503541728 0.011022 0 0.0309640000000001 0 0.0337070000000001 0 0.000121 0 0 0 0 0.265751 0.308170999999998 0.308265999999998 0 0
"15" 14 1.00039906610097 0.014185 0 0.042162 0 0.040069 0 2e-04 0 0 0 0 0.277091999999999 0.359553999999997 0.359351999999997 0 0
"16" 15 1.00054512436463 0.013609 0 0.0525399999999999 0 0.0517979999999999 0 0.000381 0 0 0 0 0.283879 0.405647999999995 0.405502999999995 0 0
"17" 16 1.00073022521265 0.014675 0 0.0641719999999999 0 0.063222 0 0.000672 0 0 0 0 0.300092999999999 0.446129999999993 0.446021999999993 0 0
"18" 17 1.00094137929017 0.014848 0 0.0740339999999996 0 0.0746189999999998 0 0.00127 0 0 0 0 0.312168999999997 0.487943999999992 0.487621999999992 0 0
"19" 18 1.00121263440398 0.017755 0 0.0890819999999995 0 0.0903009999999996 0 0.001765 0 0 0 0 0.326221999999999 0.521677999999999 0.520981999999999 0 0
"20" 19 1.00152100789539 0.019118 0 0.0989849999999997 0 0.105482999999999 0 0.002631 0 0 0 0 0.338537999999999 0.550668000000002 0.549273000000002 0 0
"21" 20 1.00187855089523 0.017901 0 0.111697999999999 0 0.115139 0 0.003271 0 0 0 0 0.350771999999996 0.590472999999999 0.588536 0 0
"22" 21 1.00229833800809 0.018256 0 0.127234999999999 0 0.131567999999999 8.9e-05 0.004085 0 0 0 0 0.360445999999995 0.632724000000011 0.630300000000011 0 0
"23" 22 1.00280850786216 0.018402 0 0.146247000000001 0 0.145185000000001 6.7e-05 0.005345 0 0 0 0 0.363529999999993 0.658972000000012 0.656221000000012 0 0
"24" 23 1.00333598513734 0.017618 0 0.165822000000002 0 0.164753000000002 0 0.007255 0 0 0 0 0.378732999999996 0.694966000000021 0.690918000000022 0 0
"25" 24 1.00394300340838 0.018263 0 0.174527000000002 0 0.180459000000002 2.4e-05 0.010182 0 0 0 0 0.392346999999993 0.72275500000002 0.717433000000019 0 0
"26" 25 1.00459857818964 0.01976 0 0.194332000000003 0 0.201093000000004 4.9e-05 0.014294 0 0 0 0 0.397260999999995 0.753053000000026 0.747292000000027 0 3.6e-05
