"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000285 0 0 0 0 0 0 0 0 0 0 0.167666 0 0 0 0
"2" 1 1 0.001414 0 0 0 0 0 0 0 0 0 0 0.126354 0 0 0 0
"3" 2 1.000002 0.002694 0 0 0 2.9e-05 0 0 0 0 0 0 0.116861 0.00066 0.000645 0 0
"4" 3 1.000002 0.004166 0 7.5e-05 0 0 0 0 0 0 0 0 0.125747 0.004596 0.004611 0 0
"5" 4 1.000004000004 0.004913 0 0.000175 0 0.000217 0 0 0 0 0 0 0.14315 0.013267 0.013227 0 0
"6" 5 1.000006000012 0.005554 0 0.000478 0 0.000696 0 0 0 0 0 0 0.155001 0.025683 0.025665 0 0
"7" 6 1.000022000108 0.007386 0 0.002332 0 0.001638 0 0 0 0 0 0 0.17077 0.044386 0.0444 0 0
"8" 7 1.000035000394 0.008583 0 0.003786 0 0.003273 0 0 0 0 0 0 0.186313 0.067065 0.067087 0 0
"9" 8 1.00005500109401 0.010489 0 0.00583 0 0.005999 0 0 0 0 0 0 0.197349000000001 0.0974809999999996 0.0974539999999996 0 0
"10" 9 1.00009400323906 0.01264 0 0.008598 0 0.008087 0 0 0 0 0 0 0.210134 0.136084 0.136147 0 0
"11" 10 1.0001350070932 0.013189 0 0.013864 0 0.012516 0 0 0 0 0 0 0.231753 0.170563000000001 0.170412000000001 0 0
"12" 11 1.00017501249348 0.01433 0 0.019166 0 0.018218 0 0 0 0 0 0 0.243196000000001 0.214952000000001 0.215161000000001 0 0
"13" 12 1.0002640280696 0.015828 0 0.02634 0 0.024063 0 6.7e-05 0 0 0 0 0.25541 0.266775 0.266797 0 0
"14" 13 1.00036605500047 0.017499 0 0.036045 0 0.029703 0 0.000191 0 0 0 0 0.266583 0.316892999999998 0.316813999999998 0 0
"15" 14 1.00047109343625 0.018076 0 0.04394 0 0.036142 0 0.000273 0 0 0 0 0.282629 0.357673999999996 0.357662999999996 0 0
"16" 15 1.00061416080263 0.019643 0 0.0540039999999999 0 0.047332 0 0.000494 0 0 0 0 0.297177999999999 0.406209999999997 0.406180999999998 0 0
"17" 16 1.00080627872151 0.020063 0 0.0638749999999998 0 0.0579769999999999 0 0.000705 0 0 0 0 0.310229999999998 0.454157999999994 0.453938999999994 0 0
"18" 17 1.00103946658447 0.021865 0 0.0794189999999996 0 0.0707699999999997 0 0.000998 0 0 0 0 0.325620999999997 0.488199999999993 0.487848999999993 0 0
"19" 18 1.00129973684579 0.024246 0 0.0906829999999993 0 0.0880219999999996 0 0.001669 0 0 0 0 0.332841999999998 0.528251999999998 0.527141999999998 0 0
"20" 19 1.00161013976425 0.024024 0 0.102951999999999 0 0.100817999999999 0 0.002429 0 0 0 0 0.339672999999997 0.563829000000003 0.562203000000003 0 0
"21" 20 1.00193165661915 0.022556 0 0.113556999999999 0 0.109735999999999 0 0.003241 0 0 0 0 0.346022999999997 0.597928999999996 0.595752999999996 0 0
"22" 21 1.00236849882145 0.021223 0 0.128598 0 0.122785999999999 0 0.004664 0 0 0 0 0.357276999999994 0.627269000000007 0.624286000000006 0 0
"23" 22 1.0028706854394 0.02057 0 0.145298 0 0.14149 6.7e-05 0.005742 0 0 0 0 0.374277999999994 0.66563000000002 0.66164200000002 0 0
"24" 23 1.00340922699751 0.020687 0 0.159101000000001 0 0.164213000000002 0.000181 0.008115 0 0 0 0 0.381894999999992 0.694037000000022 0.689597000000021 0 0
"25" 24 1.00398217366617 0.020656 0 0.175429000000003 0 0.181376000000002 0.000268 0.011124 0 0 0 0 0.390078999999989 0.727336000000031 0.722867000000031 0 0
"26" 25 1.00467994127691 0.019504 0 0.195936000000004 0 0.198102000000003 0.000134 0.014454 0 0 0 0 0.391834999999993 0.754216000000019 0.749388000000019 0 0
"27" 26 1.00541637167392 0.017835 0 0.211391000000005 0 0.212400000000005 0.000133 0.020785 0 0 0 0 0.404285999999989 0.780250000000036 0.774654000000036 0 0
"28" 27 1.00621567768945 0.017586 0 0.231062000000005 0 0.228640000000006 0.000199 0.025997 0 0 0 0 0.412475999999993 0.802429000000025 0.796390000000023 0 8.8e-05
"29" 28 1.0070639175058 0.017376 0 0.250836000000006 0 0.249458000000008 0.000118 0.0304370000000001 0 0 0 0 0.413802999999989 0.826580000000035 0.819949000000035 0 0.000156
"30" 29 1.00797833154294 0.017446 0 0.265316000000005 0 0.266522000000005 0.000393 0.0366690000000001 0 0 0 0 0.420520999999989 0.843247000000047 0.835101000000045 0 0.000201
"31" 30 1.00899134976621 0.017531 0 0.284648000000001 0 0.285901000000002 0.000498 0.0408750000000001 0 0 0 0 0.422357999999988 0.861673000000049 0.853392000000047 0 0.000534
"32" 31 1.01001648497763 0.019083 0 0.300273999999999 0 0.306212 0.001226 0.0517279999999999 0 0 0 0 0.429141999999985 0.872921000000057 0.864347000000057 0 0.000538
"33" 32 1.01102145138025 0.020194 0 0.317533999999997 0 0.327706999999998 0.001361 0.0608669999999999 0 0 0 0 0.441692999999986 0.88951700000005 0.879147000000048 0 0.000522
"34" 33 1.01214975132006 0.018882 0 0.339041999999996 0 0.352543999999993 0.001598 0.0726509999999997 0 0 0 0 0.448489999999987 0.900313000000056 0.889977000000054 0 0.001438
"35" 34 1.01325704314807 0.018088 0 0.353868999999993 0 0.364892999999993 0.002929 0.0814029999999997 0 0 0 0 0.455920999999986 0.90879200000005 0.89890300000005 0 0.001674
"36" 35 1.01429259184622 0.019856 0 0.362662999999993 0 0.38218599999999 0.003974 0.0893599999999995 0 0 0 0 0.458263999999984 0.918676000000054 0.908802000000053 0 0.002501
"37" 36 1.01538092779734 0.021446 0 0.380162999999989 0 0.393379999999989 0.005184 0.100883 0 0 0 0 0.468972999999982 0.928051000000058 0.918412000000056 0 0.00322
"38" 37 1.01655978505457 0.020514 0 0.401685999999989 0 0.409820999999987 0.006402 0.113441999999999 0 0 0 0 0.471615999999985 0.937614000000052 0.927480000000053 5.1e-05 0.005352
"39" 38 1.01775932560099 0.019905 0 0.420212999999986 0 0.425520999999985 0.00668 0.126296999999999 0 4.2e-05 0 6.7e-05 0.471460999999982 0.942068000000066 0.930731000000067 0 0.00708
"40" 39 1.01898369006976 0.017691 0 0.436135999999983 0 0.436748999999983 0.00802800000000001 0.143043000000001 0 0.000134 0 6.7e-05 0.478581999999982 0.948938000000059 0.937560000000059 0 0.009727
"41" 40 1.02019831862839 0.017944 0 0.446253999999984 0 0.45566099999998 0.00772500000000001 0.154023000000001 6.7e-05 0.000169 0 0.000208 0.480962999999982 0.955035000000053 0.943795000000054 0 0.013583
"42" 41 1.02118178980761 0.017658 0 0.460996999999981 0 0.46903199999998 0.009191 0.165902000000002 8.3e-05 0.000401 0 0.000302 0.485053999999984 0.961135000000063 0.949789000000064 6.7e-05 0.020974
"43" 42 1.02239495377397 0.016951 0 0.478891999999983 0 0.479811999999978 0.010972 0.181410000000003 0.000253 0.000813 0 0.00028 0.485867999999985 0.964068000000061 0.95308800000006 0 0.0255240000000001
"44" 43 1.02360751418921 0.017545 0 0.490286999999979 0 0.485256999999977 0.012281 0.197526000000003 0.000268 0.001356 0 0.000481 0.48081499999998 0.967054000000054 0.956630000000055 0 0.0332720000000001
"45" 44 1.02468639650923 0.018051 0 0.502923999999981 0 0.493810999999976 0.012632 0.208140000000004 0.000253 0.001474 0 0.000433 0.48356299999998 0.971416000000061 0.961967000000062 2.8e-05 0.0426889999999999
"46" 45 1.0257981812495 0.019233 0 0.514726999999986 0 0.508713999999978 0.015535 0.224567000000004 0.000485 0.00224 0 0.000877 0.488391999999984 0.97480700000005 0.965167000000049 3.9e-05 0.0518279999999999
"47" 46 1.02700144251616 0.0187 0 0.535300999999985 0 0.514168999999976 0.018684 0.246448000000005 0.00051 0.0026 0 0.001612 0.490582999999977 0.979775000000062 0.971001000000064 0 0.0607679999999999
"48" 47 1.02821638522272 0.019971 0 0.546369999999986 0 0.531285999999982 0.020722 0.256125000000004 0.000869 0.002771 0 0.002452 0.49390999999998 0.98397100000006 0.974892000000062 0 0.0741849999999997
"49" 48 1.02932583070244 0.021469 0 0.555770999999985 0 0.546372999999987 0.022245 0.273012000000001 0.00117 0.004076 0 0.003567 0.499490999999979 0.98584900000006 0.977572000000062 0 0.0847609999999997
"50" 49 1.0304488251838 0.022242 1e-05 0.576074999999994 5e-06 0.559471999999989 0.022167 0.287622000000001 0.001432 0.004755 0 0.004351 0.500621999999979 0.989200000000057 0.981523000000059 0 0.101372999999999
"51" 50 1.03157819709626 0.021159 2.5e-05 0.587425999999999 6.6e-05 0.578718999999996 0.025065 0.293888999999999 0.001843 0.00600800000000001 0 0.00510200000000001 0.506262999999982 0.991055000000058 0.982331000000063 4.2e-05 0.117493999999999
"52" 51 1.03273562783346 0.021014 0 0.594023000000003 6.7e-05 0.592182999999996 0.0302180000000001 0.306740999999998 0.002699 0.007438 0 0.006002 0.507034999999981 0.991280000000057 0.982704000000061 0.000127 0.128051
"53" 52 1.03385511325409 0.020681 6.7e-05 0.604490000000002 2.6e-05 0.604105000000003 0.0331910000000001 0.316673999999997 0.003198 0.008431 0 0.006494 0.517167999999983 0.991654000000064 0.983407000000065 0.000134 0.150720000000001
