"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000347 0 0 0 0 0 0 0 0 0 0 0.166158 0 0 0 0
"2" 1 1.000002 0.001618 0 5.2e-05 0 0 0 0 0 0 0 0 0.121692 8.5e-05 8.4e-05 0 0
"3" 2 1.000004000004 0.002578 0 0.000133 0 0 0 0 0 0 0 0 0.122773 0.00126 0.001265 0 0
"4" 3 1.000004000004 0.004007 0 7.1e-05 0 5.5e-05 0 0 0 0 0 0 0.136366 0.004941 0.004956 0 0
"5" 4 1.00000800002 0.005996 0 0.000431 0 0.000398 0 0 0 0 0 0 0.147949 0.012981 0.012977 0 0
"6" 5 1.000010000036 0.006676 0 0.000726 0 0.000821 0 0 0 0 0 0 0.165217 0.025527 0.02554 0 0
"7" 6 1.000029000226 0.006371 0 0.001937 0 0.001981 0 0 0 0 0 0 0.187114 0.044369 0.044364 0 0
"8" 7 1.00006000112501 0.007114 0 0.003449 0 0.003011 0 0 0 0 0 0 0.20036 0.0653459999999999 0.0653399999999999 0 0
"9" 8 1.00008200244504 0.009257 0 0.005711 0 0.005366 0 0 0 0 0 0 0.208721 0.0943040000000001 0.094253 0 0
"10" 9 1.00011700531513 0.009886 0 0.009364 0 0.008989 0 0 0 0 0 0 0.21942 0.125307 0.125349 0 0
"11" 10 1.00014800894229 0.010032 0 0.01483 0 0.015598 0 0 0 0 0 0 0.232539000000001 0.161735000000001 0.161698000000001 0 0
"12" 11 1.00020001663876 0.011359 0 0.021385 0 0.022165 0 0 0 0 0 0 0.249479 0.204155000000001 0.204213000000001 0 0
"13" 12 1.00025602783969 0.013534 0 0.028889 0 0.0306160000000001 0 0 0 0 0 0 0.263609999999999 0.246193000000002 0.246236000000002 0 0
"14" 13 1.00034905165029 0.015011 0 0.035065 0 0.0371630000000001 0 0 0 0 0 0 0.277841 0.287191999999998 0.286898999999998 0 0
"15" 14 1.00045108725357 0.016265 0 0.042596 0 0.048012 0 0.000112 0 0 0 0 0.292207999999999 0.335589999999999 0.335419999999999 0 0
"16" 15 1.000582146346 0.016779 0 0.0528929999999999 0 0.0579819999999999 0 0.000134 0 0 0 0 0.304522999999998 0.374387999999996 0.374302999999997 0 0
"17" 16 1.00078426393958 0.017153 0 0.0620879999999998 0 0.0677719999999998 0 0.000134 0 0 0 0 0.317025999999997 0.418709999999992 0.418170999999992 0 0
"18" 17 1.00099142628223 0.019897 0 0.0735439999999997 0 0.0802549999999996 0 0.000639 0 0 0 0 0.325162999999999 0.465918999999993 0.465014999999993 0 0
"19" 18 1.00123767017311 0.0204 0 0.0826859999999995 0 0.0977659999999995 0 0.001464 0 0 0 0 0.335823999999996 0.50277399999999 0.50145499999999 0 0
"20" 19 1.00154905508855 0.021907 0 0.0957049999999995 0 0.114361999999999 0 0.002187 0 0 0 0 0.345825999999997 0.541240000000002 0.539438000000002 0 0
"21" 20 1.00191862668991 0.020391 0 0.112994999999999 0 0.128192999999999 0 0.003829 0 0 0 0 0.353762999999997 0.578992000000004 0.576263000000003 0 0
"22" 21 1.00232740948962 0.020056 0 0.131381 0 0.139729 0 0.004647 0 0 0 0 0.358458999999994 0.613984000000019 0.610524000000019 0 0
"23" 22 1.00283258250405 0.022318 0 0.147318000000001 0 0.158120000000001 4.3e-05 0.006369 0 0 0 0 0.363889999999996 0.645847000000007 0.640928000000008 0 0
"24" 23 1.00336107527507 0.020633 0 0.166322000000001 0 0.176202000000003 0.000134 0.00836000000000001 0 0 0 0 0.372522999999995 0.672950000000009 0.66703100000001 0 0
"25" 24 1.00390690370006 0.022463 0 0.184476000000003 0 0.194210000000003 0.000248 0.011049 0 0 0 0 0.384909999999991 0.70690100000002 0.701869000000019 0 0
"26" 25 1.00456446272201 0.023767 0 0.195921000000004 0 0.212894000000004 0.000401 0.013062 0 0 0 0 0.388668999999993 0.729193000000022 0.723499000000021 0 0.000132
"27" 26 1.00530884498893 0.023743 0 0.217052000000004 0 0.230273000000007 0.000267 0.016319 0 0 0 0 0.385768999999989 0.757172000000029 0.750205000000028 0 0.000201
"28" 27 1.006086954035 0.025186 0 0.227047000000005 0 0.239871000000007 0.000306 0.018367 0 0 0 0 0.390639999999992 0.778137000000037 0.769441000000035 0 4e-04
"29" 28 1.00695822533724 0.027964 0 0.246390000000006 0 0.258968000000006 0.000682 0.023218 0 0 0 0 0.399261999999989 0.798152000000037 0.788864000000036 0 0.000461
"30" 29 1.00789771736153 0.0285750000000001 0 0.267459000000003 0 0.278323000000002 0.000464 0.024093 0 0 0 0 0.410784999999991 0.818627000000032 0.809979000000032 0 0.001022
"31" 30 1.00887033865883 0.0281550000000001 0 0.280790000000002 0 0.296033000000001 0.000483 0.0300870000000001 0 0 0 0 0.417061999999992 0.838648000000045 0.828180000000044 0 0.00112
"32" 31 1.00990644849668 0.0266980000000001 0 0.298306000000001 0 0.314668999999997 8e-04 0.036104 0 2.9e-05 0 0 0.419571999999989 0.855336000000049 0.844512000000049 0 0.001385
"33" 32 1.01096180073542 0.028441 0 0.313943999999998 0 0.331131999999997 0.001069 0.038879 0 0 0 0 0.431596999999987 0.873998000000055 0.862622000000052 0 0.001777
"34" 33 1.01202229966445 0.0280420000000001 0 0.319791999999998 0 0.349722999999995 0.001809 0.0471169999999999 0 0 0 0 0.439799999999985 0.883072000000056 0.871013000000054 0 0.002051
"35" 34 1.01315272857325 0.026914 0 0.343849999999994 0 0.368243999999992 0.002829 0.0540149999999998 0 0 0 0 0.442070999999987 0.89477300000005 0.88265900000005 0 0.002966
"36" 35 1.01431076214206 0.0257300000000001 0 0.354555999999993 0 0.380996999999989 0.003007 0.0655589999999996 3e-06 0 0 0 0.449405999999986 0.911211000000055 0.898629000000053 0 0.00438
"37" 36 1.0155035915984 0.025326 0 0.371714999999991 0 0.397918999999985 0.003901 0.0763169999999997 0 0 0 1.1e-05 0.457361999999985 0.921850000000059 0.909609000000059 0 0.005938
"38" 37 1.01670290134014 0.02541 0 0.389114999999988 0 0.412566999999985 0.004678 0.0877889999999995 0 0.000105 0 4.4e-05 0.462368999999981 0.93320200000006 0.921699000000061 6.7e-05 0.008501
"39" 38 1.01788532681447 0.0277280000000001 0 0.40342599999999 0 0.428951999999984 0.005731 0.0994149999999996 2e-05 0.000133 0 8.6e-05 0.465170999999983 0.940051000000051 0.92877200000005 8.2e-05 0.011866
"40" 39 1.01907116322026 0.030256 0 0.415807999999986 0 0.453409999999984 0.00628 0.106549999999999 6.7e-05 0.000195 0 0.000206 0.476012999999984 0.948017000000055 0.934275000000055 6.7e-05 0.01578
"41" 40 1.02019927499801 0.0322670000000001 0 0.429876999999986 0 0.466404999999981 0.00686 0.120647999999999 0 0.000216 0 0.00034 0.486436999999982 0.955058000000059 0.94211500000006 0 0.02172
"42" 41 1.02135005978028 0.035415 0 0.452065999999984 0 0.477655999999979 0.00800900000000001 0.134527 6.7e-05 0.000419 0 0.000521 0.496226999999977 0.961563000000061 0.949045000000062 0 0.0285770000000001
