"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000492 0 0 0 0 0 0 0 0 0 0 0.163994 0 0 0 0
"2" 1 0.999998 0.001247 0 0 0 0 0 0 0 0 0 0 0.123706 0 0 0 0
"3" 2 0.999998 0.002129 0 3.1e-05 0 0 0 0 0 0 0 0 0.123856 0.000578 0.000586 0 0
"4" 3 0.999997000002 0.002152 0 0.000183 0 0 0 0 0 0 0 0 0.131695 0.00434 0.004378 0 0
"5" 4 0.999997000002 0.003136 0 0.000452 0 0.000376 0 0 0 0 0 0 0.144286 0.011125 0.011102 0 0
"6" 5 0.999997999998999 0.003862 0 0.001107 0 0.001032 0 0 0 0 0 0 0.155496 0.02359 0.02364 0 0
"7" 6 1.000002999989 0.005111 0 0.002363 0 0.001742 0 0 0 0 0 0 0.170082 0.042789 0.042786 0 0
"8" 7 1.000019000037 0.004939 0 0.003395 0 0.003106 0 0 0 0 0 0 0.186686 0.066351 0.066435 0 0
"9" 8 1.000041000455 0.006494 0 0.006498 0 0.005646 0 0 0 0 0 0 0.204593000000001 0.0974149999999998 0.0972729999999998 0 0
"10" 9 1.00007500184902 0.008056 0 0.011533 0 0.009183 0 0 0 0 0 0 0.222044 0.127654 0.12771 0 0
"11" 10 1.00009900364907 0.008278 0 0.015679 0 0.014437 0 0 0 0 0 0 0.238969 0.165161000000001 0.165050000000001 0 0
"12" 11 1.00015700939128 0.00892699999999999 0 0.021639 0 0.020248 0 0 0 0 0 0 0.255548999999999 0.208272000000001 0.208306000000001 0 0
"13" 12 1.00025202430718 0.008437 0 0.0287410000000001 0 0.0281430000000001 0 0 0 0 0 0 0.272175999999999 0.247384000000002 0.247318000000002 0 0
