"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000404 0 0 0 0 0 0 0 0 0 0 0.167484 0 0 0 0
"2" 1 1 0.001726 0 0 0 0 0 0 0 0 0 0 0.123372 6.7e-05 6.7e-05 0 0
"3" 2 0.999998 0.003008 0 0 0 0.000134 0 0 0 0 0 0 0.119588 0.000484 0.000481 0 0
"4" 3 0.999999999996 0.004232 0 0.000121 0 0.000336 0 0 0 0 0 0 0.129744 0.003182 0.003177 0 0
"5" 4 1.000002999996 0.005452 0 0.000562 0 0.000438 0 0 0 0 0 0 0.144829 0.012243 0.012262 0 0
"6" 5 1.000003999999 0.006868 0 0.00113 0 0.001058 0 0 0 0 0 0 0.165599 0.027256 0.02722 0 0
"7" 6 1.000014000039 0.007795 0 0.003202 0 0.002365 0 0 0 0 0 0 0.178462 0.048727 0.0487 0 0
"8" 7 1.000024000179 0.009244 0 0.004806 0 0.00383 0 0 0 0 0 0 0.196441 0.0751089999999999 0.0751529999999999 0 0
"9" 8 1.00006700121101 0.011331 0 0.006548 0 0.004991 0 0 0 0 0 0 0.213586 0.105143 0.105054 0 0
"10" 9 1.00009100281904 0.012539 0 0.010449 0 0.009666 0 6.7e-05 0 0 0 0 0.234569 0.139337 0.139294 0 0
"11" 10 1.0001470079152 0.01353 0 0.013935 0 0.015043 0 6.7e-05 0 0 0 0 0.247395 0.173356000000001 0.173182000000001 0 0
"12" 11 1.00021301761773 0.012765 0 0.019965 0 0.020672 0 0.000133 0 0 0 0 0.267167999999999 0.213870000000002 0.213846000000002 0 0
"13" 12 1.00030103636328 0.013831 0 0.0264870000000001 0 0.025809 0 0.000134 0 0 0 0 0.279631999999999 0.261229 0.261153 0 0
"14" 13 1.00042007218662 0.014755 0 0.0313460000000001 0 0.035224 0 2e-04 0 0 0 0 0.293373999999999 0.300722999999999 0.300672999999999 0 0
"15" 14 1.00054412427559 0.014631 0 0.042332 0 0.047293 0 0.000171 0 0 0 0 0.302720999999999 0.342798999999995 0.342738999999995 0 0
"16" 15 1.00071921949734 0.016158 0 0.0502039999999999 0 0.0586059999999999 0 0.000353 0 0 0 0 0.314773999999999 0.381362999999998 0.380779999999998 0 0
"17" 16 1.00092036406047 0.016573 0 0.0602379999999998 0 0.0697839999999998 0 0.000272 0 0 0 0 0.327962999999998 0.423456999999995 0.422616999999995 0 0
"18" 17 1.00119661808097 0.016826 0 0.0695399999999998 0 0.0807029999999995 1.7e-05 0.000809 0 0 0 0 0.338122999999998 0.468715999999994 0.467113999999994 0 0
"19" 18 1.0014419112524 0.018136 0 0.0802719999999996 0 0.0955989999999995 0 0.001234 0 0 0 0 0.346739999999999 0.518531999999996 0.516627999999996 0 0
"20" 19 1.00172531931331 0.019369 0 0.0945389999999994 0 0.108144 0 0.001774 0 0 0 0 0.361374999999998 0.567918000000005 0.566067000000004 0 0
"21" 20 1.00207391972446 0.021916 0 0.108085999999999 0 0.122199999999999 6.6e-05 0.002654 0 0 0 0 0.366873999999994 0.604967000000005 0.602390000000005 0 0
"22" 21 1.00247775551414 0.024085 0 0.123714999999999 0 0.135207 0 0.004047 0 0 0 0 0.376870999999993 0.628423000000009 0.626001000000008 0 0
"23" 22 1.00293288041518 0.026067 0 0.14097 0 0.146040000000001 0 0.005589 0 0 0 0 0.390075999999995 0.662667000000018 0.659905000000018 0 0
"24" 23 1.00350555508994 0.027796 0 0.158461000000001 0 0.164438000000001 0 0.00845400000000001 0 0 0 0 0.403234999999992 0.693632000000014 0.689807000000014 0 0
"25" 24 1.00407353923415 0.029367 0 0.170361000000002 0 0.170835000000002 5e-05 0.01041 0 0 0 0 0.409579999999994 0.729014000000021 0.725447000000021 0 0
"26" 25 1.00466293040172 0.031431 0 0.185937000000003 0 0.192395000000003 0.000223 0.015423 0 0 0 0 0.42239999999999 0.760027000000033 0.755083000000033 0 0
"27" 26 1.00542245557715 0.033497 0 0.205943000000004 0 0.212429000000005 0.000307 0.019194 0 0 0 0 0.435797999999992 0.783497000000028 0.776753000000027 0 0
"28" 27 1.00620567967009 0.0328710000000001 0 0.222069000000006 0 0.231276000000006 0.000335 0.021582 0 0 0 0 0.443668999999987 0.808644000000028 0.801468000000027 0 0
"29" 28 1.00705089244106 0.0319960000000001 0 0.241834000000007 0 0.252710000000006 0.000769 0.0270970000000001 0 0 0 0 0.457502999999985 0.826136000000033 0.817781000000032 0 0
