"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000901 0 0 0 0 0 0 0 0 0 0 0.128526 0 0 0 0
"2" 1 1.000003 0.00205 0 0 0 0 0 0 0 0 0 0 0.115819 0.000202 0.000202 0 0
"3" 2 1.000000999994 0.003462 0 0.000161 0 0.000124 0 0 0 0 0 0 0.124967 0.002389 0.002394 0 0
"4" 3 1.000008000001 0.003701 0 0.000341 0 1.3e-05 0 0 0 0 0 0 0.139341 0.007785 0.007779 0 0
"5" 4 1.000010000017 0.004278 0 0.000721 0 0.000405 0 0 0 0 0 0 0.150832 0.017476 0.017446 0 0
"6" 5 1.000015000067 0.004257 0 0.001111 0 0.001267 0 0 0 0 0 0 0.167135 0.032602 0.032572 0 0
"7" 6 1.000020000142 0.005061 0 0.002803 0 0.002272 0 0 0 0 0 0 0.180434 0.055732 0.055685 0 0
"8" 7 1.000035000442 0.006206 0 0.004936 0 0.004428 0 0 0 0 0 0 0.200060000000001 0.0853499999999999 0.0852219999999999 0 0
"9" 8 1.00006400145702 0.006148 0 0.008422 0 0.007828 0 0 0 0 0 0 0.220195 0.123542 0.123498 0 0
"10" 9 1.00009800363308 0.006011 0 0.011823 0 0.011016 0 0.000129 0 0 0 0 0.235624 0.159117000000001 0.159174000000001 0 0
"11" 10 1.00014700843526 0.007747 0 0.017237 0 0.01585 0 6.7e-05 0 0 0 0 0.255571999999999 0.206206000000001 0.206135000000001 0 0
"12" 11 1.00022001916688 0.008408 0 0.023373 0 0.020577 0 0 0 0 0 0 0.264858 0.250492000000001 0.250451000000001 0 0
"13" 12 1.00026502906775 0.009242 0 0.033572 0 0.02615 0 0 0 0 0 0 0.284981999999999 0.299732999999998 0.299460999999998 0 0
"14" 13 1.00035705345043 0.009578 0 0.042935 0 0.034409 0 0 0 0 0 0 0.295374 0.349075999999997 0.348913999999997 0 0
"15" 14 1.00048509915328 0.011591 0 0.0523859999999999 0 0.0423469999999999 0 0.000173 0 0 0 0 0.30764 0.397189999999994 0.397058999999994 0 0
"16" 15 1.00064617725425 0.013945 0 0.0642789999999998 0 0.0535479999999999 0 0.000421 0 0 0 0 0.315511999999998 0.446276999999993 0.445951999999993 0 0
