"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000267 0 0 0 0 0 0 0 0 0 0 0.17063 0 0 0 0
"2" 1 1.000004 0.00153 0 0 0 0 0 0 0 0 0 0 0.126284 0 0 0 0
"3" 2 1.000002999996 0.002466 0 0 0 0 0 0 0 0 0 0 0.118024 0.001071 0.001068 0 0
"4" 3 1.000005000002 0.003508 0 6.7e-05 0 9.7e-05 0 0 0 0 0 0 0.130306 0.004566 0.004558 0 0
"5" 4 1.000007000012 0.005059 0 0.000378 0 0.000369 0 0 0 0 0 0 0.142257 0.011938 0.011905 0 0
"6" 5 1.000025000138 0.006654 0 0.000693 0 0.000803 0 0 0 0 0 0 0.161756 0.023112 0.023103 0 0
"7" 6 1.000035000388 0.008402 0 0.001687 0 0.001536 0 0 0 0 0 0 0.173322 0.043282 0.043294 0 0
"8" 7 1.00005500108801 0.009798 0 0.002884 0 0.003443 0 0 0 0 0 0 0.194961 0.070708 0.070614 0 0
"9" 8 1.00007900240804 0.010931 0 0.004799 0 0.005667 0 0 0 0 0 0 0.215968 0.0937829999999997 0.0937749999999997 0 0
"10" 9 1.00010900477811 0.012102 0 0.007274 0 0.008771 0 0 0 0 0 0 0.228542 0.127462 0.127523 0 0
"11" 10 1.00014300848428 0.011498 0 0.012368 0 0.013291 0 0 0 0 0 0 0.24563 0.167018000000001 0.167025000000001 0 0
"12" 11 1.00018701477666 0.013217 0 0.016972 0 0.02026 0 0 0 0 0 0 0.263531999999999 0.207202 0.207128 0 0
"13" 12 1.00024302524949 0.014845 0 0.022257 0 0.0248420000000001 0 0 0 0 0 0 0.274038999999999 0.255649000000001 0.255397000000001 0 0
"14" 13 1.00034104906597 0.015351 0 0.0306060000000001 0 0.0322000000000001 0 0 0 0 0 0 0.301762999999999 0.296427 0.296194 0 0
"15" 14 1.00040707157521 0.01626 0 0.040193 0 0.043108 0 0.000143 0 0 0 0 0.317831999999998 0.341394999999998 0.340653999999998 0 0
"16" 15 1.00053912530867 0.015893 0 0.0482499999999999 0 0.0542629999999998 0 0.000376 0 0 0 0 0.331106999999998 0.383380999999996 0.383042999999996 0 0
