"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000313 0 0 0 0 0 0 0 0 0 0 0.164673 0 0 0 0
"2" 1 1.000001 0.001394 0 0 0 0 0 0 0 0 0 0 0.124805 0.000169 0.000153 0 0
"3" 2 1.000001 0.002733 0 1.3e-05 0 0 0 0 0 0 0 0 0.117818 0.00124 0.001257 0 0
"4" 3 0.999998999998 0.004161 0 7.4e-05 0 0.00012 0 0 0 0 0 0 0.126804 0.004366 0.004349 0 0
"5" 4 1.000007999989 0.005238 0 0.000432 0 0.000421 0 0 0 0 0 0 0.136307 0.010811 0.010768 0 0
"6" 5 1.000014000037 0.005899 0 0.001078 0 0.000968 0 0 0 0 0 0 0.148358 0.023555 0.023516 0 0
"7" 6 1.000016000065 0.007277 0 0.001927 0 0.002627 0 0 0 0 0 0 0.17019 0.043781 0.0437109999999999 0 0
"8" 7 1.000042000481 0.008851 0 0.003664 0 0.003824 0 0 0 0 0 0 0.183494 0.072759 0.072729 0 0
"9" 8 1.00006400140502 0.010728 0 0.005697 0 0.006223 0 0 0 0 0 0 0.202338 0.105706 0.105726 0 0
"10" 9 1.00011100441308 0.013392 0 0.009668 0 0.009729 0 0 0 0 0 0 0.219687 0.143996 0.144016 0 0
"11" 10 1.00015600940828 0.01469 0 0.016903 0 0.014404 0 0 0 0 0 0 0.238466 0.187288000000001 0.187244000000001 0 0
"12" 11 1.00023402157702 0.015645 0 0.02279 0 0.019901 0 0 0 0 0 0 0.252973 0.230025000000001 0.230240000000001 0 0
"13" 12 1.00033404497919 0.016178 0 0.029156 0 0.02653 0 0 0 0 0 0 0.266436999999999 0.274135 0.273944 0 0
"14" 13 1.00041907337301 0.015344 0 0.040006 0 0.0338010000000001 0 6.7e-05 0 0 0 0 0.276707999999999 0.323372999999996 0.323417999999996 0 0
"15" 14 1.00054812743348 0.01834 0 0.0497399999999999 0 0.04471 0 0 0 0 0 0 0.296854999999999 0.368805999999997 0.368582999999997 0 0
"16" 15 1.00072022171141 0.018207 0 0.0573759999999998 0 0.054735 0 0.000252 0 0 0 0 0.304973999999999 0.408365999999995 0.408013999999995 0 0
"17" 16 1.00089134486934 0.018805 0 0.0665529999999998 0 0.0696649999999997 0 0.000839 0 0 0 0 0.310604999999999 0.443399999999992 0.442744999999992 0 0
"18" 17 1.00114156770557 0.01923 0 0.0807489999999996 0 0.0838549999999996 0 0.000963 0 0 0 0 0.325173999999998 0.482887999999995 0.480744999999995 0 0
"19" 18 1.001413878212 0.021216 0 0.0981989999999993 0 0.0966909999999995 0 0.001831 0 0 0 0 0.333117999999995 0.532608999999998 0.530295999999997 0 0
"20" 19 1.00167925288975 0.020419 0 0.114687999999999 0 0.109405999999999 0 0.002815 0 0 0 0 0.353989999999995 0.576393000000006 0.574356000000006 0 0
"21" 20 1.00207792123243 0.020976 0 0.129308 0 0.122340999999999 0 0.00441 0 0 0 0 0.372117999999995 0.615222000000012 0.611906000000012 0 0
"22" 21 1.00248877318018 0.021885 0 0.146711 0 0.134915 0 0.005974 0 0 0 0 0.380735999999994 0.654470000000021 0.65096200000002 0 0
"23" 22 1.00300004245454 0.023581 0 0.164143000000002 0 0.151693000000001 6.3e-05 0.007936 0 0 0 0 0.394787999999991 0.678202000000019 0.674125000000019 0 0
"24" 23 1.00360184248005 0.024973 0 0.179059000000002 0 0.167019000000002 0 0.011508 0 0 0 0 0.411692999999991 0.706663000000021 0.70119800000002 0 0
"25" 24 1.00417188832662 0.024992 0 0.189189000000003 0 0.184006000000003 6.7e-05 0.014081 0 0 0 0 0.414297999999988 0.731870000000025 0.725616000000026 0 0
"26" 25 1.00490493380514 0.027398 0 0.210127000000005 0 0.202398000000005 0.000249 0.0198 0 0 0 0 0.420649999999989 0.758279000000033 0.751517000000032 0 0
"27" 26 1.00573799999532 0.02768 0 0.223908000000005 0 0.220479000000005 0.000452 0.023726 0 0 0 0 0.429441999999992 0.787475000000033 0.780208000000033 0 1.1e-05
"28" 27 1.00661399779336 0.0267100000000001 0 0.238579000000005 0 0.235948000000007 0.000601 0.0289750000000001 0 0 0 0 0.432183999999989 0.806254000000027 0.797976000000026 0 0.000264
"29" 28 1.00751089086543 0.0280880000000001 0 0.253005000000005 0 0.252534000000007 0.00053 0.036289 0 0 0 0 0.434144999999991 0.827367000000039 0.817402000000038 0 0.00075
"30" 29 1.00839951547122 0.0285830000000001 0 0.265139000000004 0 0.269411000000005 0.001061 0.043792 0 0 0 0 0.446830999999985 0.846557000000049 0.83536400000005 0 0.001069
"31" 30 1.00935850341049 0.0286540000000001 0 0.277085000000003 0 0.287454000000002 0.000991 0.0543839999999999 0 0 0 0 0.449172999999986 0.861085000000049 0.84862200000005 0 0.000987
"32" 31 1.01041227368813 0.0310800000000001 0 0.290147000000001 0 0.305637999999998 0.001202 0.0636889999999997 0 0 0 0 0.453846999999985 0.870973000000047 0.857310000000045 0 0.001004
"33" 32 1.01150351894378 0.033175 0 0.314005999999997 0 0.317649999999998 0.00179 0.0702059999999996 0 0 0 0 0.462769999999987 0.883078000000044 0.869795000000045 0 0.002033
"34" 33 1.01257267816335 0.032712 0 0.339316999999993 0 0.337186999999996 0.00212 0.0750859999999995 0 5.5e-05 0 0 0.469691999999985 0.896213000000051 0.88218900000005 4.3e-05 0.002182
"35" 34 1.01375232533348 0.03286 0 0.352331999999993 0 0.355297999999994 0.00265 0.0825599999999996 0 0.000134 0 5.5e-05 0.472563999999984 0.905520000000053 0.89255200000005 0.000135 0.004011
"36" 35 1.01491509925069 0.0316950000000001 0 0.370539999999989 0 0.372876999999991 0.00325 0.0906459999999994 0 0.000164 0 6.7e-05 0.474188999999982 0.914700000000059 0.901311000000058 0.000134 0.005688
"37" 36 1.01608326653 0.0338120000000001 0 0.393287999999989 0 0.394967999999987 0.004306 0.0977759999999992 0 2e-04 0 2e-04 0.478020999999982 0.922943000000062 0.908567000000061 0.000133 0.008354
"38" 37 1.01717047562525 0.035501 0 0.402762999999988 0 0.406843999999989 0.005613 0.110770999999999 0.000134 0.000534 0 0.000321 0.485313999999985 0.933953000000051 0.91970500000005 0.000201 0.011403
"39" 38 1.01841549228748 0.0364400000000001 0 0.421026999999985 0 0.413861999999986 0.007492 0.124564999999999 0.000267 0.000534 0 0.000467 0.493770999999978 0.941862000000058 0.928721000000058 0.000201 0.015786
"40" 39 1.01954695189948 0.036485 0 0.440936999999984 0 0.433516999999983 0.00971899999999999 0.136587 0.000335 0.000417 0 0.000476 0.49754999999998 0.948379000000058 0.936446000000059 0.000281 0.021918
"41" 40 1.02070107904909 0.0354540000000001 0 0.454713999999984 0 0.45059499999998 0.011002 0.150828000000001 0.000267 0.000451 0 0.000733 0.510673999999983 0.956126000000064 0.943766000000063 0.000201 0.0305880000000001
"42" 41 1.02186059547496 0.035889 0 0.47397899999998 0 0.467440999999979 0.013662 0.159617000000002 0.000275 0.00038 0 0.000979 0.51699699999998 0.960997000000064 0.949126000000067 6.6e-05 0.0366550000000001
"43" 42 1.02304493190518 0.037193 6.6e-05 0.487670999999983 0 0.49020899999998 0.017428 0.173924000000003 0.000568 0.000893 0 0.001546 0.520283999999986 0.965591000000055 0.952974000000058 8.2e-05 0.042157
"44" 43 1.02417846568979 0.035857 0 0.497421999999977 0 0.511046999999976 0.020428 0.184253000000003 0.000539 0.001472 0 0.001937 0.525250999999989 0.969820000000062 0.958096000000061 6.6e-05 0.051703
"45" 44 1.02532861810683 0.035708 2.3e-05 0.51019199999998 0 0.519541999999978 0.021223 0.198526000000003 0.000652 0.001791 0 0.002386 0.529971999999985 0.97394600000006 0.962165000000058 8.9e-05 0.0630409999999998
"46" 45 1.02647596083055 0.0350980000000001 5.8e-05 0.517434999999985 0 0.538233999999985 0.023884 0.212452000000005 0.000886 0.002716 0 0.002647 0.532045999999986 0.977175000000054 0.965326000000058 0.000132 0.0762989999999996
"47" 46 1.02750962212317 0.035885 6.7e-05 0.531196999999986 0 0.548192999999987 0.024804 0.230138000000005 0.000875 0.002884 0 0.003641 0.528685999999986 0.978762000000059 0.967366000000061 2e-04 0.0900659999999995
"48" 47 1.02861624998626 0.0375970000000001 0.000133 0.545823999999986 2.7e-05 0.567913999999993 0.0272370000000001 0.242976000000006 0.001456 0.003875 0 0.005354 0.534801999999988 0.979881000000059 0.967361000000061 0.000173 0.103547999999999
"49" 48 1.02971789799005 0.036663 0.000134 0.56024599999999 0 0.57508199999999 0.0301340000000001 0.256017000000004 0.001405 0.004958 0 0.006777 0.539585999999987 0.982364000000065 0.969349000000066 2e-04 0.117859999999999
"50" 49 1.03080836924409 0.038 0 0.577850999999992 0 0.581017999999994 0.0351650000000001 0.269782000000002 0.001534 0.005854 0 0.008122 0.537771999999989 0.983854000000052 0.971345000000053 4e-04 0.137316
"51" 50 1.0319360736001 0.0385580000000001 0.000118 0.584633999999997 0 0.598021999999996 0.040014 0.278874000000001 0.002233 0.00538 0 0.008815 0.546528999999992 0.986202000000066 0.973625000000066 0.000371 0.156618000000001
"52" 51 1.03300619130849 0.040314 0.00021 0.597012999999999 0 0.602527999999999 0.0450549999999999 0.295933999999999 0.003019 0.007491 0 0.009062 0.55244699999999 0.988529000000069 0.977857000000069 0.000443 0.172843000000002
"53" 52 1.03413733308805 0.041055 2e-04 0.611456000000001 6.7e-05 0.617302 0.04781 0.310949999999996 0.003966 0.010156 0 0.010485 0.553751999999992 0.990373000000057 0.979825000000058 0.000483 0.188879000000003
"54" 53 1.03516733387186 0.043026 0.000257 0.626496000000001 6.7e-05 0.639482000000005 0.052219 0.326957999999995 0.004758 0.012205 0 0.011006 0.557108999999993 0.992336000000056 0.982428000000058 0.000664 0.208931000000004
"55" 54 1.03635984664054 0.042851 0.00037 0.636687000000004 0.000285 0.647555000000006 0.0543029999999999 0.341476999999992 0.00654 0.013639 0 0.014162 0.564783999999993 0.992780000000059 0.982449000000061 8e-04 0.228384000000005
"56" 55 1.03746667895682 0.0400120000000001 0.000769 0.648919000000006 6.7e-05 0.657347000000009 0.0563249999999999 0.353359999999991 0.009146 0.015663 0 0.015365 0.560237999999993 0.994200000000057 0.984131000000058 0.000759 0.244596000000006
"57" 56 1.03859648017026 0.0425479999999999 0.001033 0.656073000000008 0.000194 0.66764800000001 0.0617909999999998 0.36907699999999 0.01011 0.017699 0 0.01772 0.565580999999991 0.995865000000058 0.98594100000006 0.000535 0.261094000000004
"58" 57 1.03978463454364 0.041023 0.000794 0.662393000000013 0.000463 0.676376000000014 0.0671289999999998 0.389557999999989 0.011443 0.020895 0 0.020449 0.562318999999998 0.996331000000058 0.98570500000006 0.000871 0.278024000000001
"59" 58 1.04093983527267 0.039813 0.000956 0.667959000000013 0.000391 0.684709000000016 0.0686689999999997 0.402876999999989 0.012322 0.022629 0 0.021738 0.558926999999992 0.996958000000056 0.986039000000058 0.000747 0.296185
"60" 59 1.04160187300797 0.039937 0.00105 0.679155000000013 0.000472 0.692766000000015 0.0728379999999998 0.420921999999986 0.014198 0.025966 0 0.024692 0.561545999999996 0.997819000000054 0.988509000000056 0.001008 0.316110999999996
"61" 60 1.04256118833306 0.041454 0.001334 0.681402000000016 0.000691 0.702661000000016 0.0750619999999997 0.434823999999986 0.014364 0.0292110000000001 0 0.0281990000000001 0.574753999999997 0.997733000000058 0.988510000000059 0.001391 0.337662999999994
"62" 61 1.04368506929414 0.04487 0.001532 0.694204000000015 0.000734 0.71188400000002 0.0779359999999998 0.445439999999986 0.016194 0.034087 0 0.033267 0.573646999999997 0.998164000000053 0.989977000000055 0.001986 0.357104999999992
"63" 62 1.04455237158678 0.044984 0.001942 0.701060000000017 0.00132 0.723025000000022 0.0866289999999996 0.457903999999984 0.016621 0.038957 0 0.034494 0.569244999999996 0.998415000000057 0.990813000000058 0.002403 0.380001999999991
"64" 63 1.04548515685467 0.0427919999999999 0.002388 0.710837000000011 0.001323 0.731644000000019 0.0902229999999997 0.470702999999984 0.019461 0.043324 0 0.037935 0.578880999999997 0.998583000000049 0.991781000000051 0.003005 0.400614999999988
"65" 64 1.04661532630928 0.0450539999999999 0.002696 0.719440000000015 0.001489 0.737504000000017 0.100041 0.494541999999984 0.022868 0.0505529999999999 0 0.045707 0.578695999999995 0.99881700000005 0.992866000000053 0.00277 0.415291999999989
"66" 65 1.0477718362449 0.047181 0.003204 0.721049000000016 0.00222 0.74927100000002 0.105601 0.510658999999981 0.025981 0.0594599999999998 0 0.0512449999999999 0.572376999999994 0.99921800000005 0.992950000000054 0.003935 0.430884999999986
"67" 66 1.04833553749286 0.048536 0.003951 0.72316500000002 0.002313 0.763263000000024 0.112173999999999 0.522394999999986 0.0309610000000001 0.0606379999999998 0 0.0584779999999999 0.577240999999996 0.999425000000056 0.993446000000057 0.00441 0.444408999999987
"68" 67 1.04928323281881 0.049398 0.005031 0.733295000000019 0.001991 0.772777000000026 0.116493999999999 0.533446999999991 0.033321 0.0644749999999999 0 0.0631159999999998 0.575595000000001 0.999673000000053 0.994485000000055 0.00447 0.470051999999982
"69" 68 1.05053187986592 0.0497569999999999 0.005175 0.742566000000019 0.002219 0.782833000000029 0.123932999999999 0.553398999999991 0.038216 0.0744939999999997 0 0.0706459999999998 0.580205999999996 1.00023900000005 0.994770000000053 0.005009 0.485659999999983
"70" 69 1.05151307664176 0.0505109999999999 0.006178 0.741101000000016 0.003074 0.790889000000023 0.127517999999999 0.563121999999987 0.042332 0.0797509999999998 0 0.0781909999999998 0.580936999999989 1.00014300000005 0.994715000000055 0.005083 0.501756999999983
"71" 70 1.05250675649925 0.0500859999999999 0.007952 0.745371000000016 0.003246 0.801993000000023 0.135765 0.584553999999994 0.047261 0.0863329999999996 0 0.0862589999999996 0.584108999999995 0.999793000000047 0.99450600000005 0.005215 0.520512999999987
"72" 71 1.05364662131658 0.0519649999999999 0.010492 0.750547000000023 0.003951 0.812775000000031 0.141641000000001 0.594269 0.0519339999999999 0.0942169999999996 0 0.0915389999999996 0.591015 0.999616000000049 0.994166000000053 0.005431 0.527989999999985
