"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000449 0 0 0 0 0 0 0 0 0 0 0.166668 0 0 0 0
"2" 1 1.000004 0.0016 0 0 0 0 0 0 0 0 0 0 0.1209 0 0 0 0
"3" 2 1.000006000008 0.002187 0 6.7e-05 0 0 0 0 0 0 0 0 0.12088 0.000575 0.000575 0 0
"4" 3 1.000012000044 0.003428 0 0.000156 0 7.5e-05 0 0 0 0 0 0 0.124784 0.004532 0.004555 0 0
"5" 4 1.000006999984 0.005069 0 0.000645 0 0.00025 0 0 0 0 0 0 0.141785 0.012077 0.012041 0 0
"6" 5 1.000008999998 0.005845 0 0.001364 0 0.000543 0 0 0 0 0 0 0.160458 0.024798 0.024748 0 0
"7" 6 1.000018000079 0.00704 0 0.002366 0 0.001645 0 0 0 0 0 0 0.175697 0.0436039999999999 0.0436109999999999 0 0
"8" 7 1.000031000313 0.0087 0 0.00466 0 0.002771 0 0 0 0 0 0 0.190405 0.0674959999999999 0.0674559999999999 0 0
"9" 8 1.00006100124301 0.010524 0 0.006432 0 0.005037 0 0 0 0 0 0 0.200682 0.0963179999999999 0.0962759999999998 0 0
"10" 9 1.00009300319505 0.011173 0 0.009761 0 0.008935 0 0 0 0 0 0 0.211686 0.129459 0.129395 0 0
"11" 10 1.00014200775221 0.012231 0 0.015252 0 0.013391 0 6.6e-05 0 0 0 0 0.224135 0.170116000000001 0.170191000000001 0 0
"12" 11 1.00019801570465 0.014006 0 0.02062 0 0.018151 0 0.000133 0 0 0 0 0.241962 0.208334000000001 0.208502000000001 0 0
"13" 12 1.0002520263975 0.015801 0 0.026555 0 0.024568 0 0.000134 0 0 0 0 0.247926000000001 0.244574000000001 0.244524000000001 0 0
"14" 13 1.0003350473157 0.015693 0 0.034783 0 0.0307080000000001 0 0.000133 0 0 0 0 0.259169000000001 0.290612999999999 0.290450999999999 0 0
"15" 14 1.00042707814006 0.01559 0 0.043848 0 0.037688 0 0.000201 0 0 0 0 0.270653 0.333310999999998 0.333320999999998 0 0
"16" 15 1.00055513280607 0.017249 0 0.0540599999999999 0 0.04498 0 0.000241 0 0 0 0 0.284969999999999 0.375204999999997 0.374978999999997 0 0
"17" 16 1.0007082177414 0.019674 0 0.0636059999999998 0 0.053079 0 0.000378 0 0 0 0 0.298849 0.412277999999996 0.411870999999997 0 0
"18" 17 1.00086332751517 0.02067 0 0.0666819999999998 0 0.0658599999999999 0 0.000659 0 0 0 0 0.308071999999997 0.447878999999992 0.447526999999992 0 0
"19" 18 1.00111254248373 0.023214 0 0.0761679999999997 0 0.0792629999999998 0 0.00172 0 0 0 0 0.324203999999998 0.481726999999995 0.480624999999995 0 0
"20" 19 1.00136982840717 0.025528 0 0.0870089999999996 0 0.0951639999999997 0 0.002448 0 0 0 0 0.342879999999999 0.521631999999995 0.520245999999995 0 0
"21" 20 1.00169226949194 0.028252 0 0.105198999999999 0 0.111025999999999 1e-06 0.003993 0 0 0 0 0.344769999999997 0.565325000000005 0.563582000000005 0 0
"22" 21 1.00205788717034 0.02803 0 0.115147999999999 0 0.129435 3.9e-05 0.00525 0 0 0 0 0.355645999999997 0.603447000000012 0.601566000000012 0 0
"23" 22 1.00251883379848 0.0273440000000001 0 0.136052 0 0.141951 0 0.006724 0 0 0 0 0.369583999999997 0.636452000000014 0.634165000000014 0 0
"24" 23 1.00304315114858 0.027054 0 0.149982000000001 0 0.159314000000002 0 0.008716 0 0 0 0 0.377479999999994 0.668265000000015 0.664838000000015 0 0
"25" 24 1.00356573663037 0.025966 0 0.160593000000002 0 0.179050000000003 0 0.01039 0 0 0 0 0.376999999999997 0.697303000000018 0.693324000000018 0 1.3e-05
"26" 25 1.00419697947874 0.027726 0 0.179859000000003 0 0.196374000000003 0.000195 0.01282 0 0 0 0 0.384252999999994 0.733160000000028 0.728687000000027 0 0.000133
"27" 26 1.00487380824295 0.027885 0 0.197212000000003 0 0.205170000000004 0.000107 0.016384 0 0 0 0 0.390981999999989 0.757511000000037 0.752100000000036 0 0
"28" 27 1.00564957082296 0.0296610000000001 0 0.218327000000005 0 0.215915000000005 0.000162 0.021296 0 0 0 0 0.39836499999999 0.783153000000033 0.777694000000034 0 7.9e-05
"29" 28 1.00646213567623 0.032123 0 0.245145000000006 0 0.231623000000006 0.000363 0.0273760000000001 0 0 0 0 0.405305999999988 0.803673000000038 0.797209000000037 0 2e-04
"30" 29 1.00729146047608 0.0347410000000001 0 0.266643000000003 0 0.252778000000006 0.000512 0.0324070000000001 0 0 0 0 0.41724599999999 0.824870000000039 0.81898100000004 0 0.000171
"31" 30 1.00819097175033 0.0336730000000001 0 0.277274000000003 0 0.275056000000003 0.000911 0.036928 0 0 0 0 0.425010999999991 0.837220000000042 0.830656000000041 0 0.000358
"32" 31 1.00914270402772 0.0343740000000001 0 0.295111000000001 0 0.292896 0.00121 0.043005 0 0 0 0 0.431765999999986 0.852258000000044 0.846277000000044 0 0.000734
"33" 32 1.0101730387286 0.035962 0 0.303390000000001 0 0.311072999999998 0.001466 0.0522119999999998 0 0 0 0 0.44117499999999 0.868106000000049 0.859694000000048 0 0.001379
"34" 33 1.01121957799677 0.033768 0 0.313517999999996 0 0.328961999999994 0.001622 0.059386 0 0 0 0 0.455149999999981 0.881355000000057 0.872296000000057 0 0.00218
"35" 34 1.0122874258712 0.0335570000000001 0 0.335384999999995 0 0.347525999999993 0.001881 0.0668549999999997 0 0 0 0 0.457430999999985 0.895036000000058 0.885822000000057 0 0.003043
"36" 35 1.01337563485408 0.0327050000000001 0 0.356964999999991 0 0.36912199999999 0.002036 0.0749449999999996 0 0 0 0 0.466869999999983 0.913229000000056 0.904398000000055 0 0.004346
"37" 36 1.01457243147891 0.0324640000000001 0 0.37647099999999 0 0.381851999999989 0.002772 0.0867559999999993 0 6.7e-05 0 0 0.468137999999982 0.921531000000063 0.911253000000061 0 0.006435
"38" 37 1.01570266516765 0.0348010000000001 0 0.394900999999988 0 0.392616999999988 0.003304 0.0948159999999993 0 6.6e-05 0 0 0.475468999999982 0.930675000000061 0.921047000000061 0 0.010057
"39" 38 1.01685650339535 0.0343190000000001 0 0.409317999999986 0 0.409111999999985 0.004379 0.105269999999999 0 0 0 0 0.482336999999981 0.934673000000058 0.924530000000058 0 0.011703
"40" 39 1.01797301183615 0.03583 0 0.429742999999986 0 0.419300999999984 0.005772 0.121595999999999 5e-06 0 0 0 0.492854999999981 0.942622000000062 0.931846000000061 6.7e-05 0.0166
"41" 40 1.01915793242199 0.037032 0 0.447330999999984 0 0.44670099999998 0.00777900000000001 0.130535999999999 6.7e-05 2.4e-05 0 0 0.490920999999978 0.948769000000061 0.93788100000006 0.000134 0.025796
"42" 41 1.02029327435878 0.037836 0 0.462218999999981 0 0.46333699999998 0.008384 0.144535 0.000134 0 0 6.7e-05 0.49749799999998 0.955366000000057 0.945785000000059 0.000133 0.0341230000000001
"43" 42 1.0215206871679 0.038193 0 0.479179999999983 0 0.480640999999978 0.00890200000000001 0.159912000000001 0.000349 6.7e-05 0 0.000255 0.493108999999981 0.962742000000061 0.953043000000062 0.000134 0.0423839999999999
"44" 43 1.02265151056866 0.035435 0 0.493380999999981 0 0.487345999999977 0.010774 0.175276000000002 0.000465 0.000458 0 0.000471 0.505995999999984 0.967195000000063 0.958001000000062 0.000134 0.051559
"45" 44 1.0238204012453 0.0358170000000001 0 0.517216999999984 0 0.501806999999976 0.01207 0.195031000000004 0.000561 0.000787 0 0.000823 0.508549999999981 0.972284000000058 0.963022000000059 6.7e-05 0.0616959999999998
"46" 45 1.02502134257603 0.0352 0 0.529045999999985 0 0.515400999999981 0.013675 0.207363000000003 0.000507 0.001122 0 0.001107 0.512619999999984 0.973351000000061 0.96436400000006 5.1e-05 0.0737799999999998
"47" 46 1.02609658996446 0.0355230000000001 0 0.545896999999992 0 0.530682999999984 0.018078 0.222393000000004 0.000734 0.001528 0 0.002004 0.515738999999986 0.976677000000056 0.968534000000056 0 0.0857269999999997
"48" 47 1.02731764490657 0.0363030000000001 0 0.561121999999994 0 0.547232999999986 0.018754 0.239175000000004 0.000879 0.00244 0 0.003267 0.515912999999984 0.978836000000066 0.970297000000067 4.8e-05 0.0983729999999995
"49" 48 1.02850522410415 0.037499 0 0.572443999999995 0 0.56274799999999 0.022178 0.259797000000003 0.001439 0.003291 0 0.003704 0.520507999999982 0.982756000000059 0.97483400000006 0.000118 0.109701999999999
"50" 49 1.02973737336269 0.03906 0 0.579420999999996 8.9e-05 0.572321999999992 0.0258430000000001 0.272053000000001 0.002377 0.004353 0 0.004538 0.519397999999981 0.986068000000063 0.978382000000065 2e-04 0.124835999999999
"51" 50 1.03083301392801 0.039668 0 0.594327999999999 8.1e-05 0.590313999999994 0.0291170000000001 0.296579999999999 0.003392 0.005268 0 0.005417 0.521984999999987 0.987472000000054 0.980607000000057 0.000418 0.139671
"52" 51 1.03193909775201 0.042752 0 0.603509999999997 0.000156 0.607415999999999 0.0321480000000001 0.307467999999996 0.003838 0.006018 0 0.00716600000000001 0.528824999999985 0.988498000000059 0.98220900000006 0.000133 0.153888000000001
