"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000379 0 0 0 0 0 0 0 0 0 0 0.165487 0 0 0 0
"2" 1 1.000003 0.001691 0 0 0 0 0 0 0 0 0 0 0.120696 0 0 0 0
"3" 2 1.000003 0.003499 0 0 0 0 0 0 0 0 0 0 0.114268 0.000524 0.00052 0 0
"4" 3 1.000001999997 0.005053 0 0 0 6.7e-05 0 0 0 0 0 0 0.124608 0.003629 0.003635 0 0
"5" 4 1.000004000001 0.005682 0 0.000246 0 0.000346 0 0 0 0 0 0 0.140271 0.010795 0.010772 0 0
"6" 5 1.000020000065 0.006087 0 0.000896 0 0.000775 0 0 0 0 0 0 0.153611 0.022373 0.022342 0 0
"7" 6 1.000029000245 0.008189 0 0.001763 0 0.00253 0 0 0 0 0 0 0.166044 0.040843 0.04088 0 0
"8" 7 1.000038000506 0.008697 0 0.002826 0 0.00415 0 0 0 0 0 0 0.178256 0.067311 0.067377 0 0
"9" 8 1.00005200103801 0.008787 0 0.005719 0 0.006994 0 0 0 0 0 0 0.194088 0.0962939999999999 0.0963469999999999 0 0
"10" 9 1.00007900244204 0.00808 0 0.010015 0 0.011517 0 0 0 0 0 0 0.211542 0.127032 0.126995 0 0
"11" 10 1.00013500686618 0.009398 0 0.014175 0 0.017556 0 0 0 0 0 0 0.233496 0.165237000000001 0.165175000000001 0 0
"12" 11 1.00018601375153 0.009884 0 0.021007 0 0.024905 0 0 0 0 0 0 0.252673000000001 0.207536000000001 0.207383000000001 0 0
"13" 12 1.00025002565642 0.011054 0 0.028451 0 0.03008 0 6.7e-05 0 0 0 0 0.264997 0.249526000000001 0.249477000000001 0 0
"14" 13 1.00037005565951 0.012766 0 0.036443 0 0.03973 0 0 0 0 0 0 0.280377 0.297794999999997 0.297723999999997 0 0
"15" 14 1.00049410154642 0.013445 0 0.043942 0 0.0475949999999999 0 0.000124 0 0 0 0 0.296024999999999 0.334797999999997 0.334472999999997 0 0
"16" 15 1.0006731899906 0.015942 0 0.0564019999999999 0 0.0563769999999999 0 0.000339 0 0 0 0 0.308484999999999 0.379513999999995 0.379093999999995 0 0
