"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.00145 0 0 0 0 0 0 0 0 0 0 0.134387 0 0 0 0
"2" 1 0.999996 0.002006 0 0 0 0 0 0 0 0 0 0 0.121805 0.000347 0.000342 0 0
"3" 2 0.999997999992 0.002901 0 6.7e-05 0 0 0 0 0 0 0 0 0.129465 0.002206 0.002225 0 0
"4" 3 0.999997999992 0.004349 0 0.000308 0 0.000175 0 0 0 0 0 0 0.14001 0.008084 0.008034 0 0
"5" 4 0.999994999998 0.004465 0 0.000382 0 0.000379 0 0 0 0 0 0 0.158804 0.018041 0.018043 0 0
"6" 5 0.999994000003 0.005521 0 0.001664 0 0.001544 0 0 0 0 0 0 0.172375 0.032872 0.032878 0 0
"7" 6 1.000009999907 0.006678 0 0.003105 0 0.00223 0 0 0 0 0 0 0.187269 0.057937 0.058039 0 0
"8" 7 1.000034000147 0.006647 0 0.006758 0 0.004305 0 0 0 0 0 0 0.199383 0.0890619999999998 0.0890609999999998 0 0
"9" 8 1.00007700160901 0.008074 0 0.008612 0 0.007261 0 0 0 0 0 0 0.218694 0.120588 0.120602 0 0
"10" 9 1.00010400368806 0.008317 0 0.01377 0 0.012827 0 0 0 0 0 0 0.236931 0.15849 0.158496 0 0
"11" 10 1.00015900940826 0.010347 0 0.020706 0 0.017949 0 0 0 0 0 0 0.24714 0.200897000000001 0.200812000000001 0 0
"12" 11 1.00022001910784 0.010376 0 0.024463 0 0.0253210000000001 0 0 0 0 0 0 0.263485999999999 0.244586000000002 0.244536000000002 0 0
"13" 12 1.00030203714941 0.010859 0 0.0323140000000001 0 0.036019 0 0.000167 0 0 0 0 0.280033999999999 0.289155999999998 0.289128999999998 0 0
"14" 13 1.00041607158165 0.012139 0 0.0411290000000001 0 0.043813 0 0.000253 0 0 0 0 0.298978999999999 0.330145999999998 0.330103999999999 0 0
"15" 14 1.00052211568525 0.014431 0 0.049114 0 0.0542189999999998 0 0.000409 0 0 0 0 0.305079999999999 0.377777999999996 0.377529999999996 0 0
"16" 15 1.00066919243627 0.015898 0 0.0605729999999997 0 0.0680019999999998 0 0.000635 0 0 0 0 0.317883999999999 0.421463999999995 0.420790999999995 0 0
"17" 16 1.00089034032781 0.016191 0 0.0750969999999997 0 0.0777799999999998 0 0.000744 0 0 0 0 0.326503999999998 0.472884999999992 0.472153999999993 0 0
"18" 17 1.00112855222882 0.017807 0 0.0868159999999996 0 0.0947719999999994 0 0.001519 0 0 0 0 0.338979999999998 0.514252999999996 0.513149999999996 0 0
"19" 18 1.00144891336555 0.019573 0 0.0998799999999993 0 0.106049999999999 0 0.002662 0 0 0 0 0.353502999999996 0.552037000000001 0.550175000000001 0 0
"20" 19 1.00177438426242 0.021621 0 0.111301999999999 0 0.119863999999999 0 0.00322 0 0 0 0 0.362069999999997 0.588375999999999 0.585881999999999 0 0
"21" 20 1.00215906562599 0.021405 0 0.118278999999999 0 0.136867 0 0.003589 0 0 0 0 0.370205999999996 0.618188000000011 0.614449000000011 0 0
"22" 21 1.00258698754705 0.022724 0 0.133694 0 0.151461000000001 0 0.005234 0 0 0 0 0.380625999999995 0.656476000000017 0.651672000000016 0 0
"23" 22 1.00313740780325 0.022924 0 0.156123000000001 0 0.163640000000002 1.1e-05 0.00626600000000001 0 0 0 0 0.393261999999994 0.683737000000014 0.677382000000013 0 0
"24" 23 1.00372725259908 0.0240390000000001 0 0.176716000000003 0 0.179515000000004 0 0.00900400000000001 0 0 0 0 0.401824999999992 0.707004000000025 0.700701000000024 0 0
"25" 24 1.00435458213199 0.023764 0 0.194831000000003 0 0.196891000000003 6.2e-05 0.010382 0 0 0 0 0.411550999999995 0.737391000000019 0.730351000000018 0 0
"26" 25 1.00507068694909 0.023675 0 0.205959000000005 0 0.209502000000005 0.000242 0.015701 0 0 0 0 0.427026999999989 0.761501000000028 0.754186000000029 0 0
"27" 26 1.00584961673152 0.024285 0 0.224384000000005 0 0.217976000000005 0.00034 0.019974 0 0 0 0 0.442316999999987 0.785289000000036 0.778704000000036 0 0
"28" 27 1.00669754795848 0.024361 0 0.243458000000007 0 0.236685000000007 0.00077 0.024339 0 0 0 0 0.453502999999986 0.80754700000003 0.799468000000029 0 0
"29" 28 1.0075975355664 0.026805 0 0.260255000000005 0 0.245272000000007 0.00111 0.0299760000000001 0 0 0 0 0.455528999999986 0.824623000000042 0.816777000000042 0 6.7e-05
"30" 29 1.00855273803017 0.029882 0 0.280702000000002 0 0.259206000000006 0.001008 0.0339680000000001 0 0 0 0 0.459452999999986 0.842618000000049 0.833076000000049 0 0.000201
"31" 30 1.00954717102993 0.031636 0 0.288499 0 0.276103000000002 0.001435 0.041523 0 0 0 0 0.467938999999981 0.853540000000041 0.84344100000004 0 0.000128
"32" 31 1.01055066091799 0.0315370000000001 0 0.304678999999999 0 0.296454000000001 0.002138 0.0477319999999999 0 0 0 0 0.474629999999986 0.866511000000038 0.856232000000038 0 0.00039
"33" 32 1.01163296067589 0.029264 0 0.329285999999996 0 0.310457999999999 0.002838 0.0587069999999999 0 0 0 0 0.478079999999986 0.882223000000051 0.871263000000051 0 0.000655
"34" 33 1.01265875649807 0.0323960000000001 0 0.344840999999994 0 0.327804999999996 0.002637 0.0680159999999996 0 0 0 0 0.484799999999983 0.894690000000058 0.883504000000055 0 0.000963
"35" 34 1.01381825077432 0.0301200000000001 0 0.363446999999994 0 0.351091999999993 0.003592 0.0734749999999996 0 0 0 0 0.491198999999982 0.909372000000065 0.897298000000065 0 0.001961
"36" 35 1.0150105010373 0.031755 0 0.37962599999999 0 0.377663999999992 0.003321 0.0842789999999996 0 6.7e-05 0 0 0.503683999999985 0.921314000000058 0.90825600000006 0 0.00306
"37" 36 1.01620212336559 0.031298 0 0.402390999999987 0 0.392290999999988 0.004863 0.0985699999999993 0 6.1e-05 0 0 0.514790999999986 0.929464000000061 0.91652000000006 0 0.004264
"38" 37 1.01735449657355 0.031472 2e-06 0.425184999999986 0 0.408542999999987 0.00605 0.114208999999999 2.8e-05 6.7e-05 0 5e-06 0.522103999999983 0.94023400000006 0.925856000000058 0 0.006513
"39" 38 1.01853157572615 0.0323540000000001 0 0.436739999999983 0 0.420311999999986 0.00723300000000001 0.123626999999999 0 7.7e-05 0 0 0.523466999999985 0.94967400000006 0.936219000000059 0 0.010754
"40" 39 1.01966520137 0.0333170000000001 0 0.45809099999998 0 0.444817999999981 0.007585 0.139525 0 0.000201 0 4e-06 0.526735999999985 0.95422800000006 0.940599000000061 0 0.014235
"41" 40 1.02074196782271 0.034924 0 0.480674999999977 0 0.461288999999979 0.00982899999999999 0.154642000000001 0.000122 9.8e-05 0 0.000111 0.533595999999991 0.959936000000066 0.946796000000067 0 0.020228
"42" 41 1.021908675892 0.035299 0 0.496224999999979 0 0.480006999999977 0.013017 0.173991000000002 0.00019 0.000146 0 0.000342 0.534966999999989 0.966914000000064 0.954018000000065 0 0.025932
"43" 42 1.02301744680541 0.03591 0 0.508493999999981 0 0.489568999999978 0.014739 0.187251000000004 0.000483 0.000464 0 0.000665 0.536374999999991 0.970726000000056 0.958526000000057 7e-06 0.033773
"44" 43 1.02417447953781 0.0372020000000001 0 0.514611999999979 0 0.511548999999978 0.016482 0.199559000000003 0.000685 0.000626 0 0.000942 0.548578999999992 0.971886000000065 0.960865000000065 0 0.042697
"45" 44 1.0253748120279 0.040051 0 0.519241999999982 0 0.526647999999985 0.019689 0.210051000000005 0.000876 0.000987 0 0.001421 0.561776999999992 0.97379200000006 0.963196000000061 0 0.049278
"46" 45 1.02655911993586 0.0405469999999999 0 0.532838999999988 0 0.541333999999985 0.019007 0.225995000000005 0.000971 0.002138 0 0.002197 0.563105999999992 0.974702000000062 0.965055000000061 0.000134 0.0628509999999998
"47" 46 1.02771810518233 0.038633 0 0.554615999999993 0 0.544612999999985 0.019546 0.244294000000005 0.001715 0.003423 0 0.002547 0.570195999999995 0.978654000000063 0.968585000000064 6.7e-05 0.0715559999999997
"48" 47 1.02902022402166 0.037752 0 0.561307999999988 0 0.555378999999988 0.022537 0.258926000000004 0.00232 0.003719 0 0.002874 0.576345999999992 0.983112000000053 0.972588000000056 0 0.0839009999999999
"49" 48 1.03012642076254 0.036617 0 0.58315199999999 0 0.566025999999991 0.022844 0.275506000000002 0.002925 0.006395 0 0.004079 0.582420999999991 0.984738000000063 0.973349000000063 6.7e-05 0.0971109999999994
"50" 49 1.03109267934528 0.0367270000000001 0 0.589869999999996 6.7e-05 0.578335999999992 0.0263430000000001 0.282428999999999 0.004131 0.006925 0 0.004495 0.586286999999996 0.987671000000055 0.976062000000057 6.4e-05 0.114624999999999
"51" 50 1.03222069473654 0.037211 6.6e-05 0.600130999999998 0.000132 0.587870999999999 0.0314610000000001 0.296488999999999 0.005513 0.006385 0 0.00614400000000001 0.585908999999999 0.98919800000006 0.97738600000006 0 0.135725
"52" 51 1.03325394765204 0.034928 0.000126 0.618443000000001 0.000271 0.593407999999997 0.0310860000000001 0.313766999999995 0.00592500000000001 0.00681200000000001 0 0.007175 0.588798999999999 0.99150500000006 0.98128900000006 0.000126 0.155280000000001
"53" 52 1.03437916120109 0.034524 0.000152 0.626891000000004 0.000201 0.604339000000001 0.0345890000000001 0.333644999999994 0.006859 0.00752900000000001 0 0.008871 0.587824000000001 0.993278000000051 0.983895000000054 0.000171 0.169137000000001
"54" 53 1.03544870925383 0.0364290000000001 0.000402 0.630071000000006 0.000334 0.623793000000004 0.040346 0.345105999999993 0.00759500000000001 0.010096 0 0.010744 0.590305 0.994488000000056 0.985855000000058 0.000466 0.183635000000003
"55" 54 1.03664258161566 0.038757 4e-04 0.640543000000003 0.000332 0.642127000000004 0.0463709999999999 0.360839999999991 0.010569 0.013184 0 0.011211 0.599688999999997 0.995917000000055 0.987146000000056 0.00041 0.202608000000004
"56" 55 1.03769166390831 0.0417829999999999 0.000275 0.649688000000008 0.000388 0.649341000000008 0.048766 0.36956899999999 0.010802 0.014862 0 0.012411 0.604257999999999 0.996489000000052 0.988625000000056 0.000316 0.214830000000004
"57" 56 1.03884557703863 0.04178 0.000503 0.656330000000009 0.000201 0.654176000000008 0.0529009999999999 0.378663999999989 0.012071 0.015075 0 0.012711 0.604313999999998 0.997239000000056 0.989744000000057 0.000267 0.233343000000005
"58" 57 1.03983975225591 0.042116 0.001016 0.66882000000001 0.000201 0.660454000000011 0.0573919999999999 0.39502899999999 0.012433 0.015991 0 0.013923 0.603139000000003 0.996905000000056 0.990387000000058 8.6e-05 0.246585000000005
"59" 58 1.04085879521318 0.043302 0.001189 0.680644000000013 0.000491 0.670592000000009 0.0631179999999999 0.408714999999988 0.013347 0.019575 0 0.017736 0.615056000000001 0.997796000000054 0.991331000000058 1e-04 0.268183000000003
"60" 59 1.04171646286049 0.0441299999999999 0.001318 0.692558000000017 0.000992 0.68234700000002 0.0689569999999998 0.426940999999986 0.014961 0.021748 0 0.020182 0.613183000000004 0.998089000000062 0.992008000000065 2e-04 0.292244
"61" 60 1.04266546655822 0.045505 0.001067 0.703024000000017 0.001234 0.691964000000016 0.0740769999999998 0.444548999999985 0.016503 0.027087 0 0.021748 0.619791 0.998361000000055 0.992503000000058 0.000465 0.309280999999998
"62" 61 1.04352983623006 0.045753 0.001201 0.714757000000019 0.001162 0.706253000000018 0.0816009999999996 0.460562999999982 0.018745 0.0312520000000001 0 0.0278490000000001 0.623572000000004 0.998793000000054 0.993768000000057 0.000802 0.323472999999996
"63" 62 1.0445086672165 0.047587 0.001516 0.725180000000016 0.001776 0.717423000000011 0.0877619999999996 0.472178999999981 0.021414 0.0347260000000001 0 0.0326580000000001 0.629823000000004 0.999123000000049 0.994785000000053 0.000871 0.337129999999994
"64" 63 1.04569418455384 0.048703 0.00189 0.729104000000024 0.002112 0.734133000000025 0.0887399999999994 0.482979999999982 0.0253930000000001 0.0387259999999999 0 0.038644 0.620578000000009 0.999772000000059 0.995103000000061 0.001217 0.358076999999993
"65" 64 1.04685804218131 0.0510009999999999 0.002724 0.738839000000022 0.0024 0.745822000000026 0.0937709999999995 0.487927999999981 0.0274780000000001 0.042357 0 0.04318 0.618190000000004 1.00017800000006 0.99616500000006 0.001019 0.36824599999999
"66" 65 1.04797922714455 0.0549419999999999 0.00307 0.738493000000017 0.00252 0.754392000000024 0.100494999999999 0.503310999999981 0.0306930000000001 0.0465719999999999 0 0.050413 0.612868 0.999559000000052 0.995561000000054 0.001103 0.38135099999999
"67" 66 1.04896223165966 0.0545519999999999 0.003042 0.735140000000019 0.003071 0.766209000000021 0.105195999999999 0.518272999999983 0.034457 0.0564099999999999 0 0.0587689999999998 0.611212999999999 0.998981000000052 0.995067000000057 0.000965 0.398997999999989
