"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000352 0 0 0 0 0 0 0 0 0 0 0.163671 0 0 0 0
"2" 1 0.999999 0.001146 0 0 0 0 0 0 0 0 0 0 0.125617 0 0 0 0
"3" 2 1.000001999997 0.002413 0 0 0 6.7e-05 0 0 0 0 0 0 0.123099 0.000965 0.00096 0 0
"4" 3 1.000000999995 0.003462 0 6.7e-05 0 8.7e-05 0 0 0 0 0 0 0.13025 0.0031 0.003068 0 0
"5" 4 0.999998999993 0.005326 0 0.000338 0 0.000335 0 0 0 0 0 0 0.147611 0.009977 0.010063 0 0
"6" 5 1.000000999991 0.007367 0 0.000913 0 0.000633 0 0 0 0 0 0 0.165929 0.023219 0.023143 0 0
"7" 6 1.000007999998 0.006577 0 0.001568 0 0.002442 0 0 0 0 0 0 0.184271 0.038709 0.038693 0 0
"8" 7 1.000018000078 0.007462 0 0.002845 0 0.003803 0 0 0 0 0 0 0.192839 0.0586049999999999 0.0587179999999999 0 0
"9" 8 1.000035000384 0.009348 0 0.005206 0 0.006661 0 0 0 0 0 0 0.208468 0.0872399999999999 0.0872639999999999 0 0
"10" 9 1.00006700150402 0.010809 0 0.007489 0 0.01077 0 0 0 0 0 0 0.230333 0.1249 0.124921 0 0
"11" 10 1.00010600411708 0.011283 0 0.010329 0 0.014778 0 0 0 0 0 0 0.244128000000001 0.161819000000001 0.161802000000001 0 0
"12" 11 1.00016501037133 0.011981 0 0.014654 0 0.020805 0 0 0 0 0 0 0.256211 0.200012 0.199991 0 0
"13" 12 1.0002200194469 0.011267 0 0.021587 0 0.025548 0 0 0 0 0 0 0.271295999999999 0.241496000000001 0.241327000000001 0 0
"14" 13 1.00030603836858 0.01249 0 0.033758 0 0.0337500000000001 0 0 0 0 0 0 0.282887999999999 0.289955 0.290029 0 0
"15" 14 1.00045908519246 0.011589 0 0.04252 0 0.0428969999999999 0 0.000228 0 0 0 0 0.296895999999999 0.336234999999997 0.336207999999997 0 0
"16" 15 1.00059614808713 0.012887 0 0.0549549999999999 0 0.053751 0 0.000394 0 0 0 0 0.312113999999999 0.380898999999995 0.380596999999995 0 0
"17" 16 1.00075424227854 0.01317 0 0.0606159999999999 0 0.0655079999999998 0 4e-04 0 0 0 0 0.325998999999998 0.421990999999994 0.421388999999994 0 0
"18" 17 1.00099942706792 0.014422 0 0.0725389999999996 0 0.07415 0 0.000689 0 0 0 0 0.344820999999996 0.467268999999991 0.466274999999992 0 0
"19" 18 1.00123065793559 0.014803 0 0.0848689999999997 0 0.0857059999999997 0 0.000969 0 0 0 0 0.362601 0.514589999999995 0.513662999999995 0 0
"20" 19 1.00148396929206 0.016387 0 0.0990729999999993 0 0.0988519999999993 0 0.001642 0 0 0 0 0.374190999999998 0.556762000000005 0.555674000000004 0 0
"21" 20 1.00185652132866 0.019093 0 0.117203999999999 0 0.114609999999999 0 0.002041 0 0 0 0 0.379880999999999 0.591647000000003 0.590347000000003 0 0
"22" 21 1.00225125279808 0.019099 0 0.13353 0 0.132382 0 0.003559 0 0 0 0 0.385313999999998 0.630857000000013 0.628803000000013 0 0
"23" 22 1.0027122883744 0.019563 0 0.148016000000001 0 0.146922000000001 3.5e-05 0.005176 0 0 0 0 0.399150999999997 0.665303000000024 0.662196000000023 0 0
"24" 23 1.00324873944871 0.021681 0 0.165254000000002 0 0.160126000000002 6.7e-05 0.007008 0 0 0 0 0.40728099999999 0.696762000000014 0.693069000000013 0 0
"25" 24 1.00384667569747 0.023934 0 0.181078000000002 0 0.176040000000002 0 0.009413 0 0 0 0 0.411259999999991 0.727499000000024 0.722412000000022 0 0
"26" 25 1.00445299908964 0.022403 0 0.197548000000004 0 0.199174000000005 0 0.012013 0 0 0 0 0.419055999999991 0.751378000000027 0.745464000000026 0 0
"27" 26 1.00521337000999 0.022859 0 0.216040000000005 0 0.215625000000007 6.7e-05 0.016065 0 0 0 0 0.430386999999991 0.776154000000036 0.769001000000035 0 0
"28" 27 1.0060959473489 0.025093 0 0.232723000000005 0 0.233351000000006 6.7e-05 0.019906 0 0 0 0 0.434853999999992 0.799780000000026 0.792781000000026 0 0
"29" 28 1.00699237883802 0.0261060000000001 0 0.250306000000005 0 0.255238000000007 7.9e-05 0.0247620000000001 0 0 0 0 0.449567999999987 0.823911000000041 0.815909000000041 0 5.7e-05
"30" 29 1.00790974889519 0.028927 0 0.262646000000005 0 0.282542000000001 7.4e-05 0.0311450000000001 0 0 0 0 0.458335999999982 0.843090000000049 0.834311000000047 0 6.7e-05
"31" 30 1.00887028688595 0.031247 0 0.287013 0 0.305820999999998 0.000336 0.040599 1.3e-05 0 0 0 0.469359999999985 0.86062800000005 0.849193000000048 0 0.000277
"32" 31 1.00990034344892 0.030412 0 0.306262999999998 0 0.325496999999998 0.000453 0.0486569999999999 5.5e-05 0 0 0 0.461802999999986 0.873222000000051 0.86060200000005 0 0.00073
"33" 32 1.01097891701579 0.0315160000000001 0 0.326309999999996 0 0.340038999999994 0.000954 0.0565379999999998 0.000134 0 0 0 0.470365999999983 0.888313000000048 0.875882000000047 0 0.001107
"34" 33 1.01219916856869 0.0304480000000001 0 0.342529999999995 0 0.356583999999992 0.001314 0.0679489999999998 2e-04 0 0 0 0.474785999999981 0.902332000000054 0.890125000000051 0 0.002103
"35" 34 1.01341077097353 0.029114 0 0.360002999999991 0 0.37375399999999 0.00208 0.0777819999999995 6.7e-05 0 0 0 0.482766999999983 0.914687000000058 0.902249000000056 0 0.003311
"36" 35 1.01457822018176 0.0273070000000001 0 0.375554999999992 0 0.39116599999999 0.002915 0.0912999999999994 0.000133 0 0 0 0.490624999999981 0.924541000000065 0.913011000000063 0 0.005324
"37" 36 1.01581499103223 0.026728 0 0.397453999999989 0 0.407081999999988 0.003342 0.102762999999999 6.7e-05 0 0 6.7e-05 0.49938599999998 0.93632400000006 0.925325000000061 0 0.00761300000000001
"38" 37 1.01688870747781 0.026812 0 0.40922999999999 0 0.419301999999984 0.004706 0.113666999999999 0 6.3e-05 0 0 0.504983999999981 0.942508000000062 0.932307000000062 0 0.00980599999999999
"39" 38 1.01803982549475 0.0278540000000001 0 0.425195999999986 0 0.438767999999982 0.006347 0.123181999999999 0 0.000133 0 0 0.508222999999984 0.947797000000066 0.938222000000065 0 0.013514
