"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000285 0 0 0 0 0 0 0 0 0 0 0.164117 0 0 0 0
"2" 1 1.000003 0.001722 0 0 0 0 0 0 0 0 0 0 0.121099 5.6e-05 5.5e-05 0 0
"3" 2 1.000008000015 0.002666 0 0 0 6e-06 0 0 0 0 0 0 0.120041 0.000619 0.000615 0 0
"4" 3 1.000008000015 0.003559 0 2.7e-05 0 0.000156 0 0 0 0 0 0 0.127341 0.003771 0.003789 0 0
"5" 4 1.000010000031 0.005401 0 0.000238 0 0.000558 0 0 0 0 0 0 0.139329 0.011412 0.011438 0 0
"6" 5 1.000016000091 0.006182 0 0.00081 0 0.001058 0 0 0 0 0 0 0.155763 0.024636 0.024689 0 0
"7" 6 1.000030000315 0.007042 0 0.002393 0 0.002124 0 0 0 0 0 0 0.167485 0.0449999999999999 0.0449919999999999 0 0
"8" 7 1.00004200067501 0.008357 0 0.004807 0 0.004916 0 0 0 0 0 0 0.181195 0.072202 0.072239 0 0
"9" 8 1.00007700214503 0.009439 0 0.007553 0 0.006512 0 0 0 0 0 0 0.199627000000001 0.105794 0.105825 0 0
"10" 9 1.00012200561013 0.009606 0 0.011939 0 0.009913 0 0 0 0 0 0 0.216593 0.138908000000001 0.138945 0 0
"11" 10 1.0001690113444 0.00957499999999999 0 0.016007 0 0.014287 0 0 0 0 0 0 0.230856000000001 0.179306000000001 0.179194000000001 0 0
"12" 11 1.00024002334421 0.010517 0 0.020896 0 0.017815 0 0 0 0 0 0 0.247296000000001 0.216557000000001 0.216681000000001 0 0
"13" 12 1.00033104518634 0.011463 0 0.0281040000000001 0 0.0249570000000001 0 5e-06 0 0 0 0 0.262166999999999 0.262486000000001 0.262446000000001 0 0
"14" 13 1.00040506968369 0.010521 0 0.038098 0 0.030916 0 5.3e-05 0 0 0 0 0.277817 0.304273999999997 0.304094999999997 0 0
"15" 14 1.00051311343123 0.01055 0 0.049563 0 0.0401110000000001 0 0.000334 0 0 0 0 0.289194999999999 0.356377999999996 0.355981999999996 0 0
"16" 15 1.00064418064909 0.012538 0 0.0590359999999999 0 0.0526509999999999 0 0.000589 0 0 0 0 0.306373999999998 0.406864999999995 0.406395999999995 0 0
"17" 16 1.00083830562015 0.014497 0 0.0741129999999996 0 0.0615169999999998 0 0.000868 0 0 0 0 0.323510999999997 0.447318999999994 0.446279999999994 0 0
"18" 17 1.00100044142568 0.015847 0 0.0856629999999996 0 0.0712019999999998 0 0.000932 0 0 0 0 0.340160999999997 0.482703999999993 0.481191999999993 0 0
"19" 18 1.00126670754312 0.015286 0 0.101638999999999 0 0.0848559999999995 0 0.001273 0 0 0 0 0.353124999999997 0.521965999999997 0.520164999999997 0 0
"20" 19 1.00156308248858 0.015963 0 0.111811999999999 0 0.104740999999999 0 0.002131 0 0 0 0 0.369850999999996 0.554578000000005 0.552251000000004 0 0
"21" 20 1.00196070303235 0.018833 0 0.123483999999999 0 0.122737999999999 0 0.002704 0 0 0 0 0.374220999999994 0.591790000000003 0.588432000000002 0 0
"22" 21 1.0023975578989 0.017385 0 0.138759 0 0.136583 0 0.003921 0 0 0 0 0.385949999999995 0.630819000000006 0.626512000000005 0 0
"23" 22 1.0028366080293 0.019614 0 0.157521000000001 0 0.153625000000001 0 0.00603500000000001 0 0 0 0 0.397244999999995 0.656968000000012 0.651327000000012 0 0
"24" 23 1.0033821511441 0.02131 0 0.179168000000002 0 0.168676000000002 9.9e-05 0.00758100000000001 0 0 0 0 0.405112999999994 0.697437000000014 0.691015000000013 0 0
"25" 24 1.00394906205954 0.02404 0 0.195888000000003 0 0.183623000000002 0 0.009975 0 0 0 0 0.410139999999994 0.726164000000017 0.719189000000017 0 0
"26" 25 1.0045333604137 0.025841 0 0.210158000000005 0 0.200570000000005 0.000199 0.012815 0 0 0 0 0.42402999999999 0.75869000000002 0.75186800000002 0 0
"27" 26 1.00526365616676 0.0298260000000001 0 0.229108000000005 0 0.213323000000005 0.000201 0.016662 0 0 0 0 0.441766999999986 0.781360000000043 0.773644000000042 0 0
"28" 27 1.00602665128184 0.0320870000000001 0 0.245104000000006 0 0.233658000000006 0.000388 0.022581 0 0 0 0 0.453381999999987 0.801457000000034 0.794307000000034 0 0
"29" 28 1.00690390652181 0.0309460000000001 0 0.262903000000003 0 0.251229000000007 0.00054 0.0252080000000001 0 0 0 0 0.460940999999984 0.815541000000044 0.807886000000043 0 0
"30" 29 1.00785845142524 0.0330660000000001 0 0.275226000000003 0 0.264700000000005 0.000797 0.0314290000000001 0 0 0 0 0.472919999999987 0.836368000000044 0.828280000000042 0 0
"31" 30 1.00872722541043 0.0340870000000001 0 0.299078000000001 0 0.281131000000003 0.000864 0.037294 0 0 0 0 0.478974999999981 0.855832000000049 0.845653000000048 0 9.7e-05
"32" 31 1.00973494390867 0.033695 0 0.311910999999999 0 0.299313 0.001646 0.042992 0 0 0 0 0.491937999999983 0.87203200000005 0.86161100000005 0 0.000371
"33" 32 1.01079516559983 0.0345390000000001 0 0.330682999999995 0 0.321142999999997 0.001768 0.0521359999999999 0 0 0 6.6e-05 0.504464999999982 0.888954000000062 0.877364000000059 0 0.000745
"34" 33 1.01194747208868 0.0332630000000001 0 0.352119999999993 0 0.334483999999995 0.002056 0.0578489999999999 0 0 0 0.000201 0.509276999999983 0.903090000000051 0.892594000000049 0 0.001299
"35" 34 1.01309299662715 0.0344550000000001 0 0.361951999999988 0 0.357738999999992 0.002986 0.0676129999999997 0 3.9e-05 0 0.000134 0.520925999999985 0.910806000000055 0.899810000000054 0 0.002051
"36" 35 1.01422462150444 0.035453 0 0.371235999999992 0 0.370399999999992 0.003658 0.0754659999999996 0 6.7e-05 0 0.000267 0.522827999999984 0.922474000000067 0.910525000000064 0 0.003452
"37" 36 1.01535142505901 0.036782 0 0.39213199999999 0 0.384277999999992 0.004157 0.0848019999999995 6.7e-05 0 0 0.000134 0.525688999999986 0.935641000000049 0.92375900000005 0 0.00590500000000001
"38" 37 1.01651603314361 0.0353330000000001 0 0.413750999999988 0 0.407207999999986 0.003902 0.0959679999999993 0.00031 0 0 9.3e-05 0.540877999999992 0.945127000000058 0.931124000000059 0 0.00875200000000001
"39" 38 1.01765046503666 0.03704 0 0.430989999999983 0 0.426294999999982 0.005577 0.108833999999999 0.000339 6.7e-05 0 2e-04 0.544051999999989 0.952855000000065 0.939422000000065 0 0.012776
"40" 39 1.018894033905 0.037179 0 0.450432999999982 0 0.437176999999984 0.007255 0.119202999999999 0.000534 9.6e-05 0 0.000155 0.54679199999999 0.959748000000058 0.947084000000057 1.9e-05 0.017787
"41" 40 1.02006474315002 0.040163 3.5e-05 0.458411999999983 0 0.451983999999982 0.00907400000000001 0.131713 0.000466 1.3e-05 0 0.000279 0.558247999999991 0.964876000000066 0.952154000000066 0 0.022271
"42" 41 1.02114805190732 0.0391030000000001 6.7e-05 0.47060099999998 0 0.464670999999981 0.010681 0.144384 0.000684 0.000181 0 0.000333 0.557646999999993 0.969282000000071 0.957287000000071 6e-05 0.0275450000000001
"43" 42 1.02222332080605 0.039734 0.000334 0.481911999999979 0 0.479274999999979 0.013088 0.159683000000001 0.000926 0.000334 0 0.000536 0.558395999999996 0.974656000000061 0.961574000000059 0.000134 0.0350920000000001
"44" 43 1.02333754422579 0.042347 0.000334 0.498050999999979 6.7e-05 0.496530999999975 0.013281 0.175621000000002 0.000879 0.000465 0 0.000667 0.561300999999994 0.979704000000058 0.968652000000059 6.7e-05 0.043178
"45" 44 1.0245072190389 0.041868 0.000267 0.506007999999983 0.00033 0.506251999999978 0.013878 0.188182000000003 0.001041 0.000572 0 0.001055 0.560177999999996 0.982491000000058 0.97214400000006 0 0.0496879999999998
"46" 45 1.02567105923979 0.0436739999999999 4e-04 0.517781999999984 0.000302 0.519033999999981 0.017145 0.203470000000003 0.00139 0.000707 0 0.001563 0.569927999999996 0.984500000000066 0.975136000000068 0 0.0599069999999999
