"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000301 0 0 0 0 0 0 0 0 0 0 0.169956 0 0 0 0
"2" 1 1.000002 0.001424 0 0 0 0 0 0 0 0 0 0 0.122821 0 0 0 0
"3" 2 1.000002 0.002884 0 3.5e-05 0 2.6e-05 0 0 0 0 0 0 0.122874 0.000727 0.000726 0 0
"4" 3 1.000008000012 0.003363 0 8.3e-05 0 4.3e-05 0 0 0 0 0 0 0.13309 0.004371 0.004344 0 0
"5" 4 1.000015000068 0.00535 0 0.00076 0 0.00027 0 0 0 0 0 0 0.153268 0.012436 0.012422 0 0
"6" 5 1.000025000218 0.006666 0 0.001257 0 0.000488 0 0 0 0 0 0 0.173126 0.025194 0.025261 0 0
"7" 6 1.00003900056801 0.008348 0 0.001561 0 0.001367 0 0 0 0 0 0 0.196829 0.043257 0.043248 0 0
"8" 7 1.00004800091901 0.010805 0 0.003622 0 0.002617 0 0 0 0 0 0 0.217325 0.070181 0.070168 0 0
"9" 8 1.00006800187903 0.012408 0 0.00641300000000001 0 0.005037 0 0 0 0 0 0 0.226667 0.0991939999999999 0.0992479999999998 0 0
"10" 9 1.0001020041911 0.012781 0 0.011579 0 0.007126 0 0 0 0 0 0 0.237342 0.132801 0.132734 0 0
"11" 10 1.0001490089853 0.014154 0 0.016627 0 0.011449 0 0 0 0 0 0 0.251551 0.172030000000001 0.171963000000001 0 0
"12" 11 1.000226020459 0.014905 0 0.025622 0 0.016719 0 0 0 0 0 0 0.268431 0.21789 0.217798 0 0
"13" 12 1.00029403582839 0.01496 0 0.032106 0 0.022804 0 0 0 0 0 0 0.277067999999999 0.265694999999999 0.265664999999999 0 0
"14" 13 1.0004000669962 0.0156 0 0.039655 0 0.030931 0 4e-06 0 0 0 0 0.290138999999999 0.310013999999999 0.309976999999999 0 0
"15" 14 1.00053712180538 0.014991 0 0.049767 0 0.0411020000000001 0 6.5e-05 0 0 0 0 0.301544 0.359058999999997 0.358760999999997 0 0
"16" 15 1.00068320022517 0.016104 0 0.0614939999999999 0 0.0499129999999999 0 0.000265 0 0 0 0 0.309624999999999 0.398327999999997 0.398075999999996 0 0
"17" 16 1.00086232251802 0.017798 0 0.0726109999999998 0 0.0607839999999999 0 0.000524 0 0 0 0 0.322658999999999 0.439635999999995 0.439129999999995 0 0
"18" 17 1.0010654975695 0.018718 0 0.0867409999999996 0 0.0732469999999996 2.4e-05 0.00058 0 0 0 0 0.334763999999999 0.483636999999995 0.482755999999995 0 0
"19" 18 1.0013157639439 0.020333 0 0.0993619999999995 0 0.0894489999999995 6.6e-05 0.000768 0 0 0 0 0.352850999999998 0.516646999999995 0.515507999999994 0 0
"20" 19 1.00162316788345 0.022083 0 0.109872999999999 0 0.105776 6.7e-05 0.001657 0 0 0 0 0.359148 0.552330000000002 0.550242000000003 0 0
"21" 20 1.00197073112272 0.0246 0 0.124138999999999 0 0.116157999999999 0.000133 0.002064 0 0 0 0 0.371883999999996 0.590574000000005 0.588008000000005 0 0
"22" 21 1.00234647014692 0.0264840000000001 0 0.137678 0 0.133222 0.000259 0.003549 0 0 0 0 0.380053999999995 0.624931000000009 0.621191000000009 0 0
"23" 22 1.00278449555441 0.028117 0 0.147303000000001 0 0.150365 0.000438 0.004952 0 0 0 0 0.387889999999995 0.651704000000009 0.647181000000009 0 0
"24" 23 1.00330995463013 0.0279260000000001 0 0.160401000000001 0 0.165372000000001 0.000465 0.007328 0 0 0 0 0.392501999999995 0.690488000000019 0.685310000000019 0 0
"25" 24 1.00392899687218 0.0290080000000001 0 0.181191000000003 0 0.180581000000003 0.000467 0.01006 0 0 0 0 0.399952999999995 0.720236000000032 0.714314000000032 0 0
"26" 25 1.00458857822316 0.0308810000000001 0 0.192335000000003 0 0.198146000000003 0.000268 0.0121 0 0 0 0 0.412546999999992 0.744044000000028 0.737435000000027 0 0
"27" 26 1.00528676728506 0.0302400000000001 0 0.203136000000005 0 0.214809000000005 0.000583 0.01669 0 0 0 0 0.421884999999987 0.767610000000029 0.76041600000003 0 0
"28" 27 1.00612015001519 0.031957 0 0.219406000000006 0 0.235061000000006 0.000768 0.019897 0 0 0 0 0.427909999999987 0.795275000000029 0.786375000000028 0 6.2e-05
"29" 28 1.00699547454576 0.0325500000000001 0 0.238683000000006 0 0.251764000000007 0.000534 0.02485 0 0 0 0 0.434911999999992 0.813615000000032 0.803428000000031 0 7.2e-05
"30" 29 1.00792996634618 0.0307310000000001 0 0.257603000000005 0 0.266674000000004 0.000499 0.0293240000000001 0 0 0 0 0.449419999999987 0.832781000000046 0.823439000000043 0 6.7e-05
"31" 30 1.00890866634355 0.034052 0 0.274388000000003 0 0.282061000000001 0.000611 0.036302 0 0 0 0 0.460510999999987 0.845333000000048 0.834791000000049 0 0.000157
"32" 31 1.00991858391862 0.033679 0 0.287372 0 0.302811 0.000654 0.0433289999999999 0 0 0 0 0.465904999999985 0.859940000000045 0.848654000000045 0 0.000354
"33" 32 1.0109779885132 0.0318250000000001 0 0.30232 0 0.316418999999998 0.001071 0.047189 0 0 0 0 0.472632999999987 0.870863000000043 0.858988000000041 0 5e-04
