"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000434 0 0 0 0 0 0 0 0 0 0 0.163899 0 0 0 0
"2" 1 1.000005 0.002119 0 0 0 0 0 0 0 0 0 0 0.127165 7.4e-05 8.3e-05 0 0
"3" 2 1.000005 0.00285 0 6e-06 0 0 0 0 0 0 0 0 0.12449 0.000523 0.00053 0 0
"4" 3 1.00000299999 0.004265 0 0.000114 0 0.000162 0 0 0 0 0 0 0.130018 0.003581 0.003526 0 0
"5" 4 1.000005999999 0.004384 0 0.000268 0 0.000332 0 0 0 0 0 0 0.142526 0.01057 0.010569 0 0
"6" 5 1.000004999993 0.005029 0 0.00062 0 0.000761 0 0 0 0 0 0 0.15202 0.022332 0.022348 0 0
"7" 6 1.000021000073 0.005022 0 0.001343 0 0.001877 0 0 0 0 0 0 0.175725 0.038234 0.038268 0 0
"8" 7 1.000035000367 0.005639 0 0.003201 0 0.002617 0 0 0 0 0 0 0.189659 0.068363 0.068351 0 0
"9" 8 1.00006100127701 0.006486 0 0.00615 0 0.005457 0 0 0 0 0 0 0.206891 0.103729 0.103711 0 0
"10" 9 1.00010000365606 0.006883 0 0.011035 0 0.008452 0 0 0 0 0 0 0.218287 0.138365 0.138332 0 0
"11" 10 1.00014700835624 0.007274 0 0.01612 0 0.012644 0 0 0 0 0 0 0.229377 0.174301000000001 0.174197000000001 0 0
"12" 11 1.00020901747076 0.007893 0 0.022153 0 0.017444 0 0 0 0 0 0 0.244041 0.213270000000001 0.213305000000001 0 0
"13" 12 1.0002630287577 0.007453 0 0.0288550000000001 0 0.023347 0 0 0 0 0 0 0.257901 0.25411 0.254152 0 0
"14" 13 1.00036605584967 0.009019 0 0.036764 0 0.032109 0 0 0 0 0 0 0.268733999999999 0.298143 0.297742 0 0
"15" 14 1.00046909355343 0.010589 0 0.0436869999999999 0 0.0419890000000001 0 0 0 0 0 0 0.283228999999999 0.342335999999998 0.341901999999998 0 0
"16" 15 1.00062116485566 0.012041 0 0.0555979999999999 0 0.0532369999999999 0 0.000135 0 0 0 0 0.293675999999999 0.393410999999994 0.392836999999994 0 0
"17" 16 1.00082829343679 0.013668 0 0.0672109999999999 0 0.0644439999999998 0 0.000355 0 0 0 0 0.309998999999998 0.437736999999992 0.436932999999992 0 0
"18" 17 1.00105047731796 0.014603 0 0.0839949999999996 0 0.0749419999999997 0 0.000761 0 0 0 0 0.323453999999998 0.489464999999993 0.488365999999994 0 0
"19" 18 1.0012877262811 0.016077 0 0.0970139999999995 0 0.0881119999999995 0 0.000996 0 0 0 0 0.332955999999996 0.524408999999998 0.522920999999998 0 0
"20" 19 1.00156007654268 0.018163 0 0.104011999999999 0 0.101973999999999 0 0.001628 0 0 0 0 0.344832999999998 0.563715000000003 0.562076000000002 0 0
"21" 20 1.00191062256949 0.019803 0 0.116653999999999 0 0.114882999999999 0 0.002567 0 0 0 0 0.361128999999999 0.603860000000002 0.601559000000002 0 0
"22" 21 1.00233242694162 0.01956 0 0.130314 0 0.131317999999999 0 0.004088 0 0 0 0 0.369116999999997 0.642778000000007 0.639452000000007 0 0
"23" 22 1.00282757916057 0.019215 0 0.147432 0 0.140774000000001 7e-06 0.00566000000000001 0 0 0 0 0.382490999999994 0.676897000000018 0.672824000000017 0 0
"24" 23 1.00333701557082 0.019537 0 0.165979000000001 0 0.161982000000002 0 0.00725900000000001 0 0 0 0 0.383774999999993 0.704726000000019 0.699887000000019 0 0
"25" 24 1.00391192768079 0.019343 0 0.181604000000003 0 0.186516000000003 5.3e-05 0.009893 0 0 0 0 0.39009999999999 0.729965000000028 0.723271000000027 0 0
"26" 25 1.0046146660302 0.019355 0 0.198951000000003 0 0.204892000000004 0.000134 0.012269 0 0 0 0 0.400858999999991 0.759203000000029 0.751103000000028 0 0
"27" 26 1.00541233007507 0.021108 0 0.218866000000005 0 0.221504000000005 0.000333 0.01557 0 0 0 0 0.405537999999985 0.785072000000042 0.776744000000042 0 2.8e-05
"28" 27 1.00623274653647 0.02192 0 0.240514000000007 0 0.236019000000007 0.00063 0.01812 0 0 0 0 0.414366999999989 0.808343000000036 0.799385000000035 0 0.000155
"29" 28 1.00709005683657 0.021624 0 0.258514000000004 0 0.253512000000007 0.000899 0.0217 0 0 0 0 0.418904999999987 0.825338000000039 0.815897000000039 0 0.000198
"30" 29 1.00803672149004 0.02137 0 0.271004000000004 0 0.265615000000005 0.000939 0.0265770000000001 0 0 0 0 0.434631999999986 0.842905000000048 0.831976000000048 0 0.000578
