"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000203 0 0 0 0 0 0 0 0 0 0 0.164762 0 0 0 0
"2" 1 1.000002 0.001278 0 0 0 0 0 0 0 0 0 0 0.122057 0 0 0 0
"3" 2 1.000006000008 0.002632 0 0 0 0 0 0 0 0 0 0 0.121577 0.000812 0.00082 0 0
"4" 3 1.000007000014 0.003674 0 0.000104 0 8.9e-05 0 0 0 0 0 0 0.130434 0.002986 0.002962 0 0
"5" 4 1.000016000077 0.005722 0 0.000109 0 0.000437 0 0 0 0 0 0 0.14629 0.011433 0.011514 0 0
"6" 5 1.000031000317 0.007028 0 0.000636 0 0.000838 0 0 0 0 0 0 0.167153 0.025189 0.025098 0 0
"7" 6 1.00004800084401 0.007173 0 0.001449 0 0.002094 0 0 0 0 0 0 0.182578 0.041632 0.041619 0 0
"8" 7 1.00006600170802 0.008472 0 0.0027 0 0.003993 0 0 0 0 0 0 0.202163 0.0678119999999999 0.0678839999999999 0 0
"9" 8 1.00007600236804 0.008609 0 0.00512200000000001 0 0.005819 0 0 0 0 0 0 0.221276 0.0990499999999997 0.0989879999999998 0 0
"10" 9 1.0000980040401 0.00945199999999999 0 0.008833 0 0.00791400000000001 0 0 0 0 0 0 0.241835 0.136528 0.136447 0 0
"11" 10 1.00015100923431 0.011248 0 0.012562 0 0.012936 0 0 0 0 0 0 0.259237 0.176708000000001 0.176764000000001 0 0
"12" 11 1.0002040172378 0.012295 0 0.018263 0 0.016729 0 0 0 0 0 0 0.271495 0.215251000000001 0.215303000000001 0 0
"13" 12 1.00028303335517 0.011613 0 0.024781 0 0.023012 0 0 0 0 0 0 0.276890999999999 0.255442 0.255363 0 0
"14" 13 1.00036705712998 0.012727 0 0.032338 0 0.0319110000000001 0 6.7e-05 0 0 0 0 0.293368999999999 0.297952999999998 0.297900999999998 0 0
"15" 14 1.00047509677216 0.012673 0 0.0382060000000001 0 0.0412930000000001 0 0.000145 0 0 0 0 0.298647999999998 0.343235999999997 0.343239999999997 0 0
"16" 15 1.00062916993707 0.014147 0 0.0515669999999999 0 0.0448079999999999 0 0.000581 0 0 0 0 0.308389999999998 0.386288999999994 0.386119999999994 0 0
"17" 16 1.00078726934593 0.014751 0 0.0626069999999998 0 0.052015 0 0.000687 0 0 0 0 0.325563999999999 0.436020999999996 0.435817999999996 0 0
"18" 17 1.00097441656531 0.015392 0 0.0779359999999996 0 0.0648499999999999 0 0.000858 0 0 0 0 0.337369999999998 0.475687999999994 0.475313999999994 0 0
