"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000338 0 0 0 0 0 0 0 0 0 0 0.168751 0 0 0 0
"2" 1 1 0.001323 0 0 0 0 0 0 0 0 0 0 0.123685 0 0 0 0
"3" 2 1.000003 0.002597 0 1.5e-05 0 2e-06 0 0 0 0 0 0 0.120641 0.001071 0.001054 0 0
"4" 3 1.000004000003 0.00462 0 0.000179 0 4.6e-05 0 0 0 0 0 0 0.133152 0.004225 0.004259 0 0
"5" 4 1.000008000019 0.005801 0 0.000588 0 0.000285 0 0 0 0 0 0 0.149855 0.011272 0.011206 0 0
"6" 5 1.000020000115 0.00609 0 0.001622 0 0.000818 0 0 0 0 0 0 0.168206 0.023035 0.022983 0 0
"7" 6 1.000035000415 0.006603 0 0.001793 0 0.001413 0 0 0 0 0 0 0.185287 0.040548 0.040511 0 0
"8" 7 1.00004800087001 0.00749 0 0.003347 0 0.003406 0 0 0 0 0 0 0.196552 0.0633499999999999 0.0633269999999999 0 0
"9" 8 1.00008300255004 0.009322 0 0.005708 0 0.005865 0 0 0 0 0 0 0.208297 0.0965289999999999 0.0964589999999999 0 0
"10" 9 1.00011900553813 0.009998 0 0.00897199999999999 0 0.00985399999999999 0 0 0 0 0 0 0.226948 0.128201 0.128216 0 0
"11" 10 1.00017701244046 0.011033 0 0.013097 0 0.012935 0 0 0 0 0 0 0.23467 0.171225000000001 0.171251000000001 0 0
"12" 11 1.00022102022901 0.012354 0 0.019559 0 0.01944 0 0 0 0 0 0 0.251525 0.208520000000001 0.208503000000001 0 0
"13" 12 1.00028803503737 0.014017 0 0.025039 0 0.028393 0 0 0 0 0 0 0.261 0.256418000000001 0.256411000000001 0 0
"14" 13 1.00037706067249 0.015751 0 0.0316590000000001 0 0.0379910000000001 0 6.7e-05 0 0 0 0 0.276468999999999 0.300287999999999 0.300113999999999 0 0
"15" 14 1.00048810252623 0.017365 0 0.041614 0 0.045226 0 2.1e-05 0 0 0 0 0.289094999999999 0.342079999999997 0.341909999999997 0 0
"16" 15 1.00063817574162 0.019196 0 0.0524879999999999 0 0.0521269999999999 0 0.000239 0 0 0 0 0.304133 0.385789999999995 0.385582999999996 0 0
"17" 16 1.00082029188962 0.018957 0 0.0601909999999998 0 0.059981 0 0.000349 0 0 0 0 0.312480999999998 0.420860999999994 0.420690999999994 0 0
"18" 17 1.00100844610451 0.023483 0 0.0751039999999996 0 0.0695429999999998 0 0.000702 0 0 0 0 0.326909999999998 0.464612999999992 0.464145999999993 0 0
"19" 18 1.00125269216538 0.0248430000000001 0 0.0870419999999996 0 0.0831329999999996 0 0.001663 0 0 0 0 0.339249999999996 0.504072999999992 0.503439999999992 0 0
"20" 19 1.00157008926882 0.026231 0 0.101650999999999 0 0.0991229999999994 0 0.002207 0 0 0 0 0.349772999999995 0.541363 0.540381 0 0
"21" 20 1.00188658541706 0.027248 0 0.116799999999999 0 0.112651999999999 3e-06 0.003374 0 0 0 0 0.361942999999996 0.576045000000009 0.574723000000008 0 0
"22" 21 1.00224425892808 0.026981 0 0.129963 0 0.126031999999999 5.7e-05 0.004655 0 0 0 0 0.367129999999998 0.620499000000006 0.618488000000005 0 0
"23" 22 1.00267321947093 0.027468 0 0.150147000000001 0 0.140998 6.7e-05 0.00777 0 0 0 0 0.376634999999995 0.657745000000017 0.654402000000016 0 0
"24" 23 1.00319360687187 0.029759 0 0.166330000000002 0 0.156500000000002 0.000266 0.00921 0 0 0 0 0.385182999999993 0.685538000000021 0.68077300000002 0 0
"25" 24 1.00375639848537 0.0302460000000001 0 0.184104000000003 0 0.168078000000001 2e-04 0.011885 0 0 0 0 0.388926999999992 0.711462000000021 0.704569000000021 0 0
"26" 25 1.00440482511884 0.0319350000000001 0 0.200470000000003 0 0.183291000000002 0.000134 0.015565 0 0 0 0 0.394620999999991 0.740534000000024 0.733687000000025 0 0
"27" 26 1.00511493933023 0.0301260000000001 0 0.217066000000005 0 0.195506000000005 0.000161 0.02037 0 0 0 0 0.404043999999992 0.760333000000035 0.753200000000035 0 0.000131
"28" 27 1.00588284714393 0.0313350000000001 0 0.230268000000005 0 0.212377000000005 0.000164 0.026547 0 0 0 0 0.407729999999989 0.783884000000036 0.776650000000036 0 0.000338
