"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000308 0 0 0 0 0 0 0 0 0 0 0.165717 0 0 0 0
"2" 1 1.000001 0.001343 0 0 0 0 0 0 0 0 0 0 0.119845 2.1e-05 2.1e-05 0 0
"3" 2 1.000001 0.002208 0 4.6e-05 0 6.6e-05 0 0 0 0 0 0 0.115985 0.000976 0.000984 0 0
"4" 3 1.000002000001 0.002949 0 0.000112 0 0.000192 0 0 0 0 0 0 0.131689 0.004893 0.004865 0 0
"5" 4 1.000007000011 0.005197 0 0.000566 0 0.000285 0 0 0 0 0 0 0.144903 0.012182 0.012185 0 0
"6" 5 1.000008000018 0.007465 0 0.001647 0 0.000623 0 0 0 0 0 0 0.166467 0.025524 0.025468 0 0
"7" 6 1.000026000162 0.007089 0 0.002974 0 0.001927 0 0 0 0 0 0 0.18083 0.044838 0.044845 0 0
"8" 7 1.000045000656 0.008226 0 0.003888 0 0.003469 0 0 0 0 0 0 0.193033 0.0645699999999998 0.0645009999999998 0 0
"9" 8 1.00006700164602 0.007667 0 0.006626 0 0.006236 0 0 0 0 0 0 0.209772 0.0975659999999999 0.0975409999999999 0 0
"10" 9 1.0001130047281 0.011139 0 0.009502 0 0.009564 0 0 0 0 0 0 0.228423 0.128306 0.128381 0 0
"11" 10 1.00015900992632 0.012012 0 0.013646 0 0.01551 0 0 0 0 0 0 0.245894 0.166382000000001 0.166319000000001 0 0
"12" 11 1.00020601739979 0.012222 0 0.018988 0 0.020883 0 0 0 0 0 0 0.262393 0.205710000000001 0.205768000000001 0 0
"13" 12 1.0002640293488 0.014615 0 0.0259050000000001 0 0.025526 0 0 0 0 0 0 0.276638999999998 0.247395000000002 0.247319000000002 0 0
"14" 13 1.00034805152727 0.015238 0 0.0330520000000001 0 0.033634 0 6.7e-05 0 0 0 0 0.284395999999999 0.292844999999998 0.292751999999999 0 0
"15" 14 1.0004320807636 0.017 0 0.041505 0 0.04034 0 0.000147 0 0 0 0 0.299703999999998 0.340931999999996 0.340905999999996 0 0
"16" 15 1.00055913563787 0.018096 0 0.054015 0 0.051039 0 0.000151 0 0 0 0 0.311661999999998 0.391608999999995 0.391293999999995 0 0
"17" 16 1.00073923628229 0.019071 0 0.0682369999999999 0 0.0636529999999999 0 0.000408 0 0 0 0 0.329688 0.429816999999994 0.429350999999994 0 0
"18" 17 1.00096340187123 0.019876 0 0.0777989999999997 0 0.0718899999999996 0 0.000578 0 0 0 0 0.340738999999999 0.468189999999993 0.467227999999993 0 0
"19" 18 1.00121464368512 0.021393 0 0.0907089999999995 0 0.0825489999999997 0 0.000982 0 0 0 0 0.353460999999996 0.505239999999994 0.504210999999994 0 0
"20" 19 1.00148096678036 0.023463 0 0.106450999999999 0 0.0995799999999995 0 0.001335 0 0 0 0 0.362588999999996 0.544749 0.543122 0 0
"21" 20 1.00182247179006 0.025924 0 0.117897999999999 0 0.113761999999999 0 0.001906 0 0 0 0 0.371333999999995 0.582671000000009 0.580670000000009 0 0
"22" 21 1.00221418437656 0.0272190000000001 0 0.134416 0 0.130671 1.2e-05 0.003413 0 0 0 0 0.381363999999994 0.617001000000008 0.613723000000007 0 0
"23" 22 1.00269023611417 0.0298230000000001 0 0.151192000000001 0 0.148443000000001 6.7e-05 0.004441 0 0 0 0 0.386380999999996 0.658956000000011 0.654765000000011 0 0
"24" 23 1.00322667539053 0.0279110000000001 0 0.165881000000002 0 0.164831000000002 0.000194 0.006188 0 0 0 0 0.395210999999994 0.68626700000002 0.681326000000021 0 0
"25" 24 1.00379349846216 0.0279820000000001 0 0.177386000000003 0 0.182610000000004 0 0.008727 0 0 0 0 0.407960999999992 0.714829000000027 0.709555000000027 0 0
"26" 25 1.00446403251918 0.0302560000000001 0 0.194196000000003 0 0.199747000000004 2.1e-05 0.012477 0 0 0 0 0.425327999999991 0.742836000000028 0.735967000000027 0 0
"27" 26 1.00522742518393 0.032811 0 0.214486000000005 0 0.219532000000006 0 0.015092 0 0 0 0 0.43830599999999 0.771051000000036 0.762937000000035 0 0
"28" 27 1.00601150257561 0.033811 0 0.231708000000006 0 0.236312000000006 5.4e-05 0.01663 0 0 0 0 0.448690999999988 0.791812000000032 0.782271000000031 0 1.5e-05
"29" 28 1.00687868449088 0.034008 0 0.249863000000006 0 0.252873000000006 0.000371 0.022055 0 0 0 0 0.457492999999988 0.812491000000036 0.801978000000037 0 0.000115
"30" 29 1.00782917796909 0.0341530000000001 0 0.265345000000005 0 0.271821000000004 0.000586 0.0274020000000001 0 0 0 0 0.469180999999985 0.829213000000044 0.817557000000045 0 0.000382
"31" 30 1.00878460002986 0.036008 0 0.281311000000002 0 0.291945 0.000791 0.035683 0 0 0 0 0.480807999999984 0.847948000000051 0.833576000000051 0 0.000831
"32" 31 1.00980145490675 0.037114 0 0.297021000000001 0 0.306870999999999 0.000649 0.039024 0 0 0 0 0.485456999999987 0.868211000000042 0.854445000000041 0 0.000931
"33" 32 1.01089103067664 0.0374220000000001 0 0.313489999999997 0 0.327530999999997 0.001183 0.048059 0 0 0 0 0.496618999999984 0.883768000000053 0.869693000000052 0 0.000786
"34" 33 1.01205153357992 0.03804 0 0.337286999999994 0 0.334802999999996 0.001777 0.0541419999999999 0 0 0 0 0.50554899999998 0.896005000000054 0.883212000000052 0 0.001224
"35" 34 1.01314151308164 0.037782 0 0.359021999999993 0 0.353220999999993 0.001985 0.0668039999999998 0 0 0 0 0.507307999999983 0.909992000000059 0.897034000000057 0 0.003008
"36" 35 1.01430966524629 0.037567 0 0.371680999999992 0 0.366349999999992 0.002268 0.0774739999999996 0 6.5e-05 0 0 0.510972999999986 0.923812000000055 0.912580000000055 0 0.004519
"37" 36 1.01547713567106 0.0387679999999999 0 0.391456999999987 0 0.379397999999989 0.003707 0.0860809999999994 0 3.1e-05 0 6.7e-05 0.521587999999986 0.933698000000057 0.923057000000056 0 0.006781
"38" 37 1.01661345458593 0.038788 0 0.411004999999987 0 0.397903999999988 0.003626 0.0996399999999993 0 0 0 6.7e-05 0.530803999999984 0.940269000000062 0.930764000000063 6.6e-05 0.00889999999999999
"39" 38 1.01774697858786 0.038412 0 0.429399999999985 0 0.412889999999986 0.00508 0.114490999999999 0 0 0 0 0.539205999999987 0.949120000000063 0.940476000000062 6.7e-05 0.013053
"40" 39 1.01892654733611 0.040713 0 0.448320999999984 0 0.430008999999985 0.00571200000000001 0.133665 0.000144 6.7e-05 0 0 0.543073999999991 0.956860000000064 0.947999000000066 0.000133 0.01769
"41" 40 1.0201258238824 0.042273 0 0.470294999999981 0 0.439831999999981 0.00763300000000001 0.145289 0.000134 0.000257 0 0.000106 0.551082999999988 0.963731000000064 0.955040000000064 0.000134 0.021493
"42" 41 1.02130712958652 0.042091 0 0.485123999999983 0 0.456414999999981 0.00799300000000001 0.157926000000001 2e-04 0.000533 0 0 0.556735999999995 0.966295000000059 0.958080000000061 6.7e-05 0.0275400000000001
"43" 42 1.0224019708295 0.043609 0 0.502684999999978 0 0.471383999999978 0.010168 0.173322000000003 0.000268 0.000908 0 0.000196 0.566524999999994 0.969991000000063 0.959976000000065 6.7e-05 0.0342030000000001
"44" 43 1.02351127696791 0.04596 0 0.513084999999981 0 0.484283999999976 0.012257 0.185060000000003 0.000441 0.000896 0 0.000146 0.566552999999996 0.972621000000062 0.962839000000062 6.7e-05 0.04552
"45" 44 1.02462076319221 0.043958 0 0.520516999999987 0 0.493929999999978 0.013114 0.203192000000004 0.000555 0.001176 0 0.000599 0.572471999999997 0.975421000000053 0.966896000000056 6.7e-05 0.053524
"46" 45 1.02573452596185 0.045235 0 0.53623599999998 0 0.506316999999977 0.015167 0.217998000000004 0.000991 0.001664 0 0.00124 0.574911999999992 0.979067000000057 0.969813000000058 0.000267 0.0642579999999998
"47" 46 1.02717568297089 0.047447 0 0.547948999999989 6.7e-05 0.524269999999982 0.017585 0.231767000000005 0.001145 0.00246 0 0.001548 0.577510999999997 0.98193400000006 0.973729000000062 0.000201 0.0758849999999998
"48" 47 1.02828708705993 0.047688 0 0.558378999999987 6.7e-05 0.534826999999983 0.021313 0.245742000000005 0.001729 0.00303 0 0.001649 0.580234999999995 0.982872000000053 0.975250000000054 0.000267 0.0883909999999995
"49" 48 1.02954879531581 0.048205 0 0.575578999999998 0.000201 0.548494999999989 0.02254 0.260979000000002 0.002323 0.003412 0 0.001742 0.58578 0.985436000000059 0.977476000000061 0.000358 0.105606999999999
"50" 49 1.03070291951542 0.0512479999999999 0 0.582895999999996 0.000189 0.560939999999989 0.0254230000000001 0.272129 0.002662 0.004301 0 0.002077 0.589920999999997 0.989376000000054 0.981230000000056 0.000535 0.119629999999999
"51" 50 1.0315388195832 0.051821 0 0.598000000000003 6.7e-05 0.577666999999993 0.0263710000000001 0.288750999999998 0.003491 0.004976 0 0.003438 0.587199999999998 0.991594000000061 0.983599000000063 0.000734 0.129553999999999
"52" 51 1.03260749380035 0.0493 6.6e-05 0.607945000000002 0.00025 0.587283999999994 0.0313930000000001 0.297736999999998 0.003924 0.00684100000000001 0 0.003802 0.589361999999997 0.994528000000061 0.986793000000064 0.000802 0.138809
"53" 52 1.03368243820146 0.0504049999999999 0 0.620588000000006 0.000281 0.590492999999999 0.034077 0.308412999999996 0.005174 0.00737700000000001 0 0.00534 0.590713 0.996448000000058 0.98922700000006 0.000601 0.153068000000001
"54" 53 1.03481432047136 0.0544919999999999 0 0.628954000000004 0.000183 0.600499999999997 0.038816 0.318189999999995 0.007085 0.009393 0 0.00574 0.587353999999999 0.996425000000062 0.989789000000063 0.000668 0.169155000000002
"55" 54 1.03599400879676 0.0529749999999999 0 0.642109000000008 0.00034 0.611229999999999 0.0465459999999999 0.341149999999992 0.008523 0.011165 0 0.00727600000000001 0.591048999999998 0.996329000000062 0.990461000000065 0.000463 0.189363000000003
"56" 55 1.03711909829038 0.0545449999999999 4.1e-05 0.648053000000009 0.000529 0.620780000000002 0.051164 0.358888999999993 0.009381 0.012522 0 0.010074 0.591624999999997 0.996520000000059 0.991390000000061 0.000335 0.205111000000004
"57" 56 1.03805561683619 0.0549269999999999 0.000251 0.663121000000012 0.000345 0.630701000000005 0.0538269999999999 0.376568999999989 0.011653 0.015546 0 0.013494 0.601323000000004 0.996659000000059 0.99164400000006 0.000201 0.225926000000005
"58" 57 1.03908640606377 0.0546919999999999 0.000534 0.674816000000017 0.00055 0.643947000000008 0.0588479999999999 0.387803999999987 0.015677 0.018857 0 0.015108 0.600222000000005 0.99816900000006 0.993337000000062 0.000477 0.237458000000005
"59" 58 1.04011302343303 0.0583959999999998 0.000534 0.693246000000011 0.001145 0.652642000000005 0.0634609999999998 0.416609999999984 0.016833 0.021119 0 0.017651 0.618515000000002 0.998303000000053 0.993576000000055 0.000793 0.253390000000005
"60" 59 1.04113233419605 0.0590949999999999 0.000704 0.699740000000016 0.001343 0.664589000000009 0.0664039999999998 0.435361999999986 0.019236 0.025841 0 0.020226 0.622196000000007 0.998641000000056 0.993533000000058 0.001136 0.274917000000001
"61" 60 1.04203395479752 0.0608149999999998 0.00066 0.707453000000014 0.001483 0.678327000000014 0.0703949999999999 0.452493999999982 0.023711 0.0286370000000001 0 0.025306 0.620118 0.999481000000055 0.994380000000058 0.001172 0.294034999999999
"62" 61 1.04303430739418 0.0629639999999998 0.000619 0.715399000000013 0.002475 0.690103000000011 0.0776939999999998 0.469360999999983 0.0272800000000001 0.034481 0 0.0315400000000001 0.624365000000003 0.99956800000005 0.994213000000054 0.001157 0.309825999999997
"63" 62 1.04404917977533 0.0618809999999998 0.001122 0.715380000000017 0.002753 0.699548000000016 0.0833199999999996 0.491746999999981 0.0297330000000001 0.0406880000000001 0 0.0368070000000001 0.624648000000007 0.99978900000006 0.993862000000062 0.00163 0.321943999999996
"64" 63 1.04486875838152 0.0646159999999998 0.001544 0.721641000000021 0.003014 0.717576000000019 0.0925479999999995 0.502616999999979 0.0363760000000001 0.0458530000000001 0 0.0405520000000001 0.620366000000007 1.00006200000006 0.994715000000065 0.002292 0.337535999999994
"65" 64 1.04574017892607 0.0667969999999998 0.001989 0.725322000000023 0.003871 0.72745700000002 0.0954409999999995 0.514430999999981 0.0395200000000001 0.0522179999999999 0 0.048866 0.619716000000005 0.999989000000056 0.994832000000059 0.00253 0.358438999999992
"66" 65 1.04657572532909 0.0710229999999998 0.002402 0.736530000000018 0.004274 0.738541000000019 0.103852999999999 0.533872999999987 0.043726 0.0567499999999999 0 0.051378 0.624002000000004 1.00013800000006 0.995253000000058 0.00323 0.37338399999999
"67" 66 1.04753124896638 0.0677549999999997 0.003132 0.744183000000022 0.004762 0.744566000000023 0.106711999999999 0.54073699999999 0.044081 0.0602409999999997 0 0.0566529999999999 0.623347000000005 1.00017000000006 0.995523000000061 0.003533 0.38390999999999
"68" 67 1.04849078759049 0.0700789999999999 0.004892 0.749896000000025 0.005026 0.755546000000027 0.110376 0.54861299999999 0.0482149999999998 0.0639899999999999 0 0.0649359999999998 0.633279000000007 1.00000300000005 0.995371000000058 0.004371 0.401624999999988
"69" 68 1.04926876775494 0.0683969999999997 0.005153 0.754519000000029 0.005844 0.762669000000031 0.116127999999999 0.558685999999992 0.048853 0.0701639999999999 0 0.0705819999999997 0.631060000000009 1.00013100000006 0.995923000000061 0.004446 0.419077999999988
"70" 69 1.04999276320475 0.0722039999999998 0.006309 0.75985500000002 0.00649600000000001 0.768287000000023 0.123206999999999 0.574701999999994 0.0551389999999999 0.0776059999999997 0 0.0754649999999996 0.640466000000004 1.00033600000005 0.996432000000055 0.004801 0.434526999999984
"71" 70 1.05093355672064 0.0721979999999997 0.00696600000000001 0.759945000000026 0.00833 0.77197300000003 0.128809 0.591652999999999 0.0611009999999998 0.0844789999999996 0 0.0808969999999997 0.64213700000001 1.00022100000006 0.996063000000059 0.003778 0.444557999999985
