"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.001225 0 0 0 0 0 0 0 0 0 0 0.133139 0 0 0 0
"2" 1 1.000004 0.002429 0 0 0 0 0 0 0 0 0 0 0.11802 0.000348 0.000336 0 0
"3" 2 1.000004 0.002971 0 0.000248 0 6.7e-05 0 0 0 0 0 0 0.123497 0.002538 0.002554 0 0
"4" 3 1.000002999996 0.004644 0 0.000372 0 0.000383 0 0 0 0 0 0 0.137047 0.008768 0.008763 0 0
"5" 4 1.000007000008 0.005384 0 0.000563 0 0.000848 0 0 0 0 0 0 0.150662 0.01941 0.019359 0 0
"6" 5 1.00002300012 0.006072 0 0.001699 0 0.001842 0 0 0 0 0 0 0.164148 0.039456 0.039513 0 0
"7" 6 1.00004300058 0.006669 0 0.003164 0 0.002867 0 0 0 0 0 0 0.18443 0.062849 0.062944 0 0
"8" 7 1.00007000174102 0.007338 0 0.006368 0 0.00525 0 2e-05 0 0 0 0 0.200188 0.0912729999999998 0.0913429999999998 0 0
"9" 8 1.00010200398108 0.007613 0 0.009667 0 0.007938 0 0.000134 0 0 0 0 0.219175 0.122507 0.122412 0 0
"10" 9 1.00015200908128 0.008487 0 0.01345 0 0.011819 0 0.000134 0 0 0 0 0.234576000000001 0.159374 0.159431 0 0
"11" 10 1.00022502017794 0.009242 0 0.017229 0 0.017752 0 0.000222 0 0 0 0 0.245239 0.199325000000001 0.199228000000001 0 0
"12" 11 1.00030803885462 0.00937499999999999 0 0.022952 0 0.023735 0 0.000267 0 0 0 0 0.256301 0.242283000000001 0.242282000000001 0 0
"13" 12 1.00040406842636 0.010355 0 0.0294700000000001 0 0.0322100000000001 0 0.000162 0 0 0 0 0.275261 0.282463 0.28252 0 0
"14" 13 1.00051211206576 0.012285 0 0.039611 0 0.041463 0 0.000569 0 0 0 0 0.293162 0.321708999999998 0.321580999999998 0 0
