"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000532 0 0 0 0 0 0 0 0 0 0 0.166169 0 0 0 0
"2" 1 0.999998 0.00133 0 0 0 0 0 0 0 0 0 0 0.122892 0 0 0 0
"3" 2 0.999997000002 0.00202 0 0 0 0 0 0 0 0 0 0 0.119617 0.000756 0.000761 0 0
"4" 3 0.999997999998999 0.002571 0 7.7e-05 0 0 0 0 0 0 0 0 0.124782 0.003877 0.003866 0 0
"5" 4 0.999998999996999 0.00334 0 0.000431 0 0.000373 0 0 0 0 0 0 0.139139 0.011596 0.011579 0 0
"6" 5 1.000003999992 0.004498 0 0.000697 0 0.001206 0 0 0 0 0 0 0.157473 0.025015 0.024996 0 0
"7" 6 1.000013000028 0.004868 0 0.001484 0 0.002165 0 0 0 0 0 0 0.170137 0.041731 0.04164 0 0
"8" 7 1.000021000132 0.005054 0 0.003076 0 0.003948 0 5e-06 0 0 0 0 0.180432 0.066442 0.066461 0 0
"9" 8 1.00004700067801 0.006492 0 0.005786 0 0.00604600000000001 0 0 0 0 0 0 0.193966000000001 0.0949839999999998 0.0949149999999998 0 0
"10" 9 1.00008600251104 0.005624 0 0.00825200000000001 0 0.010095 0 0 0 0 0 0 0.20534 0.127768 0.127738 0 0
"11" 10 1.00012600595114 0.007115 0 0.010994 0 0.013875 0 0 0 0 0 0 0.221665000000001 0.167813000000001 0.167728000000001 0 0
"12" 11 1.00016801124339 0.007498 0 0.016587 0 0.019978 0 0 0 0 0 0 0.233001000000001 0.209265000000001 0.209212000000001 0 0
"13" 12 1.00023802300419 0.007831 0 0.021313 0 0.027905 0 6.7e-05 0 0 0 0 0.245753000000001 0.256539 0.256659 0 0
"14" 13 1.00033604633045 0.009288 0 0.0321000000000001 0 0.0325560000000001 0 0.000201 0 0 0 0 0.260681 0.303873999999999 0.303785999999999 0 0
"15" 14 1.00047109169671 0.010511 0 0.0416019999999999 0 0.039853 0 0.000506 0 0 0 0 0.274585999999999 0.345318999999997 0.344818999999997 0 0
"16" 15 1.00062516424484 0.01079 0 0.0521759999999999 0 0.045057 0 0.00083 0 0 0 0 0.288308999999999 0.390267999999997 0.389855999999997 0 0
"17" 16 1.00081528302605 0.012655 0 0.0619909999999999 0 0.0557389999999999 0 0.001261 0 0 0 0 0.304742 0.436819999999995 0.436098999999995 0 0
"18" 17 1.00100743956041 0.01376 0 0.0730349999999998 0 0.0664089999999999 0 0.001717 0 0 0 0 0.319213999999998 0.477691999999991 0.476580999999991 0 0
"19" 18 1.00129673071045 0.013192 0 0.0857839999999995 0 0.0784029999999995 0 0.002259 0 0 0 0 0.336590999999996 0.521055999999993 0.519146999999994 0 0
"20" 19 1.00163617030218 0.013196 0 0.0990189999999993 0 0.0907529999999996 0 0.003877 0 0 0 0 0.342744999999996 0.561549000000002 0.559042000000001 0 0
"21" 20 1.00196871351074 0.014991 0 0.113073999999999 0 0.107455999999999 0 0.004455 0 0 0 0 0.355706999999995 0.593490000000007 0.589797000000007 0 0
"22" 21 1.00236749705875 0.015421 0 0.125757999999999 0 0.123087999999999 0 0.00639500000000001 0 0 0 0 0.366946999999995 0.623987000000014 0.619341000000014 0 0
"23" 22 1.00274037776769 0.016575 0 0.142288 0 0.13995 0 0.00773400000000001 0 0 0 0 0.378243999999991 0.655154000000015 0.650700000000015 0 0
"24" 23 1.0032738356487 0.017356 0 0.155073000000001 0 0.158010000000001 0 0.01025 0 0 0 0 0.382729999999996 0.687657000000013 0.683046000000013 0 0
"25" 24 1.00383466572287 0.017246 0 0.172278000000002 0 0.172908000000003 0 0.013327 0 0 0 0 0.397201999999992 0.717655000000023 0.712017000000022 0 0
"26" 25 1.00449719660228 0.018564 0 0.186233000000003 0 0.189806000000002 6.6e-05 0.016753 0 0 0 0 0.405321999999991 0.738477000000036 0.731925000000035 0 0
"27" 26 1.00519532215396 0.020169 0 0.202467000000003 0 0.204759000000005 0.000116 0.017354 0 0 0 0 0.41405899999999 0.765368000000034 0.759125000000033 0 0
"28" 27 1.00594117708304 0.020398 0 0.213965000000005 0 0.224850000000006 6.7e-05 0.021868 0 0 0 0 0.424513999999986 0.789727000000037 0.783110000000036 0 0
"29" 28 1.00674593002476 0.019928 0 0.229060000000005 0 0.240151000000007 0.000134 0.02558 0 0 0 0 0.432759999999985 0.805554000000043 0.798548000000043 0 8.3e-05
"30" 29 1.00767213628044 0.020873 0 0.247171000000005 0 0.259484000000005 0.000222 0.0289830000000001 0 0 0 0 0.446816999999985 0.822354000000047 0.814594000000047 0 6.7e-05
"31" 30 1.00859516395733 0.022758 0 0.261087000000004 0 0.278578000000003 0.000651 0.037723 0 0 0 0 0.453556999999985 0.845604000000038 0.837006000000038 0 0.000174
"32" 31 1.00961384507297 0.023228 0 0.276901000000002 0 0.294596 0.000786 0.046406 0 0 0 0 0.464162999999986 0.860100000000045 0.849629000000045 0 6.7e-05
"33" 32 1.01059619934428 0.023093 0 0.294417 0 0.311833999999999 0.001099 0.0509739999999999 0 0 0 0 0.471621999999983 0.87780000000006 0.865932000000059 0 0.000521
"34" 33 1.01154818096413 0.023997 0 0.319705999999997 0 0.328068999999997 0.00203 0.0599579999999998 0 0 0 0 0.474924999999983 0.89274200000005 0.88286800000005 0 0.001129
