"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000744 0 0 0 0 0 0 0 0 0 0 0.130742 0 0 0 0
"2" 1 1.000002 0.001767 0 0 0 0 0 0 0 0 0 0 0.115661 0.000182 0.000179 0 0
"3" 2 1.000003000002 0.002357 0 0 0 0.00012 0 0 0 0 0 0 0.125868 0.002195 0.002172 0 0
"4" 3 1.000000999996 0.00316 0 8.9e-05 0 0.000214 0 0 0 0 0 0 0.139188 0.007091 0.007079 0 0
"5" 4 0.999998999994 0.004227 0 0.000291 0 0.000533 0 0 0 0 0 0 0.152367 0.017549 0.017597 0 0
"6" 5 1.000001999991 0.005226 0 0.001004 0 0.000915 0 0 0 0 0 0 0.170273 0.034807 0.03493 0 0
"7" 6 1.000017000021 0.005533 0 0.003021 0 0.002729 0 0 0 0 0 0 0.186366 0.056322 0.056239 0 0
"8" 7 1.000035000327 0.006385 0 0.004202 0 0.006292 0 0 0 0 0 0 0.200629 0.0855919999999999 0.0854989999999998 0 0
"9" 8 1.00008100193702 0.007798 0 0.006451 0 0.009968 0 6.7e-05 0 0 0 0 0.212867 0.119501 0.11942 0 0
"10" 9 1.00011500469109 0.008665 0 0.011436 0 0.013696 0 0.000133 0 0 0 0 0.232491 0.157209 0.157167 0 0
"11" 10 1.00017301136136 0.010914 0 0.017378 0 0.020988 0 6.7e-05 0 0 0 0 0.245777 0.198623000000001 0.198672 0 0
"12" 11 1.00022702070398 0.011775 0 0.02275 0 0.027448 0 0 0 0 0 0 0.259983999999999 0.236922000000001 0.236917000000001 0 0
"13" 12 1.00033304476818 0.012988 0 0.0306790000000001 0 0.0356010000000001 0 3.8e-05 0 0 0 0 0.271949999999998 0.285917999999999 0.285864999999999 0 0
"14" 13 1.00044108073702 0.014584 0 0.0382 0 0.043558 0 0 0 0 0 0 0.286780999999998 0.330552999999996 0.330326999999996 0 0
"15" 14 1.00057914160617 0.015983 0 0.04715 0 0.050485 0 7.3e-05 0 0 0 0 0.294738999999999 0.373464999999997 0.373039999999997 0 0
"16" 15 1.00074423716455 0.015567 0 0.0574109999999998 0 0.062508 0 0.000216 0 0 0 0 0.303195999999999 0.417097999999995 0.416740999999995 0 0
"17" 16 1.00091836666183 0.017541 0 0.0697249999999997 0 0.0759109999999998 0 0.000407 0 0 0 0 0.317214 0.461917999999994 0.461088999999994 0 0
"18" 17 1.00118160819228 0.019135 0 0.0827789999999995 0 0.0913869999999995 0 0.000944 0 0 0 0 0.324052999999996 0.506769999999994 0.505677999999994 0 0
"19" 18 1.00145693313456 0.019612 0 0.0990049999999995 0 0.0969609999999995 5e-05 0.001395 0 0 0 0 0.341209999999997 0.546509000000002 0.545261000000002 0 0
"20" 19 1.00180744306118 0.019716 0 0.111167999999999 0 0.114625999999999 0.000132 0.002495 0 0 0 0 0.356331999999995 0.576833000000008 0.575329000000008 0 0
"21" 20 1.00223922206916 0.019387 0 0.124946999999999 0 0.124476999999999 6.7e-05 0.004222 0 0 0 0 0.364043999999996 0.602582000000012 0.600715000000012 0 0
"22" 21 1.00265014015025 0.020719 0 0.140819 0 0.140661 0 0.00632100000000001 0 0 0 0 0.377744999999995 0.636433000000007 0.633894000000008 0 0
"23" 22 1.00314745461981 0.020379 0 0.156853000000001 0 0.160359000000002 0 0.00844900000000001 0 0 0 0 0.386180999999995 0.669623000000012 0.667041000000012 0 0
"24" 23 1.00373028329098 0.020645 0 0.174125000000003 0 0.174557000000001 0 0.010749 0 0 0 0 0.391538999999994 0.698986000000015 0.695866000000015 0 0
"25" 24 1.00436162963921 0.022497 0 0.196903000000003 0 0.188723000000003 6.7e-05 0.014391 0 0 0 0 0.395937999999991 0.729721000000024 0.725930000000024 0 0
"26" 25 1.00509380926725 0.023766 0 0.213273000000004 0 0.203084000000005 0 0.015953 0 0 0 0 0.404321999999992 0.755987000000026 0.750884000000028 0 0
"27" 26 1.00585667546852 0.0241430000000001 0 0.234282000000006 0 0.222426000000006 6e-05 0.021307 0 0 0 0 0.409817999999995 0.783205000000032 0.776957000000032 0 0
"28" 27 1.00666035495225 0.024086 0 0.251751000000007 0 0.247371000000007 0.00019 0.025676 0 0 0 0 0.417071999999993 0.806794000000038 0.800016000000038 0 0
"29" 28 1.00759554242206 0.025133 0 0.271516000000003 0 0.264101000000004 0.000219 0.033249 0 0 0 0 0.432691999999989 0.822886000000039 0.816552000000039 0 0.000134
"30" 29 1.00850338600584 0.027089 0 0.286258 0 0.284573000000004 0.000432 0.036797 0 0 0 0 0.441634999999986 0.834714000000043 0.827710000000043 0 7.5e-05
"31" 30 1.0094544046989 0.027094 0 0.29412 0 0.303995 0.000925 0.043081 0 0 0 0 0.454861999999989 0.850179000000044 0.842720000000045 6.7e-05 0.000133
"32" 31 1.01055168163685 0.0284270000000001 0 0.312650999999999 0 0.322542999999997 0.001208 0.0475489999999999 0 0 0 0 0.464092999999985 0.863567000000045 0.854975000000046 6.7e-05 0.000259
"33" 32 1.01158951821395 0.028374 0 0.325746999999995 0 0.340124999999995 0.001329 0.0584639999999998 6.7e-05 0 0 0 0.471200999999983 0.877664000000056 0.869025000000055 6.7e-05 0.000601
"34" 33 1.01274273026478 0.0311940000000001 0 0.337764999999997 0 0.353126999999995 0.001178 0.0661509999999998 6.7e-05 0 0 0 0.475569999999985 0.888534000000046 0.878490000000046 0 0.001169
"35" 34 1.01383345418534 0.032954 0 0.357259999999993 0 0.36953299999999 0.001645 0.0731319999999997 0 0 0 0 0.478048999999983 0.902470000000058 0.891833000000058 0 0.002647
"36" 35 1.01494562948464 0.034417 0 0.371054999999991 0 0.38510599999999 0.001684 0.0804479999999996 0 0 0 0 0.490362999999982 0.910544000000055 0.898995000000054 0 0.003998
"37" 36 1.01611180201298 0.0335500000000001 0 0.382239999999991 0 0.39774599999999 0.001969 0.0909259999999995 0 0 0 0 0.494426999999979 0.91879300000006 0.90774400000006 0 0.004773
"38" 37 1.01730776560403 0.035273 0 0.399173999999988 0 0.419957999999986 0.002575 0.107247999999999 6.6e-05 6.7e-05 0 0 0.497980999999981 0.925881000000056 0.914774000000057 0 0.006808
"39" 38 1.01848987722772 0.0352580000000001 0 0.412162999999983 0 0.429897999999984 0.003632 0.117838999999999 0.000134 0 0 0 0.499829999999981 0.931664000000062 0.921103000000062 0 0.01033
"40" 39 1.01971104659059 0.0351930000000001 0 0.424048999999985 0 0.450706999999983 0.004486 0.129486999999999 0.000267 0 0 0 0.51061499999998 0.939013000000058 0.928152000000056 0 0.014083
"41" 40 1.0208918719826 0.0336560000000001 0 0.439990999999981 0 0.463552999999978 0.005402 0.140845 9.2e-05 3.4e-05 0 7.9e-05 0.519648999999985 0.944462000000056 0.932274000000056 0 0.018164
"42" 41 1.0220638558517 0.03501 0 0.446595999999984 0 0.484599999999976 0.007244 0.155327000000001 0.000141 0.00035 0 0.000199 0.515947999999983 0.947182000000055 0.934682000000056 0 0.023602
"43" 42 1.02325762643539 0.0333080000000001 0 0.461074999999982 0 0.503237999999977 0.00868600000000001 0.165630000000002 0.000267 0.000184 0 0.000395 0.51954499999998 0.954866000000056 0.942804000000055 0 0.0310270000000001
"44" 43 1.02452851240749 0.0332540000000001 0 0.474506999999981 0 0.526964999999985 0.00941099999999999 0.182508000000002 0.000478 0.000198 0 0.000134 0.516155999999984 0.957276000000068 0.944769000000068 0 0.039588
"45" 44 1.02572618623857 0.0320370000000001 0 0.489910999999978 0 0.545595999999988 0.012072 0.198693000000003 0.00053 0.000471 0 0.000587 0.523601999999983 0.961225000000069 0.948815000000068 5.3e-05 0.049667
"46" 45 1.02685038213876 0.0305060000000001 0 0.500334999999978 0 0.560840999999989 0.01507 0.212673000000005 0.000694 0.000838 0 0.000993 0.526814999999988 0.964862000000061 0.953509000000061 0.000157 0.0604469999999998
"47" 46 1.02788852787517 0.0318290000000001 0 0.513332999999982 0 0.571692999999993 0.015923 0.229333000000006 0.000674 0.001413 0 0.00053 0.521271999999987 0.970178000000057 0.959272000000058 0.000266 0.0747499999999995
"48" 47 1.0290048148165 0.0315140000000001 0 0.527746999999984 0 0.584462999999993 0.020418 0.240068000000005 0.001091 0.002015 0 0.000811 0.520022999999988 0.972615000000053 0.962538000000053 0.000401 0.0889179999999995
"49" 48 1.03013054608397 0.033667 0 0.533973999999985 1.7e-05 0.605628999999999 0.024982 0.252624000000005 0.001499 0.002523 0 0.000956 0.524636999999987 0.975502000000062 0.965206000000065 4e-04 0.101653999999999
"50" 49 1.03115758623848 0.033704 0 0.550783999999989 5.3e-05 0.615431000000002 0.0270180000000001 0.270776000000002 0.002906 0.002186 0 0.00117 0.525444999999984 0.979787000000057 0.968663000000058 0.000385 0.116899999999999
"51" 50 1.03234754209306 0.0371360000000001 0 0.563676999999993 6.7e-05 0.628630000000006 0.0309350000000001 0.287647 0.003844 0.003243 0 0.001616 0.531715999999987 0.982275000000064 0.971826000000064 0.000436 0.137016
"52" 51 1.03335821033683 0.040907 3.3e-05 0.573096999999992 6.7e-05 0.639828000000004 0.0351610000000001 0.297626999999999 0.004712 0.00511 0 0.002959 0.53782799999999 0.98455400000006 0.975623000000062 0.000526 0.155022000000001
"53" 52 1.03440706892039 0.041741 6.7e-05 0.579639999999992 0.000133 0.645947000000006 0.039664 0.313692999999997 0.006284 0.006649 0 0.004284 0.542137999999988 0.985593000000062 0.977151000000063 0.000586 0.166882000000002
"54" 53 1.03555939839523 0.0438289999999999 6.7e-05 0.593690999999999 0.000242 0.65471400000001 0.044501 0.323355999999995 0.007256 0.008337 0 0.00616 0.539389999999991 0.986875000000058 0.979165000000062 0.000353 0.183659000000002
"55" 54 1.03664155796661 0.0445129999999999 0.000133 0.600664000000003 6.7e-05 0.668518000000012 0.049888 0.339852999999992 0.00773500000000001 0.011285 0 0.0077 0.538416999999987 0.988052000000062 0.980877000000063 0.000473 0.202396000000003
"56" 55 1.0375558758208 0.0456539999999999 0.000134 0.609233000000003 0.000133 0.678144000000013 0.0533139999999999 0.357380999999993 0.009872 0.01397 0 0.009756 0.539095999999987 0.991069000000064 0.983693000000065 0.000334 0.220180000000005
