"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000255 0 0 0 0 0 0 0 0 0 0 0.170262 0 0 0 0
"2" 1 0.999999 0.001182 0 0 0 0 0 0 0 0 0 0 0.122897 6.2e-05 6.8e-05 0 0
"3" 2 0.999998000001 0.002667 0 0 0 6.7e-05 0 0 0 0 0 0 0.123191 0.000585 0.000592 0 0
"4" 3 0.999998000001 0.004146 0 9.7e-05 0 3e-05 0 0 0 0 0 0 0.131016 0.003451 0.003429 0 0
"5" 4 0.999998999999001 0.005358 0 0.00051 0 0.00021 0 0 0 0 0 0 0.140178 0.011307 0.011278 0 0
"6" 5 1.000013999984 0.007383 0 0.001146 0 0.000876 0 0 0 0 0 0 0.158926 0.026412 0.026343 0 0
"7" 6 1.00002800018 0.008036 0 0.002614 0 0.001994 0 0 0 0 0 0 0.176715 0.0445479999999999 0.0445169999999999 0 0
"8" 7 1.000046000684 0.008165 0 0.003863 0 0.003786 0 0 0 0 0 0 0.193934 0.0676919999999999 0.0677039999999999 0 0
"9" 8 1.00008000224803 0.00773 0 0.005039 0 0.005526 0 0 0 0 0 0 0.209327 0.0995389999999998 0.0995659999999998 0 0
"10" 9 1.00012500584813 0.007123 0 0.007212 0 0.008822 0 0 0 0 0 0 0.224604 0.134454 0.134474 0 0
"11" 10 1.00015500959831 0.008223 0 0.011092 0 0.012473 0 0 0 0 0 0 0.242184 0.169252000000001 0.169335000000001 0 0
"12" 11 1.00020301703877 0.010152 0 0.017682 0 0.01973 0 6.7e-05 0 0 0 0 0.249348 0.209248000000001 0.209183000000001 0 0
"13" 12 1.00026803023489 0.010629 0 0.024467 0 0.025585 0 0.000267 0 0 0 0 0.26881 0.255307 0.255252 0 0
"14" 13 1.00034305033716 0.010007 0 0.0315370000000001 0 0.0332180000000001 0 6.7e-05 0 0 0 0 0.282861999999999 0.300849999999998 0.300583999999998 0 0
"15" 14 1.00043608224085 0.009608 0 0.041552 0 0.0440019999999999 0 0.000201 0 0 0 0 0.296184999999999 0.351069999999998 0.351023999999998 0 0
"16" 15 1.00056113675114 0.011079 0 0.051506 0 0.0538889999999999 0 0.000326 0 0 0 0 0.316698999999998 0.400070999999995 0.399781999999995 0 0
"17" 16 1.00070221587143 0.01056 0 0.0613259999999999 0 0.0665859999999998 0 0.00027 0 0 0 0 0.329804 0.437396999999995 0.436767999999995 0 0
"18" 17 1.00093437878552 0.011492 0 0.0761899999999996 0 0.0810649999999996 0 0.000512 0 0 0 0 0.343292999999996 0.479480999999991 0.478629999999991 0 0
"19" 18 1.00122164695224 0.013088 0 0.0939249999999995 0 0.0921559999999996 0 0.001548 0 0 0 0 0.352923999999997 0.526043999999999 0.524059999999999 0 0
"20" 19 1.00154103665765 0.01335 0 0.105138999999999 0 0.103515999999999 1.5e-05 0.002393 0 0 0 0 0.371354999999995 0.560921999999997 0.558174999999996 0 0
"21" 20 1.00189357910259 0.013027 0 0.117136999999999 0 0.116559999999999 0 0.003964 0 0 0 0 0.385065999999994 0.59478600000001 0.59210900000001 0 0
"22" 21 1.00232539523521 0.014867 0 0.13339 0 0.133659 6.7e-05 0.004585 0 0 0 0 0.392775999999994 0.630810000000015 0.626453000000014 0 0
"23" 22 1.00280751375035 0.015021 0 0.144261 0 0.146837 0 0.00586300000000001 0 0 0 0 0.401025999999994 0.660316000000015 0.656170000000014 0 0
"24" 23 1.00337309718814 0.014351 0 0.161390000000001 0 0.157284000000001 0 0.007496 0 0 0 0 0.411973999999992 0.691429000000028 0.686426000000028 0 0
"25" 24 1.00390789504898 0.014962 0 0.177717000000002 0 0.171794000000002 0 0.00901799999999999 0 0 0 0 0.421219999999994 0.72409400000002 0.71834300000002 0 6.7e-05
"26" 25 1.00459356414134 0.016516 0 0.194395000000004 0 0.185243000000002 0.000167 0.011458 0 0 0 0 0.433577999999993 0.745832000000021 0.740270000000021 0 0
"27" 26 1.00530783016547 0.017129 0 0.217195000000005 0 0.198507000000004 0 0.01563 0 0 0 0 0.43780999999999 0.771664000000034 0.765312000000034 0 0
"28" 27 1.00604371549719 0.017502 0 0.233157000000006 0 0.209900000000005 0.000133 0.019295 0 0 0 0 0.439491999999988 0.794429000000025 0.788876000000026 0 6.7e-05
"29" 28 1.00688879221825 0.017289 0 0.251126000000007 0 0.229181000000007 0.000201 0.022046 0 0 0 0 0.450286999999988 0.815693000000039 0.809539000000038 0 6.7e-05
"30" 29 1.00778391635458 0.018655 0 0.267904000000004 0 0.244490000000007 0.00031 0.0257490000000001 0 0 0 0 0.457730999999987 0.831335000000047 0.824207000000045 0 0.000333
"31" 30 1.00867378955277 0.019796 0 0.286056 0 0.263677000000005 0.000845 0.0319110000000001 0 0 0 0 0.462351999999985 0.851626000000047 0.844655000000048 0 0.000531
"32" 31 1.00959571739648 0.022898 0 0.303744999999998 0 0.279464000000003 0.001352 0.03786 0 0 0 0 0.474396999999986 0.87057800000004 0.864211000000041 0 0.000919
"33" 32 1.01060430351821 0.024599 0 0.322098999999997 0 0.298041 0.001837 0.0461839999999999 0 0 0 0 0.483853999999986 0.884035000000045 0.876244000000045 0 0.001526
"34" 33 1.01167958649721 0.023019 0 0.340054999999994 0 0.319972999999998 0.002375 0.0564999999999998 0 6.7e-05 0 0 0.495413999999981 0.89521200000005 0.88745200000005 0 0.001506
"35" 34 1.01276511869358 0.021746 0 0.355375999999992 0 0.339608999999995 0.002819 0.0636369999999998 0 0.000201 0 6.7e-05 0.498310999999979 0.909935000000058 0.901630000000057 0 0.002858
