"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000355 0 0 0 0 0 0 0 0 0 0 0.163128 0 0 0 0
"2" 1 0.999998 0.001225 0 0 0 0 0 0 0 0 0 0 0.119283 0 0 0 0
"3" 2 0.999996000004001 0.002622 0 0 0 6.7e-05 0 0 0 0 0 0 0.117759 6e-04 0.000604 0 0
"4" 3 0.999997999996001 0.003593 0 0.000107 0 0.00011 0 0 0 0 0 0 0.131882 0.003439 0.003467 0 0
"5" 4 1.000011999968 0.005272 0 0.000104 0 0.000196 0 0 0 0 0 0 0.144954 0.012378 0.012337 0 0
"6" 5 1.000017000028 0.006451 0 0.000765 0 0.000319 0 0 0 0 0 0 0.162449 0.025624 0.025627 0 0
"7" 6 1.000022000113 0.007115 0 0.001337 0 0.001633 0 0 0 0 0 0 0.178394 0.040337 0.040278 0 0
"8" 7 1.000044000597 0.00865899999999999 0 0.002819 0 0.00359 0 0 0 0 0 0 0.194268 0.064069 0.064152 0 0
"9" 8 1.00006800165302 0.009772 0 0.005469 0 0.005545 0 0 0 0 0 0 0.209024 0.0959999999999998 0.0960129999999998 0 0
"10" 9 1.00010900444109 0.010397 0 0.007294 0 0.007795 0 0 0 0 0 0 0.211794 0.130429 0.130576 0 0
"11" 10 1.00015900989131 0.011487 0 0.011897 0 0.012346 0 5.2e-05 0 0 0 0 0.224246 0.16712 0.167067 0 0
"12" 11 1.00021601895489 0.011996 0 0.016822 0 0.018201 0 2e-04 0 0 0 0 0.23776 0.207018000000001 0.206944000000001 0 0
"13" 12 1.00027503170001 0.012386 0 0.024663 0 0.023076 0 0.000133 0 0 0 0 0.248175000000001 0.252610000000001 0.252567000000001 0 0
"14" 13 1.00036505645287 0.011252 0 0.0319950000000001 0 0.0308650000000001 0 0.000134 0 0 0 0 0.267045999999999 0.306218999999999 0.306168999999999 0 0
"15" 14 1.00048409989459 0.01201 0 0.039482 0 0.037292 0 0.000134 0 0 0 0 0.277094999999999 0.346773999999997 0.346674999999997 0 0
"16" 15 1.00062216670039 0.013194 0 0.0482079999999999 0 0.0469409999999999 0 0.000192 0 0 0 0 0.286815999999999 0.386323999999997 0.386292999999997 0 0
"17" 16 1.00079527433524 0.014398 0 0.0551829999999999 0 0.0555229999999999 0 0.000527 0 0 0 0 0.297887999999998 0.425183999999995 0.425183999999995 0 0
"18" 17 1.00101845168144 0.013527 0 0.0696839999999998 0 0.0663749999999999 0 0.000935 0 0 0 0 0.306940999999997 0.464858999999992 0.464622999999992 0 0
"19" 18 1.00125469203605 0.012999 0 0.0830929999999995 0 0.0792859999999997 0 0.001411 0 0 0 0 0.316748999999998 0.510183999999995 0.509901999999995 0 0
"20" 19 1.00158110106568 0.014804 0 0.0931219999999994 0 0.0931349999999995 0 0.002368 0 0 0 0 0.326838999999997 0.540233000000004 0.539620000000004 0 0
"21" 20 1.00190761650465 0.015125 0 0.109432999999999 0 0.111840999999999 0 0.00414 0 0 0 0 0.333423999999996 0.577132000000002 0.575796000000002 0 0
"22" 21 1.00234845585593 0.016233 0 0.125460999999999 0 0.123328999999999 9.9e-05 0.004834 0 0 0 0 0.337137999999996 0.610578000000008 0.608698000000008 0 0
"23" 22 1.0027884868281 0.020589 0 0.140504 0 0.140741 3.5e-05 0.006264 0 0 0 0 0.349148999999997 0.648420000000019 0.645689000000019 0 0
"24" 23 1.00329690059095 0.020051 0 0.157472000000001 0 0.155723000000001 0 0.007592 0 0 0 0 0.363832999999996 0.678935000000017 0.675021000000017 0 0
"25" 24 1.00387379630882 0.021752 0 0.179156000000003 0 0.174408000000003 0 0.0105 0 0 0 0 0.369688999999997 0.708030000000018 0.703582000000017 0 0
"26" 25 1.00447110121766 0.022208 0 0.192522000000003 0 0.191488000000004 8.5e-05 0.01216 0 0 0 0 0.378803999999994 0.739338000000027 0.734212000000027 0 0
"27" 26 1.00519432041058 0.023194 0 0.215556000000005 0 0.213219000000005 0.000134 0.015931 0 0 0 0 0.392706999999994 0.767050000000028 0.760629000000028 0 0
