"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000292 0 0 0 0 0 0 0 0 0 0 0.166276 0 0 0 0
"2" 1 0.999999 0.001387 0 0 0 0 0 0 0 0 0 0 0.123274 6.6e-05 6.6e-05 0 0
"3" 2 0.999999 0.00261 0 0 0 6.7e-05 0 0 0 0 0 0 0.114982 0.000627 0.000633 0 0
"4" 3 0.999992000007 0.003426 0 9.2e-05 0 0.000129 0 0 0 0 0 0 0.118372 0.003472 0.003474 0 0
"5" 4 0.999996999967 0.004462 0 0.000279 0 0.000372 0 0 0 0 0 0 0.13625 0.010582 0.010569 0 0
"6" 5 0.999997999964 0.00595 0 0.000493 0 0.000399 0 0 0 0 0 0 0.152133 0.022852 0.022874 0 0
"7" 6 1.000005999948 0.006611 0 0.001301 0 0.001718 0 0 0 0 0 0 0.16947 0.040576 0.040562 0 0
"8" 7 1.000020000032 0.007523 0 0.003165 0 0.002693 0 0 0 0 0 0 0.185472 0.0654089999999999 0.0654559999999998 0 0
"9" 8 1.000057000772 0.00843 0 0.005295 0 0.006469 0 0 0 0 0 0 0.2016 0.0951559999999999 0.095076 0 0
"10" 9 1.00008700248203 0.008712 0 0.008986 0 0.009107 0 0 0 0 0 0 0.212718 0.131664 0.131687 0 0
"11" 10 1.00013000622314 0.00899699999999999 0 0.01291 0 0.013414 0 0 0 0 0 0 0.229166 0.174804 0.174611 0 0
"12" 11 1.00016601090336 0.00897799999999999 0 0.018696 0 0.018705 0 5.2e-05 0 0 0 0 0.242385000000001 0.215802000000001 0.215724000000001 0 0
"13" 12 1.00025202518031 0.008936 0 0.026647 0 0.025173 0 0.000134 0 0 0 0 0.253182 0.264475 0.264425 0 0
"14" 13 1.00036505365916 0.009809 0 0.03441 0 0.0341630000000001 0 0.000163 0 0 0 0 0.270936 0.303750999999998 0.303524999999997 0 0
"15" 14 1.00051010659195 0.011493 0 0.0454559999999999 0 0.046828 0 0.000348 0 0 0 0 0.279126999999999 0.345676999999997 0.344947999999997 0 0
"16" 15 1.00068519586062 0.012192 0 0.0577229999999999 0 0.0562039999999999 0 0.000362 0 0 0 0 0.293406999999998 0.390758999999996 0.389947999999995 0 0
"17" 16 1.0009103500297 0.012087 0 0.0671479999999998 0 0.0724609999999999 0 0.000437 0 0 0 0 0.304474999999998 0.432269999999996 0.431291999999996 0 0
"18" 17 1.00110853027901 0.013284 0 0.0775539999999995 0 0.0791189999999997 0 0.000979 0 0 0 0 0.314956999999997 0.476004999999992 0.474991999999992 0 0
"19" 18 1.00138283401631 0.014825 0 0.0908899999999996 0 0.0928679999999994 6.7e-05 0.002014 0 0 0 0 0.327571999999999 0.515532999999995 0.513733999999994 0 0
"20" 19 1.00170027237471 0.01635 0 0.101847999999999 0 0.107484999999999 0.000134 0.002788 0 0 0 0 0.342686999999997 0.560413000000005 0.558949000000005 0 0
"21" 20 1.00202883006408 0.019363 0 0.118698999999999 0 0.125457999999999 0.000147 0.00397 0 0 0 0 0.355816999999994 0.600118000000008 0.597508000000007 0 0
"22" 21 1.00244567405742 0.020589 0 0.133713 0 0.145281 0.000134 0.00441 0 0 0 0 0.362894999999996 0.631324000000006 0.628241000000005 0 0
"23" 22 1.0028997819478 0.022079 0 0.151245000000001 0 0.156214000000001 0.00025 0.005089 0 0 0 0 0.368492999999993 0.66655500000001 0.66169000000001 0 0
"24" 23 1.00342831013294 0.02163 0 0.161388000000001 0 0.173371000000002 0.000201 0.006542 0 0 0 0 0.375450999999991 0.688340000000019 0.683546000000019 0 0
"25" 24 1.0039952471282 0.020447 0 0.179629000000003 0 0.190737000000004 0.000145 0.008015 0 0 0 0 0.388442999999993 0.711762000000021 0.70641500000002 0 0
