"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000447 0 0 0 0 0 0 0 0 0 0 0.164136 0 0 0 0
"2" 1 0.999998 0.001725 0 0 0 0 0 0 0 0 0 0 0.123236 1e-05 6e-06 0 0
"3" 2 1.00000299999 0.002925 0 0 0 0 0 0 0 0 0 0 0.115544 0.00077 0.000778 0 0
"4" 3 0.999999999981 0.003239 0 0 0 0.000122 0 0 0 0 0 0 0.12372 0.003468 0.003504 0 0
"5" 4 1.000002999981 0.004078 0 0.000246 0 0.000608 0 0 0 0 0 0 0.133446 0.010715 0.010699 0 0
"6" 5 1.000011000005 0.005082 0 0.000704 0 0.001175 0 0 0 0 0 0 0.154145 0.023641 0.023627 0 0
"7" 6 1.000015000049 0.005019 0 0.001528 0 0.002358 0 0 0 0 0 0 0.177 0.039699 0.039772 0 0
"8" 7 1.000036000364 0.005944 0 0.00365 0 0.00437 0 0 0 0 0 0 0.192187 0.063457 0.063486 0 0
"9" 8 1.00004800079601 0.006671 0 0.00602 0 0.005401 0 0 0 0 0 0 0.213534000000001 0.0920729999999998 0.0921349999999998 0 0
"10" 9 1.00009400300405 0.007216 0 0.009511 0 0.00929 0 0 0 0 0 0 0.230417 0.126227 0.126172 0 0
"11" 10 1.00013800714018 0.008475 0 0.013552 0 0.012558 0 0 0 0 0 0 0.252282 0.166894000000001 0.166770000000001 0 0
"12" 11 1.00020501638666 0.010551 0 0.017479 0 0.017314 0 0 0 0 0 0 0.266411 0.201326000000001 0.201344000000001 0 0
"13" 12 1.00026602889267 0.010874 0 0.024646 0 0.02388 0 0 0 0 0 0 0.280915999999999 0.246625000000002 0.246757000000002 0 0
"14" 13 1.00036405496351 0.011188 0 0.032247 0 0.0297820000000001 0 5e-06 0 0 0 0 0.293573999999999 0.288334999999998 0.288371999999998 0 0
"15" 14 1.00050510629527 0.011669 0 0.041425 0 0.03949 0 2.3e-05 0 0 0 0 0.301497999999999 0.335671999999998 0.335705999999998 0 0
"16" 15 1.00066018458675 0.011945 0 0.0507849999999999 0 0.051299 0 2.3e-05 0 0 0 0 0.316461999999998 0.379269999999997 0.378508999999997 0 0
"17" 16 1.00084830870146 0.012554 0 0.0589549999999998 0 0.0619219999999998 0 0.000239 0 0 0 0 0.322236999999999 0.418643999999996 0.417913999999996 0 0
"18" 17 1.00105648514969 0.011515 0 0.0734779999999997 0 0.0717909999999999 0 0.000836 0 0 0 0 0.334581999999999 0.460074999999994 0.458205999999994 0 0
"19" 18 1.00130474715802 0.012401 0 0.0836239999999997 0 0.0823049999999998 0 0.001154 0 0 0 0 0.342465999999997 0.499878999999991 0.498355999999991 0 0
"20" 19 1.00160213466794 0.013173 0 0.0972439999999994 0 0.0985569999999994 0 0.001907 0 0 0 0 0.364151999999994 0.538998999999999 0.537132999999998 0 0
"21" 20 1.00198174187701 0.013932 0 0.113899999999999 0 0.111279999999999 0 0.002184 0 0 0 0 0.373293999999996 0.572208999999993 0.569633999999993 0 0
"22" 21 1.00235447908501 0.014428 0 0.132021 0 0.128189999999999 0 0.004042 0 0 0 0 0.385059999999996 0.606360000000007 0.603226000000007 0 0
"23" 22 1.0027925079924 0.014146 0 0.147725000000001 0 0.144668 6.7e-05 0.00608 0 0 0 0 0.390760999999994 0.645759000000013 0.641870000000012 0 0
"24" 23 1.00331095171908 0.013243 0 0.167468000000001 0 0.161962000000001 6.7e-05 0.00793100000000001 0 0 0 0 0.400643999999992 0.677744000000014 0.674050000000014 0 0
"25" 24 1.00388986213826 0.0141 0 0.187954000000003 0 0.177149000000003 5.3e-05 0.010833 0 0 0 0 0.407471999999994 0.708477000000019 0.702902000000019 0 0
"26" 25 1.00454841388785 0.015519 0 0.205468000000004 0 0.195644000000004 0.000178 0.014057 0 0 0 0 0.417168999999994 0.73811600000002 0.730339000000019 0 0
"27" 26 1.00527872058478 0.015712 0 0.225209000000005 0 0.212482000000005 0.000287 0.017128 0 0 0 0 0.425000999999991 0.763913000000026 0.755102000000026 0 0
"28" 27 1.00602162155932 0.015753 0 0.244357000000006 0 0.228513000000006 0.000614 0.019813 0 0 0 0 0.435531999999989 0.788156000000035 0.779176000000034 0 5.1e-05
"29" 28 1.00681939670526 0.016941 0 0.256304000000006 0 0.244020000000007 0.000697 0.0264810000000001 0 0 0 0 0.446680999999985 0.810915000000039 0.801735000000037 0 0.000196
"30" 29 1.00770338413562 0.016871 0 0.271913000000002 0 0.262402000000007 0.000657 0.0300870000000001 0 0 0 0 0.459121999999982 0.830650000000047 0.820540000000045 0 0.000472
"31" 30 1.00874534943488 0.01923 0 0.287508 0 0.282518000000001 0.000602 0.036259 0 0 0 0 0.464547999999984 0.850356000000045 0.840287000000044 0 0.00109
"32" 31 1.00974501607624 0.020541 0 0.302213999999999 0 0.298755999999999 0.000722 0.039867 0 0 0 0 0.473021999999985 0.864255000000044 0.854360000000043 0 0.00124
"33" 32 1.01078808267791 0.022877 0 0.313443999999997 0 0.318603999999998 0.000953 0.0474279999999999 0 0 0 0 0.479790999999986 0.877201000000046 0.866553000000047 0 0.00203
"34" 33 1.0118827661715 0.023702 0 0.327896999999995 0 0.339641999999995 0.001961 0.0550419999999998 0 0 0 0 0.490752999999983 0.891381000000057 0.878495000000055 0 0.003074
"35" 34 1.01306160959416 0.023294 0 0.344359999999993 0 0.356802999999993 0.002409 0.0624229999999998 0 0 0 0 0.492669999999981 0.902503000000052 0.889981000000051 0 0.003315
"36" 35 1.01418104267282 0.022822 0 0.362012999999994 0 0.364503999999994 0.00321 0.0707669999999996 0 6.1e-05 0 0 0.49760399999998 0.912375000000059 0.901192000000056 0 0.004119
"37" 36 1.01537980466534 0.0237590000000001 0 0.37661699999999 0 0.378997999999992 0.004091 0.0814579999999995 0 4.8e-05 0 0 0.500267999999984 0.923664000000055 0.909965000000052 0 0.006925
"38" 37 1.01660435270982 0.025583 0 0.39060099999999 0 0.394032999999989 0.005015 0.0941969999999993 0 0.00013 0 0 0.50138799999998 0.935040000000057 0.921745000000058 0 0.01105
"39" 38 1.01787104173336 0.0257720000000001 0 0.411508999999988 0 0.411565999999985 0.00639300000000001 0.105553999999999 0 0.000359 0 0 0.508249999999979 0.943198000000055 0.928365000000054 0 0.013604
"40" 39 1.01906500446537 0.0280640000000001 0 0.428189999999984 0 0.429423999999984 0.00785000000000001 0.115005999999999 1.2e-05 0.000501 0 6.9e-05 0.51147499999998 0.950429000000059 0.937307000000058 0 0.017317
