"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000216 0 0 0 0 0 0 0 0 0 0 0.167437 0 0 0 0
"2" 1 1 0.000974 0 0 0 0 0 0 0 0 0 0 0.121914 4.3e-05 4.1e-05 0 0
"3" 2 1.000001 0.00227 0 0 0 0 0 0 0 0 0 0 0.114107 0.000344 0.00035 0 0
"4" 3 1.000001 0.003407 0 0 0 0 0 0 0 0 0 0 0.123085 0.003468 0.003475 0 0
"5" 4 1.000007000006 0.004157 0 0.000163 0 8e-05 0 0 0 0 0 0 0.140718 0.011756 0.011785 0 0
"6" 5 1.000008000013 0.005102 0 0.000792 0 0.000784 0 0 0 0 0 0 0.16339 0.024879 0.024982 0 0
"7" 6 1.000016000077 0.005861 0 0.001643 0 0.001217 0 0 0 0 0 0 0.172607 0.043961 0.044065 0 0
"8" 7 1.000042000493 0.007638 0 0.00313 0 0.002976 0 0 0 0 0 0 0.188761 0.068932 0.068945 0 0
"9" 8 1.00005900120701 0.008638 0 0.006648 0 0.005014 0 0 0 0 0 0 0.205529 0.101109 0.101064 0 0
"10" 9 1.00009900356706 0.010603 0 0.010101 0 0.008959 0 0 0 0 0 0 0.224422 0.138518 0.138556 0 0
"11" 10 1.00014400802222 0.011291 0 0.014877 0 0.013033 0 0 0 0 0 0 0.236073 0.17488 0.174836 0 0
"12" 11 1.00020901738275 0.010681 0 0.021984 0 0.018784 0 0.000133 0 0 0 0 0.253009 0.221025000000001 0.220912000000001 0 0
"13" 12 1.00030103661235 0.010796 0 0.029848 0 0.023321 0 0.000134 0 0 0 0 0.269796 0.263456 0.263522 0 0
"14" 13 1.0003840615984 0.01075 0 0.0391 0 0.0297850000000001 0 5.8e-05 0 0 0 0 0.276815999999999 0.310668999999998 0.310490999999998 0 0
"15" 14 1.000491102693 0.012004 0 0.0469259999999999 0 0.038155 0 6.6e-05 0 0 0 0 0.284191999999999 0.350972999999998 0.350884999999998 0 0
"16" 15 1.00062416800967 0.01319 0 0.0600209999999999 0 0.0496149999999999 0 0.000336 0 0 0 0 0.295804999999998 0.399697999999994 0.399360999999994 0 0
"17" 16 1.00079027162157 0.013483 0 0.0727899999999997 0 0.0604799999999998 0 0.000363 0 0 0 0 0.306561999999998 0.441569999999992 0.441179999999993 0 0
"18" 17 1.00099243125644 0.013256 0 0.0816189999999997 0 0.0731549999999998 0 0.000364 0 0 0 0 0.317963999999999 0.486441999999994 0.485822999999995 0 0
"19" 18 1.00125268928858 0.013983 0 0.0972849999999993 0 0.0876999999999996 0 0.001092 0 0 0 0 0.334337000000001 0.526378999999997 0.525640999999997 0 0
"20" 19 1.00158510518145 0.013627 0 0.111134999999999 0 0.104147999999999 0 0.001579 0 0 0 0 0.349967999999996 0.559026000000004 0.557608000000004 0 0
"21" 20 1.00198674080866 0.01487 0 0.128065999999999 0 0.116798999999999 0.000133 0.002844 0 0 0 0 0.368555999999996 0.595898000000005 0.593942000000005 0 0
"22" 21 1.00237651365086 0.015689 0 0.142826 0 0.135681 0.00017 0.004824 0 0 0 0 0.378184999999997 0.630940000000007 0.627574000000008 0 0
"23" 22 1.00282557832901 0.016684 0 0.158318000000001 0 0.154665000000001 0.000427 0.007144 0 0 0 0 0.390824999999996 0.667725000000017 0.663335000000016 0 0
"24" 23 1.00340521151332 0.017154 0 0.177823000000002 0 0.166974000000002 0.000402 0.010965 0 0 0 0 0.402554999999994 0.699360000000015 0.693993000000014 0 0
"25" 24 1.0040092614507 0.017226 0 0.195026000000003 0 0.185140000000003 0.000537 0.014359 0 0 0 0 0.419285999999991 0.724080000000026 0.718824000000025 0 0
"26" 25 1.00473114410972 0.01685 0 0.205620000000004 0 0.203936000000004 0.000427 0.016577 0 0 0 0 0.425136999999995 0.75092600000002 0.74522200000002 0 0
"27" 26 1.0054726356941 0.018291 0 0.226845000000006 0 0.223994000000007 0.00059 0.021278 0 0 0 0 0.428629999999994 0.779075000000031 0.77210600000003 0 0
"28" 27 1.0062488605689 0.018202 0 0.240499000000006 0 0.244754000000007 0.000439 0.0280950000000001 0 0 0 0 0.43746499999999 0.798140000000035 0.790894000000036 0 0
"29" 28 1.00713838456169 0.017463 0 0.253572000000006 0 0.263423000000005 0.000451 0.031864 0 0 0 0 0.447398999999988 0.81595800000004 0.80927400000004 0 4.5e-05
"30" 29 1.00806394473716 0.017142 0 0.275907000000002 0 0.282646000000003 0.000641 0.034847 0 0 0 0 0.457512999999992 0.83719000000004 0.829833000000038 0 0.00041
"31" 30 1.00908007319351 0.016333 0 0.296507 0 0.296047000000002 0.00082 0.041676 0 0 0 0 0.46725799999998 0.85609400000005 0.848117000000049 0 0.000811
"32" 31 1.01012245290919 0.017302 0 0.309670999999998 0 0.310029000000001 0.001328 0.050236 0 0 0 0 0.478337999999982 0.866825000000052 0.858305000000053 0 0.001287
"33" 32 1.01119217258688 0.016776 0 0.327661999999996 0 0.331299999999996 0.001508 0.0578849999999999 4.4e-05 0 0 0 0.487078999999983 0.882831000000056 0.873049000000054 0 0.002023
"34" 33 1.01224482363861 0.019314 0 0.345463999999994 0 0.346087999999996 0.001745 0.0695529999999996 2e-04 0 0 4e-05 0.49088599999998 0.89381300000006 0.88329300000006 0 0.002764
"35" 34 1.01342206436857 0.017752 0 0.360529999999992 0 0.36971099999999 0.003136 0.0811369999999995 0.000134 0 0 0.000199 0.499996999999981 0.906242000000061 0.895528000000061 0 0.003935
"36" 35 1.01453784206151 0.017507 0 0.371174999999992 0 0.38089199999999 0.004094 0.0930489999999993 0.000268 0 0 0.000134 0.503345999999983 0.918488000000055 0.906680000000053 0 0.004774
"37" 36 1.01575528747205 0.018202 0 0.386994999999988 0 0.392802999999987 0.004589 0.100762999999999 0.000134 0 0 6.7e-05 0.508026999999982 0.931030000000061 0.91870800000006 0 0.007452
"38" 37 1.01693356360558 0.019751 0 0.397678999999986 0 0.407805999999987 0.005322 0.111043999999999 0.000133 0 0 6.6e-05 0.51446799999998 0.936633000000066 0.921569000000063 0 0.009466
"39" 38 1.01809896946955 0.022373 0 0.420928999999986 0 0.425591999999983 0.00647600000000001 0.125870999999999 2e-04 0.00013 0 0.000267 0.515893999999986 0.946275000000062 0.92981200000006 0 0.012927
"40" 39 1.01937261128042 0.02474 0 0.441418999999985 0 0.443233999999983 0.007803 0.137219 0.000133 0.000317 0 0.000334 0.513841999999984 0.953052000000058 0.935994000000056 0 0.017864
"41" 40 1.02054081229301 0.02491 0 0.454996999999981 0 0.460918999999981 0.009506 0.149038000000001 0.000115 0.000459 0 0.000699 0.519210999999984 0.958724000000061 0.94366500000006 0 0.0244010000000001
"42" 41 1.02173892720671 0.023603 0 0.472648999999982 0 0.476687999999979 0.010687 0.157337000000002 0.000134 0.000804 0 0.001215 0.524793999999987 0.96426200000005 0.94924300000005 0 0.0291770000000001
"43" 42 1.02293844870731 0.02492 0 0.484518999999979 6.7e-05 0.497877999999976 0.012827 0.170911000000003 0.000286 0.001228 0 0.001052 0.532353999999986 0.966740000000061 0.95154600000006 0 0.037953
"44" 43 1.02415881427668 0.024287 0 0.49292399999998 0 0.508321999999978 0.014802 0.181855000000002 0.000367 0.002198 0 0.001871 0.538891999999989 0.970606000000059 0.955227000000059 0 0.0500729999999999
"45" 44 1.02530075135466 0.022592 0 0.510002999999982 0 0.51321499999998 0.01495 0.191838000000002 0.000374 0.003319 0 0.001808 0.533888999999989 0.97369900000006 0.96144200000006 0 0.0615209999999998
"46" 45 1.02646651830901 0.022774 0 0.516837999999981 0 0.529178999999987 0.017904 0.204760000000004 0.000721 0.003978 0 0.001943 0.534861999999989 0.977546000000065 0.964234000000066 0.000111 0.0705719999999998
"47" 46 1.02773009859312 0.022691 6.7e-05 0.532754999999987 0 0.538467999999983 0.019764 0.223195000000004 0.000921 0.004711 0 0.002171 0.536791999999988 0.980822000000052 0.968940000000053 0.000268 0.0816269999999997
"48" 47 1.02884724121035 0.024301 6.7e-05 0.543600999999985 0 0.546489999999988 0.023266 0.235151000000005 0.001067 0.005721 0 0.002668 0.55039699999999 0.983455000000067 0.972734000000069 0.000267 0.0945959999999995
"49" 48 1.02990695386886 0.0274500000000001 0.000134 0.55281799999999 0 0.56141199999999 0.025764 0.254378000000005 0.001854 0.00729100000000001 0 0.004362 0.555994999999993 0.984756000000053 0.974627000000056 0.000334 0.109589999999999
"50" 49 1.0309811468218 0.029856 0.000332 0.56335699999999 0 0.566364999999991 0.0294540000000001 0.270207000000001 0.002315 0.00848600000000001 0 0.00580600000000001 0.559207999999991 0.985858000000057 0.975552000000059 0.000266 0.128068999999999
"51" 50 1.03206058408259 0.0313200000000001 0.000334 0.572040999999992 0 0.579937999999992 0.0319040000000001 0.289642999999999 0.002709 0.010179 0 0.008496 0.559315999999992 0.987375000000056 0.976755000000058 0.000412 0.138355
"52" 51 1.03323197284558 0.0326530000000001 0.000535 0.582814999999999 0 0.597150999999996 0.0366860000000001 0.304956999999996 0.003732 0.011611 0 0.010488 0.565865999999996 0.986792000000056 0.976873000000058 0.000622 0.152721000000001
"53" 52 1.03432099934502 0.0326110000000001 0.000601 0.599604000000002 0 0.609386000000001 0.04111 0.325350999999995 0.005012 0.012742 0 0.012758 0.565335999999995 0.989587000000055 0.980505000000058 0.000978 0.173269000000002
"54" 53 1.03556115022329 0.0330560000000001 0.000534 0.614785000000003 0 0.612225 0.045335 0.340105999999994 0.007354 0.015613 0 0.01537 0.564829999999994 0.990202000000059 0.982262000000061 0.001068 0.191850000000003
"55" 54 1.03660292474047 0.036159 0.000613 0.626122000000008 0 0.626773000000004 0.0467649999999999 0.357060999999991 0.00899300000000001 0.018603 0 0.018347 0.567837999999996 0.992284000000053 0.984759000000053 0.001423 0.202109000000003
"56" 55 1.03761361259215 0.03977 0.00057 0.632293000000003 0 0.635865000000007 0.0497379999999999 0.37172199999999 0.010941 0.020612 0 0.020807 0.570499999999997 0.993202000000057 0.985450000000059 0.001199 0.214991000000004
"57" 56 1.03862839870533 0.042378 0.000668 0.63575000000001 1.8e-05 0.646026000000006 0.0560439999999999 0.388080999999988 0.01185 0.02412 0 0.023437 0.56923 0.99415600000006 0.98632300000006 0.001767 0.230750000000005
"58" 57 1.03971480401043 0.043356 0.000649 0.64987300000001 6.7e-05 0.66071100000001 0.0597979999999999 0.399018999999988 0.014063 0.0277350000000001 0 0.027867 0.577502999999997 0.995719000000058 0.98747100000006 0.001604 0.252585000000005
"59" 58 1.04067757991901 0.043509 0.001203 0.658722000000008 6.7e-05 0.669034000000013 0.0610049999999999 0.417647999999989 0.01618 0.0321260000000001 0 0.0310000000000001 0.576869000000001 0.995996000000056 0.988613000000058 0.001708 0.273544000000001
"60" 59 1.04158296941359 0.043231 0.001326 0.667568000000015 0.000105 0.678148000000014 0.0638899999999998 0.433662999999986 0.018238 0.037534 0 0.0330800000000001 0.580332999999996 0.997097000000054 0.990130000000056 0.001938 0.294363999999999
"61" 60 1.04253601783066 0.0452379999999999 0.001393 0.67243900000001 6.6e-05 0.686383000000016 0.0698129999999998 0.443582999999985 0.0221300000000001 0.0432280000000001 0 0.0369430000000001 0.582799999999998 0.997521000000061 0.990582000000062 0.002716 0.317403999999997
"62" 61 1.04334815338862 0.047124 0.002266 0.679911000000007 0 0.697644000000014 0.0753399999999996 0.450650999999985 0.0263220000000001 0.0462609999999999 0 0.041879 0.592751 0.998009000000051 0.990304000000054 0.003039 0.336458999999995
"63" 62 1.0442496061932 0.0484919999999999 0.002656 0.690793000000013 9.4e-05 0.712381000000015 0.0807039999999998 0.462282999999982 0.0306050000000001 0.0505009999999999 0 0.044439 0.592115999999996 0.99907900000006 0.992312000000061 0.003435 0.358802999999993
"64" 63 1.04499520041208 0.0518659999999999 0.002488 0.700870000000021 0.000332 0.722295000000023 0.0844419999999997 0.476342999999983 0.0339240000000001 0.0560069999999999 0 0.0465099999999999 0.592374 0.999240000000054 0.992970000000057 0.00287 0.372066999999991
"65" 64 1.0459127061981 0.0502059999999998 0.002882 0.710395000000016 0.000616 0.732792000000017 0.0922379999999995 0.49638299999998 0.0357860000000001 0.0600129999999999 0 0.0507219999999999 0.586777999999995 0.999831000000055 0.993684000000058 0.002671 0.385918999999991
"66" 65 1.04684984398291 0.050386 0.003334 0.714637000000018 0.000622 0.738536000000023 0.100131999999999 0.508525999999983 0.0395840000000001 0.0648689999999998 0 0.0576489999999999 0.582675999999999 1.00020500000005 0.994132000000057 0.003153 0.402009999999989
"67" 66 1.04804953390417 0.0494839999999999 0.003644 0.722518000000022 0.000593 0.740446000000024 0.111063 0.530596999999989 0.0433469999999999 0.0717539999999997 0 0.0660119999999998 0.581651999999995 1.00041700000006 0.99556300000006 0.003092 0.420021999999988
"68" 67 1.04922754158034 0.050055 0.004722 0.731780000000019 0.000478 0.748520000000023 0.118852999999999 0.554619999999989 0.0499199999999999 0.0794759999999998 0 0.0728739999999998 0.582595999999999 1.00025100000005 0.995319000000052 0.002764 0.438451999999982
"69" 68 1.05025578457114 0.049448 0.00533500000000001 0.737650000000016 0.001127 0.755723000000018 0.121236999999999 0.571300999999991 0.0543139999999998 0.0830799999999997 0 0.0778979999999998 0.585777999999996 1.00048100000005 0.995894000000048 0.00327 0.455612999999984
"70" 69 1.05130814086733 0.0516369999999999 0.006504 0.74672300000002 0.00127 0.760081000000023 0.126358 0.583164999999996 0.0600089999999999 0.0921979999999995 0 0.0865879999999995 0.590565000000002 1.00039500000005 0.996056000000056 0.003164 0.475615999999983
"71" 70 1.05216285438591 0.053431 0.007724 0.75012600000002 0.001577 0.769742000000024 0.135928 0.593111999999999 0.0644149999999998 0.0965189999999995 0 0.0916589999999996 0.592819999999998 1.00050900000005 0.996685000000049 0.00267 0.49184799999998
