"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000327 0 0 0 0 0 0 0 0 0 0 0.171421 0 0 0 0
"2" 1 1.000004 0.001273 0 0 0 0 0 0 0 0 0 0 0.134341 0 0 0 0
"3" 2 1.000004 0.002837 0 0 0 6.7e-05 0 0 0 0 0 0 0.129669 0.000846 0.000853 0 0
"4" 3 1.000001999992 0.003476 0 0 0 0.000153 0 0 0 0 0 0 0.138084 0.004085 0.004083 0 0
"5" 4 1.00000099999 0.004589 0 0.000109 0 0.000354 0 0 0 0 0 0 0.154963 0.010085 0.010111 0 0
"6" 5 1.000008999998 0.005762 0 0.000414 0 0.000693 0 0 0 0 0 0 0.174102 0.021783 0.021804 0 0
"7" 6 1.000020000097 0.006993 0 0.001072 0 0.001163 0 0 0 0 0 0 0.194251 0.039777 0.039859 0 0
"8" 7 1.000037000437 0.008048 0 0.002854 0 0.002359 0 0 0 0 0 0 0.208378 0.062285 0.062297 0 0
"9" 8 1.00006200136202 0.008434 0 0.005523 0 0.003956 0 0 0 0 0 0 0.218304 0.0927169999999998 0.0927139999999998 0 0
"10" 9 1.00009300328406 0.009073 0 0.009757 0 0.00664500000000001 0 0 0 0 0 0 0.235684 0.132677 0.132681 0 0
"11" 10 1.00012800653918 0.009477 0 0.013886 0 0.011643 0 0 0 0 0 0 0.247565 0.170510000000001 0.170531000000001 0 0
"12" 11 1.00018901434758 0.009738 0 0.021093 0 0.016744 0 0 0 0 0 0 0.263784 0.217225 0.217093 0 0
"13" 12 1.00025202625549 0.011096 0 0.028546 0 0.02223 0 6e-06 0 0 0 0 0.279802999999999 0.265663999999999 0.265545999999999 0 0
"14" 13 1.00036305423041 0.012068 0 0.038638 0 0.0298920000000001 0 6.7e-05 0 0 0 0 0.296403999999999 0.310190999999997 0.309698999999997 0 0
"15" 14 1.00048909997525 0.014061 0 0.0456939999999999 0 0.038448 0 0.000267 0 0 0 0 0.308331999999999 0.357230999999998 0.356791999999998 0 0
"16" 15 1.00064717725305 0.014931 0 0.0569069999999999 0 0.0471029999999999 0 0.000333 0 0 0 0 0.314093999999999 0.396782999999998 0.396181999999998 0 0
"17" 16 1.00081328468448 0.014369 0 0.0694029999999997 0 0.0600299999999999 0 0.00078 0 0 0 0 0.323994999999998 0.433121999999994 0.432345999999995 0 0
"18" 17 1.0010414701134 0.015027 0 0.0812639999999995 0 0.0703689999999998 0 0.001458 0 0 0 0 0.337306999999996 0.478862999999992 0.477918999999992 0 0
"19" 18 1.00127471277595 0.016793 0 0.0911599999999994 0 0.0829699999999998 0 0.001952 0 0 0 0 0.348232999999996 0.519135999999996 0.518107999999996 0 0
"20" 19 1.00160212960705 0.01661 0 0.103335999999999 0 0.0981609999999993 0 0.002761 0 0 0 0 0.358402999999997 0.554830000000004 0.553086000000004 0 0
"21" 20 1.00199075123336 0.014827 0 0.118185999999999 0 0.115760999999999 0 0.003105 0 0 0 0 0.378109999999999 0.591713000000005 0.589125000000005 0 0
"22" 21 1.0023995634599 0.014615 0 0.13405 0 0.129505999999999 6.7e-05 0.004207 0 0 0 0 0.386933999999996 0.631178000000013 0.628338000000012 0 0
