"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000305 0 0 0 0 0 0 0 0 0 0 0.165003 0 0 0 0
"2" 1 1.000001 0.001146 0 0 0 0 0 0 0 0 0 0 0.117796 0 0 0 0
"3" 2 1.000004000003 0.001865 0 0 0 0 0 0 0 0 0 0 0.108837 0.000387 0.000388 0 0
"4" 3 1.000002999999 0.003311 0 2e-04 0 9.8e-05 0 0 0 0 0 0 0.118636 0.003556 0.003512 0 0
"5" 4 0.99999999999 0.003828 0 0.000341 0 0.000523 0 0 0 0 0 0 0.132804 0.011761 0.011813 0 0
"6" 5 0.99999599999 0.004841 0 0.000616 0 0.001253 0 0 0 0 0 0 0.142387 0.02414 0.024127 0 0
"7" 6 1.00001099993 0.005328 0 0.001636 0 0.002154 0 0 0 0 0 0 0.161754 0.04358 0.043527 0 0
"8" 7 1.000030000139 0.006278 0 0.003671 0 0.003107 0 0 0 0 0 0 0.174902 0.073679 0.0736520000000001 0 0
"9" 8 1.000049000709 0.006076 0 0.006153 0 0.006112 0 0 0 0 0 0 0.190096 0.10692 0.107059 0 0
"10" 9 1.00008200232603 0.006908 0 0.009752 0 0.00909800000000001 0 0 0 0 0 0 0.204941 0.141187 0.141232 0 0
"11" 10 1.00012700601613 0.008304 0 0.015614 0 0.014204 0 0 0 0 0 0 0.216025 0.176986 0.176935 0 0
"12" 11 1.00018001274746 0.008872 0 0.021392 0 0.017662 0 0 0 0 0 0 0.234239 0.214985000000001 0.214870000000001 0 0
"13" 12 1.00026702840857 0.010816 0 0.025155 0 0.02385 0 6.7e-05 0 0 0 0 0.250818 0.256775 0.256745 0 0
"14" 13 1.00036805537845 0.012993 0 0.0324960000000001 0 0.0332250000000001 0 6.7e-05 0 0 0 0 0.254625 0.300037999999998 0.299715999999998 0 0
"15" 14 1.00049810322566 0.013012 0 0.041857 0 0.04363 0 2.2e-05 0 0 0 0 0.264945 0.345117999999997 0.344747999999997 0 0
"16" 15 1.00060715751892 0.013996 0 0.0519059999999999 0 0.0556659999999999 0 0.000199 0 0 0 0 0.273088 0.395071999999996 0.394673999999996 0 0
"17" 16 1.00081328259338 0.016259 0 0.0623349999999998 0 0.0670509999999998 0 0.000404 0 0 0 0 0.290805999999999 0.441977999999994 0.440959999999995 0 0
"18" 17 1.00106348591404 0.017241 0 0.0798149999999994 0 0.0786519999999996 0 0.000965 0 0 0 0 0.304963999999999 0.48886399999999 0.48755299999999 0 0
"19" 18 1.00135479538845 0.01763 0 0.0919659999999994 0 0.0937409999999994 0 0.001065 0 0 0 0 0.316134999999996 0.525459999999996 0.523862999999996 0 0
"20" 19 1.00167823298739 0.016369 0 0.103719999999999 0 0.107571999999999 0 0.001561 0 0 0 0 0.324062999999997 0.565043000000005 0.563403000000005 0 0
