"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000293 0 0 0 0 0 0 0 0 0 0 0.17343 0 0 0 0
"2" 1 0.999997 0.001344 0 0 0 0 0 0 0 0 0 0 0.131409 7e-06 3e-06 0 0
"3" 2 0.999992000015 0.002856 0 0 0 0 0 0 0 0 0 0 0.122859 0.000817 0.000817 0 0
"4" 3 0.999986000063 0.002917 0 8e-05 0 0.000164 0 0 0 0 0 0 0.131739 0.003872 0.003885 0 0
"5" 4 0.999988000035 0.004036 0 0.000322 0 0.000301 0 0 0 0 0 0 0.14633 0.012749 0.012721 0 0
"6" 5 0.999985000071 0.005152 0 0.00065 0 0.000689 0 0 0 0 0 0 0.168575 0.027785 0.027763 0 0
"7" 6 0.999994999921001 0.007197 0 0.001235 0 0.002419 0 0 0 0 0 0 0.182244 0.047828 0.047771 0 0
"8" 7 1.000019999796 0.00867 0 0.003042 0 0.004112 0 0 0 0 0 0 0.200651 0.072831 0.072904 0 0
"9" 8 1.000048000356 0.00892599999999999 0 0.005412 0 0.006811 0 0 0 0 0 0 0.214712 0.107735 0.107713 0 0
"10" 9 1.00010000285201 0.010393 0 0.008542 0 0.011784 0 0 0 0 0 0 0.230212 0.148054 0.148074 0 0
"11" 10 1.00014900775216 0.012321 0 0.013797 0 0.015478 0 0 0 0 0 0 0.241428000000001 0.192508000000001 0.192592000000001 0 0
"12" 11 1.00022401892775 0.013204 0 0.020012 0 0.022414 0 0 0 0 0 0 0.259379 0.240586000000001 0.240481000000001 0 0
"13" 12 1.00030503707328 0.01335 0 0.026139 0 0.0303490000000001 0 2.7e-05 0 0 0 0 0.280625 0.279955999999999 0.279903999999999 0 0
"14" 13 1.00043507672811 0.014995 0 0.035105 0 0.039492 0 0.000334 0 0 0 0 0.295136999999999 0.330381999999997 0.330013999999997 0 0
"15" 14 1.00058514198963 0.016203 0 0.0437729999999999 0 0.0500369999999999 0 0.000543 0 0 0 0 0.306491999999998 0.376930999999997 0.376227999999997 0 0
"16" 15 1.00073022683523 0.017723 0 0.0548369999999999 0 0.0628499999999998 0 0.000734 0 0 0 0 0.314642999999999 0.420778999999996 0.420171999999996 0 0
"17" 16 1.00092136630857 0.019702 0 0.0666009999999998 0 0.0728849999999997 0 0.001085 0 0 0 0 0.318610999999999 0.461310999999993 0.460701999999993 0 0
"18" 17 1.00122464548257 0.01966 0 0.0814459999999996 0 0.0838619999999995 0 0.002352 0 0 0 0 0.331067999999999 0.504310999999994 0.503390999999994 0 0
"19" 18 1.00149597736152 0.019475 0 0.0963839999999994 0 0.0951319999999994 0 0.003074 0 0 0 0 0.340431999999996 0.546473000000001 0.545122000000002 0 0
"20" 19 1.00182947552201 0.022089 0 0.109712999999999 0 0.106546999999999 0 0.004177 0 0 0 0 0.351884999999996 0.587424000000009 0.585796000000008 0 0
"21" 20 1.0022322109712 0.020638 0 0.124757999999999 0 0.120853999999999 6.6e-05 0.004484 0 0 0 0 0.362307999999999 0.62348000000001 0.621179000000009 0 0
"22" 21 1.00269323778827 0.022367 0 0.14083 0 0.135178 6.7e-05 0.007113 0 0 0 0 0.366988999999996 0.653657000000019 0.651522000000019 0 0
"23" 22 1.00321363557871 0.022798 0 0.157015000000001 0 0.152571000000001 6.7e-05 0.00769500000000001 0 0 0 0 0.373576999999995 0.684464000000022 0.681790000000023 0 0
"24" 23 1.0038125541192 0.024007 0 0.167542000000002 0 0.170255000000001 0 0.009714 0 0 0 0 0.386587999999993 0.710579000000028 0.706583000000027 0 0
"25" 24 1.00444094077811 0.025405 0 0.185325000000003 0 0.182262000000002 0.000134 0.013234 0 0 0 0 0.399953999999989 0.738429000000035 0.733198000000034 0 0
"26" 25 1.00512998726354 0.02462 0 0.203773000000003 0 0.199477000000004 0.000174 0.015889 0 0 0 0 0.406994999999989 0.761536000000029 0.755537000000028 0 0
"27" 26 1.00588986553396 0.026869 0 0.230460000000005 0 0.216107000000005 0.000134 0.019836 0 0 0 0 0.409282999999992 0.788417000000036 0.780930000000035 0 0
"28" 27 1.0067307894616 0.027672 0 0.249765000000006 0 0.239210000000007 0.000234 0.023931 0 0 0 0 0.417944999999994 0.810225000000033 0.802555000000034 0 0
"29" 28 1.0076509414032 0.0269480000000001 0 0.270086000000002 0 0.258848000000005 0.000393 0.028393 0 0 0 0 0.423024999999989 0.827205000000036 0.817602000000035 0 6.3e-05
"30" 29 1.00856185785428 0.0294030000000001 0 0.287497000000002 0 0.276999000000003 0.000952 0.033998 0 0 0 0 0.431741999999987 0.84750400000004 0.837132000000039 0 0.000373
"31" 30 1.00960975362466 0.0291540000000001 0 0.305488999999998 0 0.298203 0.001207 0.0409619999999999 0 0 0 0 0.441302999999989 0.865166000000048 0.852692000000049 0 0.000576
"32" 31 1.0106789303538 0.0328750000000001 0 0.317950999999996 0 0.313082999999998 0.000822 0.0518689999999999 0 0 0 0 0.444334999999984 0.875014000000042 0.863227000000043 0 0.001042
"33" 32 1.01176541020398 0.0345060000000001 0 0.334602999999995 0 0.335551999999995 0.001269 0.0553139999999999 0 0 0 0 0.449438999999985 0.889590000000055 0.876003000000053 0 0.001444
"34" 33 1.01293804631447 0.035936 0 0.354236999999992 0 0.355551999999994 0.001966 0.0633289999999999 0 0 0 0 0.454121999999987 0.901041000000051 0.885126000000051 0 0.002269
"35" 34 1.01409786037756 0.038176 0 0.366993999999992 0 0.368577999999991 0.002572 0.0710569999999997 0 0 0 0 0.457847999999985 0.907028000000053 0.891138000000053 0 0.003317
"36" 35 1.0152346640791 0.037821 0 0.387631999999991 0 0.384510999999988 0.003078 0.0801949999999996 0 0 0 0 0.461884999999985 0.918749000000059 0.903809000000057 6.7e-05 0.00556
"37" 36 1.01634837650566 0.035976 0 0.405977999999986 0 0.394513999999988 0.004436 0.0914479999999995 0 9.1e-05 0 0 0.464927999999984 0.929998000000052 0.915434000000053 0.000143 0.008597
"38" 37 1.01746635971988 0.037237 0 0.429471999999985 0 0.413409999999986 0.005788 0.105088999999999 0 0.000144 0 2.5e-05 0.465638999999981 0.940813000000059 0.926971000000058 6.7e-05 0.009057
"39" 38 1.01860083471103 0.0388660000000001 0 0.447661999999985 0 0.438214999999983 0.00705500000000001 0.118863999999999 1.1e-05 0 0 6e-06 0.47386799999998 0.945462000000059 0.932264000000057 0.000135 0.013176
"40" 39 1.01978954188521 0.039094 0 0.469109999999981 0 0.451970999999979 0.007677 0.133494 6.7e-05 0.000143 0 6.7e-05 0.483760999999982 0.954307000000062 0.940105000000061 2e-04 0.016659
"41" 40 1.0209806560702 0.0392219999999999 6.7e-05 0.479354999999981 0 0.470208999999978 0.008548 0.149411000000001 1e-04 0.000364 0 9e-05 0.490149999999981 0.960301000000054 0.945764000000055 0.000134 0.019108
"42" 41 1.02214355303752 0.036812 0 0.497272999999979 0 0.482001999999978 0.011595 0.162893000000002 0.000299 0.000796 0 0.000248 0.494228999999982 0.966515000000057 0.951692000000057 0.000161 0.023285
"43" 42 1.02326791094592 0.03999 0 0.508372999999978 0 0.497993999999976 0.012668 0.177670000000003 0.000134 0.001338 0 0.000482 0.500228999999977 0.972011000000066 0.957888000000065 8.1e-05 0.0275060000000001
"44" 43 1.02437815662937 0.040821 0 0.522167999999984 0 0.510582999999977 0.015843 0.194445000000003 0.000373 0.001973 0 0.001553 0.50484499999998 0.976546000000057 0.964573000000058 2e-04 0.0333740000000001
"45" 44 1.02558180096347 0.039481 0 0.536517999999982 0 0.52075499999998 0.019092 0.209748000000004 0.000402 0.002308 0 0.001767 0.50438899999998 0.978985000000069 0.967439000000069 4e-04 0.040554
"46" 45 1.02671814559901 0.03996 0 0.54990699999999 6.7e-05 0.534395999999985 0.02079 0.227349000000003 0.000494 0.002835 0 0.002466 0.504201999999979 0.979881000000057 0.969208000000059 0.000133 0.048121
"47" 46 1.02792659285644 0.040251 0 0.566520999999996 0 0.54707199999999 0.022929 0.248783000000005 0.000839 0.003605 0 0.003463 0.508163999999981 0.982687000000063 0.972866000000067 0.000402 0.0592439999999999
"48" 47 1.02911693185103 0.042167 0 0.575018999999999 0 0.55919899999999 0.024052 0.261829000000004 0.001876 0.004331 0 0.003178 0.516575999999985 0.98520900000005 0.974321000000052 0.000554 0.0723279999999998
"49" 48 1.0303776000926 0.044304 4.5e-05 0.585682999999997 0 0.570456999999994 0.0284540000000001 0.281278000000001 0.002684 0.005265 0 0.004263 0.522220999999985 0.987375000000061 0.976436000000062 0.000727 0.0835089999999997
"50" 49 1.03146155732796 0.0455309999999999 0.000199 0.598043000000002 0 0.577886999999993 0.0335530000000001 0.297087 0.003536 0.005223 0 0.004939 0.524128999999985 0.989880000000058 0.979277000000059 0.000801 0.0957849999999993
