"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000377 0 0 0 0 0 0 0 0 0 0 0.165779 0 0 0 0
"2" 1 1 0.001115 0 0 0 0 0 0 0 0 0 0 0.119213 0 0 0 0
"3" 2 1 0.002282 0 0 0 7e-06 0 0 0 0 0 0 0.116219 0.000501 0.000514 0 0
"4" 3 1.000007 0.002862 0 0.000142 0 0.000128 0 0 0 0 0 0 0.124846 0.003491 0.003463 0 0
"5" 4 1.000007 0.00438 0 0.000499 0 0.000263 0 0 0 0 0 0 0.143297 0.012484 0.012439 0 0
"6" 5 1.00001700007 0.005383 0 0.000875 0 0.000957 0 0 0 0 0 0 0.159776 0.025297 0.025385 0 0
"7" 6 1.000023000172 0.006727 0 0.001926 0 0.002366 0 0 0 0 0 0 0.170288 0.0426809999999999 0.0426699999999999 0 0
"8" 7 1.000037000494 0.00673 0 0.003278 0 0.005227 0 0 0 0 0 0 0.188055 0.066272 0.066281 0 0
"9" 8 1.00006700160402 0.007692 0 0.005771 0 0.007708 0 0 0 0 0 0 0.20103 0.0951609999999999 0.0952009999999999 0 0
"10" 9 1.00011900508811 0.007802 0 0.010223 0 0.010193 0 0 0 0 0 0 0.214461 0.132371 0.132398 0 0
"11" 10 1.00016401044334 0.008183 0 0.015344 0 0.014487 0 0 0 0 0 0 0.227148000000001 0.175032000000001 0.175074000000001 0 0
"12" 11 1.00020801765981 0.009782 0 0.02175 0 0.020323 0 0 0 0 0 0 0.242417000000001 0.214691000000001 0.214635000000001 0 0
"13" 12 1.00029703617338 0.010513 0 0.0268130000000001 0 0.02897 0 0 0 0 0 0 0.254882000000001 0.260701000000001 0.260702 0 0
"14" 13 1.00038706290665 0.011608 0 0.034891 0 0.037216 0 0 0 0 0 0 0.266563999999999 0.301659999999998 0.301755999999998 0 0
