"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000456 0 0 0 0 0 0 0 0 0 0 0.160951 0 0 0 0
"2" 1 0.999999 0.001367 0 0 0 0 0 0 0 0 0 0 0.117386 4.7e-05 4.7e-05 0 0
"3" 2 0.999995000004 0.002956 0 0 0 2.9e-05 0 0 0 0 0 0 0.117791 0.001111 0.001105 0 0
"4" 3 0.999999999979 0.004018 0 9.5e-05 0 6e-06 0 0 0 0 0 0 0.127476 0.003565 0.003577 0 0
"5" 4 0.999998999979 0.006105 0 2.6e-05 0 0.000247 0 0 0 0 0 0 0.144346 0.010913 0.010864 0 0
"6" 5 1.000001999976 0.007518 0 0.00061 0 0.000712 0 0 0 0 0 0 0.163807 0.020833 0.020788 0 0
"7" 6 0.999999999972 0.007984 0 0.001741 0 0.001869 0 0 0 0 0 0 0.184527 0.037027 0.037024 0 0
"8" 7 1.000009999972 0.008856 0 0.003234 0 0.002718 0 0 0 0 0 0 0.198991 0.061685 0.06164 0 0
"9" 8 1.000020000072 0.011401 0 0.005589 0 0.004245 0 0 0 0 0 0 0.215183 0.0950099999999997 0.0950379999999997 0 0
"10" 9 1.000044000552 0.013921 0 0.008856 0 0.007642 0 0 0 0 0 0 0.231257 0.125387 0.125474 0 0
"11" 10 1.00007500191602 0.013902 0 0.01239 0 0.011379 0 0 0 0 0 0 0.245815 0.16417 0.164225 0 0
"12" 11 1.00013400634114 0.016206 0 0.017027 0 0.015797 0 0.000134 0 0 0 0 0.258451 0.205138000000001 0.205086000000001 0 0
"13" 12 1.00022601866973 0.018155 0 0.023811 0 0.023525 0 0.000133 0 0 0 0 0.268569 0.246993000000001 0.246808000000001 0 0
"14" 13 1.00030603675123 0.017557 0 0.032998 0 0.0297020000000001 0 0.000133 0 0 0 0 0.280931999999999 0.292732 0.292719 0 0
"15" 14 1.00042907439376 0.01772 0 0.043058 0 0.037153 0 0.000134 0 0 0 0 0.293982999999999 0.344625999999997 0.344629999999997 0 0
"16" 15 1.00060114819456 0.020238 0 0.0536869999999999 0 0.0467399999999999 0 0.000111 0 0 0 0 0.314508999999998 0.391436999999996 0.391249999999996 0 0
"17" 16 1.00078525880584 0.021006 0 0.0623399999999997 0 0.0600119999999998 0 0.000552 0 0 0 0 0.318650999999998 0.433502999999994 0.433199999999994 0 0
"18" 17 1.00098641664287 0.020685 0 0.0768039999999996 0 0.0718639999999997 0 0.000761 0 0 0 0 0.337371999999997 0.471529999999993 0.471121999999993 0 0
"19" 18 1.00123065732855 0.021331 0 0.0881389999999996 0 0.0857569999999996 0 0.001268 0 0 0 0 0.353200999999996 0.507336999999994 0.506433999999993 0 0
"20" 19 1.00150699699 0.021469 0 0.100063999999999 0 0.102284 0 0.001074 0 0 0 0 0.359977999999996 0.546495999999998 0.545428999999998 0 0
"21" 20 1.00186653800194 0.019843 0 0.107548999999999 0 0.116080999999999 0 0.001477 0 0 0 0 0.368810999999996 0.586251000000006 0.585226000000006 0 0
"22" 21 1.00227429768293 0.020707 0 0.119349999999999 0 0.128828999999999 0 0.002424 0 0 0 0 0.381723999999997 0.62305600000001 0.62115300000001 0 0
"23" 22 1.00269124379078 0.021692 0 0.134129 0 0.139749 5.1e-05 0.003435 0 0 0 0 0.391762999999994 0.656921000000018 0.654432000000017 0 0
"24" 23 1.00318657326525 0.021879 0 0.155348000000001 0 0.150648000000001 0.000134 0.005664 0 0 0 0 0.408658999999993 0.68745400000002 0.68559600000002 0 0
"25" 24 1.00375237049261 0.022016 0 0.169440000000002 0 0.162305000000002 0.000268 0.00767100000000001 0 0 0 0 0.412460999999992 0.72169000000002 0.71886400000002 0 0
"26" 25 1.00435662941967 0.023264 0 0.186358000000002 0 0.178829000000003 0.000334 0.010583 0 0 0 0 0.421995999999993 0.746256000000022 0.742429000000021 0 0
"27" 26 1.00509181847244 0.023424 0 0.200859000000004 0 0.197006000000004 0.000536 0.014827 0 0 0 0 0.433057999999989 0.76942700000003 0.764957000000029 0 0
"28" 27 1.00584061187725 0.025009 0 0.218683000000005 0 0.215808000000005 0.000881 0.017449 0 0 0 0 0.442728999999986 0.791152000000034 0.786420000000033 0 0
"29" 28 1.00661510914844 0.024119 0 0.235713000000005 0 0.231719000000006 0.001394 0.020403 6.7e-05 0 0 0 0.448769999999991 0.817331000000031 0.811828000000031 0 0
"30" 29 1.00749791059921 0.025473 0 0.254076000000006 0 0.249290000000007 0.001874 0.0256910000000001 6.7e-05 0 0 0 0.456762999999986 0.832837000000045 0.825794000000045 0 4.7e-05
"31" 30 1.00850641600777 0.0274520000000001 0 0.277952000000002 0 0.271988000000003 0.001799 0.0319190000000001 0 0 0 0 0.466713999999987 0.850262000000053 0.842868000000052 0 3.1e-05
"32" 31 1.00951088839817 0.027886 0 0.294019999999999 0 0.289997000000001 0.00202 0.041022 0 0 0 0 0.478162999999983 0.865988000000055 0.857578000000056 0 0.00045
"33" 32 1.01052544684107 0.027286 0 0.312288999999997 0 0.312044999999998 0.00195 0.0485319999999999 0 0 0 0 0.484596999999983 0.878324000000056 0.870171000000055 0 0.001293
"34" 33 1.0116248985273 0.026054 0 0.327214999999994 0 0.326783999999995 0.0026 0.053684 0 0 0 0 0.499567999999982 0.895019000000054 0.886105000000056 0 0.001857
"35" 34 1.01270936041859 0.025013 0 0.352694999999993 0 0.346534999999994 0.002641 0.0615669999999998 0 0 0 0 0.510042999999985 0.910813000000047 0.901346000000046 0 0.00256
"36" 35 1.01378587046877 0.025294 0 0.366234999999994 0 0.359714999999992 0.003842 0.0739309999999997 0 0 0 0 0.519799999999986 0.921592000000054 0.912477000000055 0 0.004179
"37" 36 1.01488582813828 0.0274780000000001 0 0.379203999999988 0 0.37601999999999 0.00456 0.0844919999999996 0 0 0 0 0.528689999999986 0.933589000000062 0.921851000000059 0 0.006289
"38" 37 1.01610572090377 0.028835 0 0.390276999999988 0 0.394110999999989 0.005921 0.0923439999999998 0 0 0 0 0.53519299999999 0.93836800000006 0.927259000000061 0 0.010054
"39" 38 1.01720819561102 0.0312400000000001 0 0.412817999999986 0 0.404204999999987 0.006648 0.107527999999999 0 0 0 0 0.541377999999992 0.94579000000006 0.935591000000061 0.000134 0.013723
"40" 39 1.01834543437378 0.0313800000000001 0 0.425772999999983 0 0.415602999999984 0.00775400000000001 0.128239999999999 0 0 0 6.5e-05 0.54544999999999 0.951151000000061 0.940323000000061 0.000335 0.017811
"41" 40 1.01955930213162 0.030678 0 0.442725999999985 0 0.430926999999983 0.00806900000000001 0.14086 2.7e-05 0.000103 0 1e-06 0.550081999999987 0.959439000000065 0.948408000000065 0.000536 0.022189
"42" 41 1.02074199092216 0.0307330000000001 0 0.453680999999983 0 0.449381999999981 0.008704 0.149461000000001 0.000176 6.4e-05 0 7.9e-05 0.552758999999993 0.964064000000062 0.954425000000062 0.000534 0.0275720000000001
"43" 42 1.02198729615116 0.0309860000000001 0 0.45844199999998 0 0.463381999999979 0.010426 0.164077000000001 0.000154 0.000123 0 0.00035 0.553359999999987 0.96940200000006 0.961121000000059 0.000467 0.0348310000000001
"44" 43 1.02315031769424 0.0323260000000001 0 0.47584099999998 0 0.477398999999977 0.011716 0.176337000000002 6.6e-05 0.000695 0 0.000386 0.561174999999992 0.972682000000059 0.963888000000059 0.000267 0.04265
"45" 44 1.02426248208963 0.0294720000000001 0 0.49075099999998 0 0.501836999999975 0.013925 0.193515000000004 0.000277 0.00105 0 0.000536 0.560685999999992 0.976693000000066 0.966891000000067 0.000466 0.052093
"46" 45 1.02534205474583 0.0318930000000001 0 0.50173399999998 0 0.51320599999998 0.014761 0.207907000000003 0.000393 0.001693 0 0.000747 0.565655999999991 0.977521000000055 0.967236000000058 0.000268 0.0650609999999997
"47" 46 1.02639610637816 0.0308280000000001 0 0.513063999999984 0 0.530617999999987 0.01661 0.227066000000005 0.000344 0.002044 0 0.000907 0.567931999999996 0.982137000000057 0.971480000000058 0.000201 0.0756659999999997
"48" 47 1.02750461417311 0.0342660000000001 0 0.523352999999982 0 0.542679999999986 0.019275 0.245800000000006 0.000933 0.003648 0 0.001449 0.569857999999997 0.984759000000063 0.974306000000064 0.000268 0.0891029999999998
"49" 48 1.02864514429491 0.035321 0 0.533624999999989 0 0.554904999999992 0.022076 0.258151000000005 0.001243 0.004385 0 0.002161 0.569916999999993 0.987023000000067 0.976719000000066 6.7e-05 0.0978069999999993
"50" 49 1.02973139356736 0.0375030000000001 6.7e-05 0.539705999999983 5.8e-05 0.572410999999992 0.024113 0.276610000000001 0.002294 0.005177 0 0.003511 0.578040999999993 0.988754000000067 0.979864000000069 0.000263 0.110228999999999
"51" 50 1.0308393845469 0.036225 0 0.556827999999995 0 0.587958999999998 0.02605 0.300843999999998 0.003071 0.006649 0 0.004926 0.584117999999999 0.99190800000006 0.98368600000006 0.000243 0.130155
