"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000694 0 0 0 0 0 0 0 0 0 0 0.161861 0 0 0 0
"2" 1 1 0.0018 0 0 0 0 0 0 0 0 0 0 0.118995 3.6e-05 3.9e-05 0 0
"3" 2 0.999996 0.002931 0 0 0 0 0 0 0 0 0 0 0.115684 0.000557 0.00054 0 0
"4" 3 0.999996999996 0.0045 0 4.1e-05 0 2.9e-05 0 0 0 0 0 0 0.13114 0.002916 0.002905 0 0
"5" 4 1.000002999978 0.005565 0 0.000264 0 0.000145 0 0 0 0 0 0 0.14349 0.011148 0.011149 0 0
"6" 5 1.000004999984 0.007292 0 0.000734 0 0.000989 0 0 0 0 0 0 0.164752 0.022256 0.022321 0 0
"7" 6 1.000010000009 0.008674 0 0.001674 0 0.001914 0 0 0 0 0 0 0.182141 0.040493 0.040497 0 0
"8" 7 1.000029000199 0.010127 0 0.003042 0 0.003586 0 0 0 0 0 0 0.197333 0.0645249999999999 0.0645799999999999 0 0
"9" 8 1.00005300089501 0.010491 0 0.00531 0 0.005908 0 0 0 0 0 0 0.216249 0.0899929999999999 0.0899849999999999 0 0
"10" 9 1.00009800328005 0.012262 0 0.006964 0 0.008738 0 0 0 0 0 0 0.232053 0.119567 0.119524 0 0
"11" 10 1.00012800622015 0.013861 0 0.011917 0 0.013264 0 0 0 0 0 0 0.251109 0.15509 0.155086 0 0
"12" 11 1.0001680113404 0.013014 0 0.016501 0 0.01935 0 6.7e-05 0 0 0 0 0.266986999999999 0.197712000000001 0.197690000000001 0 0
"13" 12 1.00023902326921 0.012224 0 0.025288 0 0.026641 0 6.7e-05 0 0 0 0 0.281909 0.240339000000001 0.240369000000001 0 0
"14" 13 1.00031004023987 0.013389 0 0.03554 0 0.0324320000000001 0 0.000133 0 0 0 0 0.294869 0.282031999999998 0.281926999999998 0 0
"15" 14 1.00040406938366 0.015332 0 0.0459799999999999 0 0.039215 0 2e-04 0 0 0 0 0.314794999999999 0.326964999999998 0.326903999999997 0 0
"16" 15 1.00055412999408 0.017547 0 0.0559099999999999 0 0.0501919999999999 6.6e-05 0.000201 0 0 0 0 0.322803999999998 0.370895999999997 0.370477999999997 0 0
"17" 16 1.00076224525314 0.018599 0 0.0649969999999998 0 0.0597469999999998 0 0.000453 0 0 0 0 0.339062999999999 0.420736999999995 0.420243999999995 0 0
"18" 17 1.0009623977022 0.019541 0 0.0771519999999997 0 0.0723249999999997 0 0.000997 0 0 0 0 0.348153999999996 0.462484999999993 0.461644999999993 0 0
"19" 18 1.00122364888802 0.020239 0 0.0924119999999995 0 0.0866759999999996 0 0.000964 0 0 0 0 0.363366999999997 0.503348999999992 0.501773999999992 0 0
"20" 19 1.00151600619352 0.022499 0 0.104550999999999 0 0.101756 1.6e-05 0.001081 0 0 0 0 0.369931 0.539769000000001 0.536815000000001 0 0
"21" 20 1.00181846402741 0.023958 0 0.119642999999999 0 0.112463999999999 0 0.001974 0 0 0 0 0.381333999999993 0.579852000000004 0.576512000000004 0 0
"22" 21 1.00223622232695 0.025414 0 0.131586 0 0.126688999999999 6.7e-05 0.003184 0 0 0 0 0.395278999999994 0.614385000000006 0.609893000000004 0 0
"23" 22 1.00269324204436 0.0268610000000001 0 0.150522000000001 0 0.139389 0.000201 0.004758 0 0 0 0 0.407177999999992 0.648809000000017 0.643798000000016 0 0
"24" 23 1.00318255634651 0.028551 0 0.167833000000001 0 0.157265000000001 0.000468 0.005644 0 0 0 0 0.419332999999991 0.681815000000022 0.676815000000021 0 0
"25" 24 1.00372929083977 0.027747 0 0.185914000000003 0 0.172272000000003 0.000979 0.008404 0 0 0 0 0.428235999999993 0.712221000000022 0.706947000000019 0 0
"26" 25 1.00433554333146 0.028034 0 0.205373000000005 0 0.189716000000003 0.000944 0.009962 0 0 0 0 0.434637999999993 0.74086300000003 0.735121000000029 0 0
"27" 26 1.00505364324498 0.0284450000000001 0 0.216169000000005 0 0.206519000000006 0.001538 0.012652 0 0 0 0 0.444122999999991 0.761607000000027 0.754661000000026 0 0
"28" 27 1.00581547390661 0.0300690000000001 0 0.228762000000005 0 0.220578000000005 0.001604 0.016008 0 0 0 0 0.450162999999991 0.779182000000023 0.771314000000024 0 0
"29" 28 1.00667846358325 0.0318660000000001 0 0.242985000000005 0 0.237931000000006 0.001804 0.021206 0 0 0 0 0.462130999999991 0.798153000000034 0.789874000000032 0 0
"30" 29 1.00764588158681 0.0308510000000001 0 0.254830000000005 0 0.253811000000008 0.002431 0.025236 0 0 0 0 0.468389999999988 0.821354000000037 0.811603000000037 0 0
"31" 30 1.00859911459084 0.032363 0 0.268901000000004 0 0.269181000000005 0.002709 0.0330080000000001 0 0 0 0 0.477333999999983 0.839941000000048 0.830972000000048 1.4e-05 6.7e-05
"32" 31 1.00952904297454 0.031439 0 0.283962000000001 0 0.286306000000002 0.002991 0.039671 0 0 0 0 0.478858999999987 0.849461000000044 0.839452000000044 0 0.000359
"33" 32 1.0106052009344 0.0314950000000001 0 0.305115 0 0.304399999999999 0.003198 0.045096 0 0 0 0 0.487710999999984 0.861273000000046 0.850263000000047 0 0.000606
"34" 33 1.0117370787595 0.0304210000000001 0 0.322902999999994 0 0.322247999999997 0.00319 0.0549729999999999 0 0 0 0 0.489062999999983 0.875000000000054 0.863595000000052 0 0.001077
"35" 34 1.01282975480463 0.0312700000000001 0 0.340427999999997 0 0.336775999999996 0.00367 0.0640219999999997 0 0 0 0 0.497041999999987 0.888460000000054 0.875843000000051 0 0.002455
"36" 35 1.01389120038772 0.03405 0 0.354124999999991 0 0.357000999999992 0.00468 0.0724519999999998 0 0 0 0 0.509369999999983 0.900997000000055 0.888899000000054 0 0.004312
"37" 36 1.01504602246503 0.034652 0 0.370190999999992 0 0.379082999999989 0.00510600000000001 0.0816239999999996 0 0 0 0 0.514584999999983 0.909424000000055 0.897741000000054 6.2e-05 0.006167
"38" 37 1.01616561822787 0.0338080000000001 0 0.384783999999988 0 0.393852999999987 0.00586 0.0923539999999994 0 1e-06 0 6.7e-05 0.522610999999986 0.921262000000056 0.908432000000055 0.000134 0.009163
"39" 38 1.01724986694258 0.0354400000000001 0 0.404870999999985 0 0.415617999999985 0.00734900000000001 0.101487999999999 3.2e-05 0 0 6.7e-05 0.530747999999986 0.932288000000056 0.919734000000057 2e-04 0.012423
"40" 39 1.01852346377606 0.036069 0 0.414401999999986 0 0.432355999999982 0.00838300000000001 0.113241999999999 0.000113 0.000133 0 0.000201 0.536060999999989 0.940230000000058 0.92588800000006 0.000334 0.016672
"41" 40 1.01965606186784 0.039357 0 0.430827999999986 0 0.451499999999981 0.008785 0.127208 0.000248 0.000405 0 0.000367 0.54748599999999 0.94660900000006 0.933338000000059 2e-04 0.021796
"42" 41 1.02078584078446 0.04189 0 0.444444999999983 0 0.466936999999978 0.008459 0.135686 0.000334 0.000266 0 0.000353 0.549431999999994 0.953209000000059 0.939314000000058 2e-04 0.0268020000000001
"43" 42 1.02201895008019 0.039992 0 0.456148999999984 0 0.487272999999979 0.010977 0.152678000000001 0.000334 0.000368 0 0.000652 0.546830999999992 0.960038000000059 0.945086000000059 0.000267 0.0328470000000001
"44" 43 1.02318302966439 0.038167 0 0.47199199999998 5.3e-05 0.494230999999975 0.012546 0.164089000000002 0.000447 0.000334 0 0.000914 0.54585299999999 0.964637000000066 0.949904000000066 0.000401 0.042509
"45" 44 1.02437401471099 0.043255 0 0.490355999999976 6.7e-05 0.503294999999976 0.013357 0.188161000000003 0.000575 0.000667 0 0.00112 0.54071799999999 0.969885000000058 0.95578000000006 4e-04 0.0533169999999998
"46" 45 1.02550799674534 0.0441219999999998 0 0.512084999999978 6.7e-05 0.52144399999998 0.014969 0.205311000000004 0.000719 0.000704 0 0.001313 0.551307999999996 0.976454000000069 0.962878000000067 0.000534 0.0660559999999998
"47" 46 1.02662272393788 0.045072 0 0.525820999999984 0 0.540417999999987 0.016947 0.215670000000004 0.000929 0.001004 0 0.001336 0.552100999999992 0.979142000000064 0.965030000000064 0.000468 0.0829019999999996
"48" 47 1.0277787011251 0.045361 6.7e-05 0.53619399999999 0 0.547850999999988 0.016811 0.230927000000005 0.001669 0.001196 0 0.002019 0.554998999999992 0.983898000000058 0.971130000000057 0.000134 0.0947309999999993
"49" 48 1.02901203556651 0.0438209999999999 0 0.553853999999993 0 0.560093999999989 0.018779 0.250327000000006 0.00209 0.001846 0 0.001985 0.550641999999994 0.987269000000053 0.975893000000055 6.7e-05 0.108390999999999
"50" 49 1.03007088895116 0.044845 0 0.55655799999999 0 0.566061999999988 0.019322 0.261449000000004 0.001874 0.00305 0 0.003215 0.554308999999991 0.98802500000006 0.976920000000061 0.000134 0.123775999999999
"51" 50 1.03115555359729 0.0431300000000001 0 0.573436999999993 0 0.571202999999992 0.022567 0.279029999999999 0.002631 0.003029 0 0.004133 0.551114999999991 0.988706000000055 0.976213000000057 0.000149 0.133320999999999
"52" 51 1.03219289608427 0.042622 0 0.584241999999997 6.2e-05 0.583182999999994 0.0246430000000001 0.289306999999999 0.002831 0.003965 0 0.004788 0.55342599999999 0.990482000000051 0.978676000000054 0.000345 0.146499
"53" 52 1.0331466423203 0.042419 0 0.593307 9.2e-05 0.600098999999997 0.025847 0.296919999999998 0.002787 0.005199 0 0.00680100000000001 0.555054999999994 0.992032000000052 0.978984000000056 4e-04 0.164268000000002
"54" 53 1.03422524741494 0.042678 0 0.609229000000001 0.000134 0.608941 0.0284960000000001 0.313897999999996 0.002886 0.00792000000000001 0 0.008357 0.559775999999993 0.992816000000056 0.980820000000058 0.000488 0.180956000000003
"55" 54 1.03522844590499 0.04427 5.7e-05 0.62026700000001 0 0.619281000000001 0.0315550000000001 0.334181999999993 0.003539 0.010605 0 0.011089 0.565040999999995 0.992329000000063 0.980038000000062 0.000399 0.195298000000003
"56" 55 1.03625228683806 0.0437879999999999 0 0.633161000000011 0.000113 0.620900000000004 0.033279 0.347098999999992 0.004575 0.01074 0 0.013809 0.564225999999998 0.993279000000062 0.982609000000062 0.000446 0.209950000000004
