"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000201 0 0 0 0 0 0 0 0 0 0 0.165852 0 0 0 0
"2" 1 0.999999000000001 0.001233 0 0 0 0 0 0 0 0 0 0 0.12033 0 0 0 0
"3" 2 0.999999999999 0.001408 0 0 0 0 0 0 0 0 0 0 0.111235 0.000749 0.000756 0 0
"4" 3 1.000000999999 0.002332 0 0 0 2e-06 0 0 0 0 0 0 0.121197 0.002973 0.00295 0 0
"5" 4 1.000002 0.003433 0 6.7e-05 0 0.000277 0 0 0 0 0 0 0.138937 0.00964 0.009632 0 0
"6" 5 1.000005000006 0.003777 0 0.000572 0 0.000887 0 0 0 0 0 0 0.151632 0.024018 0.024021 0 0
"7" 6 1.000008000021 0.005874 0 0.001413 0 0.001747 0 0 0 0 0 0 0.170845 0.043768 0.043854 0 0
"8" 7 1.000016000085 0.008532 0 0.003953 0 0.002959 0 0 0 0 0 0 0.186643 0.0712409999999999 0.0712339999999999 0 0
"9" 8 1.000031000325 0.009337 0 0.005892 0 0.005178 0 0 0 0 0 0 0.201457 0.1004 0.100529 0 0
"10" 9 1.00007000153402 0.010262 0 0.009938 0 0.007008 0 0 0 0 0 0 0.214799 0.13962 0.139508 0 0
"11" 10 1.00011100440408 0.013048 0 0.013844 0 0.010388 0 0 0 0 0 0 0.226967 0.171869 0.171835 0 0
"12" 11 1.0001610099543 0.014431 0 0.018024 0 0.016602 0 0 0 0 0 0 0.241476000000001 0.213940000000001 0.214019000000001 0 0
"13" 12 1.0002200194539 0.016503 0 0.0262 0 0.02357 0 0 0 0 0 0 0.251413 0.261813 0.261649 0 0
"14" 13 1.0003020374955 0.017961 0 0.036434 0 0.0316090000000001 0 0 0 0 0 0 0.268758999999999 0.309523999999999 0.309397999999999 0 0
"15" 14 1.00043107645834 0.017011 0 0.0483619999999999 0 0.044282 0 8.4e-05 0 0 0 0 0.277532999999999 0.358497999999998 0.358152999999998 0 0
"16" 15 1.0005651342226 0.01701 0 0.0601639999999998 0 0.0552749999999999 0 0.000106 0 0 0 0 0.293959999999997 0.398701999999994 0.398130999999994 0 0
"17" 16 1.00075223990271 0.018719 0 0.0724799999999998 0 0.0648429999999999 0 0.000469 0 0 0 0 0.303146999999998 0.438600999999995 0.437606999999995 0 0
"18" 17 1.00097440689999 0.02045 0 0.0837779999999996 0 0.0790039999999998 0 0.00088 0 0 0 0 0.315205999999998 0.479391999999989 0.478351999999989 0 0
"19" 18 1.00121564173207 0.023719 0 0.0983329999999992 0 0.0928149999999995 0 0.001288 0 0 0 0 0.335726999999999 0.519496999999994 0.518183999999994 0 0
"20" 19 1.00147896144587 0.02572 0 0.112409999999999 0 0.105362999999999 0 0.002092 0 0 0 0 0.349299999999997 0.560507000000007 0.559096000000007 0 0
"21" 20 1.00183949387201 0.0277090000000001 0 0.130680999999999 0 0.122242999999999 0 0.002724 0 0 0 0 0.362553999999999 0.599859000000012 0.597851000000011 0 0
"22" 21 1.00227930140986 0.0266490000000001 0 0.147023 0 0.140899 0 0.004546 0 0 0 0 0.373838999999996 0.633278000000011 0.631132000000012 0 0
"23" 22 1.00276640915039 0.0254220000000001 0 0.168615000000002 0 0.153900000000001 6.6e-05 0.00680400000000001 0 0 0 0 0.382569999999997 0.668609000000012 0.665537000000012 0 0
"24" 23 1.00330890577778 0.025232 0 0.182992000000003 0 0.175785000000002 0.000266 0.009549 0 0 0 0 0.390501999999991 0.703045000000023 0.699628000000022 0 0
"25" 24 1.00394500362409 0.0267570000000001 0 0.207672000000004 0 0.192134000000003 0.000185 0.012989 0 0 0 0 0.39686799999999 0.729304000000022 0.72442100000002 0 0
"26" 25 1.00461965466656 0.026858 0 0.227513000000006 0 0.207999000000004 0.000267 0.014349 0 0 0 0 0.408604999999989 0.756490000000037 0.750790000000038 0 0
