"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.00046 0 0 0 0 0 0 0 0 0 0 0.16419 0 0 0 0
"2" 1 0.999999999999999 0.001499 0 0 0 0 0 0 0 0 0 0 0.123873 0 0 0 0
"3" 2 1.000002 0.002687 0 0 0 0 0 0 0 0 0 0 0.122259 0.000717 0.00072 0 0
"4" 3 1.000000999998 0.003379 0 9.9e-05 0 0 0 0 0 0 0 0 0.125929 0.005158 0.005155 0 0
"5" 4 1.000010000007 0.004462 0 0.000336 0 0.000136 0 0 0 0 0 0 0.139714 0.013356 0.013304 0 0
"6" 5 1.000019000097 0.005305 0 0.000819 0 0.000666 0 0 0 0 0 0 0.156963 0.025315 0.025298 0 0
"7" 6 1.000029000287 0.005774 0 0.001627 0 0.001634 0 0 0 0 0 0 0.17082 0.0468039999999999 0.0468059999999999 0 0
"8" 7 1.00004900086701 0.006958 0 0.003662 0 0.003622 0 0 0 0 0 0 0.188054 0.068994 0.069011 0 0
"9" 8 1.00006900184703 0.008447 0 0.005781 0 0.005775 0 0 0 0 0 0 0.207556 0.0949839999999998 0.0949979999999998 0 0
"10" 9 1.0001090046071 0.007873 0 0.008656 0 0.008883 0 0 0 0 0 0 0.228282 0.13087 0.130909 0 0
"11" 10 1.00013600755023 0.008694 0 0.01129 0 0.015846 0 0 0 0 0 0 0.246042 0.165975 0.165974 0 0
"12" 11 1.00020601707076 0.009373 0 0.016807 0 0.020319 0 0 0 0 0 0 0.259023 0.206700000000001 0.206661000000001 0 0
"13" 12 1.00027003025585 0.009861 0 0.023704 0 0.0279800000000001 0 0 0 0 0 0 0.276512 0.251897000000001 0.251918000000001 0 0
"14" 13 1.00036805671883 0.012339 0 0.0281390000000001 0 0.0352320000000001 0 6.7e-05 0 0 0 0 0.293687999999999 0.296264 0.296165 0 0
"15" 14 1.00048009794119 0.013599 0 0.037209 0 0.043607 0 0.00013 0 0 0 0 0.308179999999998 0.343395999999996 0.343445999999996 0 0
"16" 15 1.00061816419471 0.014421 0 0.0471479999999999 0 0.052973 0 0.000334 0 0 0 0 0.326877999999998 0.387192999999995 0.386838999999995 0 0
"17" 16 1.00079827546428 0.014788 0 0.0581479999999999 0 0.0646799999999999 0 0.000693 0 0 0 0 0.340246999999998 0.435942999999995 0.435573999999995 0 0
"18" 17 1.00098742633835 0.016616 0 0.0707929999999998 0 0.0741139999999999 0 0.001065 0 0 0 0 0.355305999999997 0.480163999999995 0.479202999999995 0 0
"19" 18 1.00123767319495 0.017506 0 0.0844719999999997 0 0.0902309999999996 0 0.002294 0 0 0 0 0.367548999999997 0.518577999999997 0.517155999999996 0 0
