"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000323 0 0 0 0 0 0 0 0 0 0 0.161964 0 0 0 0
"2" 1 0.999997 0.001624 0 0 0 0 0 0 0 0 0 0 0.121465 6e-06 7e-06 0 0
"3" 2 0.999995000006 0.002426 0 0 0 0 0 0 0 0 0 0 0.117545 0.000507 0.000516 0 0
"4" 3 0.999993000016 0.003723 0 0 0 0.000175 0 0 0 0 0 0 0.130027 0.003755 0.003785 0 0
"5" 4 0.999999999967001 0.005302 0 0.000277 0 0.000528 0 0 0 0 0 0 0.144189 0.010176 0.01015 0 0
"6" 5 1.000006999967 0.00542 0 0.00089 0 0.000664 0 0 0 0 0 0 0.162455 0.022124 0.022145 0 0
"7" 6 1.00001600003 0.005151 0 0.001677 0 0.00115 0 0 0 0 0 0 0.181047 0.0434309999999999 0.0433899999999999 0 0
"8" 7 1.000034000318 0.006065 0 0.003555 0 0.003042 0 0 0 0 0 0 0.193537 0.0675509999999999 0.0674389999999999 0 0
"9" 8 1.00005900116801 0.007072 0 0.005629 0 0.006195 0 6.2e-05 0 0 0 0 0.209045000000001 0.10194 0.101972 0 0
"10" 9 1.00008300258404 0.008545 0 0.009871 0 0.007792 0 0 0 0 0 0 0.225377 0.143612000000001 0.143628000000001 0 0
"11" 10 1.00011600532313 0.00994 0 0.015453 0 0.013564 0 6.7e-05 0 0 0 0 0.238697 0.181212 0.181299 0 0
"12" 11 1.0002040155316 0.010753 0 0.023083 0 0.02103 0 0 0 0 0 0 0.251230000000001 0.225938000000001 0.225881000000001 0 0
"13" 12 1.00028003103679 0.013046 0 0.030214 0 0.0263310000000001 0 0.000148 0 0 0 0 0.266965999999999 0.267592999999999 0.267607999999999 0 0
"14" 13 1.00037905875986 0.014369 0 0.03824 0 0.034859 0 0.000334 0 0 0 0 0.286460999999998 0.311611999999998 0.311444999999998 0 0
"15" 14 1.0005071072794 0.015811 0 0.0470749999999999 0 0.042467 0 0.000651 0 0 0 0 0.291457999999997 0.364194999999995 0.363882999999995 0 0
"16" 15 1.000671190445 0.018705 0 0.0575469999999999 0 0.0541059999999999 0 0.000755 0 0 0 0 0.298386 0.403625999999997 0.403368999999997 0 0
"17" 16 1.00083429984906 0.018104 0 0.0678729999999998 0 0.0638729999999999 0 0.001029 0 0 0 0 0.312095999999997 0.445187999999992 0.444685999999992 0 0
"18" 17 1.00106349090374 0.020348 0 0.0804529999999995 0 0.0773539999999997 0 0.001527 0 0 0 0 0.317777999999998 0.488146999999992 0.486913999999993 0 0
"19" 18 1.00130975252252 0.021628 0 0.0965869999999995 0 0.0906909999999995 0 0.002031 0 0 0 0 0.326389999999997 0.528672999999999 0.527210999999998 0 0
"20" 19 1.00163517819211 0.022239 0 0.108848999999999 0 0.0993329999999994 0 0.00343 0 0 0 0 0.342719999999996 0.562226000000005 0.560397000000005 0 0
"21" 20 1.00200678484324 0.0247680000000001 0 0.121779999999999 0 0.111956999999999 0 0.00566 0 0 0 0 0.356799999999995 0.599257000000007 0.596972000000007 0 0
"22" 21 1.00242261765898 0.025601 0 0.1362 0 0.128862999999999 0 0.006979 0 0 0 0 0.366657999999994 0.633587000000006 0.630780000000006 0 0
"23" 22 1.00291280231906 0.0258390000000001 0 0.150309000000001 0 0.146186 0 0.009519 0 0 0 0 0.381988999999994 0.664676000000016 0.661241000000015 0 0
