"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000263 0 0 0 0 0 0 0 0 0 0 0.168224 0 0 0 0
"2" 1 0.999997 0.001319 0 0 0 0 0 0 0 0 0 0 0.127646 0 0 0 0
"3" 2 0.999998999994 0.002039 0 0 0 0 0 0 0 0 0 0 0.12508 0.000349 0.00037 0 0
"4" 3 0.999996999996 0.003374 0 5.9e-05 0 0 0 0 0 0 0 0 0.137529 0.002931 0.002909 0 0
"5" 4 0.999997999993 0.004123 0 0.000139 0 0.000184 0 0 0 0 0 0 0.152821 0.009966 0.009929 0 0
"6" 5 1.000005999977 0.0056 0 0.000375 0 0.00069 0 0 0 0 0 0 0.16859 0.021692 0.021733 0 0
"7" 6 1.000019000055 0.007342 0 0.001358 0 0.001996 0 0 0 0 0 0 0.188061 0.038572 0.038662 0 0
"8" 7 1.000025000169 0.010104 0 0.002954 0 0.003068 0 0 0 0 0 0 0.209645 0.061464 0.0615 0 0
"9" 8 1.000044000644 0.011554 0 0.004409 0 0.00547 0 0 0 0 0 0 0.22827 0.0948939999999999 0.0948179999999999 0 0
"10" 9 1.00009300280003 0.011443 0 0.007281 0 0.009702 0 0 0 0 0 0 0.241988 0.126201 0.126161 0 0
"11" 10 1.00012400568312 0.011332 0 0.012392 0 0.013208 0 0 0 0 0 0 0.258447 0.165319 0.165295 0 0
"12" 11 1.00017401188341 0.01248 0 0.016839 0 0.017637 0 0 0 0 0 0 0.267808999999999 0.203816000000001 0.203795000000001 0 0
"13" 12 1.00023902319418 0.01437 0 0.024393 0 0.022803 0 0 0 0 0 0 0.283710999999999 0.248861000000002 0.248892000000002 0 0
"14" 13 1.00032604398921 0.014015 0 0.0322920000000001 0 0.0291160000000001 0 0.000177 0 0 0 0 0.298955999999999 0.295021 0.294924 0 0
"15" 14 1.00045208507076 0.015855 0 0.0403639999999999 0 0.039105 0 0.000165 0 0 0 0 0.314592999999998 0.336711999999997 0.336392999999997 0 0
"16" 15 1.0006241628294 0.016474 0 0.0506409999999999 0 0.0478119999999999 0 0.000367 0 0 0 0 0.328758999999998 0.381209999999996 0.380765999999996 0 0
"17" 16 1.00080827767537 0.016319 0 0.0620639999999999 0 0.0557489999999999 0 0.000471 0 0 0 0 0.341177999999997 0.425718999999993 0.425163999999993 0 0
"18" 17 1.00102745468819 0.019003 0 0.0739739999999997 0 0.0697679999999997 0 0.000608 0 0 0 0 0.354237999999999 0.459601999999994 0.458256999999994 0 0
"19" 18 1.00129072490879 0.020329 0 0.0851689999999995 0 0.0828389999999997 1.7e-05 0.000874 0 0 0 0 0.375166999999996 0.504242999999997 0.502808999999996 0 0
"20" 19 1.00157809534687 0.021115 0 0.0991679999999993 0 0.0970289999999994 0 0.002134 0 0 0 0 0.391454999999995 0.541610000000001 0.539813000000001 0 0
"21" 20 1.00191262243074 0.021148 0 0.112533999999999 0 0.113646999999999 0 0.002695 0 0 0 0 0.405725999999994 0.572991000000004 0.570767000000004 0 0
"22" 21 1.00234544868366 0.022865 0 0.125843999999999 0 0.126257999999999 0 0.002951 0 0 0 0 0.420247999999991 0.617889000000009 0.614839000000009 0 0
"23" 22 1.00277545488119 0.021479 0 0.135489 0 0.144071000000001 0 0.003992 0 0 0 0 0.436979999999991 0.645905000000017 0.642407000000016 0 0
"24" 23 1.00331193974958 0.021456 0 0.146264 0 0.161229000000001 0.000112 0.005326 0 0 0 0 0.442580999999993 0.676822000000013 0.672557000000013 0 0
"25" 24 1.00386576794036 0.022935 0 0.161373000000001 0 0.178234000000002 0.000297 0.00814600000000001 0 0 0 0 0.452419999999991 0.705263000000013 0.699753000000013 0 0
