"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000323 0 0 0 0 0 0 0 0 0 0 0.165054 0 0 0 0
"2" 1 1.000004 0.001614 0 0 0 0 0 0 0 0 0 0 0.121052 0 0 0 0
"3" 2 1.000007000012 0.003017 0 0 0 0 0 0 0 0 0 0 0.117145 0.000758 0.000746 0 0
"4" 3 1.000001999977 0.003693 0 0.000105 0 0 0 0 0 0 0 0 0.123238 0.004301 0.004264 0 0
"5" 4 1.000000999975 0.005203 0 0.000455 0 0.000159 0 0 0 0 0 0 0.142303 0.010529 0.010548 0 0
"6" 5 1.000010999985 0.006217 0 0.00112 0 0.000875 0 0 0 0 0 0 0.158324 0.026073 0.026128 0 0
"7" 6 1.000017000051 0.006027 0 0.001734 0 0.002238 0 0 0 0 0 0 0.181191 0.04704 0.047113 0 0
"8" 7 1.000026000204 0.008371 0 0.00392 0 0.004072 0 0 0 0 0 0 0.195972 0.0703319999999998 0.0702619999999998 0 0
"9" 8 1.00008100163402 0.009854 0 0.006285 0 0.006234 0 3.4e-05 0 0 0 0 0.21706 0.0972469999999998 0.0972889999999998 0 0
"10" 9 1.0001310056841 0.010972 0 0.00961 0 0.0095 0 0.000133 0 0 0 0 0.239805 0.131019 0.131019 0 0
"11" 10 1.00020201498551 0.011215 0 0.012933 0 0.013831 0 0.000392 0 0 0 0 0.254293 0.168583000000001 0.168450000000001 0 0
"12" 11 1.00025702609633 0.012381 0 0.019486 0 0.021625 0 0.000468 0 0 0 0 0.273606999999999 0.210364000000001 0.210250000000001 0 0
"13" 12 1.00032904460221 0.013167 0 0.026408 0 0.029702 0 4e-04 0 0 0 0 0.295173999999999 0.255892 0.255694 0 0
"14" 13 1.00044408244235 0.012809 0 0.032465 0 0.0390440000000001 0 0.000274 0 0 0 0 0.314746999999999 0.294282999999999 0.294205999999999 0 0
"15" 14 1.00055413129142 0.01111 0 0.041023 0 0.048352 0 0.000401 0 0 0 0 0.331375 0.339283999999997 0.338940999999997 0 0
"16" 15 1.00070521496525 0.010903 0 0.050687 0 0.0572039999999999 0 0.000574 0 0 0 0 0.341443999999999 0.384910999999997 0.384497999999996 0 0
"17" 16 1.00087233273616 0.012259 0 0.0644749999999998 0 0.0682829999999999 0 0.000714 0 0 0 0 0.353852999999997 0.426180999999992 0.425641999999992 0 0
"18" 17 1.00107751156438 0.014325 0 0.0752489999999999 0 0.0800919999999997 0 0.001172 0 0 0 0 0.363930999999999 0.474113999999991 0.473639999999991 0 0
"19" 18 1.00131676908966 0.016583 0 0.0865769999999997 0 0.0921389999999996 5e-05 0.001267 0 0 0 0 0.379046999999997 0.514566999999995 0.513646999999995 0 0
"20" 19 1.00158712461733 0.016467 0 0.0993199999999995 0 0.108084999999999 0 0.002259 0 0 0 0 0.390461999999995 0.556637999999999 0.555306 0 0
"21" 20 1.00196071661485 0.016904 0 0.10953 0 0.117846999999999 0 0.003379 0 0 0 0 0.400162999999995 0.591858000000008 0.589507000000008 0 0
"22" 21 1.00236851462655 0.017456 0 0.123250999999999 0 0.133099 0 0.003752 0 0 0 0 0.412533999999995 0.627936000000007 0.625854000000008 0 0
"23" 22 1.00283561835439 0.019002 0 0.140023 0 0.149808000000001 0 0.004426 0 0 0 0 0.41931099999999 0.666605000000016 0.664115000000015 0 0
"24" 23 1.00338316660205 0.01988 0 0.156982000000001 0 0.168537000000002 0 0.00648 0 0 0 0 0.42722799999999 0.691890000000026 0.688574000000027 0 0
"25" 24 1.00404038257623 0.020023 0 0.173853000000002 0 0.192896000000003 6.6e-05 0.00857100000000001 0 0 0 0 0.441896999999991 0.720535000000022 0.716518000000022 0 0
"26" 25 1.00472212599604 0.021342 0 0.185635000000003 0 0.213383000000004 5.5e-05 0.011787 0 0 0 0 0.448161999999989 0.749702000000034 0.744104000000034 0 0
"27" 26 1.00543849287191 0.022388 0 0.202127000000004 0 0.232232000000006 6.7e-05 0.015952 0 0 0 0 0.45231299999999 0.775162000000032 0.769393000000032 0 0
"28" 27 1.00622474577338 0.023997 0 0.223052000000005 0 0.242936000000007 0.000137 0.021531 0 0 0 0 0.464556999999987 0.796918000000038 0.789836000000038 0 0
"29" 28 1.00703576291852 0.0255100000000001 0 0.242237000000007 0 0.264561000000005 0.000379 0.0263500000000001 0 0 0 0 0.468463999999987 0.822075000000044 0.814293000000043 0 5.1e-05
"30" 29 1.00798439060724 0.0265680000000001 0 0.260229000000005 0 0.281959000000001 0.000457 0.0311270000000001 0 0 0 0 0.474559999999984 0.839048000000048 0.829785000000048 0 0.000134
"31" 30 1.00894600771594 0.0269360000000001 0 0.277793000000002 0 0.303641999999998 0.000617 0.037848 0 0 0 0 0.481735999999984 0.85164800000005 0.841212000000049 0 0.000258
"32" 31 1.01002154416022 0.027492 0 0.293824 0 0.314860999999996 0.001089 0.045591 0 0 0 0 0.489893999999986 0.867238000000041 0.85658000000004 0 0.000577
"33" 32 1.01112751775112 0.026929 0 0.306045999999998 0 0.337447999999996 0.001812 0.0582409999999998 0 0 0 0 0.501339999999985 0.879847000000045 0.869439000000048 0 0.001354
"34" 33 1.01225290267843 0.0272180000000001 0 0.317825999999998 0 0.363891999999993 0.002913 0.064254 0 0 0 0 0.506259999999976 0.886642000000057 0.875257000000057 0 0.001895
"35" 34 1.01340079747014 0.027656 0 0.332161999999996 0 0.377041999999992 0.003181 0.0747069999999995 3.8e-05 0 0 0 0.517286999999987 0.902375000000055 0.890426000000053 0 0.002624
"36" 35 1.01461282482398 0.0291450000000001 0 0.349404999999993 0 0.397255999999988 0.003195 0.0834389999999995 0 0 0 0 0.520855999999983 0.915097000000059 0.902706000000058 0 0.003289
"37" 36 1.01589123698334 0.0303810000000001 0 0.365912999999993 0 0.404188999999988 0.003702 0.0938709999999993 0 0 0 0 0.517802999999985 0.92386700000006 0.911890000000061 0 0.005004
"38" 37 1.01705138477604 0.0295570000000001 0 0.38150199999999 0 0.423278999999984 0.004634 0.105228999999999 6.7e-05 0 0 0 0.521701999999985 0.93398900000007 0.921165000000068 0 0.006284
"39" 38 1.01827184643785 0.0299640000000001 0 0.400359999999987 0 0.439465999999982 0.004776 0.117248999999999 6.7e-05 0 0 0 0.525625999999986 0.942941000000057 0.930421000000056 0 0.008261
"40" 39 1.01942554843992 0.0317360000000001 0 0.420099999999987 0 0.45668399999998 0.005564 0.13039 0.000181 2e-04 0 0.000183 0.520137999999986 0.948565000000058 0.937075000000059 0 0.010833
"41" 40 1.02064478139592 0.0310880000000001 0 0.444069999999983 0 0.468643999999979 0.00665 0.146556 0.000335 0.000285 0 0.000192 0.524704999999985 0.957564000000064 0.947382000000063 0 0.015528
"42" 41 1.02184505965892 0.0351540000000001 0 0.464316999999982 0 0.483044999999977 0.007851 0.163049000000002 0.000262 0.000229 0 0.00036 0.529484999999989 0.963684000000065 0.954755000000065 0 0.020655
"43" 42 1.02302937808313 0.0344710000000001 0 0.48304699999998 0 0.495823999999977 0.008544 0.181427000000002 0.000338 0.000585 0 0.000417 0.535059999999987 0.968942000000063 0.960242000000062 0 0.025676
"44" 43 1.02413731889966 0.0339490000000001 0 0.500601999999979 0 0.509520999999978 0.01087 0.195323000000003 0.000725 0.000686 0 0.000818 0.527140999999986 0.972804000000069 0.964340000000069 0 0.0346800000000001
"45" 44 1.02530688371792 0.032812 0 0.511886999999983 0 0.524466999999983 0.012278 0.209587000000004 0.001127 0.001403 0 0.001399 0.523019999999985 0.973677000000061 0.965944000000063 0 0.042892
"46" 45 1.0264203669937 0.032117 0 0.526620999999986 0 0.543307999999986 0.014862 0.227422000000005 0.001015 0.002204 0 0.002793 0.531483999999989 0.976547000000061 0.967908000000062 0.000115 0.0542239999999999
"47" 46 1.0276725998415 0.0338420000000001 0 0.545792999999987 0 0.560760999999988 0.016498 0.243167000000006 0.000961 0.002799 0 0.004568 0.537516999999988 0.979167000000059 0.969758000000062 0 0.0659459999999998
"48" 47 1.02881331642738 0.035256 0.000134 0.558219999999988 0 0.576494999999991 0.020376 0.257679000000004 0.001316 0.003429 0 0.005159 0.537886999999987 0.98373000000006 0.974090000000063 4.6e-05 0.0748279999999997
"49" 48 1.03000159580792 0.0385940000000001 0.000333 0.571658999999992 0 0.592149999999995 0.021996 0.274224000000002 0.002292 0.004509 0 0.00616900000000001 0.55141899999999 0.985671000000056 0.976157000000057 0.000133 0.0855329999999995
"50" 49 1.0309553772857 0.040795 0.000178 0.581147999999993 0 0.602640999999998 0.0268520000000001 0.293309999999999 0.002629 0.00624800000000001 0 0.008044 0.554232999999989 0.988619000000062 0.980115000000063 0.000134 0.0980339999999994
"51" 50 1.03220283329228 0.042324 0.000302 0.597321999999995 0.000134 0.618661000000002 0.029978 0.309247999999999 0.003871 0.00787100000000001 0 0.010405 0.551521999999988 0.989543000000062 0.981605000000063 0.000133 0.113316999999999
"52" 51 1.03335270724863 0.045263 0.000334 0.606128000000004 2e-04 0.637226000000005 0.033396 0.324757999999993 0.00453 0.008762 0 0.01225 0.562380999999994 0.991973000000058 0.984467000000061 6.7e-05 0.129439999999999
"53" 52 1.03459996396634 0.0474929999999999 0.000599 0.613905000000004 0.000333 0.643834000000006 0.038018 0.332460999999996 0.005512 0.00955699999999999 0 0.012059 0.570529999999995 0.993644000000059 0.986464000000062 6.7e-05 0.146867
"54" 53 1.03593252871999 0.0490139999999999 0.000468 0.626868000000006 0.000133 0.654943000000011 0.0418359999999999 0.35430499999999 0.00597200000000001 0.01293 0 0.01402 0.573159999999997 0.994980000000056 0.988532000000057 0.000161 0.165312000000001
"55" 54 1.03703268906555 0.0520159999999999 0.00058 0.643009000000013 6.7e-05 0.668416000000014 0.046979 0.37133899999999 0.008453 0.015159 0 0.01719 0.576921000000001 0.996014000000057 0.989166000000059 0.000134 0.179789000000002
"56" 55 1.03809875866997 0.0519959999999999 0.000729 0.650426000000009 0.000133 0.674068000000013 0.0531679999999998 0.392363999999988 0.010225 0.016757 0 0.019003 0.583519999999999 0.996171000000066 0.990154000000068 6.7e-05 0.196153000000003
