"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000517 0 0 0 0 0 0 0 0 0 0 0.167007 0 0 0 0
"2" 1 0.999996 0.00151 0 0 0 0 0 0 0 0 0 0 0.125844 0 0 0 0
"3" 2 0.999996999996 0.002531 0 0 0 1.7e-05 0 0 0 0 0 0 0.12414 0.000464 0.000465 0 0
"4" 3 0.999996999996001 0.003992 0 0.000166 0 0 0 0 0 0 0 0 0.1326 0.004278 0.004285 0 0
"5" 4 1.000004999972 0.00618 0 0.000359 0 0.000223 0 0 0 0 0 0 0.1496 0.011664 0.011634 0 0
"6" 5 1.000013000012 0.00687 0 0.001282 0 0.000684 0 0 0 0 0 0 0.164099 0.025484 0.025541 0 0
"7" 6 1.00001900009 0.007678 0 0.001581 0 0.001808 0 0 0 0 0 0 0.178167 0.0436149999999999 0.0436179999999999 0 0
"8" 7 1.00004900066 0.007233 0 0.002953 0 0.003508 0 0 0 0 0 0 0.190966 0.0672059999999998 0.0673099999999998 0 0
"9" 8 1.00007400188502 0.007997 0 0.005175 0 0.005163 0 0 0 0 0 0 0.202494 0.0979579999999998 0.0979919999999999 0 0
"10" 9 1.0001140048451 0.009216 0 0.010701 0 0.009388 0 0 0 0 0 0 0.218953000000001 0.137034 0.137087 0 0
"11" 10 1.00016601077335 0.009213 0 0.014775 0 0.012611 0 0 0 0 0 0 0.235152000000001 0.176496000000001 0.176488000000001 0 0
"12" 11 1.00022402040198 0.010098 0 0.020519 0 0.018039 0 0 0 0 0 0 0.247500000000001 0.215172000000001 0.215126000000001 0 0
"13" 12 1.00028703451528 0.010845 0 0.028725 0 0.022581 0 6.3e-05 0 0 0 0 0.262830999999999 0.264886 0.264732 0 0
"14" 13 1.00038706321873 0.011463 0 0.038226 0 0.0286830000000001 0 0.000217 0 0 0 0 0.275075999999999 0.307844999999998 0.307726999999998 0 0
"15" 14 1.00048710192506 0.01231 0 0.0474779999999999 0 0.03625 0 6.6e-05 0 0 0 0 0.282356 0.354893999999998 0.354686999999998 0 0
"16" 15 1.00063617450326 0.013705 0 0.0559179999999999 0 0.047733 0 0.00016 0 0 0 0 0.289885999999999 0.392435999999997 0.391613999999997 0 0
"17" 16 1.00081428774233 0.015243 0 0.065174 0 0.0602769999999999 0 4e-05 0 0 0 0 0.304242 0.431872999999993 0.431162999999993 0 0
