"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000171 0 0 0 0 0 0 0 0 0 0 0.165334 0 0 0 0
"2" 1 0.999999 0.000992 0 0 0 0 0 0 0 0 0 0 0.126376 0 0 0 0
"3" 2 1.000001999997 0.002281 0 7.6e-05 0 5.3e-05 0 0 0 0 0 0 0.124402 0.000828 0.000828 0 0
"4" 3 1.000005000003 0.003135 0 0.000242 0 7.5e-05 0 0 0 0 0 0 0.133894 0.003904 0.003903 0 0
"5" 4 1.000005000003 0.003907 0 0.000464 0 0.000319 0 0 0 0 0 0 0.151018 0.011514 0.011545 0 0
"6" 5 1.000016000058 0.004221 0 0.000804 0 0.00099 0 0 0 0 0 0 0.170857 0.025136 0.025193 0 0
"7" 6 1.000035000362 0.004325 0 0.001918 0 0.002205 0 0 0 0 0 0 0.188149 0.048111 0.048117 0 0
"8" 7 1.00005100092201 0.006557 0 0.003953 0 0.004271 0 0 0 0 0 0 0.1992 0.07579 0.075734 0 0
"9" 8 1.00008200250304 0.008097 0 0.006069 0 0.005876 0 0 0 0 0 0 0.216403 0.107244 0.107305 0 0
"10" 9 1.00012200578314 0.009442 0 0.00988299999999999 0 0.010047 0 0 0 0 0 0 0.227952 0.141934 0.141927 0 0
"11" 10 1.00015600993134 0.009682 0 0.014067 0 0.012734 0 0 0 0 0 0 0.246316000000001 0.187371000000001 0.187344000000001 0 0
"12" 11 1.00020601773184 0.011284 0 0.019988 0 0.016582 0 0 0 0 0 0 0.258352 0.227844000000002 0.227891000000002 0 0
"13" 12 1.00028603421326 0.012415 0 0.0304820000000001 0 0.0228 0 0 0 0 0 0 0.272051 0.276837 0.276796 0 0
"14" 13 1.00035405366359 0.013876 0 0.038247 0 0.0305970000000001 0 1.8e-05 0 0 0 0 0.284316999999999 0.320829 0.320796 0 0
"15" 14 1.00045408906896 0.01437 0 0.0491429999999999 0 0.0378110000000001 0 6.7e-05 0 0 0 0 0.299640999999998 0.365102999999998 0.364830999999998 0 0
"16" 15 1.00061516217731 0.014939 0 0.059729 0 0.0468789999999999 0 8.2e-05 0 0 0 0 0.314262999999998 0.409325999999995 0.408914999999996 0 0
"17" 16 1.00079727413684 0.017627 0 0.0724739999999998 0 0.0593319999999998 2.4e-05 0.000316 0 0 0 0 0.327420999999997 0.458439999999994 0.457731999999995 0 0
"18" 17 1.00103045990173 0.018067 0 0.0886949999999997 0 0.0703559999999996 0 0.000776 0 0 0 0 0.341188999999995 0.495084999999992 0.493960999999992 0 0
"19" 18 1.00132576388742 0.01952 0 0.101413999999999 0 0.0843849999999995 0 0.001564 0 0 0 0 0.348917999999995 0.537676999999999 0.535748 0 0
"20" 19 1.0016461881319 0.020062 0 0.113841 0 0.0970499999999994 0 0.002511 0 0 0 0 0.362152999999996 0.571689999999998 0.569077999999998 0 0
"21" 20 1.0020037758211 0.02084 0 0.127347999999999 0 0.114586999999999 6.7e-05 0.003293 0 0 0 0 0.366352999999997 0.603875000000007 0.600065000000007 0 0
"22" 21 1.0024276234183 0.019511 0 0.143157 0 0.131764999999999 6.7e-05 0.004285 0 0 0 0 0.383153999999991 0.645425000000018 0.640557000000017 0 0
"23" 22 1.00297695375598 0.020784 0 0.162555000000001 0 0.144512 0.00012 0.004792 0 0 0 0 0.389391999999994 0.675929000000013 0.669941000000014 0 0
"24" 23 1.00353862085011 0.020517 0 0.173982000000002 0 0.154431000000001 0.000201 0.007255 0 0 0 0 0.405099999999991 0.69941800000002 0.69385400000002 0 0
"25" 24 1.00419393156958 0.022429 0 0.190406000000003 0 0.170191000000001 0.00015 0.010059 0 0 0 0 0.412783999999992 0.731736000000031 0.724978000000031 0 0
"26" 25 1.00491795539428 0.024181 0 0.208938000000005 0 0.187013000000004 0 0.014775 0 0 0 0 0.420186999999989 0.761970000000039 0.754922000000039 0 0
"27" 26 1.00569073730202 0.0278750000000001 0 0.222016000000005 0 0.205424000000004 6.7e-05 0.019566 0 0 0 0 0.424431999999991 0.781581000000029 0.772430000000028 0 0
