"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000288 0 0 0 0 0 0 0 0 0 0 0.156303 0 0 0 0
"2" 1 1.000002 0.001494 0 0 0 0 0 0 0 0 0 0 0.101509 6.7e-05 6.7e-05 0 0
"3" 2 0.999998999994 0.002327 0 0 0 0 0 0 0 0 0 0 0.102839 0.001035 0.001028 0 0
"4" 3 0.999997999995001 0.003217 0 1.4e-05 0 0.000114 0 0 0 0 0 0 0.11334 0.004169 0.004114 0 0
"5" 4 0.999999999991001 0.003956 0 0.000437 0 0.000235 0 0 0 0 0 0 0.124259 0.011987 0.011988 0 0
"6" 5 1.000005999991 0.005752 0 0.001075 0 0.000876 0 0 0 0 0 0 0.142925 0.026923 0.026939 0 0
"7" 6 1.000021000081 0.005927 0 0.002061 0 0.001447 0 0 0 0 0 0 0.163793 0.046399 0.046431 0 0
"8" 7 1.000032000312 0.007081 0 0.003733 0 0.003465 0 0 0 0 0 0 0.178891 0.0733059999999999 0.0733339999999999 0 0
"9" 8 1.00006500136802 0.010081 0 0.00614500000000001 0 0.005756 0 0 0 0 0 0 0.196339 0.0996589999999999 0.0997949999999999 0 0
"10" 9 1.00010100370806 0.012085 0 0.010287 0 0.008828 0 0 0 0 0 0 0.214494 0.133524 0.133425 0 0
"11" 10 1.00014900855625 0.011784 0 0.015297 0 0.014476 0 0 0 0 0 0 0.232441000000001 0.175363 0.175253 0 0
"12" 11 1.00020401675172 0.013733 0 0.02116 0 0.020962 0 0 0 0 0 0 0.253487 0.218331000000001 0.218309000000001 0 0
"13" 12 1.00028103246101 0.015633 0 0.0280030000000001 0 0.0293820000000001 0 7e-06 0 0 0 0 0.263863 0.264148 0.2641 0 0
"14" 13 1.00039106337459 0.015748 0 0.03479 0 0.038009 0 0.000123 0 0 0 0 0.270986999999999 0.307082999999997 0.307180999999997 0 0
"15" 14 1.00050710873796 0.015406 0 0.043057 0 0.046597 0 0.000211 0 0 0 0 0.287145999999999 0.351420999999997 0.351374999999997 0 0
"16" 15 1.00065618429717 0.017711 0 0.0572589999999998 0 0.0611429999999997 0 0.000134 0 0 0 0 0.300985999999999 0.399387999999997 0.399103999999997 0 0
"17" 16 1.00084130569127 0.017674 0 0.0709579999999999 0 0.0701839999999997 0 0.000589 0 0 0 0 0.314496999999997 0.448000999999992 0.447818999999992 0 0
"18" 17 1.0010374705872 0.017818 0 0.0798939999999997 0 0.0806259999999995 0 0.001125 0 0 0 0 0.322487999999996 0.479055999999992 0.478384999999992 0 0
"19" 18 1.00135279739046 0.019627 0 0.0919739999999992 0 0.0967739999999996 0 0.001781 0 0 0 0 0.330608 0.517889999999997 0.516846999999997 0 0
"20" 19 1.00166021269928 0.021033 0 0.107625999999999 0 0.108953999999999 0 0.002688 0 0 0 0 0.339033999999997 0.552197000000002 0.550716000000001 0 0
"21" 20 1.00202982531781 0.020997 0 0.124363999999999 0 0.126771999999999 6.6e-05 0.003341 0 0 0 0 0.346854999999997 0.592701000000011 0.59077000000001 0 0
"22" 21 1.00250378542522 0.0222 0 0.140712 0 0.142840000000001 6.7e-05 0.004982 0 0 0 0 0.370500999999997 0.630127000000012 0.627478000000011 0 0
"23" 22 1.00300002479904 0.023915 0 0.152294000000001 0 0.158267000000001 0.000267 0.006894 0 0 0 0 0.381718999999996 0.660634000000013 0.657494000000013 0 0
"24" 23 1.00348848581114 0.023294 0 0.169441000000003 0 0.176605000000003 0.000467 0.00860400000000001 0 0 0 0 0.395320999999993 0.697453000000018 0.691839000000018 0 0
"25" 24 1.00412770797664 0.024378 0 0.187038000000003 0 0.182765000000003 0.000468 0.010849 0 0 0 0 0.407973999999991 0.725937000000026 0.719816000000026 0 0
"26" 25 1.00483360975539 0.0243060000000001 0 0.201446000000003 0 0.202742000000004 0.000737 0.015474 0 0 0 0 0.417236999999992 0.753145000000024 0.745399000000024 0 7.4e-05
"27" 26 1.00555809478805 0.022993 0 0.223008000000005 0 0.212702000000005 0.001182 0.019963 0 0 0 0 0.432070999999989 0.777569000000042 0.770094000000042 6.7e-05 6.7e-05
"28" 27 1.00639874135535 0.024054 0 0.238605000000006 0 0.227118000000007 0.001136 0.024988 0 0 0 0 0.44807799999999 0.798623000000039 0.790813000000037 0 0
"29" 28 1.00729644903269 0.025913 0 0.256972000000005 0 0.245974000000007 0.001793 0.0295760000000001 0 0 0 0 0.463724999999983 0.824023000000048 0.814810000000048 0 0
"30" 29 1.00820905961558 0.028676 0 0.278630000000002 0 0.264465000000005 0.001804 0.034967 0 0 0 0 0.459372999999987 0.842202000000041 0.83188800000004 0 0
"31" 30 1.0092707037554 0.0302330000000001 0 0.295791 0 0.281067000000003 0.001575 0.0421169999999999 0 0 0 0 0.466898999999988 0.858905000000036 0.847011000000036 6.7e-05 0
"32" 31 1.01025777050372 0.0336510000000001 0 0.310984999999998 0 0.299019 0.001872 0.0484619999999999 0 0 0 0 0.477605999999982 0.875714000000046 0.862536000000045 0.000266 0.000193
"33" 32 1.01133470528715 0.0335170000000001 0 0.330818999999996 0 0.317223999999998 0.001851 0.0593359999999998 6.7e-05 0 0 0 0.484933999999981 0.887899000000057 0.874259000000057 2e-04 0.000696
"34" 33 1.0124208787607 0.0351220000000001 0 0.346520999999994 0 0.340938999999996 0.002457 0.0678659999999997 0.000133 0 0 0 0.492245999999985 0.89835600000005 0.884602000000052 6.7e-05 0.000934
"35" 34 1.01364995770757 0.0328710000000001 0 0.361374999999993 0 0.369465999999993 0.003511 0.0756459999999996 0.000134 2.9e-05 0 0 0.501903999999984 0.908197000000056 0.894325000000055 0.000199 0.001579
"36" 35 1.01480045040963 0.0317820000000001 0 0.376286999999991 0 0.389331999999988 0.004411 0.0889389999999994 0.000267 0 0 0 0.511268999999981 0.918110000000054 0.902177000000055 0.000334 0.002858
"37" 36 1.01596747092767 0.0330930000000001 0 0.403156999999986 6.7e-05 0.403219999999987 0.005885 0.0980609999999994 0.000401 3.7e-05 0 0 0.517365999999982 0.928163000000066 0.912536000000064 0.000534 0.00517
"38" 37 1.01714802512896 0.0346420000000001 0 0.417453999999983 0 0.410774999999984 0.00649 0.112226999999999 0.000601 0 0 0.000101 0.522035999999985 0.935878000000065 0.921323000000064 0.000401 0.007904
"39" 38 1.01829333380533 0.034516 0 0.426557999999984 0 0.432537999999985 0.007759 0.123699999999999 0.000533 6.6e-05 0 6.7e-05 0.529348999999987 0.942767000000064 0.927485000000063 0.000268 0.012623
"40" 39 1.01948881017928 0.0331400000000001 0 0.438280999999986 0 0.449449999999983 0.00783800000000001 0.138737 0.000267 0.000199 0 5.7e-05 0.531218999999989 0.952244000000059 0.937194000000057 0.000201 0.016046
"41" 40 1.02066224179986 0.0342110000000001 0 0.447783999999986 0 0.464214999999982 0.008972 0.150856000000001 0.000549 0.000397 0 0.000104 0.532651999999988 0.955947000000055 0.942538000000055 0.000268 0.02129
"42" 41 1.0219901233765 0.03414 0 0.459683999999981 0 0.476177999999978 0.00982999999999999 0.162964000000002 0.000743 0.000794 0 0.000151 0.53512299999999 0.962569000000056 0.948082000000057 0.000201 0.0275090000000001
"43" 42 1.02313781828512 0.034455 2.1e-05 0.476605999999982 1.3e-05 0.485089999999976 0.011124 0.182026000000003 0.000868 0.000876 0 0.00066 0.545530999999987 0.970635000000061 0.957295000000062 0.000267 0.0359720000000001
"44" 43 1.02438400014785 0.037895 0 0.48691899999998 0 0.497989999999976 0.012946 0.192808000000003 0.001268 0.000992 0 0.000539 0.560387999999992 0.97848700000006 0.96405200000006 0.000201 0.045332
"45" 44 1.02544833512407 0.040591 0 0.511822999999982 0 0.509556999999979 0.015075 0.208856000000005 0.001799 0.001149 0 0.000697 0.569115999999996 0.98313000000006 0.969064000000062 0.000134 0.0546659999999999
"46" 45 1.02663170250287 0.041519 0 0.526145999999984 0 0.526009999999979 0.019711 0.218002000000005 0.001793 0.001296 0 0.00094 0.578312999999997 0.985471000000058 0.972250000000059 6.7e-05 0.0655669999999998
"47" 46 1.02781643548762 0.041212 0 0.54979699999999 0 0.543411999999988 0.020702 0.227864000000005 0.001972 0.001827 0 0.000755 0.581011999999998 0.986863000000064 0.975158000000064 3.7e-05 0.0784469999999997
"48" 47 1.02890900435861 0.041342 0 0.562305999999996 0 0.555388999999991 0.0243100000000001 0.244398000000006 0.003083 0.001618 0 0.001008 0.585299000000001 0.990037000000064 0.977317000000065 0 0.0926789999999995
"49" 48 1.03019925625014 0.0417399999999999 0 0.572769999999994 0 0.56891599999999 0.0266460000000001 0.261534000000004 0.003875 0.002315 0 0.001034 0.585786 0.990462000000056 0.978220000000058 0.000196 0.107886999999999
"50" 49 1.0313623512105 0.0457839999999999 2e-05 0.591692000000002 0 0.578712999999994 0.0290200000000001 0.281626 0.00495 0.003454 0 0.002236 0.584008999999996 0.991794000000059 0.98102000000006 0 0.124197999999999
"51" 50 1.03253810429094 0.0448579999999999 0.000142 0.603068999999998 0.000134 0.591623999999994 0.0346170000000001 0.294746 0.005248 0.005257 0 0.003412 0.589641999999996 0.992386000000064 0.982820000000066 0.000114 0.144346
"52" 51 1.03360368361464 0.0425180000000001 0.000255 0.604933000000002 0.000134 0.600017 0.035513 0.303854999999997 0.004677 0.00714200000000001 0 0.004136 0.588655 0.99339400000006 0.984895000000061 6.7e-05 0.164212000000002
"53" 52 1.03478922703981 0.042503 0.000305 0.613405 6.7e-05 0.615384999999999 0.037424 0.322107999999994 0.00540500000000001 0.007549 0 0.005367 0.595817999999999 0.99543400000006 0.988000000000064 0.000201 0.184633000000002
"54" 53 1.03581056400696 0.043907 4e-04 0.627914000000009 0.000178 0.634480000000007 0.040115 0.336865999999993 0.007116 0.011168 0 0.00824100000000001 0.589696000000001 0.995473000000059 0.988920000000063 0.00037 0.198441000000005
"55" 54 1.03679044080057 0.04342 0.000134 0.64260300000001 0.000201 0.643935000000006 0.039652 0.355463999999992 0.00864200000000001 0.013791 0 0.010704 0.589614000000001 0.996666000000057 0.99009500000006 0.000469 0.215737000000005
"56" 55 1.03780960580394 0.0431479999999999 0.00032 0.652561000000013 0.000542 0.651710000000013 0.044083 0.37054099999999 0.011298 0.015636 0 0.013709 0.599655 0.996433000000066 0.989886000000067 0.000335 0.234763000000005
"57" 56 1.03865334501352 0.045921 0.000401 0.661317000000009 0.000333 0.662795000000013 0.0477329999999999 0.382096999999988 0.013115 0.020061 0 0.015973 0.608062000000005 0.997493000000065 0.990615000000067 0.000677 0.258418000000005
