"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000334 0 0 0 0 0 0 0 0 0 0 0.165977 0 0 0 0
"2" 1 0.999997 0.001253 0 0 0 0 0 0 0 0 0 0 0.12635 0 0 0 0
"3" 2 0.999996000003 0.002048 0 0 0 0 0 0 0 0 0 0 0.1283 0.00057 0.000587 0 0
"4" 3 1.000001999979 0.003661 0 1e-05 0 7e-05 0 0 0 0 0 0 0.138497 0.003683 0.003665 0 0
"5" 4 1.000002999981 0.004506 0 8.4e-05 0 0.000432 0 0 0 0 0 0 0.148785 0.010987 0.010928 0 0
"6" 5 1.00001600002 0.006157 0 0.00031 0 0.000912 0 0 0 0 0 0 0.161107 0.021879 0.021807 0 0
"7" 6 1.000022000116 0.004662 0 0.001498 0 0.002469 0 0 0 0 0 0 0.177689 0.0394699999999999 0.039412 0 0
"8" 7 1.00004300057801 0.00471 0 0.003407 0 0.003632 0 0 0 0 0 0 0.189299 0.062591 0.062537 0 0
"9" 8 1.00007200182502 0.006847 0 0.004954 0 0.005914 0 0 0 0 0 0 0.204529 0.0900669999999998 0.0900959999999998 0 0
"10" 9 1.00011500492111 0.006957 0 0.008034 0 0.009135 0 0 0 0 0 0 0.226724000000001 0.119302 0.119207 0 0
"11" 10 1.00016401055635 0.008571 0 0.01193 0 0.013885 0 2e-05 0 0 0 0 0.247971 0.160620000000001 0.160635000000001 0 0
"12" 11 1.00023902285715 0.008857 0 0.015787 0 0.020152 0 6.7e-05 0 0 0 0 0.266391 0.200384000000001 0.200410000000001 0 0
"13" 12 1.00029603648145 0.008515 0 0.023693 0 0.026884 0 0.000113 0 0 0 0 0.283895999999999 0.248529000000001 0.248440000000001 0 0
"14" 13 1.00039006430889 0.009953 0 0.031748 0 0.035422 0 2e-04 0 0 0 0 0.291763999999999 0.289914999999998 0.289706999999998 0 0
"15" 14 1.0005051091663 0.00987 0 0.037767 0 0.043698 0 0.000287 0 0 0 0 0.315217999999999 0.329384999999999 0.328953999999998 0 0
"16" 15 1.00065118291224 0.010203 0 0.04687 0 0.0548759999999999 0 0.000283 0 0 0 0 0.323743999999998 0.367945999999996 0.367156999999996 0 0
"17" 16 1.00083530272991 0.011644 0 0.0532309999999999 0 0.0641739999999998 0 0.000353 0 0 0 0 0.337575999999997 0.404454999999994 0.403404999999994 0 0
"18" 17 1.00102746310804 0.014275 0 0.0656149999999998 0 0.0797679999999998 0 0.000827 0 0 0 0 0.349966000000001 0.450808999999994 0.448980999999994 0 0
"19" 18 1.00126871072667 0.01791 0 0.0811019999999995 0 0.0895179999999996 0 0.001478 0 0 0 0 0.358405999999996 0.498760999999992 0.496580999999992 0 0
"20" 19 1.00154305835343 0.019172 0 0.0967509999999996 0 0.105112999999999 0 0.001737 0 0 0 0 0.370989999999994 0.537346 0.534984999999999 0 0
"21" 20 1.00189960768222 0.020299 0 0.108132999999999 0 0.119344999999999 0 0.00243 0 0 0 0 0.381012999999999 0.574260000000003 0.571206000000002 0 0
"22" 21 1.00227732383435 0.021636 0 0.121163999999999 0 0.134219 9.6e-05 0.004071 0 0 0 0 0.381782999999994 0.612459000000007 0.608875000000006 0 0
"23" 22 1.0027323577394 0.022727 0 0.137793 0 0.149819000000001 6.7e-05 0.00588100000000001 0 0 0 0 0.387651999999993 0.648730000000016 0.645678000000016 0 0
"24" 23 1.00322770752417 0.023132 0 0.151376000000001 0 0.162530000000001 6.7e-05 0.00740400000000001 0 0 0 0 0.400485999999993 0.676183000000019 0.672511000000018 0 0
"25" 24 1.00378650535729 0.024649 0 0.168569000000002 0 0.181565000000003 0.000168 0.010931 0 0 0 0 0.407129999999992 0.707495000000023 0.702108000000023 0 0
"26" 25 1.0043998189121 0.025864 0 0.184305000000003 0 0.204045000000004 0.000201 0.012701 0 0 0 0 0.419256999999987 0.73534000000003 0.72937300000003 0 0.000133
"27" 26 1.00507477559046 0.025239 0 0.199141000000004 0 0.221328000000006 0.000197 0.016133 0 0 0 0 0.423551999999989 0.760460000000028 0.754008000000027 0 0.000129
"28" 27 1.00586878466321 0.026176 0 0.213859000000004 0 0.234358000000005 0.000445 0.020141 0 0 0 0 0.429838999999988 0.783409000000039 0.776898000000039 0 0.000214
