"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.001087 0 0 0 0 0 0 0 0 0 0 0.132917 0 0 0 0
"2" 1 0.999999 0.002226 0 0 0 0 0 0 0 0 0 0 0.124155 0.000327 0.000321 0 0
"3" 2 0.999997000002 0.003491 0 0 0 0 0 0 0 0 0 0 0.13163 0.001899 0.001886 0 0
"4" 3 0.999997000002 0.0047 0 6.7e-05 0 0.000185 0 0 0 0 0 0 0.143203 0.006644 0.00668 0 0
"5" 4 1.00000099999 0.005717 0 0.000701 0 0.000604 0 0 0 0 0 0 0.156981 0.018217 0.018207 0 0
"6" 5 0.999992999982001 0.006055 0 0.00089 0 0.001808 0 0 0 0 0 0 0.174368 0.033539 0.033599 0 0
"7" 6 1.000005999891 0.006048 0 0.002543 0 0.003763 0 0 0 0 0 0 0.191618 0.054066 0.054121 0 0
"8" 7 1.000028000023 0.007682 0 0.004761 0 0.007344 0 0 0 0 0 0 0.208596 0.0837239999999999 0.0835909999999999 0 0
"9" 8 1.000059000891 0.009705 0 0.00725300000000001 0 0.010013 0 0 0 0 0 0 0.230645 0.117084 0.117139 0 0
"10" 9 1.00008300230703 0.011695 0 0.011316 0 0.012897 0 0 0 0 0 0 0.243283000000001 0.152682 0.15267 0 0
"11" 10 1.00014700761918 0.01273 0 0.016551 0 0.018554 0 0 0 0 0 0 0.26121 0.200595000000001 0.200413000000001 0 0
"12" 11 1.00023001982082 0.012727 0 0.0235310000000001 0 0.025288 0 0 0 0 0 0 0.274239999999999 0.244525000000002 0.244522000000002 0 0
"13" 12 1.00031303891246 0.013872 0 0.0313790000000001 0 0.0326970000000001 0 7.6e-05 0 0 0 0 0.289052999999999 0.292956999999997 0.292877999999997 0 0
"14" 13 1.0004270745989 0.015449 0 0.0362390000000001 0 0.040553 0 0.000186 0 0 0 0 0.302616 0.339266999999997 0.339132999999997 0 0
"15" 14 1.00056413310813 0.016495 0 0.0465139999999999 0 0.0480699999999999 0 0.000201 0 0 0 0 0.314328999999999 0.384715999999998 0.384469999999998 0 0
"16" 15 1.00074023239556 0.016424 0 0.0598859999999999 0 0.0602909999999999 0 0.000331 0 0 0 0 0.321444999999998 0.426582999999998 0.425972999999998 0 0
"17" 16 1.00091636267648 0.015933 0 0.0684929999999997 0 0.0739719999999996 0 0.000451 0 0 0 0 0.330999999999997 0.465656999999992 0.464831999999993 0 0
"18" 17 1.00121163300348 0.015035 0 0.0838159999999996 0 0.0868149999999997 0 0.00105 0 0 0 0 0.347231999999997 0.503417999999994 0.502534999999994 0 0
"19" 18 1.0014969783189 0.017792 0 0.0938199999999994 0 0.0992729999999993 0 0.001829 0 0 0 0 0.360470999999997 0.534485000000001 0.533488000000001 0 0
"20" 19 1.00184149327947 0.019189 0 0.108394999999999 0 0.111734999999999 0 0.002793 0 0 0 0 0.369520999999995 0.57131900000001 0.56917400000001 0 0
"21" 20 1.00223221146187 0.020536 0 0.117625999999999 0 0.133529 0 0.003633 0 0 0 0 0.382269999999997 0.603933000000009 0.601231000000009 0 0
"22" 21 1.00267620033158 0.021325 0 0.132494 0 0.147048000000001 7e-06 0.006248 0 0 0 0 0.395115999999995 0.633226000000017 0.629997000000018 0 0
"23" 22 1.00317453040318 0.021659 0 0.148788 0 0.164531000000002 3e-05 0.00692700000000001 0 0 0 0 0.410704999999994 0.660317000000017 0.656044000000016 0 0
"24" 23 1.00377342559786 0.022331 0 0.170543000000002 0 0.183158000000002 6.7e-05 0.008957 0 0 0 0 0.419410999999994 0.699186000000017 0.694577000000017 0 0
"25" 24 1.00440178776232 0.023685 0 0.190516000000003 0 0.196587000000003 6.7e-05 0.010585 0 0 0 0 0.43268499999999 0.730619000000027 0.725172000000026 0 0
"26" 25 1.00510888662095 0.023218 0 0.209105000000004 0 0.214906000000005 0 0.014031 0 0 0 0 0.443507999999988 0.75572600000003 0.748345000000029 0 0
"27" 26 1.00585367230598 0.022838 0 0.224438000000005 0 0.230688000000006 0.000132 0.017227 0 0 0 0 0.451433999999986 0.777829000000029 0.769858000000028 0 0
"28" 27 1.00668048402467 0.024668 0 0.246639000000006 0 0.249142000000007 4e-04 0.020912 0 0 0 0 0.469754999999987 0.801066000000041 0.79211900000004 0 0
"29" 28 1.00754018915807 0.024118 0 0.264354000000004 0 0.264980000000005 0.000724 0.025244 0 0 0 0 0.474339999999986 0.82299800000004 0.813685000000038 0 3.9e-05
"30" 29 1.00847417891347 0.024729 0 0.278502000000002 0 0.282266000000003 0.000715 0.0301460000000001 0 0 0 0 0.482540999999984 0.840229000000051 0.828487000000048 0 8e-06
"31" 30 1.0094322293835 0.026065 0 0.296794 0 0.301811999999999 0.000672 0.036836 0 0 0 0 0.486865999999983 0.85824500000005 0.845320000000047 0 0.000291
"32" 31 1.01049213322441 0.026636 0 0.319474999999996 0 0.324557999999994 0.001219 0.0471289999999999 0 0 0 0 0.490623999999985 0.873491000000054 0.858735000000052 0 0.00072
