"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.000326 0 0 0 0 0 0 0 0 0 0 0.164558 0 0 0 0
"2" 1 1 0.00082 0 0 0 0 0 0 0 0 0 0 0.118475 0 0 0 0
"3" 2 1.000002 0.001586 0 0 0 0 0 0 0 0 0 0 0.122763 0.000423 0.000435 0 0
"4" 3 1.000002 0.002588 0 6.7e-05 0 0 0 0 0 0 0 0 0.131268 0.003172 0.003215 0 0
"5" 4 1.000006000008 0.003438 0 0.000497 0 0.000135 0 0 0 0 0 0 0.145692 0.011122 0.01116 0 0
"6" 5 1.000011000038 0.004874 0 0.001193 0 0.00063 0 0 0 0 0 0 0.163436 0.023464 0.023443 0 0
"7" 6 1.000022000159 0.005695 0 0.001932 0 0.00137 0 0 0 0 0 0 0.18295 0.044982 0.044985 0 0
"8" 7 1.00004600068701 0.007069 0 0.00302 0 0.002694 0 0 0 0 0 0 0.199881 0.0672849999999999 0.0672999999999999 0 0
"9" 8 1.00008000225103 0.009475 0 0.006434 0 0.005569 0 0 0 0 0 0 0.215438 0.0954329999999998 0.0954129999999998 0 0
"10" 9 1.00012700601114 0.00952399999999999 0 0.009929 0 0.008963 0 0 0 0 0 0 0.231685 0.126536 0.126431 0 0
"11" 10 1.00016501083737 0.00974 0 0.014494 0 0.011948 0 0 0 0 0 0 0.247531000000001 0.163630000000001 0.163710000000001 0 0
"12" 11 1.00023302205811 0.011651 0 0.019179 0 0.017111 0 0 0 0 0 0 0.259662 0.196659000000001 0.196672000000001 0 0
"13" 12 1.00027503184505 0.012234 0 0.026115 0 0.024216 0 0 0 0 0 0 0.275934999999999 0.240374000000002 0.240276000000002 0 0
"14" 13 1.00037505934824 0.012142 0 0.0367690000000001 0 0.032457 0 5e-06 0 0 0 0 0.292827999999999 0.288910999999999 0.288736 0 0
"15" 14 1.00048109910454 0.012668 0 0.045717 0 0.042578 0 0 0 0 0 0 0.303924999999998 0.333200999999996 0.333148999999997 0 0
"16" 15 1.00061516357182 0.013789 0 0.0559419999999998 0 0.0522919999999999 0 8.5e-05 0 0 0 0 0.314233 0.372308999999997 0.372168999999997 0 0
"17" 16 1.00075725092507 0.015175 0 0.0657909999999998 0 0.0639179999999998 0 8.6e-05 0 0 0 0 0.327572 0.417827999999996 0.417729999999996 0 0
"18" 17 1.00096440767602 0.014565 0 0.0768189999999997 0 0.0742329999999998 0 0.000337 0 0 0 0 0.340699999999999 0.458455999999997 0.458211999999997 0 0
"19" 18 1.00124367674577 0.015166 0 0.0876619999999996 0 0.0863079999999994 0 0.000535 0 0 0 0 0.357610999999995 0.49855799999999 0.497917999999991 0 0
"20" 19 1.00155306104191 0.014756 0 0.0994269999999996 0 0.100098999999999 0 0.000639 0 0 0 0 0.366494999999996 0.537838999999999 0.537069999999999 0 0
"21" 20 1.00189358908269 0.016449 0 0.112749999999999 0 0.111440999999999 0 0.001048 0 0 0 0 0.372860999999993 0.570826000000004 0.569254000000005 0 0
"22" 21 1.00232740900678 0.01726 0 0.124153999999999 0 0.127304999999999 0 0.001957 0 0 0 0 0.382126999999995 0.604453000000003 0.602325000000003 0 0
"23" 22 1.00270528644001 0.017954 0 0.14089 0 0.144929 6.7e-05 0.003604 0 0 0 0 0.399119999999998 0.64596300000001 0.642832000000011 0 0
"24" 23 1.00320162555683 0.018311 0 0.156073000000001 0 0.157222000000002 3.1e-05 0.00618300000000001 0 0 0 0 0.404907999999992 0.676713000000011 0.671849000000012 0 0
"25" 24 1.00379652412082 0.019265 0 0.171302000000002 0 0.177087000000002 0.000201 0.009022 0 0 0 0 0.406817999999992 0.712452000000022 0.706793000000022 0 2e-06
"26" 25 1.00446304501287 0.020551 0 0.193860000000003 0 0.195410000000003 0.000193 0.01343 0 0 0 0 0.411487999999996 0.743526000000021 0.73520500000002 0 6.1e-05
"27" 26 1.00513402632697 0.021318 0 0.211983000000004 0 0.214499000000005 0.000332 0.016974 0 0 0 0 0.42583499999999 0.765172000000032 0.756208000000031 0 0.000134
"28" 27 1.00582957907324 0.022212 0 0.231457000000005 0 0.232415000000007 0.000533 0.019356 0 0 0 0 0.44253599999999 0.788734000000034 0.779996000000033 0 0.000191
"29" 28 1.00666441762392 0.023491 0 0.249343000000006 0 0.251048000000007 0.000655 0.023492 0 0 0 0 0.450178999999989 0.809168000000031 0.799417000000031 0 0.000133
"30" 29 1.00756437561331 0.0245140000000001 0 0.270576000000004 0 0.267482000000003 0.000726 0.0275330000000001 0 0 0 0 0.460691999999991 0.826563000000037 0.816401000000038 0 6.7e-05
"31" 30 1.00851853907706 0.026302 0 0.294537 0 0.283264000000001 0.00097 0.0339500000000001 0 0 0 0 0.468233999999988 0.84781500000005 0.837453000000049 0 0.000217
"32" 31 1.00946049539262 0.0274520000000001 0 0.314098999999998 0 0.306162 0.000803 0.0427 0 0 0 0 0.479257999999986 0.863817000000053 0.851665000000053 0 0.000647
"33" 32 1.0105285045968 0.0262410000000001 0 0.322947999999996 0 0.331435999999995 0.001235 0.0484169999999999 0 0 0 0 0.475622999999985 0.884284000000052 0.87090100000005 0 0.001247
"34" 33 1.01163503330939 0.025999 0 0.334741999999995 0 0.351049999999995 0.001431 0.056444 0 0 0 0 0.479179999999983 0.893980000000052 0.880860000000051 0 0.002066
"35" 34 1.01273468059067 0.027324 0 0.345482999999994 0 0.366568999999993 0.002309 0.0654379999999998 0 0 0 0 0.477079999999987 0.905412000000056 0.893096000000055 0 0.003076
"36" 35 1.01384970147406 0.0269310000000001 0 0.369247999999992 0 0.383849999999991 0.002441 0.0729109999999995 0 0 0 0 0.477667999999983 0.922407000000056 0.909562000000057 0 0.004615
"37" 36 1.01508761195962 0.0264470000000001 0 0.38725399999999 0 0.403468999999989 0.003861 0.0853419999999996 0 0 0 0 0.486771999999979 0.930929000000059 0.919543000000058 6.6e-05 0.006408
"38" 37 1.01629556621792 0.027147 0 0.399190999999989 0 0.425747999999983 0.005231 0.0945479999999993 0 0 0 0 0.495463999999979 0.938895000000061 0.92750200000006 6.7e-05 0.009685
"39" 38 1.01747548537036 0.0261780000000001 0 0.409595999999989 0 0.445523999999983 0.005714 0.102360999999999 0 1.8e-05 0 0 0.494816999999979 0.945145000000057 0.934022000000058 6.7e-05 0.012965
"40" 39 1.01864151227666 0.0271130000000001 0 0.429366999999987 0 0.465453999999978 0.007387 0.115788999999999 0 0.000133 0 3.1e-05 0.49898099999998 0.952420000000061 0.94049100000006 6.7e-05 0.018347
"41" 40 1.01983739741214 0.0280900000000001 0 0.445762999999983 0 0.482050999999977 0.00849 0.128202999999999 0 0.000536 0 0.000134 0.506597999999979 0.957566000000065 0.947692000000065 0.000134 0.022894
"42" 41 1.02108465854925 0.0278700000000001 0 0.454290999999981 0 0.492886999999976 0.009303 0.141951000000001 5.4e-05 0.000591 0 0.000302 0.510321999999981 0.963091000000074 0.953046000000074 0.000213 0.027761
"43" 42 1.02226707458392 0.0277540000000001 0 0.469714999999982 0 0.506988999999979 0.00966 0.157310000000001 0.000201 0.000755 0 0.000282 0.509464999999982 0.96774000000006 0.958665000000061 6.7e-05 0.036613
"44" 43 1.02342121411119 0.0268090000000001 0 0.48399599999998 0 0.523814999999981 0.011469 0.175684000000003 0.00038 0.00129 0 0.000751 0.507831999999982 0.969349000000058 0.960328000000059 0.000264 0.0484899999999999
"45" 44 1.02468309246825 0.0275830000000001 0 0.506172999999982 0 0.541236999999984 0.013258 0.191916000000004 0.000592 0.001884 0 0.001471 0.506172999999982 0.972261000000066 0.962310000000066 4e-04 0.0581979999999998
"46" 45 1.02596906974937 0.0306470000000001 0 0.518581999999981 0 0.555363999999989 0.015921 0.199637000000004 0.001009 0.002014 0 0.002257 0.51061799999998 0.974064000000063 0.963608000000065 0.000466 0.0664419999999997
"47" 46 1.0270996876643 0.0312920000000001 0 0.530046999999982 0 0.566135999999992 0.018463 0.215549000000005 0.001643 0.00318 0 0.002536 0.512610999999979 0.978510000000061 0.968971000000064 0.000134 0.0752889999999997
"48" 47 1.02821511792517 0.0335130000000001 0 0.538572999999984 0 0.577039999999994 0.021888 0.235583000000005 0.002071 0.004313 0 0.003091 0.512708999999979 0.981602000000056 0.972831000000059 0.000199 0.0862369999999996
"49" 48 1.02928137700252 0.0312490000000001 0 0.55179899999999 0 0.588376999999995 0.023456 0.254019000000005 0.002315 0.005145 0 0.004388 0.517113999999985 0.984508000000059 0.97571300000006 0 0.0980569999999993
"50" 49 1.03048357765092 0.0338590000000001 0 0.56438599999999 0 0.597101999999994 0.023131 0.270788000000002 0.002781 0.00684500000000001 0 0.004711 0.516110999999982 0.985860000000064 0.977715000000067 0 0.112497999999999
"51" 50 1.03141719577234 0.035792 0 0.577074999999995 0.000116 0.606448000000002 0.0263260000000001 0.287082 0.002555 0.00858 0 0.00629800000000001 0.519851999999985 0.987529000000061 0.979536000000062 0 0.125139999999999
"52" 51 1.03251256083431 0.0364800000000001 0 0.583932999999997 0 0.619216000000004 0.0313610000000001 0.299687999999997 0.002661 0.011124 0 0.007915 0.518658999999982 0.989513000000063 0.981488000000065 0 0.143339
"53" 52 1.03369065766629 0.035669 7e-06 0.598209999999999 0 0.629784000000004 0.0330940000000001 0.317799999999995 0.003619 0.012534 0 0.008417 0.523368999999987 0.99104500000006 0.983541000000062 6.7e-05 0.160292000000001
"54" 53 1.03483288584307 0.037683 6.7e-05 0.613799000000002 1e-05 0.638998000000006 0.037476 0.336545999999995 0.00491 0.014718 0 0.010265 0.515853999999981 0.990523000000063 0.983707000000065 0.000137 0.179956000000003
"55" 54 1.03591635587462 0.0368020000000001 6.7e-05 0.635060000000005 0 0.648829000000007 0.0402360000000001 0.348086999999991 0.005755 0.014001 0 0.011755 0.517184999999983 0.991748000000065 0.986285000000066 2e-04 0.203308000000003
"56" 55 1.03699060113573 0.03713 0.00011 0.638378000000011 0 0.663745000000011 0.046887 0.366044999999992 0.007156 0.01776 0 0.01402 0.522507999999984 0.992772000000061 0.986441000000065 0.00023 0.218220000000005
"57" 56 1.03824847073497 0.036356 0.00011 0.645132000000004 0 0.672492000000011 0.0512429999999999 0.381610999999991 0.00836800000000001 0.019597 0 0.018326 0.525087999999984 0.99433200000006 0.988214000000062 6e-04 0.228860000000005
"58" 57 1.03934693761707 0.038043 0.000166 0.651176000000001 0 0.683931000000011 0.0565189999999999 0.398666999999989 0.009272 0.021869 0 0.020984 0.525060999999983 0.994876000000054 0.98905800000006 0.000655 0.239892000000005
"59" 58 1.04035926153437 0.03728 0.000302 0.656525000000012 2.5e-05 0.691303000000015 0.0595239999999999 0.420849999999987 0.00984399999999999 0.0246940000000001 0 0.023205 0.526820999999986 0.994837000000057 0.989661000000058 0.000668 0.258334000000004
"60" 59 1.04129870594759 0.038624 0.000786 0.667822000000012 0.00011 0.702592000000016 0.0654629999999997 0.439240999999985 0.013618 0.0287590000000001 0 0.0265300000000001 0.527344999999985 0.995726000000059 0.990050000000061 0.000642 0.278373000000001
"61" 60 1.04239623478372 0.037263 0.001193 0.677426000000013 2e-04 0.71580400000002 0.0735049999999996 0.452948999999984 0.0166 0.0307240000000001 0 0.0314060000000001 0.528959999999985 0.99593300000006 0.99037100000006 0.001026 0.292802
"62" 61 1.04365440703917 0.038384 0.0016 0.686905000000015 0.000455 0.723135000000022 0.0799099999999996 0.467448999999982 0.018794 0.0339760000000001 0 0.036016 0.532296999999986 0.997330000000059 0.991867000000062 0.001509 0.314035999999996
"63" 62 1.04457699753505 0.037333 0.001977 0.693814000000014 0.000545 0.739697000000018 0.0867969999999996 0.473733999999983 0.023455 0.038025 0 0.036667 0.538688999999989 0.99773900000005 0.992914000000051 0.001612 0.330294999999996
"64" 63 1.04536774232224 0.038913 0.002359 0.702257000000018 0.000443 0.742929000000022 0.0896529999999994 0.483551999999981 0.025398 0.040827 0 0.038287 0.537409999999989 0.997987000000054 0.992931000000056 0.001467 0.344812999999993
"65" 64 1.04625839563875 0.040171 0.002223 0.709503000000014 0.000708 0.75632100000002 0.0982169999999995 0.504323999999982 0.0296550000000001 0.0458939999999999 0 0.043412 0.54129199999999 0.998592000000053 0.993548000000055 0.001669 0.355183999999993
"66" 65 1.0471246975904 0.0405789999999999 0.002735 0.719750000000019 0.000668 0.764436000000029 0.102077999999999 0.523288999999988 0.0325650000000001 0.0497189999999999 0 0.0474619999999999 0.539917999999993 0.998676000000052 0.993505000000056 0.001202 0.372937999999991
"67" 66 1.04795506747564 0.044015 0.003573 0.728740000000025 0.000869 0.778068000000034 0.109903 0.537240999999991 0.037102 0.0545959999999998 0 0.0570669999999998 0.53897999999999 0.999066000000055 0.994412000000057 0.001478 0.38958799999999
"68" 67 1.04918117490464 0.045354 0.004323 0.728837000000011 0.001051 0.788265000000024 0.111536999999999 0.541395999999989 0.040391 0.0578359999999998 0 0.0610779999999999 0.539067999999988 0.999196000000052 0.994365000000055 0.001668 0.402154999999989
"69" 68 1.04991140500243 0.04813 0.00557800000000001 0.737335000000019 0.001104 0.80225300000003 0.117715999999999 0.551624999999993 0.0443089999999999 0.0590159999999998 0 0.0644009999999998 0.541603999999993 0.999179000000053 0.994258000000055 0.001336 0.415650999999989
"70" 69 1.05088887252054 0.0455719999999999 0.00573000000000001 0.745039000000023 0.001252 0.808639000000032 0.121322999999999 0.565455999999996 0.0494979999999998 0.0611059999999998 0 0.0673389999999998 0.53689099999999 0.999803000000055 0.994679000000058 0.001928 0.441313999999986
"71" 70 1.05168964984146 0.047328 0.00761 0.747480000000025 0.001087 0.816093000000033 0.128344 0.581471999999997 0.0533579999999998 0.0646919999999999 0 0.0726179999999997 0.539797999999992 1.00050900000005 0.995297000000058 0.001348 0.458200999999985
"72" 71 1.05246684849275 0.049522 0.00711800000000001 0.752742000000019 0.001196 0.822988000000033 0.134378 0.591944000000001 0.0584909999999999 0.0705699999999997 0 0.0787039999999998 0.547924999999993 1.00075600000005 0.996082000000056 0.00156 0.472997999999979
"73" 72 1.053417226057 0.0455129999999999 0.008028 0.758066000000027 0.001647 0.827393000000037 0.1433 0.611506000000002 0.0659359999999997 0.0805399999999997 0 0.0838849999999996 0.549368999999996 1.00074700000005 0.996320000000057 0.001602 0.49082099999998
"74" 73 1.05425258591731 0.0467189999999999 0.00976399999999999 0.766024000000021 0.001766 0.82778200000003 0.149986000000001 0.616426 0.0680869999999997 0.0834279999999996 0 0.0865969999999996 0.545722999999994 1.00061400000005 0.996286000000049 0.001876 0.505606999999982
"75" 74 1.05498634571716 0.0486349999999999 0.011887 0.767596000000026 0.001841 0.833295000000034 0.155251000000001 0.62887800000001 0.0734689999999998 0.0945509999999994 0 0.0970019999999994 0.545630999999995 1.00068800000005 0.996590000000052 0.001853 0.519693999999986
"76" 75 1.05567947174635 0.048516 0.01365 0.76889200000002 0.002303 0.837966000000031 0.164870000000001 0.640751000000004 0.0799339999999996 0.102604999999999 0 0.103638999999999 0.543668999999994 1.00066500000004 0.996464000000048 0.002227 0.539917999999989
