"X" "PopRatio" "Diff_KC" "Fibroblast" "M1" "M2" "Neutrophil" "Prol_KC" "Th0" "Th1" "Th17" "Th2" "Th22" "Treg" "iDC" "pDC" "preDiff_KC" "ILC3"
"1" 0 1 0.00039 0 0 0 0 0 0 0 0 0 0 0.165711 0 0 0 0
"2" 1 1 0.001144 0 0 0 0 0 0 0 0 0 0 0.123055 5.7e-05 5.8e-05 0 0
"3" 2 0.999998 0.002188 0 0 0 0 0 0 0 0 0 0 0.12098 0.000952 0.000933 0 0
"4" 3 1.000001999992 0.002996 0 9.4e-05 0 0.000161 0 0 0 0 0 0 0.131329 0.00383 0.00383 0 0
"5" 4 1.000008000004 0.004144 0 0.000391 0 0.000344 0 0 0 0 0 0 0.140392 0.011872 0.011847 0 0
"6" 5 1.000005999988 0.006145 0 0.001139 0 0.001168 0 0 0 0 0 0 0.162772 0.026268 0.026212 0 0
"7" 6 1.000011000018 0.006998 0 0.001974 0 0.001915 0 0 0 0 0 0 0.178331 0.0441549999999999 0.0441949999999999 0 0
"8" 7 1.000026000183 0.007742 0 0.003138 0 0.003957 0 0 0 0 0 0 0.191634 0.0716189999999999 0.0716939999999999 0 0
"9" 8 1.00004900078101 0.009276 0 0.005553 0 0.005493 0 0 0 0 0 0 0.213306 0.0996979999999998 0.0996389999999999 0 0
"10" 9 1.00008100234904 0.010366 0 0.00947799999999999 0 0.009021 0 0 0 0 0 0 0.231058 0.135967 0.135964 0 0
"11" 10 1.00013800696617 0.011436 0 0.014173 0 0.014231 0 6.3e-05 0 0 0 0 0.24701 0.171924 0.171973 0 0
"12" 11 1.00021901814474 0.013808 0 0.020039 0 0.018761 0 0.000134 0 0 0 0 0.263155 0.217202000000001 0.217334000000001 0 0
"13" 12 1.00030003588521 0.014554 0 0.026147 0 0.025956 0 0.000134 0 0 0 0 0.278472 0.26282 0.262648 0 0
"14" 13 1.00037005688773 0.014378 0 0.0355779999999999 0 0.035089 0 0 0 0 0 0 0.296811999999999 0.306379999999999 0.306191999999999 0 0
"15" 14 1.00046209093297 0.018116 0 0.0441939999999999 0 0.04435 0 0 0 0 0 0 0.307288999999999 0.351818999999997 0.351605999999997 0 0
"16" 15 1.00061015932243 0.02132 0 0.0543799999999999 0 0.051158 0 0.000172 0 0 0 0 0.314709999999998 0.387586999999996 0.387137999999996 0 0
"17" 16 1.00076925633777 0.022246 0 0.0679189999999997 0 0.062584 0 0.000528 0 0 0 0 0.327816999999999 0.429808999999997 0.429279999999997 0 0
"18" 17 1.00099943326674 0.022787 0 0.0830429999999996 0 0.0770689999999996 0 0.000812 0 0 0 0 0.337974999999998 0.481090999999993 0.480400999999993 0 0
"19" 18 1.00125168512394 0.024751 0 0.0944799999999996 0 0.0888509999999997 0 0.001271 0 0 0 0 0.350261999999995 0.520613999999998 0.519775999999997 0 0
"20" 19 1.00156307439803 0.0257680000000001 0 0.108 0 0.0971319999999994 0 0.001772 0 0 0 0 0.360194999999996 0.560241000000005 0.558583000000004 0 0
"21" 20 1.00193164960944 0.02607 0 0.119745999999999 0 0.110635999999999 2.5e-05 0.002431 0 0 0 0 0.372621999999994 0.590338000000005 0.588434000000004 0 0
"22" 21 1.00238151692014 0.028978 0 0.128666999999999 0 0.123696999999999 6.7e-05 0.003626 0 0 0 0 0.383620999999994 0.620685000000011 0.61800900000001 0 0
"23" 22 1.00283760051038 0.02717 0 0.144180000000001 0 0.134623 0.000134 0.005804 0 0 0 0 0.394131999999992 0.657988000000016 0.655155000000016 0 0
"24" 23 1.00335707038749 0.0259320000000001 0 0.154903000000001 0 0.147369 0.000133 0.00693200000000001 0 0 0 0 0.40303999999999 0.690490000000026 0.686087000000027 0 0
"25" 24 1.0039851719136 0.027701 0 0.171381000000002 0 0.161994000000002 6.7e-05 0.00980399999999999 0 0 0 0 0.414657999999995 0.719376000000022 0.714611000000023 0 0
"26" 25 1.0046478021271 0.029177 0 0.181200000000002 0 0.183542000000003 0.000134 0.012568 0 0 0 0 0.420915999999991 0.747884000000021 0.742022000000021 0 0
"27" 26 1.00534402305401 0.0307320000000001 0 0.199556000000003 0 0.202850000000004 7.6e-05 0.014983 0 0 0 0 0.429118999999992 0.770867000000032 0.764567000000031 0 1.3e-05
"28" 27 1.00607088678273 0.031506 0 0.211836000000004 0 0.223411000000006 0.000205 0.019394 0 0 0 0 0.442195999999987 0.793849000000046 0.785664000000046 0 6.7e-05
"29" 28 1.00688278598842 0.0334490000000001 0 0.227025000000006 0 0.243707000000007 0.000469 0.0238110000000001 0 0 0 0 0.448237999999989 0.813275000000031 0.803755000000032 0 6.7e-05
"30" 29 1.00778092543357 0.0327690000000001 0 0.243305000000007 0 0.260384000000005 0.000737 0.0289900000000001 0 0 0 0 0.458067999999985 0.831526000000046 0.821750000000043 0 0.000109
"31" 30 1.00878366745443 0.033547 0 0.257385000000005 0 0.280910000000003 0.001359 0.035024 0 0 0 0 0.459112999999985 0.849400000000049 0.838876000000047 0 0.000335
"32" 31 1.00986003962767 0.0322030000000001 0 0.275735000000002 0 0.30226 0.001966 0.0374079999999999 0 0 0 0 0.471254999999983 0.869244000000041 0.85878900000004 0 0.00071
"33" 32 1.01087393910751 0.0334120000000001 0 0.294683999999998 0 0.317822999999997 0.002279 0.043693 0 0 0 0 0.482598999999981 0.886822000000058 0.874651000000058 0 0.000966
"34" 33 1.01187571518124 0.028899 0 0.309631999999998 0 0.333411999999996 0.002864 0.0534769999999998 0 0 0 0 0.486558999999984 0.896422000000051 0.883475000000051 0 0.001191
"35" 34 1.01301913473945 0.026953 0 0.323547999999995 0 0.355026999999994 0.003299 0.0641829999999998 0 0 0 0 0.485315999999984 0.907944000000054 0.894420000000052 0 0.001896
"36" 35 1.01413142974945 0.02564 0 0.343654999999995 0 0.366298999999989 0.004103 0.0745569999999996 0 0 0 0 0.491611999999985 0.917554000000046 0.904063000000049 0 0.0036
